日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-04-20,999.88,1007.28,1007.47,999.19,0.73,7.28,119691474,227348321822.0,0.83,3.57
2026-04-21,1004.04,1004.91,1005.14,996.42,-0.24,-2.37,115973344,231257890940.0,0.87,3.46
2026-04-22,1001.26,1014.03,1014.18,1000.9,0.91,9.12,117020215,242883658059.0,1.32,3.49
2026-04-23,1012.4,995.88,1012.86,990.93,-1.79,-18.15,128694044,248946083777.0,2.16,3.84
2026-04-24,991.18,992.68,998.6,981.82,-0.32,-3.2,122004211,251667021534.0,1.68,3.64
2026-04-27,988.59,1000.7,1001.12,979.34,0.81,8.02,114824552,230907361344.0,2.19,3.43
2026-04-28,995.95,986.22,995.98,982.63,-1.45,-14.48,113579214,226105681737.0,1.33,3.39
2026-04-29,977.59,995.23,998.76,976.94,0.91,9.01,113648667,240510782545.0,2.21,3.39
2026-04-30,993.32,995.69,997.86,992.35,0.05,0.46,121145768,257166791617.0,0.55,3.61
2026-05-06,1002.55,1012.48,1014.41,1002.55,1.69,16.79,129591421,300749354921.0,1.19,3.87
2026-05-07,1014.38,1027.57,1027.66,1013.36,1.49,15.09,132822634,283195422290.0,1.41,3.96
2026-05-08,1025.43,1038.57,1039.67,1024.74,1.07,11.0,134598081,274067531561.0,1.45,4.02
2026-05-11,1044.47,1049.6,1049.9,1037.82,1.06,11.03,138210512,296882247496.0,1.16,4.12
2026-05-12,1049.25,1036.6,1049.25,1030.58,-1.24,-13.0,130235877,269411027395.0,1.78,3.89
2026-05-13,1031.73,1046.75,1046.75,1029.53,0.98,10.15,125528185,262052130347.0,1.66,3.75
2026-05-14,1049.13,1024.72,1049.44,1024.72,-2.1,-22.03,129704626,268644041951.0,2.36,3.87
2026-05-15,1025.02,1017.4,1032.76,1010.18,-0.71,-7.32,120993059,249799447212.0,2.2,3.61
2026-05-18,1013.82,1022.36,1025.56,1008.45,0.49,4.96,110150078,226967541356.0,1.68,3.29
2026-05-19,1020.12,1032.47,1032.52,1017.62,0.99,10.11,108911651,232168564771.0,1.46,3.25
2026-05-20,1027.72,1026.92,1028.76,1017.85,-0.54,-5.55,110911332,250166867079.0,1.06,3.31
2026-05-21,1029.71,992.72,1035.82,991.54,-3.33,-34.2,130421399,281801989340.0,4.31,3.89
2026-05-22,998.44,1009.49,1012.95,991.71,1.69,16.77,102210612,227772984815.0,2.14,3.05
2026-05-25,1014.38,1010.81,1019.8,1000.98,0.13,1.32,107921575,255752112775.0,1.86,3.22
2026-05-26,1006.36,998.86,1006.36,985.44,-1.18,-11.95,106693860,239967883489.0,2.07,3.18
2026-05-27,997.45,979.15,1001.07,973.07,-1.97,-19.71,98034029,224646968674.0,2.8,2.92
2026-05-28,977.16,989.99,993.62,969.85,1.11,10.84,99111668,223430227570.0,2.43,2.96
2026-05-29,992.07,965.67,995.04,961.51,-2.46,-24.32,110919357,248527378715.0,3.39,3.31
2026-06-01,963.6,972.03,983.4,961.95,0.66,6.36,102757541,216374597165.0,2.22,3.07
2026-06-02,973.15,963.29,974.05,946.63,-0.9,-8.74,98523212,205818250266.0,2.82,2.94
2026-06-03,961.55,961.58,969.6,953.04,-0.18,-1.71,100123531,230068716830.0,1.72,2.99
2026-06-04,953.84,951.15,958.94,943.85,-1.08,-10.43,91330978,194804964780.0,1.57,2.72
2026-06-05,949.27,953.02,965.03,939.44,0.2,1.87,101969525,221399311667.0,2.69,3.04
2026-06-08,926.47,927.54,949.96,914.88,-2.67,-25.48,100510207,204784727567.0,3.68,3.0
2026-06-09,936.98,941.65,941.72,925.39,1.52,14.11,90959389,199869333714.0,1.76,2.71
2026-06-10,935.07,932.45,941.86,921.85,-0.98,-9.2,94731603,210376481305.0,2.12,2.83
2026-06-11,926.48,920.84,930.19,912.21,-1.25,-11.61,95293818,208924150801.0,1.93,2.84
2026-06-12,931.96,932.26,942.79,924.89,1.24,11.42,118052883,266921453504.0,1.94,3.52
2026-06-15,937.39,956.62,956.63,937.39,2.61,24.36,103522586,243547634498.0,2.06,3.09
2026-06-16,957.72,967.84,970.61,948.98,1.17,11.22,99946434,247803603024.0,2.26,2.98
2026-06-17,963.27,964.08,968.48,957.71,-0.39,-3.76,99804785,252808981298.0,1.11,2.98
2026-06-18,961.04,966.56,972.08,955.17,0.26,2.48,98735478,271200296740.0,1.75,2.95
2026-06-22,966.74,972.84,973.2,943.25,0.65,6.28,117828720,300218467677.0,3.1,3.52
2026-06-23,969.6,970.43,984.61,964.71,-0.25,-2.41,115448397,269271531215.0,2.05,3.44
2026-06-24,966.04,963.13,968.39,946.98,-0.75,-7.3,110909170,266172131626.0,2.21,3.31
2026-06-25,959.56,951.62,963.72,945.83,-1.2,-11.51,114382812,272096309330.0,1.86,3.41
2026-06-26,946.02,927.28,946.02,925.99,-2.56,-24.34,108957789,256494382350.0,2.1,3.25
2026-06-30,922.79,940.72,940.83,918.22,1.80,0,97965254.0,259096737294.0,0,0
2026-07-01,942.02,959.58,966.32,941.25,2.00,0,108812023.0,267176022006.0,0,0
2026-07-02,951.60,951.47,971.48,949.06,-0.85,0,114713902.0,278400632944.0,0,0
2026-07-03,0.00,959.86,0.00,0.00,0.88,0,0,0,0,0
