日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-04-20,999.32,1006.92,1007.35,997.22,0.69,6.92,79136391,119716799903.0,1.01,2.39
2026-04-21,1005.04,1004.29,1005.97,999.19,-0.26,-2.63,95073063,119951916438.0,0.67,2.87
2026-04-22,1000.38,1007.27,1007.46,1000.26,0.3,2.98,80740600,108682902866.0,0.72,2.44
2026-04-23,1006.74,997.22,1007.18,992.9,-1.0,-10.05,103645223,131319880325.0,1.42,3.13
2026-04-24,992.82,991.25,996.6,985.83,-0.6,-5.97,98616946,123970524480.0,1.08,2.98
2026-04-27,987.39,999.52,1000.11,981.21,0.83,8.27,94681267,123826543014.0,1.91,2.86
2026-04-28,995.19,990.51,998.86,986.28,-0.9,-9.01,101971531,118754292705.0,1.26,3.08
2026-04-29,986.51,1002.76,1005.39,986.51,1.24,12.25,95086190,116021988581.0,1.91,2.87
2026-04-30,1002.0,1009.07,1010.38,1002.0,0.63,6.31,87888495,120479915436.0,0.84,2.65
2026-05-06,1013.92,1023.98,1025.17,1013.92,1.48,14.91,97422815,143743914525.0,1.11,2.94
2026-05-07,1025.85,1034.17,1034.9,1025.62,1.0,10.19,104128955,139299277553.0,0.91,3.14
2026-05-08,1033.06,1046.32,1047.21,1031.54,1.17,12.15,116128574,152769922694.0,1.52,3.51
2026-05-11,1051.17,1054.47,1054.98,1046.81,0.78,8.15,110985734,163041253854.0,0.78,3.35
2026-05-12,1054.94,1044.14,1054.94,1039.21,-0.98,-10.33,104164681,152458197546.0,1.49,3.15
2026-05-13,1041.43,1050.54,1050.83,1039.23,0.61,6.4,96147053,149179106599.0,1.11,2.9
2026-05-14,1053.39,1035.85,1053.97,1035.85,-1.4,-14.69,112843324,167867423545.0,1.72,3.41
2026-05-15,1034.95,1029.49,1041.42,1023.36,-0.61,-6.36,106144154,161160885983.0,1.74,3.21
2026-05-18,1024.99,1024.83,1026.65,1017.02,-0.45,-4.66,82539349,130919688994.0,0.94,2.49
2026-05-19,1023.08,1034.11,1034.11,1021.56,0.91,9.28,84805389,126432889214.0,1.22,2.56
2026-05-20,1030.6,1026.13,1030.6,1018.85,-0.77,-7.98,96978597,142107714020.0,1.14,2.93
2026-05-21,1027.8,995.4,1031.91,994.43,-2.99,-30.73,104613529,155709435848.0,3.65,3.16
2026-05-22,1000.33,1010.71,1014.3,992.89,1.54,15.31,82267717,124286532887.0,2.15,2.48
2026-05-25,1015.69,1009.8,1017.34,1001.44,-0.09,-0.91,94237808,140555649429.0,1.57,2.85
2026-05-26,1006.11,992.48,1006.11,981.59,-1.72,-17.32,96453560,137918137879.0,2.43,2.91
2026-05-27,990.88,972.3,994.02,966.99,-2.03,-20.18,101879231,139847655049.0,2.72,3.08
2026-05-28,970.14,978.28,982.97,960.03,0.62,5.98,95237262,127763692903.0,2.36,2.88
2026-05-29,979.94,957.91,980.17,954.52,-2.08,-20.37,108592283,143055098529.0,2.62,3.28
2026-06-01,955.36,971.79,977.79,954.09,1.45,13.88,100687612,125559101179.0,2.47,3.04
2026-06-02,972.15,962.23,973.02,951.55,-0.98,-9.56,92189714,118361565828.0,2.21,2.78
2026-06-03,961.93,959.44,964.65,951.91,-0.29,-2.79,101034843,132973860793.0,1.32,3.05
2026-06-04,953.7,946.57,958.39,940.31,-1.34,-12.87,98573076,122920334358.0,1.88,2.98
2026-06-05,945.73,956.17,968.12,938.39,1.01,9.6,107936741,143027057575.0,3.14,3.26
2026-06-08,935.72,933.94,956.4,922.32,-2.32,-22.23,102267823,131194117656.0,3.56,3.09
2026-06-09,939.69,943.04,943.04,928.51,0.97,9.1,94263070,129341646838.0,1.56,2.85
2026-06-10,936.38,927.92,940.11,918.21,-1.6,-15.12,88880440,118170611162.0,2.32,2.68
2026-06-11,923.09,917.56,926.66,909.12,-1.12,-10.36,84153707,121349053725.0,1.89,2.54
2026-06-12,924.83,927.94,936.0,917.54,1.13,10.38,102542026,148496903532.0,2.01,3.1
2026-06-15,930.0,939.71,942.01,930.0,1.27,11.77,89926244,129176596287.0,1.29,2.72
2026-06-16,939.45,944.18,946.47,930.35,0.48,4.47,87427761,134949991547.0,1.72,2.64
2026-06-17,940.21,937.14,941.61,933.17,-0.75,-7.04,91475420,137187065898.0,0.89,2.76
2026-06-18,932.92,929.1,938.45,923.83,-0.86,-8.04,85886527,132022165750.0,1.56,2.59
2026-06-22,928.21,933.89,934.11,905.03,0.52,4.79,90834833,137150726348.0,3.13,2.74
2026-06-23,931.68,935.65,949.41,930.87,0.19,1.76,85457742,131785787638.0,1.99,2.58
2026-06-24,933.18,920.43,934.05,910.25,-1.63,-15.22,85256232,136900913808.0,2.54,2.57
2026-06-25,918.87,906.52,919.23,902.61,-1.51,-13.91,82530072,140425969620.0,1.81,2.49
2026-06-26,903.83,884.59,903.89,884.59,-2.42,-21.93,87443444,151964839376.0,2.13,2.64
2026-06-30,884.73,895.99,896.03,879.88,1.09,0,81938071.0,136576677815.0,0,0
2026-07-01,896.98,915.83,921.21,895.21,2.21,0,91190335.0,153062626694.0,0,0
2026-07-02,909.18,908.00,925.62,906.27,-0.85,0,86649804.0,141702415792.0,0,0
2026-07-03,0.00,920.41,0.00,0.00,1.37,0,0,0,0,0
