日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-04-20,994.41,1014.53,1018.3,992.37,1.45,14.53,1962474,5010820966.0,2.59,2.79
2026-04-21,1001.57,1010.95,1011.39,997.51,-0.35,-3.58,2586310,7192718544.0,1.37,3.68
2026-04-22,996.29,1005.52,1006.78,992.37,-0.54,-5.43,2618177,10214009621.0,1.43,3.73
2026-04-23,1001.45,992.94,1011.14,990.08,-1.25,-12.58,1994761,7475700896.0,2.09,2.84
2026-04-24,995.1,995.94,1002.19,986.63,0.3,3.0,1772740,5683230775.0,1.57,2.52
2026-04-27,997.82,1002.79,1005.87,988.43,0.69,6.85,1542349,4971908738.0,1.75,2.19
2026-04-28,998.74,1000.2,1012.78,996.19,-0.26,-2.59,1452129,4635034960.0,1.65,2.07
2026-04-29,989.62,1019.77,1022.03,988.16,1.96,19.57,2596704,8285334250.0,3.39,3.69
2026-04-30,1018.53,1014.22,1022.48,1005.4,-0.54,-5.55,2672157,8463806059.0,1.67,3.8
2026-05-06,1025.76,1040.36,1044.68,1025.76,2.58,26.14,3195538,9174994987.0,1.87,4.55
2026-05-07,1044.82,1049.87,1053.37,1040.68,0.91,9.51,2991294,9947805847.0,1.22,4.26
2026-05-08,1041.84,1056.26,1060.58,1041.84,0.61,6.39,2431984,8068406810.0,1.78,3.46
2026-05-11,1063.48,1074.92,1079.53,1058.56,1.77,18.66,2922416,10236255289.0,1.99,4.16
2026-05-12,1074.61,1070.99,1074.89,1055.99,-0.37,-3.93,2275417,8312875566.0,1.76,3.24
2026-05-13,1062.56,1074.08,1079.65,1055.58,0.29,3.09,2126106,7350709809.0,2.25,3.02
2026-05-14,1072.93,1066.07,1080.18,1059.83,-0.75,-8.01,2266335,8151661358.0,1.89,3.22
2026-05-15,1061.39,1058.18,1070.92,1044.16,-0.74,-7.89,2362760,8432008438.0,2.51,3.36
2026-05-18,1054.31,1050.28,1059.23,1036.53,-0.75,-7.9,2264903,6928610075.0,2.15,3.22
2026-05-19,1051.01,1061.58,1062.64,1039.77,1.08,11.3,2120561,6863944024.0,2.18,3.02
2026-05-20,1056.1,1070.19,1071.29,1054.84,0.81,8.61,2534067,8481654077.0,1.55,3.61
2026-05-21,1069.43,1022.71,1077.99,1022.11,-4.44,-47.48,3851814,10599317197.0,5.22,5.48
2026-05-22,1031.2,1044.47,1049.46,1015.61,2.13,21.76,2499281,7379007312.0,3.31,3.56
2026-05-25,1042.46,1043.68,1046.39,1033.43,-0.08,-0.79,2163450,6644835154.0,1.24,3.08
2026-05-26,1039.94,1031.53,1039.94,1012.88,-1.16,-12.15,2394130,7282204632.0,2.59,3.41
2026-05-27,1033.5,1018.9,1038.62,1013.81,-1.22,-12.63,2293614,6527618207.0,2.41,3.26
2026-05-28,1013.46,1040.66,1042.14,1013.11,2.14,21.76,2238921,6120739962.0,2.85,3.19
2026-05-29,1040.75,995.06,1041.29,990.57,-4.38,-45.6,2106625,6507115526.0,4.87,3.0
2026-06-01,991.94,984.4,1004.4,981.82,-1.07,-10.66,1739283,5437911177.0,2.27,2.47
2026-06-02,984.8,971.65,987.82,952.36,-1.3,-12.75,1841874,5804484799.0,3.6,2.62
2026-06-03,973.83,973.86,984.13,963.87,0.23,2.21,2005827,6361937850.0,2.09,2.85
2026-06-04,966.46,975.37,979.95,964.11,0.16,1.51,2152616,6965470975.0,1.63,3.06
2026-06-05,969.3,970.97,984.29,956.75,-0.45,-4.4,1712936,5271001651.0,2.82,2.44
2026-06-08,936.63,922.48,957.87,916.69,-4.99,-48.49,1769164,4973820900.0,4.24,2.52
2026-06-09,935.21,945.89,947.23,924.7,2.54,23.41,2441369,5704131263.0,2.44,3.47
2026-06-10,937.97,927.0,942.31,917.04,-2.0,-18.89,1924178,5559778419.0,2.67,2.74
2026-06-11,920.7,954.75,956.55,909.05,2.99,27.75,2444851,6668729331.0,5.12,3.48
2026-06-12,969.84,957.77,974.92,954.08,0.32,3.02,2925775,7415394165.0,2.18,4.16
2026-06-15,964.38,1001.93,1002.2,964.38,4.61,44.16,2567212,6815042749.0,3.95,3.65
2026-06-16,1005.6,1017.59,1028.93,1005.06,1.56,15.66,2388790,7024286782.0,2.38,3.4
2026-06-17,1015.4,1027.9,1030.22,1009.75,1.01,10.31,2173937,6275602331.0,2.01,3.09
2026-06-18,1022.89,1016.48,1025.32,1011.94,-1.11,-11.42,2306512,6479037575.0,1.3,3.28
2026-06-22,1021.51,1027.13,1027.5,997.88,1.05,10.65,2595803,7804258292.0,2.91,3.69
2026-06-23,1034.27,1016.69,1037.84,1010.93,-1.02,-10.44,2567406,8468124794.0,2.62,3.65
2026-06-24,1010.29,1038.72,1041.68,1004.25,2.17,22.03,2739997,8586868243.0,3.68,3.9
2026-06-25,1041.04,1042.72,1049.04,1028.56,0.39,4.0,2551640,9061832313.0,1.97,3.63
2026-06-26,1037.54,1005.77,1039.51,1005.25,-3.54,-36.95,2425915,8130861828.0,3.29,3.45
2026-06-30,1003.69,1023.49,1026.59,1003.69,2.14,0,2299359.0,8294083108.0,0,0
2026-07-01,1035.18,1077.40,1086.81,1033.91,5.27,0,2594539.0,9666070909.0,0,0
2026-07-02,1049.74,1051.92,1074.90,1039.35,-2.36,0,3235077.0,11521793968.0,0,0
2026-07-03,0.00,1062.75,0.00,0.00,1.03,0,0,0,0,0
