日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2016-06-06,1005.08,991.57,1005.82,982.22,-0.84,-8.43,3412431,6784172800.0,2.36,1.56
2016-06-07,990.04,998.19,999.06,980.63,0.67,6.62,3263603,6987197440.0,1.86,1.5
2016-06-08,991.76,989.69,998.76,983.82,-0.85,-8.5,3223788,7095094016.0,1.5,1.48
2016-06-13,970.05,917.77,983.88,917.18,-7.27,-71.92,3983138,8192763136.0,6.74,1.83
2016-06-14,913.81,927.43,928.97,912.36,1.05,9.66,2861051,5823729152.0,1.81,1.31
2016-06-15,913.67,969.48,980.11,911.65,4.53,42.05,3423704,7085914368.0,7.38,1.57
2016-06-16,969.48,972.67,993.01,966.43,0.33,3.19,3194672,6917885696.0,2.74,1.46
2016-06-17,980.74,972.07,987.47,958.29,-0.06,-0.6,3536590,7804396032.0,3.0,1.62
2016-06-20,980.08,1003.73,1005.67,970.97,3.26,31.66,3681486,7842194176.0,3.57,1.69
2016-06-21,1008.45,971.66,1010.86,965.54,-3.2,-32.07,3647534,8068393216.0,4.52,1.67
2016-06-22,966.61,1002.2,1002.2,966.61,3.14,30.54,3338278,7399219968.0,3.66,1.53
2016-06-23,1001.31,992.01,1004.6,980.77,-1.02,-10.19,3296327,7484093952.0,2.38,1.51
2016-06-24,991.74,976.2,996.04,937.87,-1.59,-15.81,3412083,7493770496.0,5.86,1.56
2016-06-27,966.33,1003.26,1003.27,966.33,2.77,27.06,3067502,6910156800.0,3.78,1.41
2016-06-28,997.9,1013.91,1017.45,994.33,1.06,10.65,3112933,7151749888.0,2.3,1.43
2016-06-29,1017.21,1018.09,1022.93,1001.36,0.41,4.18,3488958,7250040064.0,2.13,1.6
2016-06-30,1021.42,1011.88,1029.54,1003.79,-0.61,-6.21,2907762,4815211264.0,2.53,1.33
2016-07-01,1009.57,1012.64,1016.96,1004.53,0.08,0.76,2534218,4651670784.0,1.23,1.16
2016-07-04,1002.58,1025.52,1027.1,1001.01,1.27,12.88,2536131,4580443136.0,2.58,1.16
2016-07-05,1026.31,1026.84,1031.43,1012.24,0.13,1.32,2888182,5913337344.0,1.87,1.32
2016-07-06,1020.8,1033.77,1038.13,1015.48,0.67,6.93,3296792,6513665536.0,2.21,1.51
2016-07-07,1034.9,1036.06,1040.45,1018.42,0.22,2.29,3546319,6663649280.0,2.13,1.63
2016-07-08,1037.69,1027.34,1049.48,1027.05,-0.84,-8.72,3196634,6145871360.0,2.16,1.46
2016-07-11,1057.91,1028.01,1060.46,1024.61,0.07,0.67,4347808,7951666688.0,3.49,1.99
2016-07-12,1032.04,1059.74,1060.16,1026.86,3.09,31.73,5431389,9067593472.0,3.24,2.49
2016-07-13,1062.01,1063.81,1071.08,1051.76,0.38,4.07,4354472,7852799488.0,1.82,2.0
2016-07-14,1063.04,1070.23,1076.78,1058.94,0.6,6.42,3545931,6567932928.0,1.68,1.62
2016-07-15,1070.79,1066.99,1073.78,1056.13,-0.3,-3.24,3024442,6285773568.0,1.65,1.39
2016-07-18,1065.27,1087.95,1094.23,1055.39,1.96,20.96,4550456,7576375808.0,3.64,2.09
2016-07-19,1086.45,1096.15,1106.77,1082.57,0.75,8.2,4462904,7375775232.0,2.22,2.05
2016-07-20,1094.92,1127.34,1132.9,1091.08,2.85,31.19,4068471,6689723392.0,3.82,1.86
2016-07-21,1128.93,1151.05,1171.8,1126.51,2.1,23.71,5769477,9851768576.0,4.02,2.64
2016-07-22,1145.08,1179.53,1184.5,1141.72,2.47,28.48,5347851,9075188736.0,3.72,2.45
2016-07-25,1179.34,1180.78,1188.69,1174.34,0.11,1.25,2068499,4816821760.0,1.22,0.95
2016-07-26,1180.16,1185.74,1186.63,1179.28,0.42,4.96,1552702,3509234672.0,0.62,0.71
2016-07-27,1178.09,1109.9,1198.89,1092.14,-6.4,-75.84,6999144,11671503872.0,9.0,3.21
2016-07-28,1097.76,1082.92,1103.82,1066.95,-2.43,-26.98,4703285,7470136320.0,3.32,2.16
2016-07-29,1078.54,1058.42,1084.13,1056.64,-2.26,-24.5,3662432,5711984640.0,2.54,1.68
2016-08-01,1051.67,1042.06,1051.78,1017.32,-1.55,-16.36,4128884,6002536448.0,3.26,1.89
2016-08-02,1039.17,1048.42,1051.49,1037.84,0.61,6.36,2934878,4398809344.0,1.31,1.34
2016-08-03,1045.64,1080.64,1081.44,1038.28,3.07,32.22,4782753,7171922688.0,4.12,2.19
2016-08-04,1072.32,1087.35,1099.4,1068.35,0.62,6.71,5560718,8473360384.0,2.87,2.55
2016-08-05,1083.57,1098.25,1111.31,1083.2,1.0,10.9,4766226,7461232128.0,2.59,2.18
2016-08-08,1098.2,1109.43,1111.24,1084.6,1.02,11.18,3902014,6312993280.0,2.43,1.79
2016-08-09,1109.95,1153.32,1155.08,1109.37,3.96,43.89,4758888,8183063808.0,4.12,2.18
2016-08-10,1169.54,1154.12,1177.49,1151.23,0.07,0.8,6527091,11197522432.0,2.28,2.99
2016-08-11,1145.25,1148.47,1165.75,1128.27,-0.49,-5.65,5372530,9041374208.0,3.25,2.46
2016-08-12,1140.94,1140.05,1144.26,1125.86,-0.73,-8.42,4139979,6823982336.0,1.6,1.9
2016-08-15,1144.17,1183.15,1190.57,1128.94,3.78,43.1,6236833,10836838400.0,5.41,2.86
2016-08-16,1178.35,1183.28,1190.18,1174.51,0.01,0.13,4926438,8702212352.0,1.32,2.26
2016-08-17,1182.2,1169.41,1186.65,1158.54,-1.17,-13.87,4320891,7769842688.0,2.38,1.98
2016-08-18,1167.37,1182.57,1195.93,1163.88,1.13,13.16,5346568,9795963392.0,2.74,2.45
2016-08-19,1177.9,1173.61,1185.19,1169.1,-0.76,-8.96,3743820,6540301824.0,1.36,1.72
2016-08-22,1165.97,1134.93,1169.52,1134.7,-3.3,-38.68,3736800,6206618624.0,2.97,1.71
2016-08-23,1137.52,1141.7,1150.54,1133.06,0.6,6.77,2675474,4604290304.0,1.54,1.23
2016-08-24,1141.65,1160.67,1167.04,1141.65,1.66,18.97,3490289,6622329344.0,2.22,1.6
2016-08-25,1142.42,1134.12,1143.86,1124.4,-2.29,-26.55,4119218,7844784128.0,1.68,1.89
2016-08-26,1139.85,1142.6,1156.63,1136.89,0.75,8.48,3358045,6171209472.0,1.74,1.54
2016-08-29,1137.39,1148.08,1159.38,1136.82,0.48,5.48,2851572,4997358336.0,1.97,1.31
2016-08-30,1149.38,1144.26,1160.09,1141.72,-0.33,-3.82,2711277,5215616768.0,1.6,1.24
2016-08-31,1144.79,1158.37,1163.23,1120.79,1.23,14.11,4279013,7218087168.0,3.71,1.96
2016-09-01,1154.99,1161.05,1178.1,1150.18,0.23,2.68,4957087,8268894976.0,2.41,2.27
2016-09-02,1156.2,1155.43,1168.82,1149.0,-0.48,-5.62,3972964,6924848128.0,1.71,1.82
2016-09-05,1161.68,1164.25,1178.34,1153.97,0.76,8.82,3919313,6812189184.0,2.11,1.8
2016-09-06,1164.65,1176.88,1180.29,1149.54,1.08,12.63,3776521,6803331072.0,2.64,1.73
2016-09-07,1180.38,1172.38,1186.48,1171.19,-0.38,-4.5,3930545,6834972160.0,1.3,1.8
2016-09-08,1166.34,1152.65,1168.08,1145.44,-1.68,-19.73,3941575,6472025856.0,1.93,1.81
2016-09-09,1161.36,1167.23,1182.23,1158.76,1.26,14.58,6078356,10250195456.0,2.04,2.79
2016-09-12,1146.58,1136.01,1163.93,1135.14,-2.67,-31.22,5273765,9006382080.0,2.47,2.42
2016-09-13,1143.5,1177.02,1177.23,1142.96,3.61,41.01,5400942,9402203648.0,3.02,2.47
2016-09-14,1178.85,1173.53,1192.18,1169.24,-0.3,-3.49,5886684,10651559936.0,1.95,2.7
2016-09-19,1181.71,1181.65,1189.32,1175.25,0.69,8.12,3887753,6969271808.0,1.2,1.78
2016-09-20,1179.04,1174.18,1182.66,1162.84,-0.63,-7.47,3827287,6738664192.0,1.68,1.75
2016-09-21,1172.67,1177.37,1179.83,1168.76,0.27,3.19,2620478,5023080448.0,0.94,1.2
2016-09-22,1183.44,1181.61,1186.92,1174.7,0.36,4.24,3490568,6339179008.0,1.04,1.6
2016-09-23,1180.52,1158.6,1181.98,1157.06,-1.95,-23.01,3481747,6128146688.0,2.11,1.6
2016-09-26,1150.74,1124.62,1158.82,1122.97,-2.93,-33.98,2853881,5084764160.0,3.09,1.31
2016-09-27,1125.05,1134.73,1134.75,1112.38,0.9,10.11,2606363,4422610176.0,1.99,1.19
2016-09-28,1135.7,1121.92,1135.76,1119.61,-1.13,-12.81,1854979,3126566400.0,1.42,0.85
2016-09-29,1125.07,1114.47,1129.05,1112.61,-0.66,-7.45,2328780,3857879024.0,1.47,1.07
2016-09-30,1115.13,1117.16,1120.68,1112.34,0.24,2.69,1810701,3018590864.0,0.75,0.83
2016-10-10,1124.93,1142.96,1143.59,1118.26,2.31,25.8,2746926,4953172736.0,2.27,1.26
2016-10-11,1141.75,1145.94,1146.39,1138.18,0.26,2.98,2121888,3887184240.0,0.72,0.97
2016-10-12,1140.48,1156.65,1160.2,1137.97,0.93,10.71,2972921,5219105792.0,1.94,1.36
2016-10-13,1154.52,1154.48,1157.11,1148.28,-0.19,-2.17,2235608,4210715152.0,0.76,1.02
2016-10-14,1151.59,1148.89,1153.59,1141.29,-0.48,-5.59,2377958,4428321792.0,1.07,1.09
2016-10-17,1151.14,1133.8,1152.88,1128.47,-1.31,-15.09,2169188,4287407696.0,2.12,0.99
2016-10-18,1135.03,1154.08,1154.52,1134.81,1.79,20.28,2671762,5071944704.0,1.74,1.22
2016-10-19,1156.4,1146.72,1157.3,1142.99,-0.64,-7.36,2229394,4268392512.0,1.24,1.02
2016-10-20,1148.06,1159.53,1163.55,1147.17,1.12,12.81,2944026,5783674880.0,1.43,1.35
2016-10-21,1156.25,1143.09,1157.98,1137.06,-1.42,-16.44,2810182,5721454080.0,1.8,1.29
2016-10-24,1139.95,1146.3,1150.57,1139.95,0.28,3.21,2309869,5035390464.0,0.93,1.06
2016-10-25,1144.27,1138.52,1144.31,1136.16,-0.68,-7.78,2489272,5332888320.0,0.71,1.14
2016-10-26,1138.41,1127.21,1139.34,1119.8,-0.99,-11.31,2898431,5772754432.0,1.72,1.33
2016-10-27,1126.29,1126.64,1131.32,1120.15,-0.05,-0.57,1823324,3777572640.0,0.99,0.84
2016-10-28,1124.7,1109.74,1126.61,1109.56,-1.5,-16.9,2110554,4213577904.0,1.51,0.97
2016-10-31,1106.58,1101.01,1106.58,1095.7,-0.79,-8.73,1875125,3506138224.0,0.98,0.86
2016-11-01,1102.65,1117.87,1120.32,1102.65,1.53,16.86,2534771,4816585984.0,1.6,1.16
2016-11-02,1116.06,1119.12,1126.83,1111.17,0.11,1.25,2337485,4299311872.0,1.4,1.07
2016-11-03,1119.41,1121.05,1132.79,1114.12,0.17,1.93,2521205,4782288128.0,1.67,1.16
2016-11-04,1122.01,1117.92,1127.17,1113.5,-0.28,-3.13,2271682,4211543664.0,1.22,1.04
2016-11-07,1115.18,1117.12,1118.76,1106.82,-0.07,-0.8,2259400,3993553680.0,1.07,1.04
2016-11-08,1122.72,1119.75,1128.72,1118.43,0.24,2.63,2376141,4045773552.0,0.92,1.09
2016-11-09,1120.07,1106.96,1123.77,1092.58,-1.14,-12.79,2413031,4610605056.0,2.79,1.11
2016-11-10,1116.07,1114.34,1119.93,1109.88,0.67,7.38,2033411,3824482368.0,0.91,0.93
2016-11-11,1114.19,1118.1,1118.1,1108.62,0.34,3.76,2229395,4238350112.0,0.85,1.02
2016-11-14,1117.97,1119.22,1126.36,1114.1,0.1,1.12,2280837,4336806400.0,1.1,1.05
2016-11-15,1117.97,1128.34,1128.52,1115.09,0.81,9.12,2131948,4290847888.0,1.2,0.98
2016-11-16,1131.45,1157.99,1165.53,1128.44,2.63,29.65,5460680,9108752640.0,3.29,2.5
2016-11-17,1149.78,1147.79,1157.14,1143.52,-0.88,-10.2,3420106,6074716928.0,1.18,1.57
2016-11-18,1145.27,1135.17,1146.64,1133.45,-1.1,-12.62,2607016,5257908480.0,1.15,1.19
2016-11-21,1133.48,1132.07,1137.58,1128.35,-0.27,-3.1,2220306,4792561408.0,0.81,1.02
2016-11-22,1132.88,1140.2,1140.49,1131.71,0.72,8.13,2066040,4593942784.0,0.78,0.95
2016-11-23,1141.99,1129.7,1145.21,1126.21,-0.92,-10.5,2628224,5083849984.0,1.67,1.2
2016-11-24,1127.88,1118.78,1131.07,1116.77,-0.97,-10.92,2129080,4102504032.0,1.27,0.98
2016-11-25,1118.56,1118.19,1122.62,1094.16,-0.05,-0.59,2187128,4406982400.0,2.54,1.0
2016-11-28,1120.07,1118.28,1121.02,1114.66,0.01,0.09,1644531,3343765728.0,0.57,0.75
2016-11-29,1117.34,1107.04,1120.43,1106.0,-1.01,-11.24,1726627,3484515264.0,1.29,0.79
2016-11-30,1104.06,1105.95,1114.51,1101.96,-0.1,-1.09,1336959,2843549584.0,1.13,0.61
2016-12-01,1107.36,1111.83,1118.18,1107.15,0.53,5.88,1642361,3388645968.0,1.0,0.75
2016-12-02,1112.74,1096.72,1117.37,1094.99,-1.36,-15.11,1836099,3875290800.0,2.01,0.84
2016-12-05,1097.67,1108.99,1123.09,1096.97,1.12,12.27,2797227,4871508736.0,2.38,1.28
2016-12-06,1113.24,1110.08,1118.33,1104.1,0.1,1.09,1728439,3079515648.0,1.28,0.79
2016-12-07,1108.0,1117.17,1117.17,1101.39,0.64,7.09,1550487,2840109552.0,1.42,0.71
2016-12-08,1115.91,1110.23,1118.88,1109.57,-0.62,-6.94,1316163,2561249152.0,0.83,0.6
2016-12-09,1108.94,1098.88,1111.93,1096.55,-1.02,-11.35,1526715,2898169904.0,1.39,0.7
2016-12-12,1098.61,1038.04,1099.08,1034.08,-5.54,-60.84,2788644,4635863552.0,5.92,1.28
2016-12-13,1036.85,1041.29,1044.13,1027.12,0.31,3.25,1754612,3157396736.0,1.64,0.8
2016-12-14,1040.25,1023.3,1043.68,1018.2,-1.73,-17.99,1934653,3450816704.0,2.45,0.89
2016-12-15,1020.15,1040.79,1053.37,1018.41,1.71,17.49,1977375,3445514256.0,3.42,0.91
2016-12-16,1039.69,1040.42,1050.58,1034.64,-0.04,-0.37,1900043,3361086352.0,1.53,0.87
2016-12-19,1039.96,1040.09,1048.97,1037.56,-0.03,-0.33,1611955,2689331168.0,1.1,0.74
2016-12-20,1038.72,1038.05,1039.99,1026.69,-0.2,-2.04,1542050,2809351280.0,1.28,0.71
2016-12-21,1040.24,1040.87,1046.89,1036.67,0.27,2.82,1773618,2994101792.0,0.98,0.81
2016-12-22,1040.15,1037.5,1042.24,1033.43,-0.32,-3.37,1563790,2484914640.0,0.85,0.72
2016-12-23,1040.88,1039.17,1055.36,1038.19,0.16,1.67,2286440,3599900832.0,1.65,1.05
2016-12-26,1038.03,1042.78,1043.07,1022.23,0.35,3.61,1764775,2924874672.0,2.01,0.81
2016-12-27,1040.05,1039.83,1046.66,1035.93,-0.28,-2.95,1566752,2546157968.0,1.03,0.72
2016-12-28,1039.63,1044.29,1049.45,1035.43,0.43,4.46,2275290,3399517344.0,1.35,1.04
2016-12-29,1042.82,1034.28,1044.29,1034.28,-0.96,-10.01,1735080,3017814432.0,0.96,0.8
2016-12-30,1033.03,1031.1,1038.47,1028.43,-0.31,-3.18,1293767,2324821104.0,0.97,0.59
2017-01-03,1035.92,1038.97,1041.14,1034.74,0.76,7.87,1215576,2159504160.0,0.62,0.56
2017-01-04,1039.0,1052.48,1052.5,1036.6,1.3,13.51,2060338,3762058640.0,1.53,0.94
