日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1000.77,1025.2,1033.02,985.48,2.52,25.2,183290,203338000.0,4.75,0.01
2000-01-05,1024.11,1032.92,1054.22,1008.83,0.75,7.72,242698,272395000.0,4.43,0.01
2000-01-06,1025.64,1059.83,1064.87,1011.62,2.61,26.91,240304,265191000.0,5.16,0.01
2000-01-07,1069.18,1096.76,1111.38,1058.73,3.48,36.93,607023,701806000.0,4.97,0.04
2000-01-10,1111.82,1119.51,1137.91,1080.3,2.07,22.75,681820,828870000.0,5.25,0.04
2000-01-11,1120.44,1066.17,1128.18,1049.9,-4.76,-53.34,553505,599652000.0,6.99,0.03
2000-01-12,1058.39,1033.49,1082.52,1022.44,-3.07,-32.68,355270,379689000.0,5.64,0.02
2000-01-13,1030.29,1028.56,1055.27,1015.53,-0.48,-4.93,206351,218201000.0,3.85,0.01
2000-01-14,1031.5,1014.36,1045.17,1005.0,-1.38,-14.2,157798,168213000.0,3.91,0.01
2000-01-17,1013.37,1023.92,1030.97,996.83,0.94,9.56,194473,212187000.0,3.37,0.01
2000-01-18,1027.22,1015.95,1039.47,1006.68,-0.78,-7.97,191162,201956000.0,3.2,0.01
2000-01-19,1015.63,1021.76,1032.13,1006.83,0.57,5.81,176204,196057000.0,2.49,0.01
2000-01-20,1024.4,1041.12,1052.89,1016.03,1.89,19.36,234830,265913000.0,3.61,0.01
2000-01-21,1044.09,1031.11,1058.63,1016.34,-0.96,-10.01,347004,401098000.0,4.06,0.02
2000-01-24,1030.2,1021.1,1041.92,998.24,-0.97,-10.01,417105,479827000.0,4.24,0.02
2000-01-25,1024.53,1032.84,1059.6,1007.03,1.15,11.74,461501,533945000.0,5.15,0.03
2000-01-26,1034.82,1026.46,1051.09,1010.63,-0.62,-6.38,302641,343626000.0,3.92,0.02
2000-01-27,1032.98,1033.06,1053.65,1010.53,0.64,6.6,482659,553863000.0,4.2,0.03
2000-01-28,1036.15,1047.3,1062.29,1016.37,1.38,14.24,578233,677759000.0,4.45,0.03
2000-02-14,1081.19,1137.71,1141.07,1066.36,8.63,90.41,758600,940944000.0,7.13,0.05
2000-02-15,1163.72,1129.95,1193.47,1108.2,-0.68,-7.76,1093131,1441045000.0,7.49,0.06
2000-02-16,1129.99,1159.43,1184.52,1094.0,2.61,29.48,1101186,1482743000.0,8.01,0.07
2000-02-17,1185.06,1146.37,1241.17,1111.74,-1.13,-13.06,1586822,2154345000.0,11.16,0.09
2000-02-18,1148.33,1169.2,1190.37,1110.51,1.99,22.83,879600,1180776000.0,6.97,0.05
2000-02-21,1186.87,1205.9,1235.32,1159.75,3.14,36.7,1237234,1654722000.0,6.46,0.07
2000-02-22,1226.38,1168.71,1252.8,1145.3,-3.08,-37.19,1374778,2016576000.0,8.91,0.08
2000-02-23,1157.73,1149.99,1194.34,1120.65,-1.6,-18.72,955904,1365146000.0,6.31,0.06
2000-02-24,1150.9,1164.35,1186.33,1132.19,1.25,14.36,683990,911278000.0,4.71,0.04
2000-02-25,1163.19,1156.38,1182.43,1134.5,-0.68,-7.97,1108037,1690415000.0,4.12,0.07
2000-02-28,1162.53,1201.0,1213.76,1148.36,3.86,44.62,988574,1380135000.0,5.66,0.06
2000-02-29,1222.18,1222.95,1256.13,1182.95,1.83,21.95,1381635,2243945000.0,6.09,0.08
2000-03-01,1233.48,1207.93,1262.97,1188.96,-1.23,-15.02,1007247,1598111000.0,6.05,0.06
2000-03-02,1210.28,1221.72,1248.42,1186.49,1.14,13.79,1219353,2100760000.0,5.13,0.07
2000-03-03,1234.46,1242.0,1271.56,1215.58,1.66,20.28,1367596,2288292000.0,4.58,0.08
2000-03-06,1254.28,1209.94,1288.65,1193.95,-2.58,-32.06,1303055,1957502000.0,7.62,0.08
2000-03-07,1199.19,1202.59,1223.23,1169.54,-0.61,-7.35,657642,974614000.0,4.44,0.04
2000-03-08,1206.15,1221.87,1240.28,1183.68,1.6,19.28,661721,1002002000.0,4.71,0.04
2000-03-09,1226.35,1234.08,1258.54,1197.66,1.0,12.21,653244,946226000.0,4.98,0.04
2000-03-10,1233.26,1217.12,1262.19,1198.52,-1.37,-16.96,767766,1113027000.0,5.16,0.05
2000-03-13,1219.05,1236.92,1258.76,1206.65,1.63,19.8,572471,791329000.0,4.28,0.03
2000-03-14,1219.67,1195.36,1233.67,1157.26,-3.36,-41.56,660022,927739000.0,6.18,0.04
2000-03-15,1197.24,1189.46,1224.38,1169.19,-0.49,-5.9,466399,632282000.0,4.62,0.03
2000-03-16,1180.52,1139.76,1192.43,1122.99,-4.18,-49.7,530433,695078000.0,5.84,0.03
2000-03-17,1136.68,1170.17,1182.87,1131.72,2.67,30.41,481948,650664000.0,4.49,0.03
2000-03-20,1159.53,1195.82,1208.86,1144.22,2.19,25.65,648335,883270000.0,5.52,0.04
2000-03-21,1201.97,1208.26,1225.88,1181.91,1.04,12.44,810702,1142456000.0,3.68,0.05
2000-03-22,1209.92,1210.15,1234.06,1190.47,0.16,1.89,649652,925054000.0,3.61,0.04
2000-03-23,1211.94,1237.45,1245.95,1195.26,2.26,27.3,644765,854360000.0,4.19,0.04
2000-03-24,1251.79,1240.77,1293.4,1221.84,0.27,3.32,1000235,1434323000.0,5.78,0.06
2000-03-27,1252.57,1280.81,1298.72,1241.77,3.23,40.04,759208,1085574000.0,4.59,0.05
2000-03-28,1291.16,1288.9,1324.64,1259.82,0.63,8.09,826049,1082594000.0,5.06,0.05
2000-03-29,1295.11,1291.68,1324.24,1256.66,0.22,2.78,766812,976163000.0,5.24,0.05
2000-03-30,1300.41,1314.87,1337.02,1285.35,1.8,23.19,793009,1053589000.0,4.0,0.05
2000-03-31,1313.54,1301.28,1332.2,1273.02,-1.03,-13.59,727237,1007225000.0,4.5,0.04
2000-04-03,1301.47,1303.08,1342.87,1283.17,0.14,1.8,801473,1140313000.0,4.59,0.05
2000-04-04,1296.66,1263.47,1302.51,1249.45,-3.04,-39.61,527350,715124000.0,4.07,0.03
2000-04-05,1260.9,1281.37,1299.04,1248.93,1.42,17.9,474214,627095000.0,3.97,0.03
2000-04-06,1286.9,1328.43,1340.57,1278.22,3.67,47.06,693525,961063000.0,4.87,0.04
2000-04-07,1336.93,1332.32,1364.46,1305.73,0.29,3.89,778463,1082507000.0,4.42,0.05
2000-04-10,1339.37,1337.14,1361.43,1309.15,0.36,4.82,554116,737073000.0,3.92,0.03
2000-04-11,1337.01,1332.31,1368.25,1310.19,-0.36,-4.83,529078,748060000.0,4.34,0.03
2000-04-12,1327.65,1308.48,1343.44,1287.31,-1.79,-23.83,409341,566038000.0,4.21,0.02
2000-04-13,1311.99,1321.55,1337.14,1297.75,1.0,13.07,379071,506140000.0,3.01,0.02
2000-04-14,1325.3,1332.42,1352.83,1301.14,0.82,10.87,470175,609775000.0,3.91,0.03
