日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-11-16,1061.08,1080.25,1120.58,1061.08,8.03,80.25,3440187,4741977848.0,5.95,0.29
2022-11-17,1096.76,1105.1,1113.17,1062.5,2.3,24.85,5873729,7979812678.0,4.69,0.49
2022-11-18,1087.35,1072.96,1126.77,1072.79,-2.91,-32.14,5837741,8219415487.0,4.88,0.49
2022-11-21,1056.72,1035.98,1070.87,1026.46,-3.45,-36.98,3954925,5217357108.0,4.14,0.33
2022-11-22,1027.72,1012.63,1037.08,1007.16,-2.25,-23.35,4148867,5050234855.0,2.89,0.35
2022-11-23,1005.36,974.22,1005.92,960.46,-3.79,-38.41,3308506,3824714802.0,4.49,0.28
2022-11-24,975.31,970.6,981.86,966.49,-0.37,-3.62,2135876,2396829251.0,1.58,0.18
2022-11-25,967.18,953.38,971.74,952.99,-1.77,-17.22,2950264,3146764850.0,1.93,0.25
2022-11-28,936.68,950.64,954.99,935.81,-0.29,-2.74,2588249,2672131818.0,2.01,0.22
2022-11-29,949.13,967.75,970.18,948.03,1.8,17.11,2855676,3065842716.0,2.33,0.24
2022-11-30,966.19,963.24,972.57,955.85,-0.47,-4.51,2887531,3101872855.0,1.73,0.24
2022-12-01,969.85,975.27,981.05,969.85,1.25,12.03,3410421,3598868555.0,1.16,0.29
2022-12-02,978.65,990.23,1002.65,975.9,1.53,14.96,3785293,4353192371.0,2.74,0.32
2022-12-05,995.14,1001.34,1008.44,984.35,1.12,11.11,4285375,4565221412.0,2.43,0.36
2022-12-06,995.93,978.62,996.32,975.77,-2.27,-22.72,3182378,3381229675.0,2.05,0.27
2022-12-07,979.54,991.0,997.54,974.58,1.27,12.38,3784799,3621655441.0,2.35,0.32
2022-12-08,986.62,973.88,987.08,966.0,-1.73,-17.12,4146848,3846970496.0,2.13,0.35
2022-12-09,975.55,965.24,975.89,955.23,-0.89,-8.64,3435574,3159208760.0,2.12,0.29
2022-12-12,960.24,961.77,969.67,953.19,-0.36,-3.47,2512725,2451936001.0,1.71,0.21
2022-12-13,957.86,948.86,967.25,948.0,-1.34,-12.91,2861397,3007835436.0,2.0,0.24
2022-12-14,945.33,961.1,967.84,944.27,1.29,12.24,3425227,2986613181.0,2.48,0.29
2022-12-15,959.34,968.02,979.39,956.74,0.72,6.92,3289483,3342181853.0,2.36,0.28
2022-12-16,962.09,949.07,964.11,945.6,-1.96,-18.95,2853633,3015101371.0,1.91,0.24
2022-12-19,948.5,935.07,954.9,930.55,-1.48,-14.0,2470178,2577132766.0,2.57,0.21
2022-12-20,942.0,924.43,949.63,919.46,-1.14,-10.64,2375562,2509805427.0,3.23,0.2
2022-12-21,920.11,919.59,932.98,915.56,-0.52,-4.84,2177654,2325762193.0,1.88,0.18
2022-12-22,922.45,909.32,931.71,907.16,-1.12,-10.27,2565145,2668718425.0,2.67,0.22
2022-12-23,904.61,927.5,938.03,904.01,2.0,18.18,2924937,2892532608.0,3.74,0.25
2022-12-26,923.95,929.37,931.01,919.93,0.2,1.87,2126025,2052217871.0,1.19,0.18
2022-12-27,931.26,923.77,932.87,915.71,-0.6,-5.6,2580979,2464940533.0,1.85,0.22
2022-12-28,924.1,915.62,930.35,911.3,-0.88,-8.15,3112664,3311071103.0,2.06,0.26
2022-12-29,916.53,903.98,928.24,903.89,-1.27,-11.64,3216570,3285290804.0,2.66,0.27
2022-12-30,904.34,934.31,939.16,904.34,3.36,30.33,3756666,3752795606.0,3.85,0.32
2023-01-03,936.4,979.96,981.23,934.9,4.89,45.65,4984876,5479711024.0,4.96,0.42
2023-01-04,977.69,982.17,988.47,973.19,0.23,2.21,4222205,4915693864.0,1.56,0.35
2023-01-05,984.48,991.01,996.48,980.66,0.9,8.84,4043720,4597796266.0,1.61,0.34
2023-01-06,988.47,974.37,989.24,972.54,-1.68,-16.64,3036672,3622712730.0,1.69,0.26
2023-01-09,974.59,978.5,987.57,974.59,0.42,4.13,2486680,2861166934.0,1.33,0.21
2023-01-10,980.93,991.0,994.94,969.35,1.28,12.5,3228545,3700159281.0,2.62,0.27
2023-01-11,990.23,968.95,992.81,967.55,-2.23,-22.05,3020404,3418924452.0,2.55,0.25
2023-01-12,968.68,970.81,979.48,961.89,0.19,1.86,2204998,2465424891.0,1.82,0.19
2023-01-13,972.19,972.48,973.56,963.71,0.17,1.67,2300274,2552597330.0,1.01,0.19
2023-01-16,974.75,980.19,985.94,973.11,0.79,7.71,2499869,2858358881.0,1.32,0.21
2023-01-17,982.06,965.89,982.06,963.18,-1.46,-14.3,2134813,2242102101.0,1.93,0.18
2023-01-18,968.6,977.5,981.9,968.38,1.2,11.61,2701871,2909772527.0,1.4,0.23
2023-01-19,974.37,988.96,989.01,973.01,1.17,11.46,2623465,2962125638.0,1.64,0.22
2023-01-20,989.54,996.19,1001.2,986.79,0.73,7.23,2381355,2611380971.0,1.46,0.2
2023-01-30,1044.32,1058.48,1066.48,1039.14,6.25,62.29,7914641,9279964083.0,2.74,0.67
2023-01-31,1056.33,1064.13,1064.94,1040.71,0.53,5.65,6631586,8674858223.0,2.29,0.56
2023-02-01,1064.96,1115.74,1117.74,1063.86,4.85,51.61,9829577,14962073515.0,5.06,0.83
2023-02-02,1121.19,1141.11,1174.66,1120.75,2.27,25.37,13766995,21253098770.0,4.83,1.16
2023-02-03,1142.83,1173.18,1173.8,1142.41,2.81,32.07,10532275,15867669220.0,2.75,0.89
2023-02-06,1188.27,1219.43,1228.88,1176.19,3.94,46.25,11496173,20241993631.0,4.49,0.97
2023-02-07,1207.96,1255.06,1290.04,1201.64,2.92,35.63,12940311,22345767839.0,7.25,1.09
2023-02-08,1258.26,1220.02,1262.53,1217.43,-2.79,-35.04,15325417,21098061961.0,3.59,1.29
2023-02-09,1198.9,1236.57,1236.57,1191.27,1.36,16.55,12582644,18529871406.0,3.71,1.06
2023-02-10,1243.47,1255.64,1299.22,1243.1,1.54,19.07,18515016,27682438332.0,4.54,1.56
2023-02-13,1249.92,1290.85,1290.85,1245.12,2.8,35.21,17279982,25204811238.0,3.64,1.45
2023-02-14,1294.55,1281.8,1299.68,1271.86,-0.7,-9.05,17763365,23476700530.0,2.16,1.49
2023-02-15,1281.67,1337.24,1342.31,1268.33,4.33,55.44,19993138,31065894867.0,5.77,1.68
2023-02-16,1316.43,1304.48,1351.84,1290.91,-2.45,-32.76,21665565,31440760925.0,4.56,1.82
2023-02-17,1306.93,1265.95,1311.86,1265.95,-2.95,-38.53,16328097,23018571843.0,3.52,1.37
2023-02-20,1278.33,1317.89,1317.89,1271.12,4.1,51.94,15425787,24721085483.0,3.69,1.3
2023-02-21,1305.15,1305.28,1330.16,1292.63,-0.96,-12.61,14993080,21460450074.0,2.85,1.26
2023-02-22,1288.6,1294.44,1306.11,1259.53,-0.83,-10.84,12479398,18969674055.0,3.57,1.05
2023-02-23,1290.13,1247.66,1290.25,1241.5,-3.61,-46.78,12720998,18289568370.0,3.77,1.07
2023-02-24,1249.88,1252.89,1262.95,1239.2,0.42,5.23,10267546,15339809134.0,1.9,0.86
2023-02-27,1246.93,1218.77,1256.39,1217.78,-2.72,-34.12,10304945,13754279465.0,3.08,0.87
2023-02-28,1232.8,1240.8,1240.8,1216.1,1.81,22.03,9566679,15040180341.0,2.03,0.8
2023-03-01,1238.83,1308.74,1309.89,1238.4,5.48,67.94,18533532,27023361865.0,5.76,1.56
2023-03-02,1305.39,1341.36,1352.3,1303.78,2.49,32.62,18496639,27485959858.0,3.71,1.55
2023-03-03,1321.08,1322.17,1341.45,1304.82,-1.43,-19.19,13471087,21867039914.0,2.73,1.13
2023-03-06,1321.71,1296.16,1322.19,1288.83,-1.97,-26.01,9710236,14708312587.0,2.52,0.82
2023-03-07,1297.94,1279.36,1308.43,1277.93,-1.3,-16.8,10043429,15139753558.0,2.35,0.84
2023-03-08,1275.14,1286.71,1289.99,1268.73,0.57,7.35,8139576,13007452058.0,1.66,0.68
2023-03-09,1284.54,1283.1,1292.04,1262.74,-0.28,-3.61,10199487,14530493572.0,2.28,0.86
2023-03-10,1266.42,1276.39,1293.28,1266.32,-0.52,-6.71,11726847,15574507897.0,2.1,0.99
2023-03-13,1274.08,1325.84,1325.85,1260.86,3.87,49.45,12760024,18741162270.0,5.09,1.07
2023-03-14,1328.41,1303.97,1342.24,1298.5,-1.65,-21.87,14412176,19689582304.0,3.3,1.21
2023-03-15,1317.71,1285.04,1323.18,1283.74,-1.45,-18.93,11031906,16772300700.0,3.02,0.93
2023-03-16,1272.58,1299.02,1322.53,1257.49,1.09,13.98,14367141,21031077173.0,5.06,1.21
2023-03-17,1310.56,1376.03,1382.82,1310.56,5.93,77.01,19830066,30248232479.0,5.56,1.67
