日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-03-08,1001.8,1035.45,1036.5,993.44,3.55,35.45,4056806,12201091460.0,4.31,1.03
2024-03-11,1012.91,1033.08,1033.08,1004.02,-0.23,-2.37,3473013,10436466128.0,2.81,0.88
2024-03-12,1033.33,1032.86,1049.59,1023.88,-0.02,-0.22,3765185,11473567828.0,2.49,0.95
2024-03-13,1039.75,1038.2,1052.92,1032.14,0.52,5.34,3368843,10112967020.0,2.01,0.85
2024-03-14,1028.74,1010.88,1030.86,995.72,-2.63,-27.32,2817657,8472001029.0,3.38,0.71
2024-03-15,1007.22,1034.54,1034.8,997.82,2.34,23.66,2576929,8271232902.0,3.66,0.65
2024-03-18,1041.21,1079.68,1079.68,1040.51,4.36,45.14,3938984,12690871044.0,3.79,1.0
2024-03-19,1075.34,1075.34,1095.79,1071.3,-0.4,-4.34,3984541,13450572729.0,2.27,1.01
2024-03-20,1072.33,1088.3,1090.1,1072.33,1.21,12.96,3537653,11634735584.0,1.65,0.9
2024-03-21,1094.58,1102.79,1103.85,1083.71,1.33,14.49,3776316,12890444491.0,1.85,0.96
2024-03-22,1091.07,1074.51,1097.95,1073.0,-2.56,-28.28,3705752,12353498147.0,2.26,0.94
2024-03-25,1064.55,1015.45,1067.09,1015.12,-5.5,-59.06,3640571,10727709533.0,4.84,0.92
2024-03-26,1013.25,1008.65,1031.91,996.17,-0.67,-6.8,2630915,8191979339.0,3.52,0.67
2024-03-27,1004.91,955.39,1005.2,955.06,-5.28,-53.26,2578588,7342938698.0,4.97,0.65
2024-03-28,953.5,994.61,1009.92,953.5,4.11,39.22,2748505,7961674529.0,5.91,0.7
2024-03-29,991.75,1011.94,1011.94,979.11,1.74,17.33,2248158,6934278784.0,3.3,0.57
2024-04-01,1012.35,1027.84,1028.27,1007.99,1.57,15.9,2680013,7944681190.0,2.0,0.68
2024-04-02,1026.91,1008.77,1026.91,1000.53,-1.86,-19.07,2789906,7878034855.0,2.57,0.71
2024-04-03,1003.72,989.98,1004.33,976.88,-1.86,-18.79,2626980,7762450545.0,2.72,0.67
2024-04-08,988.45,962.87,988.45,962.6,-2.74,-27.11,2484766,7375832168.0,2.61,0.63
2024-04-09,968.27,977.7,977.83,956.12,1.54,14.83,2876237,7007574228.0,2.25,0.73
2024-04-10,975.29,954.77,975.3,947.32,-2.35,-22.93,3217964,8181554015.0,2.86,0.82
2024-04-11,948.04,956.19,972.58,946.8,0.15,1.42,3111934,8956239247.0,2.7,0.79
2024-04-12,956.0,953.45,971.52,951.18,-0.29,-2.74,3236708,8327186407.0,2.13,0.82
2024-04-15,947.18,919.64,954.33,905.09,-3.55,-33.81,3460528,8520259763.0,5.16,0.88
2024-04-16,912.36,843.65,912.36,843.38,-8.26,-75.99,3191517,7494405624.0,7.5,0.81
2024-04-17,863.41,909.04,909.15,863.41,7.75,65.39,3094420,8190477853.0,5.42,0.78
2024-04-18,906.9,905.61,922.77,891.47,-0.38,-3.43,2796236,7210858746.0,3.44,0.71
2024-04-19,899.28,882.99,901.8,873.99,-2.5,-22.62,2665653,7033283956.0,3.07,0.68
2024-04-22,867.64,875.01,878.46,846.91,-0.9,-7.98,2495127,6381751416.0,3.57,0.63
2024-04-23,877.59,880.93,887.97,873.32,0.68,5.92,2502337,6009133177.0,1.67,0.63
2024-04-24,884.06,908.32,908.32,881.89,3.11,27.39,3206735,7609485937.0,3.0,0.81
2024-04-25,902.77,907.13,918.95,896.41,-0.13,-1.19,3205767,7989746257.0,2.48,0.81
2024-04-26,905.15,931.11,937.22,905.15,2.64,23.98,3712142,9902524020.0,3.54,0.94
2024-04-29,942.04,962.45,963.56,941.74,3.37,31.34,4204297,10850976108.0,2.34,1.07
2024-04-30,962.37,955.76,967.28,949.24,-0.7,-6.69,3020217,7904783783.0,1.87,0.77
2024-05-06,971.13,971.74,977.87,967.04,1.67,15.98,3719660,9428451284.0,1.13,0.94
2024-05-07,971.9,971.46,980.42,966.52,-0.03,-0.28,3145368,8203896877.0,1.43,0.8
2024-05-08,970.64,952.71,971.08,951.47,-1.93,-18.75,2453876,6354367058.0,2.02,0.62
2024-05-09,951.5,959.8,964.46,951.5,0.74,7.09,2369487,6447638213.0,1.36,0.6
2024-05-10,959.77,936.48,960.79,933.34,-2.43,-23.32,2304833,5961852703.0,2.86,0.58
2024-05-13,931.46,917.08,931.56,914.61,-2.07,-19.4,2293624,5895268875.0,1.81,0.58
2024-05-14,926.28,930.35,944.33,925.67,1.45,13.27,2317976,5799001662.0,2.03,0.59
2024-05-15,926.85,922.33,939.57,919.28,-0.86,-8.02,3320808,7732539351.0,2.18,0.84
2024-05-16,928.48,942.76,952.74,928.48,2.22,20.43,3783086,8157381329.0,2.63,0.96
2024-05-17,938.27,958.26,958.26,931.71,1.64,15.5,3137481,6817871030.0,2.82,0.8
2024-05-20,954.02,966.6,967.01,949.24,0.87,8.34,3097810,7409648958.0,1.85,0.79
2024-05-21,971.61,1001.03,1006.56,971.61,3.56,34.43,3908738,8977383501.0,3.62,0.99
2024-05-22,997.51,1031.44,1033.42,995.58,3.04,30.41,5156560,12136965155.0,3.78,1.31
2024-05-23,1037.84,1049.81,1077.36,1037.84,1.78,18.37,6139286,15059275714.0,3.83,1.56
2024-05-24,1047.67,1021.5,1059.37,1020.83,-2.7,-28.31,5175948,12882252696.0,3.67,1.31
2024-05-27,1017.82,1021.67,1022.18,996.58,0.02,0.17,5085268,12315334089.0,2.51,1.29
2024-05-28,1015.32,1017.58,1021.88,1002.85,-0.4,-4.09,5746301,12979006987.0,1.86,1.46
2024-05-29,1012.02,1037.55,1045.06,1011.43,1.96,19.97,6191568,14235129628.0,3.3,1.57
2024-05-30,1025.01,1047.42,1063.21,1014.0,0.95,9.87,7241932,16135263890.0,4.74,1.84
2024-05-31,1055.59,1097.32,1113.06,1055.59,4.76,49.9,8854956,19600120610.0,5.49,2.24
2024-06-03,1101.66,1093.51,1106.27,1082.62,-0.35,-3.81,9333297,21111669993.0,2.16,2.37
2024-06-04,1079.04,1048.76,1079.04,1036.72,-4.09,-44.75,7127543,15416803691.0,3.87,1.81
2024-06-05,1040.21,1027.65,1046.32,1027.42,-2.01,-21.11,6536920,14005228935.0,1.8,1.66
2024-06-06,1031.65,999.24,1044.92,994.96,-2.76,-28.41,8097500,17550976175.0,4.86,2.05
2024-06-07,1004.91,993.07,1016.82,982.21,-0.62,-6.17,6500063,14292608485.0,3.46,1.65
