日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-03-05,1006.46,1047.12,1057.14,1004.61,4.71,47.12,5890473,11284449656.0,5.25,2.09
2024-03-06,1038.21,1039.61,1052.49,1021.39,-0.72,-7.51,6572904,10608788934.0,2.97,2.34
2024-03-07,1033.44,991.48,1039.07,991.13,-4.63,-48.13,5769967,9489386308.0,4.61,2.05
2024-03-08,989.57,1026.21,1029.49,989.57,3.5,34.73,4346954,7840729679.0,4.03,1.55
2024-03-11,1005.23,1032.16,1032.16,994.73,0.58,5.95,4704578,7961388437.0,3.65,1.67
2024-03-12,1032.01,1034.81,1050.31,1027.11,0.26,2.65,5115319,8582663879.0,2.25,1.82
2024-03-13,1040.52,1036.14,1049.17,1028.9,0.13,1.33,4490580,8308393211.0,1.96,1.6
2024-03-14,1023.24,1012.79,1028.25,996.28,-2.25,-23.35,3672877,6579667660.0,3.09,1.31
2024-03-15,1011.09,1035.79,1036.98,1002.93,2.27,23.0,3740990,6596788275.0,3.36,1.33
2024-03-18,1046.58,1090.17,1090.17,1045.98,5.25,54.38,6664933,11818391654.0,4.27,2.37
2024-03-19,1087.11,1086.96,1112.9,1085.79,-0.29,-3.21,6323244,11497500484.0,2.49,2.25
2024-03-20,1081.48,1102.28,1102.68,1081.48,1.41,15.32,5291723,10125965189.0,1.95,1.88
2024-03-21,1102.63,1093.16,1107.85,1088.65,-0.83,-9.12,4612460,9636486228.0,1.74,1.64
2024-03-22,1090.79,1085.74,1097.24,1078.62,-0.68,-7.42,4953641,9799210060.0,1.7,1.76
2024-03-25,1086.11,1045.23,1089.35,1043.92,-3.73,-40.51,6967933,13296822895.0,4.18,2.48
2024-03-26,1037.02,1034.51,1056.96,1020.9,-1.03,-10.72,6165331,11165065277.0,3.45,2.19
2024-03-27,1030.63,983.25,1033.75,981.74,-4.96,-51.26,6566709,11097544139.0,5.03,2.33
2024-03-28,981.39,1028.45,1042.31,981.39,4.6,45.2,8458279,16121260337.0,6.2,3.01
2024-03-29,1021.85,1056.22,1056.3,1006.51,2.7,27.77,8256204,15771043624.0,4.84,2.93
2024-04-01,1057.77,1070.54,1071.36,1056.28,1.36,14.32,7953649,14448883286.0,1.43,2.83
2024-04-02,1070.61,1061.54,1072.05,1051.62,-0.84,-9.0,7352721,12791908269.0,1.91,2.61
2024-04-03,1059.33,1055.13,1062.74,1034.21,-0.6,-6.41,7123549,13423181330.0,2.69,2.53
2024-04-08,1051.57,1022.48,1051.57,1021.95,-3.09,-32.65,6967591,12127900439.0,2.81,2.48
2024-04-09,1013.37,1031.87,1033.99,1002.97,0.92,9.39,6405037,10463392980.0,3.03,2.28
2024-04-10,1025.81,995.25,1025.81,989.95,-3.55,-36.62,6247805,9775847974.0,3.48,2.22
2024-04-11,986.74,986.78,1010.05,985.59,-0.85,-8.47,5234501,9206682705.0,2.46,1.86
2024-04-12,988.79,980.78,1002.46,979.6,-0.61,-6.0,5514545,9784984082.0,2.32,1.96
2024-04-15,974.91,958.2,984.69,941.5,-2.3,-22.58,6756355,12801060403.0,4.4,2.4
2024-04-16,950.86,891.95,950.86,891.01,-6.91,-66.25,6312091,11903567265.0,6.25,2.24
2024-04-17,907.34,955.53,955.53,907.34,7.13,63.58,6414765,13601811261.0,5.4,2.28
2024-04-18,956.31,950.69,971.05,936.1,-0.51,-4.84,6378715,12973220057.0,3.66,2.27
2024-04-19,942.68,924.95,942.68,916.59,-2.71,-25.74,5910735,11646517738.0,2.74,2.1
2024-04-22,907.94,917.37,924.22,887.26,-0.82,-7.58,4267741,8673490797.0,4.0,1.52
2024-04-23,919.33,919.19,928.87,913.33,0.2,1.82,3647837,7704243477.0,1.69,1.3
2024-04-24,923.1,953.45,953.45,923.1,3.73,34.26,4431603,9401950220.0,3.3,1.58
2024-04-25,949.75,947.31,962.06,940.36,-0.64,-6.14,4429090,10700346672.0,2.28,1.57
2024-04-26,946.62,974.76,979.33,946.62,2.9,27.45,6005924,13918443121.0,3.45,2.13
2024-04-29,980.3,1005.47,1006.6,980.3,3.15,30.71,6213154,14037969871.0,2.7,2.21
2024-04-30,1009.1,992.97,1014.94,987.44,-1.24,-12.5,5116238,10957608826.0,2.74,1.82
2024-05-06,1012.22,1012.61,1019.03,1009.06,1.98,19.64,5602699,13515183220.0,1.0,1.99
2024-05-07,1011.26,1007.93,1018.86,1001.71,-0.46,-4.68,4642785,11286773665.0,1.69,1.65
2024-05-08,1008.37,991.61,1008.37,990.06,-1.62,-16.32,4641198,10020833293.0,1.82,1.65
2024-05-09,988.14,997.77,1004.04,988.14,0.62,6.16,4227995,8698286516.0,1.6,1.5
2024-05-10,995.54,982.06,998.35,977.3,-1.57,-15.71,4348828,8897067773.0,2.11,1.55
2024-05-13,972.13,967.84,979.91,959.06,-1.45,-14.22,4951762,10291836975.0,2.12,1.76
2024-05-14,974.84,975.03,991.79,970.7,0.74,7.19,3994116,8743254652.0,2.18,1.42
2024-05-15,969.25,956.5,974.84,956.29,-1.9,-18.53,3337682,6837877285.0,1.9,1.19
2024-05-16,959.53,958.78,968.83,956.21,0.24,2.28,3911199,8889059212.0,1.32,1.39
2024-05-17,955.59,968.24,968.24,948.48,0.99,9.46,3579543,7553560351.0,2.06,1.27
2024-05-20,965.31,970.25,974.38,957.74,0.21,2.01,3609032,8953763347.0,1.72,1.28
2024-05-21,969.77,985.37,990.86,966.81,1.56,15.12,5216760,10930716847.0,2.48,1.85
2024-05-22,978.68,996.04,998.86,976.28,1.08,10.67,5193478,10277889189.0,2.29,1.85
