日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-09-16,1005.69,990.72,1005.69,982.98,-0.93,-9.28,5126099,4762896128.0,2.27,1.29
2020-09-17,987.19,989.78,995.18,980.96,-0.09,-0.94,5921005,5875184128.0,1.44,1.49
2020-09-18,985.91,990.17,990.99,975.69,0.04,0.39,5041079,4772078592.0,1.55,1.27
2020-09-21,991.82,993.37,996.72,989.19,0.32,3.2,4891983,4139661632.0,0.76,1.23
2020-09-22,981.56,980.02,995.83,974.2,-1.34,-13.35,4542327,4058607872.0,2.18,1.14
2020-09-23,980.16,986.07,988.73,978.52,0.62,6.05,4502974,3998760288.0,1.04,1.13
2020-09-24,977.26,950.3,977.43,949.19,-3.63,-35.77,4843987,4750745344.0,2.86,1.22
2020-09-25,952.76,939.31,955.97,934.89,-1.16,-10.99,3274478,3077263856.0,2.22,0.82
2020-09-28,940.29,921.19,941.45,919.87,-1.93,-18.12,2986416,2467754160.0,2.3,0.75
2020-09-29,925.12,926.54,933.97,921.43,0.58,5.35,2794475,2178481408.0,1.36,0.7
2020-09-30,932.43,925.29,932.65,920.28,-0.13,-1.25,3246881,2854800160.0,1.34,0.82
2020-10-09,936.82,947.2,948.96,936.78,2.37,21.91,3281371,2819403872.0,1.32,0.82
2020-10-12,951.35,978.22,978.29,950.18,3.27,31.02,4433641,3883105104.0,2.97,1.11
2020-10-13,978.5,985.15,986.21,971.06,0.71,6.93,4529865,4320342528.0,1.55,1.14
2020-10-14,983.38,993.69,993.82,981.22,0.87,8.54,5407292,4894056704.0,1.28,1.36
2020-10-15,991.72,1002.89,1011.68,986.6,0.93,9.2,6168402,5284979456.0,2.52,1.55
2020-10-16,999.45,1002.42,1007.3,995.12,-0.05,-0.47,5585025,5236645888.0,1.21,1.4
2020-10-19,1009.22,1008.19,1016.71,1003.21,0.58,5.77,5202731,4344495104.0,1.35,1.31
2020-10-20,1006.02,1021.13,1021.19,1001.07,1.28,12.94,4633731,4729134848.0,2.0,1.16
2020-10-21,1023.23,1017.28,1026.14,1014.81,-0.38,-3.85,5458797,5323432960.0,1.11,1.37
2020-10-22,1010.89,1013.37,1017.43,1001.62,-0.38,-3.91,4448145,4295929088.0,1.55,1.12
2020-10-23,1015.55,1011.08,1022.65,1007.8,-0.23,-2.29,5196502,5301379840.0,1.47,1.31
2020-10-26,1007.75,1013.07,1016.11,999.21,0.2,1.99,4324479,4480289024.0,1.67,1.09
2020-10-27,1011.69,1009.72,1014.85,1002.36,-0.33,-3.35,4271108,4484257280.0,1.23,1.07
2020-10-28,1008.97,1005.85,1009.22,994.24,-0.38,-3.87,3929566,4221448112.0,1.48,0.99
2020-10-29,993.14,1005.61,1009.05,989.17,-0.02,-0.24,3654888,4037304400.0,1.98,0.92
2020-10-30,1000.56,972.41,1002.68,970.93,-3.3,-33.2,4588684,4725017088.0,3.16,1.15
2020-11-02,968.54,973.07,978.61,965.94,0.07,0.66,4703553,4627235840.0,1.3,1.18
2020-11-03,977.67,988.38,988.94,973.59,1.57,15.31,4112079,4683065088.0,1.58,1.03
2020-11-04,990.54,986.62,990.54,976.89,-0.18,-1.76,3636272,3827581248.0,1.38,0.91
2020-11-05,991.12,1007.26,1007.27,990.44,2.09,20.64,4736623,4690445824.0,1.71,1.19
2020-11-06,1006.78,990.68,1008.17,984.05,-1.65,-16.58,4488594,4058311520.0,2.39,1.13
2020-11-09,998.33,1015.13,1017.41,998.33,2.47,24.45,5313385,4800934912.0,1.93,1.33
2020-11-10,1020.48,998.62,1020.48,994.54,-1.63,-16.51,4603846,4295359744.0,2.56,1.16
2020-11-11,997.43,984.94,998.8,983.76,-1.37,-13.68,4909988,3967450864.0,1.51,1.23
2020-11-12,987.02,992.15,994.29,985.39,0.73,7.21,3271161,3351716464.0,0.9,0.82
2020-11-13,993.07,997.76,1000.81,987.56,0.57,5.61,3126954,3176796416.0,1.34,0.79
2020-11-16,1007.66,1007.24,1010.93,1000.61,0.95,9.48,4729096,4492569600.0,1.03,1.19
2020-11-17,1005.41,998.07,1006.17,990.81,-0.91,-9.17,4162584,4615003904.0,1.52,1.05
2020-11-18,996.79,1000.13,1003.97,994.0,0.21,2.06,4037013,3898586224.0,1.0,1.01
2020-11-19,997.78,1007.27,1008.55,995.15,0.71,7.14,3774847,3817758704.0,1.34,0.95
2020-11-20,1006.29,1009.86,1010.57,1001.09,0.26,2.59,3199817,3358042832.0,0.94,0.8
2020-11-23,1009.95,1012.09,1017.68,1003.44,0.22,2.23,5507301,4890953728.0,1.41,1.38
2020-11-24,1010.61,1011.13,1012.17,1006.17,-0.09,-0.96,4111550,4177168592.0,0.59,1.03
2020-11-25,1012.11,996.15,1013.22,995.86,-1.48,-14.98,3786673,3906040752.0,1.72,0.95
2020-11-26,994.37,994.58,995.79,983.88,-0.16,-1.57,3420507,3778564064.0,1.2,0.86
2020-11-27,996.12,988.2,996.12,980.02,-0.64,-6.38,3349762,3459385264.0,1.62,0.84
2020-11-30,987.74,987.96,993.88,984.11,-0.02,-0.24,4125310,3941331024.0,0.99,1.04
2020-12-01,986.5,995.22,995.99,983.17,0.73,7.26,3463923,3672269024.0,1.3,0.87
2020-12-02,996.84,991.48,997.13,988.91,-0.38,-3.74,3687054,3404036432.0,0.83,0.93
2020-12-03,990.11,993.74,996.25,988.22,0.23,2.26,3007770,2888769776.0,0.81,0.76
2020-12-04,996.3,1001.0,1001.38,993.47,0.73,7.26,2789712,2525824224.0,0.8,0.7
2020-12-07,1003.51,1003.26,1007.13,999.34,0.23,2.26,2978919,2701237216.0,0.78,0.75
2020-12-08,1004.22,1005.53,1007.35,1001.57,0.23,2.27,3038911,2546283216.0,0.58,0.76
2020-12-09,1006.67,983.95,1006.81,983.95,-2.15,-21.58,3734069,4441931776.0,2.27,0.94
2020-12-10,980.98,990.61,997.29,980.51,0.68,6.66,3542633,3987877248.0,1.71,0.89
2020-12-11,993.44,977.13,993.75,965.05,-1.36,-13.48,4129516,4843543552.0,2.9,1.04
2020-12-14,976.75,989.57,990.45,973.62,1.27,12.44,3295752,3614440752.0,1.72,0.83
2020-12-15,989.85,986.67,992.37,982.7,-0.29,-2.9,3515479,4514169344.0,0.98,0.88
