日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-05-14,1002.72,1014.12,1029.34,995.02,1.41,14.12,5924192,21375158016.0,3.43,3.1
2021-05-17,1019.13,1001.17,1022.02,1000.76,-1.28,-12.95,4430601,18444324096.0,2.1,2.32
2021-05-18,998.28,995.0,998.38,986.11,-0.62,-6.17,3815981,15579438080.0,1.23,2.0
2021-05-19,994.39,996.51,1003.04,989.57,0.15,1.51,3453408,13251827456.0,1.35,1.81
2021-05-20,992.65,1001.33,1011.88,992.16,0.48,4.82,4069073,11549969408.0,1.98,2.13
2021-05-21,1003.59,991.1,1007.93,988.36,-1.02,-10.23,4486725,16378401280.0,1.95,2.35
2021-05-24,995.55,997.72,998.74,982.39,0.67,6.62,4282410,15061022464.0,1.65,2.24
2021-05-25,1000.51,1002.12,1010.33,999.76,0.44,4.4,4413723,17044736512.0,1.06,2.31
2021-05-26,995.82,1011.15,1014.56,989.47,0.9,9.03,4370100,18077979392.0,2.5,2.29
2021-05-27,1011.9,1014.27,1019.47,1008.08,0.31,3.12,3290449,12384106240.0,1.13,1.72
2021-05-28,1014.51,1003.41,1015.0,996.5,-1.07,-10.86,3427757,15266434560.0,1.82,1.79
2021-05-31,1007.21,1030.8,1031.46,1006.93,2.73,27.39,4161127,14222020608.0,2.44,2.18
2021-06-01,1035.41,1037.28,1041.06,1025.51,0.63,6.48,4281966,13957859072.0,1.51,2.24
2021-06-02,1041.02,1023.17,1043.5,1022.03,-1.36,-14.11,4495759,16079719424.0,2.07,2.35
2021-06-03,1021.71,1005.01,1023.18,1004.31,-1.77,-18.16,3584914,12334071296.0,1.84,1.88
2021-06-04,1004.23,1015.65,1023.48,1001.78,1.06,10.64,3490132,12808725760.0,2.16,1.83
2021-06-07,1019.09,1029.68,1035.08,1019.09,1.38,14.03,3740484,11954926080.0,1.57,1.96
2021-06-08,1027.31,1024.49,1039.95,1016.01,-0.5,-5.19,3688000,11731825408.0,2.32,1.93
2021-06-09,1024.41,1017.51,1025.48,1014.86,-0.68,-6.98,2727661,10121410304.0,1.04,1.43
2021-06-10,1022.46,1016.41,1023.09,1007.97,-0.11,-1.1,3504250,11228878336.0,1.49,1.83
2021-06-11,1017.49,1013.17,1017.49,1004.91,-0.32,-3.24,3255544,13412126208.0,1.24,1.7
2021-06-15,1013.53,988.68,1014.52,987.67,-2.42,-24.49,3339487,14147027712.0,2.65,1.75
2021-06-16,987.24,974.82,994.41,971.75,-1.4,-13.86,2679563,11163000064.0,2.29,1.4
2021-06-17,974.56,978.07,980.89,972.71,0.33,3.25,2274843,8096494080.0,0.84,1.19
2021-06-18,975.97,985.28,990.26,971.74,0.74,7.21,2279219,8565640704.0,1.89,1.19
2021-06-21,981.15,1004.67,1004.75,979.4,1.97,19.39,2344441,8988898304.0,2.57,1.23
2021-06-22,1009.72,1013.81,1014.11,997.58,0.91,9.14,2891638,16444937728.0,1.65,1.51
2021-06-23,1017.04,1017.93,1026.1,1015.73,0.41,4.12,2505336,13905920256.0,1.02,1.31
2021-06-24,1025.56,1010.28,1025.97,1007.52,-0.75,-7.65,2278040,8863097344.0,1.81,1.19
2021-06-25,1012.37,1009.41,1012.47,1001.68,-0.09,-0.87,2314544,9531299584.0,1.07,1.21
2021-06-28,1009.84,1046.96,1047.19,1009.14,3.72,37.55,3224856,14196794112.0,3.77,1.69
2021-06-29,1051.61,1041.58,1051.61,1038.61,-0.51,-5.38,2806818,9868468992.0,1.24,1.47
2021-06-30,1037.5,1050.13,1053.01,1034.86,0.82,8.55,3180974,9267525888.0,1.74,1.67
2021-07-01,1048.61,1058.34,1074.7,1048.61,0.78,8.21,4222342,14224438016.0,2.48,2.21
2021-07-02,1057.4,1047.51,1061.17,1045.74,-1.02,-10.83,4142379,13875816960.0,1.46,2.17
2021-07-05,1043.54,1041.88,1050.03,1035.12,-0.54,-5.63,3888110,12884880640.0,1.42,2.04
2021-07-06,1039.46,1011.38,1039.55,1000.48,-2.93,-30.5,4232824,18220582400.0,3.75,2.22
2021-07-07,1004.18,1020.43,1023.22,1002.17,0.89,9.05,3072410,12639043584.0,2.08,1.61
2021-07-08,1019.37,1002.51,1019.95,999.22,-1.76,-17.92,3484277,11672628736.0,2.03,1.82
2021-07-09,1000.34,1009.06,1011.21,990.54,0.65,6.55,3176411,9261223424.0,2.06,1.66
2021-07-12,1014.41,1030.02,1035.66,1010.86,2.08,20.96,4036884,13082129920.0,2.46,2.11
2021-07-13,1033.0,1041.34,1041.34,1026.68,1.1,11.32,3922864,10155907072.0,1.42,2.05
2021-07-14,1043.16,1045.2,1061.22,1038.38,0.37,3.86,4621308,14246191872.0,2.19,2.42
2021-07-15,1038.69,1044.79,1045.51,1025.16,-0.04,-0.41,3905748,12086585600.0,1.95,2.04
2021-07-16,1044.35,1041.17,1048.95,1039.82,-0.35,-3.62,4300379,14903787776.0,0.87,2.25
2021-07-19,1042.94,1046.5,1055.29,1042.04,0.51,5.33,4287619,13392748288.0,1.27,2.24
2021-07-20,1047.34,1056.09,1065.29,1047.34,0.92,9.59,3504016,12474007296.0,1.72,1.83
2021-07-21,1062.2,1076.49,1076.9,1062.2,1.93,20.4,5087072,16459778560.0,1.39,2.66
2021-07-22,1075.39,1055.82,1075.42,1054.08,-1.92,-20.67,4223569,16610893312.0,1.98,2.21
2021-07-23,1054.21,1025.98,1054.21,1022.06,-2.83,-29.84,3965858,15313244672.0,3.05,2.08
2021-07-26,1023.09,991.54,1023.95,976.4,-3.36,-34.44,4041902,17920952320.0,4.63,2.12
2021-07-27,989.75,973.62,1000.43,972.79,-1.81,-17.92,3601707,14222128896.0,2.79,1.89
2021-07-28,970.87,977.19,978.55,941.75,0.37,3.57,3520547,13715630848.0,3.78,1.84
2021-07-29,991.78,988.56,997.04,985.87,1.16,11.37,3038711,12632517888.0,1.14,1.59
2021-07-30,986.48,1005.32,1005.55,969.62,1.7,16.76,3483497,14755405824.0,3.63,1.82
2021-08-02,1008.07,1010.51,1011.5,982.99,0.52,5.19,3401746,15348323072.0,2.84,1.78
2021-08-03,1011.71,1044.59,1048.53,1007.25,3.37,34.08,4400231,19579995136.0,4.09,2.3
2021-08-04,1043.36,1042.97,1044.85,1028.52,-0.16,-1.62,4216405,16745475840.0,1.56,2.21
2021-08-05,1036.48,1024.84,1045.06,1024.02,-1.74,-18.13,4079850,15405606144.0,2.02,2.14
2021-08-06,1020.3,1004.12,1021.04,998.72,-2.02,-20.72,3949770,20594746368.0,2.18,2.07
2021-08-09,997.15,1003.46,1004.86,991.69,-0.07,-0.66,4017824,14595383040.0,1.31,2.1
2021-08-10,1005.46,1011.14,1011.51,1001.45,0.77,7.68,3283002,11227139072.0,1.0,1.72
2021-08-11,1009.74,1001.14,1010.8,998.86,-0.99,-10.0,3094149,10950604288.0,1.18,1.62
2021-08-12,996.12,1001.48,1001.92,991.64,0.03,0.34,3644028,14466151936.0,1.03,1.91
2021-08-13,1000.56,993.54,1002.6,986.5,-0.79,-7.94,3217986,11863514368.0,1.61,1.68
2021-08-16,990.56,995.22,998.85,988.74,0.17,1.68,3116409,8898902528.0,1.02,1.63
2021-08-17,990.4,971.02,991.69,967.67,-2.43,-24.2,3818832,13846096640.0,2.41,2.0
2021-08-18,971.23,978.75,982.62,968.23,0.8,7.73,2815507,8792459520.0,1.48,1.47
2021-08-19,975.42,972.09,980.57,969.74,-0.68,-6.66,2631324,8466631424.0,1.11,1.38
2021-08-20,968.3,942.06,968.3,934.99,-3.09,-30.03,3387705,13705443328.0,3.43,1.77
2021-08-23,945.94,969.03,969.6,944.13,2.86,26.97,3311740,14342234880.0,2.7,1.73
2021-08-24,969.39,974.73,979.68,969.39,0.59,5.7,3419787,15005255424.0,1.06,1.79
2021-08-25,974.58,993.84,994.96,970.35,1.96,19.11,3182767,11429473536.0,2.52,1.67
2021-08-26,993.45,975.23,993.45,972.95,-1.87,-18.61,3942312,12065007360.0,2.06,2.06
2021-08-27,977.83,976.18,985.82,973.1,0.1,0.95,2238000,9315851264.0,1.3,1.17
2021-08-30,985.53,975.87,986.95,973.98,-0.03,-0.31,3020985,13701269248.0,1.33,1.58
2021-08-31,979.51,970.27,981.11,963.39,-0.57,-5.6,4032135,11915205632.0,1.82,2.11
2021-09-01,969.42,980.09,980.28,960.15,1.01,9.82,3821344,12147490048.0,2.07,2.0
2021-09-02,979.35,973.35,981.78,971.71,-0.69,-6.74,3543475,11512148736.0,1.03,1.85
2021-09-03,972.96,989.27,992.19,972.24,1.64,15.92,4347489,12354760960.0,2.05,2.28
2021-09-06,994.31,1014.53,1015.97,988.62,2.55,25.26,4391234,13463369984.0,2.76,2.3
2021-09-07,1014.37,1015.78,1017.03,1008.12,0.12,1.25,3747417,9812173568.0,0.88,1.96
2021-09-08,1021.84,1024.5,1028.01,1016.77,0.86,8.72,3846712,9563948288.0,1.11,2.01
2021-09-09,1023.38,1016.24,1025.28,1013.34,-0.81,-8.26,3326634,7783819008.0,1.17,1.74
2021-09-10,1014.56,1020.07,1024.1,1011.0,0.38,3.83,3958233,9202171904.0,1.29,2.07
2021-09-13,1021.64,1032.42,1032.98,1021.63,1.21,12.35,4281128,10676337664.0,1.11,2.24
2021-09-14,1032.18,1029.16,1046.2,1026.43,-0.32,-3.26,4006018,11053785856.0,1.91,2.1
2021-09-15,1025.32,1018.95,1027.11,1015.36,-0.99,-10.21,3615013,12746091008.0,1.14,1.89
2021-09-16,1022.11,1011.0,1027.53,1009.96,-0.78,-7.95,4070168,11412118528.0,1.72,2.13
2021-09-17,1014.55,1036.15,1038.26,1006.18,2.49,25.15,4593602,14187350272.0,3.17,2.4
2021-09-22,1025.64,1042.77,1052.02,1024.26,0.64,6.62,4206608,11204079616.0,2.68,2.2
2021-09-23,1042.01,1046.47,1055.02,1042.01,0.35,3.7,3767050,10301034240.0,1.25,1.97
2021-09-24,1043.59,1043.97,1052.69,1033.65,-0.24,-2.5,3708814,9253665024.0,1.82,1.94
2021-09-27,1042.24,1022.38,1043.71,1019.83,-2.07,-21.59,4436568,11897200640.0,2.29,2.32
2021-09-28,1015.58,1010.4,1022.37,1008.86,-1.17,-11.98,2930647,8277572352.0,1.32,1.53
2021-09-29,1003.77,975.23,1005.63,975.23,-3.48,-35.17,3296324,8907351296.0,3.01,1.73
2021-09-30,981.44,1000.37,1002.51,981.44,2.58,25.14,2698328,7732891904.0,2.16,1.41
