日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-02-10,1028.97,1008.11,1048.62,989.07,0.81,8.11,4024173,11539065710.0,5.96,0.56
2023-02-13,1013.25,1057.73,1059.59,1012.94,4.92,49.62,3973671,11047952167.0,4.63,0.55
2023-02-14,1056.33,1038.86,1062.9,1035.97,-1.78,-18.87,3549761,9010850405.0,2.55,0.49
2023-02-15,1047.12,1066.75,1079.39,1042.82,2.68,27.89,4063456,10395007591.0,3.52,0.56
2023-02-16,1048.54,1013.65,1056.35,1008.1,-4.98,-53.1,4660716,11055221710.0,4.52,0.65
2023-02-17,1013.7,979.41,1020.39,978.27,-3.38,-34.24,3397380,7806841321.0,4.16,0.47
2023-02-20,977.85,1001.64,1002.57,973.65,2.27,22.23,2719389,6294593846.0,2.95,0.38
2023-02-21,999.5,994.03,1011.45,986.01,-0.76,-7.61,2521567,5893469800.0,2.54,0.35
2023-02-22,984.95,991.31,1001.82,981.39,-0.27,-2.72,1897778,4424844221.0,2.06,0.26
2023-02-23,989.08,985.38,996.31,980.84,-0.6,-5.93,2527207,5432768079.0,1.56,0.35
2023-02-24,990.73,1021.45,1033.85,990.73,3.66,36.07,2825743,7099274771.0,4.38,0.39
2023-02-27,1015.89,1017.95,1031.46,1011.97,-0.34,-3.5,2723182,6295839948.0,1.91,0.38
2023-02-28,1042.46,1049.03,1064.82,1029.66,3.05,31.08,3347925,8407249980.0,3.45,0.47
2023-03-01,1042.79,1081.12,1093.45,1041.94,3.06,32.09,3825579,9968700538.0,4.91,0.53
2023-03-02,1077.68,1127.8,1136.33,1077.15,4.32,46.68,5040722,12104869764.0,5.47,0.7
2023-03-03,1104.21,1093.06,1117.02,1082.0,-3.08,-34.74,3849015,9650645214.0,3.11,0.53
2023-03-06,1085.76,1087.93,1110.14,1083.95,-0.47,-5.13,3495657,8207691733.0,2.4,0.49
2023-03-07,1084.02,1047.79,1088.65,1046.77,-3.69,-40.14,3157125,7449009723.0,3.85,0.44
2023-03-08,1048.38,1066.01,1069.8,1048.38,1.74,18.22,2321185,5494472608.0,2.04,0.32
2023-03-09,1063.24,1083.02,1089.45,1043.36,1.6,17.01,2655909,6624706881.0,4.32,0.37
2023-03-10,1068.35,1067.3,1088.22,1064.97,-1.45,-15.72,3023334,7208869691.0,2.15,0.42
2023-03-13,1060.5,1093.62,1097.37,1055.36,2.47,26.32,2851636,7229737510.0,3.94,0.4
2023-03-14,1091.51,1084.84,1103.62,1074.74,-0.8,-8.78,2972638,7431746522.0,2.64,0.41
2023-03-15,1089.67,1054.54,1094.89,1052.03,-2.79,-30.3,2319743,5969920682.0,3.95,0.32
2023-03-16,1043.39,1035.6,1056.95,1034.64,-1.8,-18.94,1985507,4758821705.0,2.12,0.28
2023-03-17,1044.54,1094.77,1108.26,1044.24,5.71,59.17,3076628,8216891034.0,6.18,0.43
2023-03-20,1097.49,1126.14,1153.35,1097.49,2.87,31.37,4755199,11878139531.0,5.1,0.66
2023-03-21,1123.11,1138.93,1143.53,1104.98,1.14,12.79,2679831,7280616350.0,3.42,0.37
2023-03-22,1134.97,1242.92,1242.92,1129.53,9.13,103.99,5106873,15146791761.0,9.96,0.71
2023-03-23,1238.1,1290.87,1305.7,1236.12,3.86,47.95,5812528,18879197039.0,5.6,0.81
2023-03-24,1280.69,1316.15,1318.53,1275.49,1.96,25.28,7659047,20496273875.0,3.33,1.06
2023-03-27,1314.66,1351.38,1353.51,1308.76,2.68,35.23,7930358,21957774830.0,3.4,1.1
2023-03-28,1328.04,1305.8,1344.41,1302.59,-3.37,-45.58,6777292,18627328077.0,3.09,0.94
2023-03-29,1305.29,1377.1,1393.98,1305.29,5.46,71.3,5765595,17500907429.0,6.79,0.8
2023-03-30,1373.51,1369.47,1388.06,1342.35,-0.55,-7.63,5355603,16693030911.0,3.32,0.74
2023-03-31,1356.95,1400.93,1406.91,1328.71,2.3,31.46,5083929,16513425296.0,5.71,0.71
2023-04-03,1422.57,1542.57,1550.04,1422.57,10.11,141.64,8062386,27208942823.0,9.1,1.12
2023-04-04,1556.66,1580.89,1595.43,1551.03,2.48,38.32,9087204,30990209910.0,2.88,1.26
