日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-03-23,991.75,995.16,996.94,981.46,-0.48,-4.84,3724258,7132114204.0,1.55,2.63
2023-03-24,992.09,1008.97,1010.7,980.29,1.39,13.81,3874182,7849363387.0,3.06,2.73
2023-03-27,1009.03,1013.35,1026.1,998.0,0.43,4.38,3824596,7936884608.0,2.79,2.7
2023-03-28,1006.14,989.69,1007.8,987.61,-2.33,-23.66,3089480,5668437078.0,1.99,2.18
2023-03-29,990.26,981.13,994.08,973.42,-0.86,-8.56,2651129,5079908391.0,2.09,1.87
2023-03-30,980.74,965.05,981.55,958.24,-1.64,-16.08,2413723,4390401621.0,2.38,1.7
2023-03-31,963.26,987.84,991.61,955.38,2.36,22.79,2472660,5097798288.0,3.75,1.74
2023-04-03,988.67,1009.98,1011.73,977.32,2.24,22.14,3394493,6946247549.0,3.48,2.4
2023-04-04,1011.78,1004.33,1015.06,988.01,-0.56,-5.65,3791163,7444805223.0,2.68,2.68
2023-04-06,991.54,983.75,992.38,973.39,-2.05,-20.58,3842565,6797534166.0,1.89,2.71
2023-04-07,982.84,998.56,998.97,972.97,1.51,14.81,2812900,5435661706.0,2.64,1.98
2023-04-10,993.06,960.93,994.76,952.85,-3.77,-37.63,2870772,5550088106.0,4.2,2.03
2023-04-11,958.24,969.25,976.63,951.22,0.87,8.32,2170731,4197981954.0,2.64,1.53
2023-04-12,967.32,991.34,992.8,964.83,2.28,22.09,2214507,4371482213.0,2.89,1.56
2023-04-13,987.35,982.66,999.1,980.27,-0.88,-8.68,2499155,4832946070.0,1.9,1.76
2023-04-14,981.26,981.3,992.17,962.72,-0.14,-1.36,2291391,4429574358.0,3.0,1.62
2023-04-17,984.72,979.67,988.76,968.31,-0.17,-1.63,2227373,4667646150.0,2.08,1.57
2023-04-18,973.16,978.69,986.68,962.73,-0.1,-0.98,2150081,4151897499.0,2.44,1.52
2023-04-19,981.6,984.22,996.27,977.49,0.57,5.53,2597895,5231943006.0,1.92,1.83
2023-04-20,983.57,992.96,992.96,971.96,0.89,8.74,2665649,5698416073.0,2.13,1.88
2023-04-21,992.07,936.94,992.55,936.94,-5.64,-56.02,3673336,7227469348.0,5.6,2.59
2023-04-24,934.56,926.98,940.97,923.21,-1.06,-9.96,2262913,4438401742.0,1.9,1.6
2023-04-25,921.66,905.46,923.28,888.14,-2.32,-21.52,2709050,4669913565.0,3.79,1.91
2023-04-26,898.29,891.27,915.53,886.28,-1.57,-14.19,2218380,3890961388.0,3.23,1.57
2023-04-27,893.44,894.57,912.23,888.33,0.37,3.3,2133509,4544098803.0,2.68,1.51
2023-04-28,888.01,916.03,917.23,888.01,2.4,21.46,2069477,4234189534.0,3.27,1.46
2023-05-04,914.82,910.12,925.38,900.98,-0.65,-5.91,1963967,3912128842.0,2.66,1.39
2023-05-05,910.28,922.1,924.52,907.98,1.32,11.98,1687708,3358796557.0,1.82,1.19
2023-05-08,926.98,938.7,944.32,921.18,1.8,16.6,1949392,4569278025.0,2.51,1.38
2023-05-09,938.16,931.88,952.28,929.82,-0.73,-6.82,1753120,4021641935.0,2.39,1.24
2023-05-10,929.13,924.96,939.94,918.68,-0.74,-6.92,1350252,3276331143.0,2.28,0.95
2023-05-11,929.12,924.51,936.02,921.6,-0.05,-0.45,1686793,3360338619.0,1.56,1.19
2023-05-12,926.06,913.92,934.1,912.94,-1.15,-10.59,1649362,2971663912.0,2.29,1.16
2023-05-15,911.24,905.41,914.95,883.26,-0.93,-8.51,1762908,3359569619.0,3.47,1.24
2023-05-16,906.79,888.73,907.69,886.53,-1.84,-16.68,1417641,2744378759.0,2.34,1.0
