日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2019-07-08,1010.83,980.79,1021.26,979.18,-1.92,-19.21,3132270,6606820608.0,4.21,0.88
2019-07-09,985.08,974.29,1007.67,963.42,-0.66,-6.5,3006912,5182263808.0,4.51,0.85
2019-07-10,970.99,962.61,983.64,952.37,-1.2,-11.68,3684200,4925129984.0,3.21,1.04
2019-07-11,956.79,943.12,958.34,933.41,-2.02,-19.49,2702705,3689911008.0,2.59,0.76
2019-07-12,941.99,933.38,944.19,929.98,-1.03,-9.74,1807167,2753681776.0,1.51,0.51
2019-07-15,931.63,957.78,960.74,922.17,2.61,24.4,2356822,3715605760.0,4.13,0.66
2019-07-16,954.56,956.33,962.32,951.05,-0.15,-1.45,2184830,3335571584.0,1.18,0.62
2019-07-17,956.7,961.09,967.92,954.15,0.5,4.76,2067223,4050009440.0,1.44,0.58
2019-07-18,953.1,935.24,953.1,934.56,-2.69,-25.85,2152206,3474573344.0,1.93,0.61
2019-07-19,937.92,932.94,947.46,931.4,-0.25,-2.3,1761045,2963470624.0,1.72,0.5
2019-07-22,934.5,895.65,934.76,895.58,-4.0,-37.29,1989616,3135210464.0,4.2,0.56
2019-07-23,893.28,913.71,913.71,893.28,2.02,18.06,1353757,2438786784.0,2.28,0.38
2019-07-24,918.2,932.72,936.42,917.21,2.08,19.01,1860620,3425616032.0,2.1,0.52
2019-07-25,933.39,940.3,945.26,931.18,0.81,7.58,1874405,4696983040.0,1.51,0.53
2019-07-26,934.22,926.47,937.45,923.32,-1.47,-13.83,1583091,3528759472.0,1.5,0.45
2019-07-29,927.47,926.22,932.87,918.97,-0.03,-0.25,1218395,2733759984.0,1.5,0.34
2019-07-30,926.45,926.95,937.41,924.49,0.08,0.73,1407812,2994080640.0,1.39,0.4
2019-07-31,924.85,923.28,927.92,920.36,-0.4,-3.67,1420076,3349072224.0,0.82,0.4
2019-08-01,918.08,918.96,923.0,909.1,-0.47,-4.32,1386289,2980384528.0,1.51,0.39
2019-08-02,894.6,900.61,904.69,891.07,-2.0,-18.35,1781333,3844751344.0,1.48,0.5
2019-08-05,909.13,907.35,924.27,907.14,0.75,6.74,1664398,3992883424.0,1.9,0.47
2019-08-06,885.76,878.98,885.76,855.09,-3.13,-28.37,2362678,4312473856.0,3.38,0.67
2019-08-07,886.72,883.11,894.1,881.92,0.47,4.13,1612098,3510785712.0,1.39,0.45
2019-08-08,886.09,902.84,908.44,883.91,2.23,19.73,1627263,3606288112.0,2.78,0.46
2019-08-09,908.86,889.54,913.41,888.02,-1.47,-13.3,1503257,3303873408.0,2.81,0.42
2019-08-12,893.88,919.23,919.23,893.88,3.34,29.69,1528570,3630765392.0,2.85,0.43
2019-08-13,912.91,920.56,925.58,908.02,0.14,1.33,1343798,3143461632.0,1.91,0.38
2019-08-14,935.94,926.5,950.49,926.14,0.65,5.94,2032501,4684828672.0,2.65,0.57
2019-08-15,900.01,943.36,944.68,898.0,1.82,16.86,1853519,4816226560.0,5.04,0.52
2019-08-16,945.01,941.89,953.93,938.5,-0.16,-1.47,1930868,4447771136.0,1.64,0.54
2019-08-19,951.71,978.46,978.46,951.62,3.88,36.57,2824797,5719152896.0,2.85,0.8
2019-08-20,979.1,969.92,984.01,968.81,-0.87,-8.54,2418493,4314624000.0,1.55,0.68
2019-08-21,972.46,971.5,977.12,965.3,0.16,1.58,1578719,3538741872.0,1.22,0.45
2019-08-22,973.36,966.92,974.78,957.68,-0.47,-4.58,1709656,3787490432.0,1.76,0.48
2019-08-23,968.01,952.74,974.53,949.49,-1.47,-14.18,1547377,3223078368.0,2.59,0.44
2019-08-26,930.88,950.43,950.63,929.48,-0.24,-2.31,1411120,2939698656.0,2.22,0.4
2019-08-27,958.48,969.21,973.49,954.67,1.98,18.78,1881094,4309410048.0,1.98,0.53
2019-08-28,970.59,976.07,976.9,966.92,0.71,6.86,1670774,3921837088.0,1.03,0.47
2019-08-29,975.07,982.06,983.91,968.23,0.61,5.99,1995260,4130620016.0,1.61,0.56
2019-08-30,986.05,971.44,999.22,966.52,-1.08,-10.62,2660119,6748205568.0,3.33,0.75
2019-09-02,973.24,1006.97,1010.09,973.24,3.66,35.53,2693716,6469613312.0,3.79,0.76
2019-09-03,1011.63,1024.65,1028.9,1007.63,1.76,17.68,2777921,7005591808.0,2.11,0.78
2019-09-04,1023.04,1041.18,1041.18,1022.98,1.61,16.53,2996666,7733712896.0,1.78,0.85
2019-09-05,1048.73,1053.54,1068.41,1047.95,1.19,12.36,3565483,7653301760.0,1.97,1.01
2019-09-06,1062.12,1060.23,1072.85,1048.99,0.64,6.69,3398687,7531836928.0,2.26,0.96
2019-09-09,1075.28,1109.66,1109.66,1072.6,4.66,49.43,4651225,8240753664.0,3.5,1.31
2019-09-10,1119.89,1113.52,1119.96,1094.88,0.35,3.86,4803907,9760526336.0,2.26,1.35
2019-09-11,1119.65,1104.93,1127.44,1104.4,-0.77,-8.59,3490387,7530159360.0,2.07,0.98
2019-09-12,1115.89,1106.27,1118.26,1099.45,0.12,1.34,3085560,7031836928.0,1.7,0.87
2019-09-16,1112.31,1122.37,1130.74,1108.95,1.46,16.1,3655200,7346279424.0,1.97,1.03
2019-09-17,1119.23,1092.73,1119.3,1083.8,-2.64,-29.64,3734609,7053355520.0,3.16,1.05
2019-09-18,1093.88,1087.07,1098.95,1080.0,-0.52,-5.66,2496263,5435476480.0,1.73,0.7
2019-09-19,1084.94,1110.68,1110.68,1080.03,2.17,23.61,2472577,5667985152.0,2.82,0.7
2019-09-20,1127.69,1120.01,1132.69,1119.02,0.84,9.33,3482528,7580309760.0,1.23,0.98
