日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-01-08,1039.76,1012.74,1046.95,1012.74,1.27,12.74,9628611,9348374272.0,3.42,1.7
2020-01-09,1009.31,1008.31,1030.27,995.47,-0.44,-4.43,7676933,8753052928.0,3.44,1.36
2020-01-10,1009.64,1012.01,1031.05,1004.72,0.37,3.7,6058225,7615367936.0,2.61,1.07
2020-01-13,1008.35,1035.19,1035.19,1004.79,2.29,23.18,5189950,6947553792.0,3.0,0.92
2020-01-14,1042.01,1032.69,1052.95,1028.16,-0.24,-2.5,4756339,6471897344.0,2.39,0.84
2020-01-15,1030.53,1041.05,1045.45,1024.24,0.81,8.36,4699562,6489963008.0,2.05,0.83
2020-01-16,1038.0,1036.19,1039.96,1024.34,-0.47,-4.86,4439611,6264265472.0,1.5,0.79
2020-01-17,1036.78,1022.27,1041.6,1014.61,-1.34,-13.92,4084575,5964581888.0,2.6,0.72
2020-01-20,1027.06,1036.3,1036.3,1011.81,1.37,14.03,4111951,5662022400.0,2.4,0.73
2020-01-21,1028.34,1058.96,1060.92,1021.86,2.19,22.66,4339705,6578546944.0,3.77,0.77
2020-01-22,1041.79,1064.36,1072.41,1018.04,0.51,5.4,4958374,7468943360.0,5.13,0.88
2020-01-23,1055.6,1009.55,1067.55,995.09,-5.15,-54.81,5302975,8066824704.0,6.81,0.94
2020-02-03,909.13,917.1,922.78,909.13,-9.16,-92.45,2388676,4073850800.0,1.35,0.42
2020-02-04,880.06,950.65,960.11,880.06,3.66,33.55,6544940,8367714048.0,8.73,1.16
2020-02-05,954.77,960.03,983.35,947.5,0.99,9.38,5395840,7527416064.0,3.77,0.96
2020-02-06,954.02,990.71,994.48,946.0,3.2,30.68,5033817,6836805120.0,5.05,0.89
2020-02-07,988.72,1022.4,1023.31,981.46,3.2,31.69,5667057,9113070848.0,4.22,1.0
2020-02-10,1005.56,1039.77,1045.65,1005.56,1.7,17.37,4819080,7400932352.0,3.92,0.85
2020-02-11,1040.15,1027.79,1040.15,1017.94,-1.15,-11.98,4021986,5832387072.0,2.14,0.71
2020-02-12,1090.54,1115.96,1119.58,1089.56,8.58,88.17,7637472,9838543872.0,2.92,1.35
2020-02-13,1169.4,1165.94,1188.99,1157.27,4.48,49.98,13935364,17036155648.0,2.84,2.47
2020-02-14,1144.83,1157.54,1178.71,1139.38,-0.72,-8.4,10614247,13514499584.0,3.37,1.88
2020-02-17,1152.42,1183.57,1187.0,1151.47,2.25,26.03,9095335,11960476928.0,3.07,1.61
2020-02-18,1176.23,1233.94,1235.64,1173.39,4.26,50.37,8060900,12327190016.0,5.26,1.43
2020-02-19,1220.32,1212.03,1249.02,1211.43,-1.78,-21.91,7826872,12348609024.0,3.05,1.39
2020-02-20,1224.23,1239.8,1250.62,1192.67,2.29,27.77,6481413,10514613504.0,4.78,1.15
2020-02-21,1231.2,1249.15,1265.95,1230.88,0.75,9.35,7214407,11665291520.0,2.83,1.28
2020-02-24,1234.55,1254.74,1266.47,1220.62,0.45,5.59,6465264,10924369152.0,3.67,1.14
2020-02-25,1221.33,1258.18,1264.31,1189.51,0.27,3.44,9276705,14406361344.0,5.96,1.64
2020-02-26,1236.83,1180.08,1240.48,1178.03,-6.21,-78.1,9631444,13586817792.0,4.96,1.71
2020-02-27,1191.11,1190.27,1204.99,1159.42,0.86,10.19,7559344,9339736832.0,3.86,1.34
2020-02-28,1143.8,1110.99,1161.24,1108.25,-6.66,-79.28,10558359,9935079168.0,4.45,1.87
2020-03-02,1131.31,1136.96,1149.98,1104.92,2.34,25.97,7553877,8223926016.0,4.06,1.34
2020-03-03,1156.39,1145.63,1184.13,1129.78,0.76,8.67,7265300,9239642112.0,4.78,1.29
2020-03-04,1126.96,1131.26,1137.58,1106.86,-1.25,-14.37,5564147,7956061696.0,2.68,0.99
2020-03-05,1147.54,1149.7,1155.08,1137.36,1.63,18.44,7317510,7029163776.0,1.57,1.3
