日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-10-22,1000.12,1014.85,1028.85,984.17,1.49,14.85,4069164,6443774528.0,4.47,0.38
2010-10-25,1021.14,1031.79,1052.05,1010.84,1.67,16.94,4738857,7899680986.0,4.06,0.44
2010-10-26,1032.22,1052.06,1066.9,1010.09,1.96,20.27,5297296,8767979420.0,5.51,0.49
2010-10-27,1048.48,1026.97,1069.53,1016.65,-2.38,-25.09,4496853,7621872627.0,5.03,0.42
2010-10-28,1023.63,1043.81,1060.7,1009.09,1.64,16.84,4344665,7037692930.0,5.03,0.4
2010-10-29,1047.67,1066.46,1083.1,1036.42,2.17,22.65,4892450,7975252857.0,4.47,0.45
2010-11-01,1074.59,1102.12,1112.75,1057.15,3.34,35.66,4578927,8091581510.0,5.21,0.42
2010-11-02,1110.53,1088.25,1137.2,1073.41,-1.26,-13.87,5892042,10243934860.0,5.79,0.54
2010-11-03,1081.47,1058.76,1106.2,1050.06,-2.71,-29.49,3938458,6591723674.0,5.16,0.36
2010-11-04,1058.6,1098.23,1106.18,1052.41,3.73,39.47,4034468,7329402693.0,5.08,0.37
2010-11-05,1105.72,1103.54,1126.78,1084.18,0.48,5.31,4111154,7251089467.0,3.88,0.38
2010-11-08,1109.54,1133.75,1147.94,1096.31,2.74,30.21,4400385,7752161087.0,4.68,0.41
2010-11-09,1137.84,1137.58,1161.82,1114.19,0.34,3.83,4555603,7730026165.0,4.2,0.42
2010-11-10,1133.8,1137.59,1156.09,1110.75,0.0,0.01,4205776,7858875404.0,3.99,0.39
2010-11-11,1132.25,1130.53,1180.91,1118.61,-0.62,-7.06,4852626,9239234651.0,5.48,0.45
2010-11-12,1123.77,1061.77,1154.17,1045.38,-6.08,-68.76,5679534,10532550231.0,9.62,0.52
2010-11-15,1069.87,1102.71,1109.99,1051.54,3.86,40.94,4107676,8109592668.0,5.5,0.38
2010-11-16,1101.12,1057.26,1124.09,1035.21,-4.12,-45.45,4346133,7976542164.0,8.06,0.4
2010-11-17,1035.5,1001.55,1065.03,987.99,-5.27,-55.71,3148808,5448396384.0,7.29,0.29
2010-11-18,1010.39,1025.85,1039.53,997.05,2.43,24.3,2565615,4339578502.0,4.24,0.24
2010-11-19,1032.07,1076.52,1086.05,1020.13,4.94,50.67,4803882,8185875692.0,6.43,0.44
2010-11-22,1076.23,1111.88,1142.44,1066.99,3.28,35.36,5921939,10540128751.0,7.01,0.55
2010-11-23,1095.92,1095.19,1120.57,1053.81,-1.5,-16.69,4163109,7364664441.0,6.0,0.38
2010-11-24,1083.17,1130.62,1142.53,1075.77,3.24,35.43,4045390,7293970524.0,6.1,0.37
2010-11-25,1137.59,1128.18,1155.56,1111.64,-0.22,-2.44,3821254,7141515573.0,3.88,0.35
2010-11-26,1125.72,1127.79,1151.33,1103.12,-0.03,-0.39,2954249,5403386517.0,4.27,0.27
2010-11-29,1120.96,1132.09,1149.9,1101.32,0.38,4.3,3281771,6022520363.0,4.31,0.3
2010-11-30,1129.23,1093.55,1150.03,1051.38,-3.4,-38.54,4233683,7559022633.0,8.71,0.39
2010-12-01,1090.32,1097.72,1116.57,1071.32,0.38,4.17,2896364,5217902445.0,4.14,0.27
2010-12-02,1110.89,1101.02,1131.25,1090.34,0.3,3.3,3405802,5753886076.0,3.73,0.31
2010-12-03,1100.33,1092.5,1117.23,1072.3,-0.77,-8.52,2956166,5127580654.0,4.08,0.27
