日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2019-12-12,1004.94,1017.24,1037.17,1000.2,1.72,17.24,7430499,6668681984.0,3.7,0.66
2019-12-13,1022.53,1016.7,1024.58,1008.48,-0.05,-0.54,10162234,7213239552.0,1.58,0.91
2019-12-16,1025.02,1092.89,1093.91,1024.64,7.49,76.19,19464272,12970358272.0,6.81,1.74
2019-12-17,1101.5,1132.16,1151.71,1098.57,3.59,39.27,19692703,13182150656.0,4.86,1.76
2019-12-18,1137.21,1147.56,1156.17,1132.73,1.36,15.4,14353610,10552930560.0,2.07,1.28
2019-12-19,1137.89,1117.0,1143.93,1115.46,-2.66,-30.56,12992071,9407211520.0,2.48,1.16
2019-12-20,1117.83,1100.14,1123.25,1099.51,-1.51,-16.86,10901993,7422707456.0,2.13,0.97
2019-12-23,1085.64,1068.27,1095.75,1067.74,-2.9,-31.87,11521106,7647045376.0,2.55,1.03
2019-12-24,1071.94,1088.67,1088.67,1060.93,1.91,20.4,9390955,6915252736.0,2.6,0.84
2019-12-25,1080.35,1101.09,1111.32,1075.84,1.14,12.42,9611472,7553373696.0,3.26,0.86
2019-12-26,1102.38,1111.81,1118.92,1101.41,0.97,10.72,10274722,6952536832.0,1.59,0.92
2019-12-27,1117.08,1085.33,1126.0,1085.2,-2.38,-26.48,11563904,8530647040.0,3.67,1.03
2019-12-30,1072.36,1101.88,1108.51,1064.09,1.52,16.55,8604247,6275509504.0,4.09,0.77
2019-12-31,1101.63,1085.87,1104.03,1077.86,-1.45,-16.01,7080826,5359462656.0,2.38,0.63
2020-01-02,1094.09,1120.55,1123.93,1090.42,3.19,34.68,9807107,7436581888.0,3.09,0.87
2020-01-03,1123.18,1138.75,1151.01,1123.18,1.62,18.2,10226310,7486470656.0,2.48,0.91
2020-01-06,1120.57,1164.18,1169.06,1115.33,2.23,25.43,10954030,8401963008.0,4.72,0.98
2020-01-07,1171.53,1166.59,1175.05,1153.55,0.21,2.41,9256895,7214638592.0,1.85,0.83
2020-01-08,1164.65,1179.53,1210.25,1159.27,1.11,12.94,16059028,10988739328.0,4.37,1.43
2020-01-09,1189.1,1179.76,1196.01,1172.52,0.02,0.23,10879839,8049788416.0,1.99,0.97
2020-01-10,1176.92,1162.11,1178.86,1155.79,-1.5,-17.65,10494985,9078696704.0,1.96,0.94
2020-01-13,1157.09,1185.83,1186.07,1151.35,2.04,23.72,9582791,8897736960.0,2.99,0.85
2020-01-14,1185.79,1175.7,1189.11,1173.3,-0.85,-10.13,9987336,7860818432.0,1.33,0.89
2020-01-15,1172.49,1186.03,1187.36,1162.16,0.88,10.33,7991228,7699249920.0,2.14,0.71
2020-01-16,1183.4,1181.4,1194.81,1176.15,-0.39,-4.63,9964767,8414309376.0,1.57,0.89
2020-01-17,1181.35,1164.52,1185.81,1161.04,-1.43,-16.88,8236974,6530092288.0,2.1,0.73
2020-01-20,1161.89,1198.6,1199.61,1156.65,2.93,34.08,11256784,8564918784.0,3.69,1.0
2020-01-21,1191.82,1178.6,1197.45,1176.48,-1.67,-20.0,8316766,6950147840.0,1.75,0.74
2020-01-22,1169.02,1198.77,1204.35,1150.62,1.71,20.17,9436172,8229477376.0,4.56,0.84
2020-01-23,1182.24,1144.78,1203.87,1129.35,-4.5,-53.99,11794648,9719971840.0,6.22,1.05
2020-02-03,1030.26,1030.26,1033.9,1030.26,-10.0,-114.52,5514817,2919508064.0,0.32,0.49
2020-02-04,954.78,1023.49,1030.86,954.78,-0.66,-6.77,13951590,10423601664.0,7.38,1.24
2020-02-05,1027.38,1048.48,1073.76,1026.89,2.44,24.99,12835778,9399821568.0,4.58,1.14
2020-02-06,1044.65,1072.21,1077.6,1037.9,2.26,23.73,14547890,10120787456.0,3.79,1.3
2020-02-07,1069.55,1099.63,1100.94,1064.25,2.56,27.42,14798660,11191080192.0,3.42,1.32
2020-02-10,1090.38,1106.25,1107.43,1085.49,0.6,6.62,11115007,8360622592.0,2.0,0.99
2020-02-11,1105.64,1096.32,1108.51,1083.6,-0.9,-9.93,9563237,7564312320.0,2.25,0.85
2020-02-12,1097.11,1131.5,1132.08,1093.48,3.21,35.18,11626895,9096126464.0,3.52,1.04
2020-02-13,1125.44,1134.3,1150.54,1116.93,0.25,2.8,13572896,10758585856.0,2.97,1.21
2020-02-14,1132.86,1156.21,1170.5,1132.86,1.93,21.91,11975875,10773491968.0,3.32,1.07
2020-02-17,1182.3,1205.28,1205.28,1176.36,4.24,49.07,13177065,11196281856.0,2.5,1.18
2020-02-18,1209.71,1253.79,1256.75,1208.12,4.02,48.51,15841989,14134102272.0,4.03,1.41
2020-02-19,1252.52,1238.3,1263.47,1235.19,-1.24,-15.49,13569605,13229828608.0,2.26,1.21
2020-02-20,1244.35,1314.43,1315.41,1234.8,6.15,76.13,17151019,15545146368.0,6.51,1.53
2020-02-21,1327.64,1325.03,1344.65,1318.13,0.81,10.6,20317496,17843369216.0,2.02,1.81
2020-02-24,1312.18,1378.68,1381.67,1304.71,4.05,53.65,21594827,19323582720.0,5.81,1.93
2020-02-25,1337.52,1394.37,1407.17,1304.54,1.14,15.69,25451731,24447156224.0,7.44,2.27
2020-02-26,1361.82,1348.22,1405.26,1338.2,-3.31,-46.15,23979995,22923437824.0,4.81,2.14
2020-02-27,1347.6,1312.65,1358.96,1290.89,-2.64,-35.57,18976556,17447287808.0,5.05,1.69
2020-02-28,1247.81,1191.43,1259.75,1191.43,-9.23,-121.22,22756798,19058878464.0,5.2,2.03
2020-03-02,1205.16,1240.49,1252.39,1197.56,4.12,49.06,19084326,16043450368.0,4.6,1.7
2020-03-03,1260.48,1252.31,1295.34,1235.67,0.95,11.82,18700516,16222135552.0,4.81,1.67
2020-03-04,1235.23,1247.21,1257.4,1212.75,-0.41,-5.1,14289275,12009020160.0,3.57,1.27
2020-03-05,1268.21,1273.93,1274.83,1245.94,2.14,26.72,14800440,12739230720.0,2.32,1.32
2020-03-06,1252.08,1260.84,1276.4,1244.93,-1.03,-13.09,13106442,10521895424.0,2.47,1.17
2020-03-09,1226.96,1178.88,1237.63,1177.16,-6.5,-81.96,14641360,12516767488.0,4.8,1.31
2020-03-10,1165.78,1234.51,1234.51,1157.97,4.72,55.63,16531882,13716313088.0,6.49,1.47
2020-03-11,1235.34,1196.66,1247.24,1196.13,-3.07,-37.85,14525464,11550771456.0,4.14,1.3
2020-03-12,1176.4,1178.32,1198.15,1164.72,-1.53,-18.34,13870382,10143369216.0,2.79,1.24
2020-03-13,1115.17,1175.07,1189.37,1113.72,-0.28,-3.25,14837772,11967284992.0,6.42,1.32
2020-03-16,1179.34,1090.46,1179.34,1082.02,-7.2,-84.61,15108354,11234509056.0,8.28,1.35
2020-03-17,1104.74,1096.67,1114.15,1049.06,0.57,6.21,14186817,9698246912.0,5.97,1.27
2020-03-18,1107.85,1070.64,1126.55,1070.64,-2.37,-26.03,12817673,9432271104.0,5.1,1.14
2020-03-19,1074.85,1105.98,1107.99,1063.39,3.3,35.34,12546820,9098404608.0,4.17,1.12
2020-03-20,1117.16,1105.83,1121.21,1085.69,-0.01,-0.15,10047291,7281936896.0,3.21,0.9
2020-03-23,1071.17,1033.45,1079.48,1027.17,-6.55,-72.38,12014387,8511729408.0,4.73,1.07
2020-03-24,1057.03,1056.91,1061.34,1017.55,2.27,23.46,12294332,9064479232.0,4.24,1.1
2020-03-25,1076.82,1077.77,1083.01,1066.59,1.97,20.86,12733173,8741285632.0,1.55,1.14
2020-03-26,1067.61,1050.97,1072.7,1049.34,-2.49,-26.8,8547812,5695772160.0,2.17,0.76
2020-03-27,1067.65,1038.5,1067.87,1037.78,-1.19,-12.47,7354710,5132072448.0,2.86,0.66
2020-03-30,1019.11,987.08,1019.11,974.13,-4.95,-51.42,9427011,6249215232.0,4.33,0.84
2020-03-31,1000.06,974.62,1005.57,974.26,-1.26,-12.46,7804437,4777863424.0,3.17,0.7
2020-04-01,974.01,990.96,1011.69,970.64,1.68,16.34,13456879,7957544704.0,4.21,1.2
2020-04-02,989.57,1041.81,1041.81,988.66,5.13,50.85,13081367,9162635520.0,5.36,1.17
2020-04-03,1040.73,1036.29,1047.19,1027.04,-0.53,-5.52,9527721,7171117568.0,1.93,0.85
2020-04-07,1059.15,1068.12,1070.26,1059.15,3.07,31.83,11661136,8010964992.0,1.07,1.04
2020-04-08,1059.98,1081.72,1088.73,1056.0,1.27,13.6,9763921,6664548864.0,3.06,0.87
2020-04-09,1089.56,1081.38,1090.29,1073.81,-0.03,-0.34,7209468,5211330048.0,1.52,0.64
2020-04-10,1073.46,1040.42,1076.64,1034.86,-3.79,-40.96,7817783,5639381248.0,3.86,0.7
2020-04-13,1032.83,1010.03,1032.83,1004.39,-2.92,-30.39,5484747,3753187024.0,2.73,0.49
2020-04-14,1018.75,1031.9,1031.9,1012.68,2.17,21.87,6489991,4362234624.0,1.9,0.58
2020-04-15,1028.96,1016.42,1037.06,1016.27,-1.5,-15.48,7876984,5544727296.0,2.01,0.7
2020-04-16,1009.97,1022.08,1024.03,999.65,0.56,5.66,5575692,3795629808.0,2.4,0.5
2020-04-17,1030.66,1023.02,1044.56,1021.48,0.09,0.94,10962278,7344483328.0,2.26,0.98
2020-04-20,1024.44,1028.48,1028.86,1017.28,0.53,5.46,6183502,4528776960.0,1.13,0.55
2020-04-21,1022.32,1010.66,1022.32,997.13,-1.73,-17.82,7067399,4950526976.0,2.45,0.63
2020-04-22,1000.86,1030.66,1030.84,996.41,1.98,20.0,5751150,3981245456.0,3.41,0.51
2020-04-23,1031.67,1021.46,1031.89,1013.42,-0.89,-9.2,6140490,3989465760.0,1.79,0.55
2020-04-24,1018.9,991.22,1021.53,983.85,-2.96,-30.24,5658855,3894834224.0,3.69,0.5
2020-04-27,990.32,978.82,991.62,972.75,-1.25,-12.4,3990508,2701849328.0,1.9,0.36
2020-04-28,979.38,960.89,980.19,925.47,-1.83,-17.93,6575760,4680165632.0,5.59,0.59
2020-04-29,960.75,971.91,979.36,959.56,1.15,11.02,5544987,3517263840.0,2.06,0.49
2020-04-30,986.33,1016.42,1021.04,986.06,4.58,44.51,12900547,8685672192.0,3.6,1.15
2020-05-06,1011.56,1048.14,1048.38,1009.79,3.12,31.72,12233212,8995945728.0,3.8,1.09
2020-05-07,1055.67,1039.75,1060.1,1038.37,-0.8,-8.39,7979475,6077642752.0,2.07,0.71
2020-05-08,1052.66,1060.89,1070.22,1052.29,2.03,21.14,7949593,6359067904.0,1.72,0.71
2020-05-11,1090.3,1091.0,1102.28,1082.2,2.84,30.11,9613930,7253395968.0,1.89,0.86
2020-05-12,1092.81,1096.47,1096.47,1069.3,0.5,5.47,8907700,6793408768.0,2.49,0.79
2020-05-13,1092.89,1105.63,1110.13,1088.55,0.84,9.16,9076480,6019180288.0,1.97,0.81
2020-05-14,1106.77,1106.19,1120.77,1103.82,0.05,0.56,10236039,7735461632.0,1.53,0.91
2020-05-15,1118.68,1134.62,1148.25,1115.87,2.57,28.43,12532895,10293518336.0,2.93,1.12
2020-05-18,1141.61,1098.13,1145.17,1095.16,-3.22,-36.49,11688642,10575727872.0,4.41,1.04
2020-05-19,1103.33,1140.94,1140.94,1098.4,3.9,42.81,10726819,11675722752.0,3.87,0.96
2020-05-20,1132.19,1126.59,1143.53,1119.75,-1.26,-14.35,11752161,11762754048.0,2.08,1.05
2020-05-21,1127.66,1095.67,1130.11,1093.38,-2.74,-30.92,9798062,8861604864.0,3.26,0.87
2020-05-22,1092.41,1061.14,1094.17,1057.75,-3.15,-34.53,9317522,8240179200.0,3.32,0.83
2020-05-25,1056.42,1039.34,1061.16,1033.15,-2.05,-21.8,6026690,5188129792.0,2.64,0.54
2020-05-26,1040.87,1067.86,1068.02,1040.87,2.74,28.52,6225211,5361523456.0,2.61,0.56
2020-05-27,1066.09,1051.45,1067.52,1045.92,-1.54,-16.41,5434533,4771632384.0,2.02,0.48
2020-05-28,1048.78,1039.84,1049.92,1018.55,-1.1,-11.61,5774938,4956804608.0,2.98,0.51
2020-05-29,1035.26,1051.92,1056.75,1031.04,1.16,12.08,9222729,6214353920.0,2.47,0.82
2020-06-01,1057.36,1102.26,1104.77,1057.36,4.79,50.34,10274031,8356464384.0,4.51,0.92
2020-06-02,1107.9,1144.04,1153.83,1107.56,3.79,41.78,14064051,10554092544.0,4.2,1.25
2020-06-03,1161.52,1143.24,1167.49,1142.02,-0.07,-0.8,13341215,11190385920.0,2.23,1.19
2020-06-04,1148.84,1137.85,1158.41,1136.04,-0.47,-5.39,10055616,8092942848.0,1.96,0.9
2020-06-05,1136.88,1131.58,1143.28,1119.21,-0.55,-6.27,8888150,7267899648.0,2.12,0.79
2020-06-08,1140.17,1152.21,1171.17,1140.17,1.82,20.63,13927331,11331059712.0,2.74,1.24
