日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-08-21,988.63,974.48,990.33,966.2,-2.55,-25.52,3439149,3890355264.0,2.41,2.9
2023-08-22,966.53,949.74,971.17,932.4,-2.54,-24.74,3203973,3504841532.0,3.98,2.7
2023-08-23,944.7,948.38,980.92,939.17,-0.14,-1.36,3237807,3730343857.0,4.4,2.73
2023-08-24,932.79,924.0,943.41,916.22,-2.57,-24.38,2906388,3072429619.0,2.87,2.45
2023-08-25,914.68,915.62,929.85,902.45,-0.91,-8.38,2756631,2934354501.0,2.97,2.32
2023-08-28,957.01,912.64,959.87,908.78,-0.33,-2.98,3050363,3057821937.0,5.58,2.57
2023-08-29,905.58,948.12,948.12,904.48,3.89,35.48,2601701,2678160906.0,4.78,2.19
2023-08-30,944.02,955.67,970.81,943.85,0.8,7.55,2711156,3142138704.0,2.84,2.29
2023-08-31,953.25,983.18,994.29,942.15,2.88,27.51,3422274,4038304608.0,5.46,2.88
2023-09-01,968.57,954.58,969.12,949.82,-2.91,-28.6,2333181,2788441269.0,1.96,1.97
2023-09-04,951.84,964.01,964.16,949.87,0.99,9.43,2213083,2416686783.0,1.5,1.87
2023-09-05,959.73,944.34,961.21,940.64,-2.04,-19.67,1841991,2015587523.0,2.13,1.55
2023-09-06,940.14,938.03,941.31,932.45,-0.67,-6.31,1785671,1992108886.0,0.94,1.51
2023-09-07,938.04,916.13,938.23,916.13,-2.33,-21.9,1778296,1863981607.0,2.36,1.5
2023-09-08,914.5,909.35,919.22,905.78,-0.74,-6.78,1204971,1289129390.0,1.47,1.02
2023-09-11,908.38,932.58,935.47,908.38,2.55,23.23,2214264,2026698458.0,2.98,1.87
2023-09-12,929.21,936.35,946.3,928.81,0.4,3.77,1997805,1796400582.0,1.88,1.68
2023-09-13,934.13,926.57,939.97,917.72,-1.04,-9.78,1698237,1624200067.0,2.38,1.43
2023-09-14,923.05,930.04,938.45,918.47,0.37,3.47,1589016,1715016714.0,2.16,1.34
2023-09-15,924.56,931.51,937.52,917.2,0.16,1.47,1744920,1635975010.0,2.18,1.47
2023-09-18,931.59,952.39,954.36,926.24,2.24,20.88,2274868,2500751413.0,3.02,1.92
2023-09-19,950.31,949.85,963.8,945.16,-0.27,-2.54,2214072,2501273585.0,1.96,1.87
2023-09-20,940.05,939.29,951.18,933.71,-1.11,-10.56,1607592,1633999160.0,1.84,1.35
2023-09-21,936.61,922.12,937.48,918.95,-1.83,-17.17,1573479,1677003773.0,1.97,1.33
2023-09-22,922.01,935.36,935.56,913.86,1.44,13.24,1474864,1469001147.0,2.35,1.24
2023-09-25,934.06,940.03,949.28,933.04,0.5,4.67,1735613,1673371403.0,1.74,1.46
2023-09-26,939.09,923.55,939.92,922.81,-1.75,-16.48,1244200,1269905873.0,1.82,1.05
2023-09-27,924.78,944.68,949.93,924.31,2.29,21.13,2248210,2266156065.0,2.77,1.89
2023-09-28,949.51,938.19,952.75,937.05,-0.69,-6.49,1640128,1714519812.0,1.66,1.38
2023-10-09,936.81,930.1,941.87,923.98,-0.86,-8.09,1401073,1347539229.0,1.91,1.18
2023-10-10,932.89,922.16,932.89,911.39,-0.85,-7.94,1944737,2038591312.0,2.31,1.64
2023-10-11,929.58,948.17,958.29,929.58,2.82,26.01,2000704,1963296917.0,3.11,1.69
2023-10-12,956.68,958.76,968.09,948.49,1.12,10.59,2742062,3614180995.0,2.07,2.31
2023-10-13,955.97,965.98,978.24,953.91,0.75,7.22,3101224,4220146268.0,2.54,2.61
2023-10-16,967.32,947.26,976.71,941.68,-1.94,-18.72,2593897,3227884960.0,3.63,2.19
2023-10-17,947.36,943.5,950.13,931.99,-0.4,-3.76,2091203,2452131838.0,1.91,1.76
2023-10-18,939.57,913.93,939.57,911.19,-3.13,-29.57,1796200,1986780364.0,3.01,1.51
2023-10-19,907.39,889.3,908.0,888.52,-2.69,-24.63,1837245,2022107627.0,2.13,1.55
2023-10-20,887.29,878.82,897.47,877.89,-1.18,-10.48,1508143,1574239313.0,2.2,1.27
2023-10-23,876.17,856.23,876.28,852.31,-2.57,-22.59,1450296,1369724119.0,2.73,1.22
2023-10-24,860.28,879.93,887.63,856.16,2.77,23.7,1572331,1558277447.0,3.68,1.33
2023-10-25,880.12,882.91,892.44,878.06,0.34,2.98,1602305,1572793495.0,1.63,1.35
2023-10-26,878.94,883.21,883.79,866.7,0.03,0.3,1796543,1985213918.0,1.94,1.51
2023-10-27,876.32,906.24,908.98,870.59,2.61,23.03,2829682,2684151692.0,4.35,2.39
2023-10-30,910.33,928.03,930.65,907.78,2.4,21.79,2210937,2105958169.0,2.52,1.86
2023-10-31,931.42,930.02,945.0,923.54,0.21,1.99,2971465,4310985544.0,2.31,2.5
2023-11-01,931.62,940.15,943.98,927.92,1.09,10.13,2488252,3257765326.0,1.73,2.1
2023-11-02,938.18,932.0,942.35,931.34,-0.87,-8.15,2134304,2884630830.0,1.17,1.8
2023-11-03,932.31,940.49,945.39,930.42,0.91,8.49,2037985,2699829954.0,1.61,1.72
2023-11-06,945.92,961.44,963.81,945.92,2.23,20.95,2232016,3116055307.0,1.9,1.88
2023-11-07,961.1,956.08,961.1,951.38,-0.56,-5.36,1998128,2623931047.0,1.01,1.68
2023-11-08,953.89,968.52,969.07,953.46,1.3,12.44,2409441,3290342816.0,1.63,2.03
2023-11-09,966.59,969.17,983.79,966.57,0.07,0.65,2075422,2826858186.0,1.78,1.75
2023-11-10,971.93,984.97,998.7,967.29,1.63,15.8,2897059,4623399605.0,3.24,2.44
2023-11-13,992.8,992.22,998.59,985.92,0.74,7.25,2680931,4360346811.0,1.29,2.26
2023-11-14,996.71,1002.69,1010.95,993.68,1.06,10.47,2969919,4411782820.0,1.74,2.5
2023-11-15,1004.56,998.24,1008.53,993.93,-0.44,-4.45,2826486,4422633426.0,1.46,2.38
2023-11-16,995.67,982.54,998.65,981.74,-1.57,-15.7,1931535,2774753744.0,1.69,1.63
2023-11-17,984.03,994.34,994.94,981.69,1.2,11.8,2283259,3218489724.0,1.35,1.92
2023-11-20,999.95,1011.37,1012.1,999.65,1.71,17.03,2357733,3211209495.0,1.25,1.99
2023-11-21,1012.53,1008.16,1020.39,1001.39,-0.32,-3.21,2306184,3305947758.0,1.88,1.94
2023-11-22,1007.21,1007.12,1024.2,1006.8,-0.1,-1.04,2477905,3671170200.0,1.73,2.09
2023-11-23,1008.87,1018.37,1018.37,1006.2,1.12,11.25,2637389,3477063211.0,1.21,2.22
2023-11-24,1018.38,1026.61,1036.96,1016.85,0.81,8.24,4087590,4500498384.0,1.97,3.45
2023-11-27,1028.2,1003.28,1028.83,1001.12,-2.27,-23.33,3812448,4592875743.0,2.7,3.21
2023-11-28,1001.05,1009.71,1011.17,989.25,0.64,6.43,2534168,2839565345.0,2.18,2.14
2023-11-29,1007.15,986.56,1010.16,984.8,-2.29,-23.15,2307883,2313324607.0,2.51,1.95
2023-11-30,986.84,987.43,992.27,977.64,0.09,0.87,2408775,2473366610.0,1.48,2.03
2023-12-01,986.05,1000.75,1002.49,984.51,1.35,13.32,2303595,2997479080.0,1.82,1.94
2023-12-04,1002.79,997.96,1010.42,997.96,-0.28,-2.79,2287690,3039503524.0,1.25,1.93
2023-12-05,993.77,977.89,997.15,977.89,-2.01,-20.07,1972694,2458094393.0,1.93,1.66
2023-12-06,973.66,976.38,986.08,969.05,-0.15,-1.51,1549163,1735734128.0,1.74,1.31
2023-12-07,974.44,976.5,981.86,969.56,0.01,0.12,1834796,2513602927.0,1.26,1.55
2023-12-08,977.57,966.0,979.61,965.28,-1.08,-10.5,1743297,2500197486.0,1.47,1.47
2023-12-11,961.86,971.75,973.42,954.29,0.6,5.75,1618497,2055540177.0,1.98,1.36
2023-12-12,972.73,974.07,979.39,969.38,0.24,2.32,1398989,1979397345.0,1.03,1.18
2023-12-13,974.68,990.4,1004.05,973.34,1.68,16.33,2847739,2601347128.0,3.15,2.4
2023-12-14,993.14,986.67,1006.45,985.76,-0.38,-3.73,2694935,3013349910.0,2.09,2.27
2023-12-15,984.84,966.59,988.24,964.08,-2.04,-20.08,2643444,2631230587.0,2.45,2.23
2023-12-18,966.29,955.76,981.41,952.81,-1.12,-10.83,2100961,2180042962.0,2.96,1.77
2023-12-19,952.97,941.68,954.32,934.01,-1.47,-14.08,1849746,1890864638.0,2.13,1.56
2023-12-20,941.37,951.22,969.56,941.37,1.01,9.54,1823112,2027821499.0,2.99,1.54
2023-12-21,944.68,943.69,946.02,925.67,-0.79,-7.53,2235176,2343922232.0,2.14,1.88
2023-12-22,942.73,919.05,943.1,915.84,-2.61,-24.64,1790162,1836226788.0,2.89,1.51
2023-12-25,920.51,923.23,923.48,908.3,0.45,4.18,1570930,1641119329.0,1.65,1.32
2023-12-26,920.43,908.96,922.45,906.89,-1.55,-14.27,2015721,2265398335.0,1.69,1.7
2023-12-27,909.02,917.2,918.14,902.96,0.91,8.24,1686018,1797791921.0,1.67,1.42
2023-12-28,915.64,924.09,928.35,903.23,0.75,6.89,1672125,1735905906.0,2.74,1.41
2023-12-29,923.72,946.62,950.2,922.31,2.44,22.53,1589215,1796965045.0,3.02,1.34
2024-01-02,949.25,948.54,958.42,943.28,0.2,1.92,2457376,2634039670.0,1.6,2.07
2024-01-03,945.88,959.66,972.03,944.71,1.17,11.12,2222474,2265693535.0,2.88,1.87
2024-01-04,954.57,956.33,960.36,947.17,-0.35,-3.33,1961166,2058194411.0,1.37,1.65
2024-01-05,954.64,938.01,961.89,931.89,-1.92,-18.32,2009440,2259895923.0,3.14,1.69
2024-01-08,934.42,922.76,941.45,921.89,-1.63,-15.25,1619223,1721889419.0,2.09,1.36
2024-01-09,923.67,921.63,932.96,913.96,-0.12,-1.13,1424919,1547405376.0,2.06,1.2
2024-01-10,918.34,905.55,920.92,905.55,-1.74,-16.08,1335283,1342612726.0,1.67,1.13
2024-01-11,901.27,920.5,920.62,901.27,1.65,14.95,1326669,1396654746.0,2.14,1.12
2024-01-12,915.32,897.15,918.2,896.91,-2.54,-23.35,1397566,1483468745.0,2.31,1.18
2024-01-15,893.61,901.89,910.29,893.19,0.53,4.74,1185793,1321158978.0,1.91,1.0
2024-01-16,904.5,890.67,905.2,878.26,-1.24,-11.22,1371788,1337542394.0,2.99,1.16
2024-01-17,888.55,868.7,894.22,867.85,-2.47,-21.97,1230866,1373610810.0,2.96,1.04
2024-01-18,864.62,856.61,864.62,833.88,-1.39,-12.09,1674237,1683390382.0,3.54,1.41
2024-01-19,856.62,843.34,860.83,842.22,-1.55,-13.27,1207353,1337494748.0,2.17,1.02
2024-01-22,843.12,793.04,843.54,786.44,-5.96,-50.3,1459781,1306234311.0,6.77,1.23
2024-01-23,792.06,805.01,807.95,779.17,1.51,11.97,1266393,1152402914.0,3.63,1.07
2024-01-24,815.91,836.99,837.24,813.3,3.97,31.98,1406831,1264604359.0,2.97,1.19
2024-01-25,851.05,881.32,884.18,842.24,5.3,44.33,1980585,1847155666.0,5.01,1.67
2024-01-26,892.18,882.86,899.23,878.85,0.17,1.54,2063450,1972355826.0,2.31,1.74
2024-01-29,888.14,852.37,889.77,851.83,-3.45,-30.49,1885275,1996939262.0,4.3,1.59
2024-01-30,835.86,815.43,841.28,814.69,-4.33,-36.94,1240762,1123623597.0,3.12,1.05
2024-01-31,808.13,782.86,816.21,782.77,-3.99,-32.57,1676462,1443074596.0,4.1,1.41
2024-02-01,775.64,766.14,788.3,759.54,-2.14,-16.72,1550980,1320498758.0,3.67,1.31
2024-02-02,770.08,736.5,786.68,715.51,-3.87,-29.64,2096654,1760949435.0,9.29,1.77
2024-02-05,725.94,678.75,725.94,666.54,-7.84,-57.75,2234700,1615902261.0,8.07,1.88
2024-02-06,656.43,695.76,713.35,645.57,2.51,17.01,3001641,2096420578.0,9.99,2.53
2024-02-07,698.11,681.37,715.57,674.68,-2.07,-14.39,3427300,2547984192.0,5.88,2.89
2024-02-08,679.11,717.39,718.23,671.1,5.29,36.02,3007931,2171711036.0,6.92,2.54
2024-02-19,723.83,736.86,739.08,722.06,2.71,19.47,2297550,1896281896.0,2.37,1.94
2024-02-20,735.62,758.39,767.86,726.13,2.92,21.53,2019056,1725905347.0,5.66,1.7
2024-02-21,749.34,759.59,776.72,742.32,0.16,1.2,2317540,1864053586.0,4.54,1.95
2024-02-22,759.16,785.05,785.31,758.32,3.35,25.46,2182319,1959296197.0,3.55,1.84
2024-02-23,784.68,799.42,799.67,777.89,1.83,14.37,2195642,2132518568.0,2.77,1.85
2024-02-26,799.52,811.35,824.58,792.91,1.49,11.93,2205395,1926446247.0,3.96,1.86
2024-02-27,804.34,827.11,827.11,799.66,1.94,15.76,1775317,1614585814.0,3.38,1.5
2024-02-28,832.23,773.01,848.03,772.61,-6.54,-54.1,3122489,2928081092.0,9.12,2.63
2024-02-29,761.23,795.7,795.7,761.06,2.94,22.69,2108861,1858121819.0,4.48,1.78
2024-03-01,797.04,801.18,804.33,791.08,0.69,5.48,1598735,1619434871.0,1.67,1.35
2024-03-04,800.73,817.53,819.26,796.4,2.04,16.35,2267036,2518563782.0,2.85,1.91
2024-03-05,809.45,795.16,809.75,791.54,-2.74,-22.37,1964242,2253704314.0,2.23,1.66
2024-03-06,791.02,793.79,801.79,784.23,-0.17,-1.37,1450855,1487357579.0,2.21,1.22
2024-03-07,793.93,787.27,805.22,786.11,-0.82,-6.52,1770254,1733530531.0,2.41,1.49
2024-03-08,790.1,810.22,811.14,787.14,2.92,22.95,2121750,2014312809.0,3.05,1.79
2024-03-11,809.97,823.55,823.55,808.16,1.65,13.33,2183511,2265366917.0,1.9,1.84
2024-03-12,821.96,835.28,838.71,821.96,1.42,11.73,2945565,2474448237.0,2.03,2.48
2024-03-13,832.29,834.55,841.11,827.2,-0.09,-0.73,2309514,2244703361.0,1.67,1.95
2024-03-14,840.01,840.13,851.97,827.43,0.67,5.58,2472565,2616553891.0,2.94,2.08
2024-03-15,833.24,844.28,844.28,830.59,0.49,4.15,1685356,1709451809.0,1.63,1.42
2024-03-18,852.09,881.29,881.29,852.09,4.38,37.01,2604804,2724085501.0,3.46,2.2
2024-03-19,893.53,881.07,899.68,880.86,-0.02,-0.22,2317521,2493879357.0,2.14,1.95
2024-03-20,887.15,910.47,916.14,884.05,3.34,29.4,3122308,4295621251.0,3.64,2.63
2024-03-21,908.09,896.89,916.83,894.67,-1.49,-13.58,2898132,3870230347.0,2.43,2.44
2024-03-22,890.96,866.3,892.19,862.96,-3.41,-30.59,2491733,2906538769.0,3.26,2.1
2024-03-25,860.07,830.77,865.83,830.46,-4.1,-35.53,2072544,2418797908.0,4.08,1.75
2024-03-26,821.85,829.48,830.64,812.5,-0.16,-1.29,1805088,1800381371.0,2.18,1.52
2024-03-27,825.66,800.91,826.49,800.91,-3.44,-28.57,1565818,1527169408.0,3.08,1.32
2024-03-28,799.7,818.99,826.33,798.09,2.26,18.08,1493066,1556421445.0,3.53,1.26
2024-03-29,819.78,834.21,834.34,815.47,1.86,15.22,1442046,1549106096.0,2.3,1.22
2024-04-01,835.99,848.33,848.33,835.1,1.69,14.12,1564198,1712667257.0,1.59,1.32
2024-04-02,847.46,841.92,847.46,835.81,-0.76,-6.41,1371666,1450021484.0,1.37,1.16
2024-04-03,839.96,834.69,841.55,827.08,-0.86,-7.23,1309637,1305544487.0,1.72,1.1
2024-04-08,829.37,804.93,829.6,804.88,-3.57,-29.76,1401811,1490495588.0,2.96,1.18
2024-04-09,803.72,823.36,823.75,800.84,2.29,18.43,1119052,1118006450.0,2.85,0.94
2024-04-10,821.51,802.79,821.51,795.18,-2.5,-20.57,1119341,1042448093.0,3.2,0.94
2024-04-11,798.3,802.4,811.8,795.48,-0.05,-0.39,850938,815517876.0,2.03,0.72
2024-04-12,802.73,788.74,806.95,788.18,-1.7,-13.66,922517,863652731.0,2.34,0.78
2024-04-15,783.88,762.71,791.09,752.93,-3.3,-26.03,1555869,1411679077.0,4.84,1.31
2024-04-16,756.96,711.68,759.39,711.22,-6.69,-51.03,1534997,1266956616.0,6.32,1.29
2024-04-17,721.49,757.45,757.48,721.49,6.43,45.77,1487146,1293343240.0,5.06,1.25
2024-04-18,754.34,752.05,764.0,743.91,-0.71,-5.4,1359617,1152836939.0,2.65,1.15
2024-04-19,747.24,743.3,757.0,738.27,-1.16,-8.75,987335,819330643.0,2.49,0.83
2024-04-22,740.11,738.04,749.39,728.05,-0.71,-5.26,916803,787189145.0,2.87,0.77
2024-04-23,739.54,745.96,749.92,738.08,1.07,7.92,936246,828382244.0,1.6,0.79
2024-04-24,746.31,761.86,761.86,743.98,2.13,15.9,958484,1005282112.0,2.4,0.81
2024-04-25,761.08,765.52,771.06,759.58,0.48,3.66,970043,845220262.0,1.51,0.82
2024-04-26,763.54,771.76,772.74,759.21,0.82,6.24,1319319,1164226382.0,1.77,1.11
2024-04-29,772.83,802.39,803.0,772.83,3.97,30.63,1783474,1628233010.0,3.91,1.5
2024-04-30,801.78,807.39,811.34,799.61,0.62,5.0,1853898,1665556783.0,1.46,1.56
2024-05-06,817.5,826.75,831.48,817.5,2.4,19.36,1958735,1698520021.0,1.73,1.65
2024-05-07,827.26,833.32,833.76,822.92,0.79,6.57,1796841,1624647328.0,1.31,1.51
2024-05-08,831.47,833.69,841.63,824.85,0.04,0.37,2006544,1711357987.0,2.01,1.69
2024-05-09,831.44,840.4,848.0,826.23,0.8,6.71,1820192,1542443207.0,2.61,1.53
2024-05-10,842.86,826.76,846.92,823.04,-1.62,-13.64,1722608,1566394957.0,2.84,1.45
2024-05-13,816.69,808.33,822.87,806.49,-2.23,-18.43,1476681,1270857792.0,1.98,1.24
2024-05-14,805.95,816.1,820.99,805.95,0.96,7.77,1339079,1087486624.0,1.86,1.13
2024-05-15,815.88,802.43,816.28,801.56,-1.68,-13.67,1271924,1117825273.0,1.8,1.07
2024-05-16,804.5,806.51,811.99,802.51,0.51,4.08,1140350,932300017.0,1.18,0.96
2024-05-17,806.22,808.54,811.58,798.79,0.25,2.03,1118717,911795720.0,1.59,0.94
2024-05-20,809.55,809.05,814.59,802.27,0.06,0.51,1387169,1272873795.0,1.52,1.17
2024-05-21,809.68,802.35,809.68,795.8,-0.83,-6.7,1072506,928936535.0,1.72,0.9
2024-05-22,804.64,806.32,813.2,800.54,0.49,3.97,1295349,1255790899.0,1.58,1.09
2024-05-23,805.71,783.17,805.71,780.33,-2.87,-23.15,1485921,1192465208.0,3.15,1.25
2024-05-24,784.71,787.46,792.4,780.21,0.55,4.29,1195151,983210589.0,1.56,1.01
2024-05-27,788.13,784.65,789.48,769.42,-0.36,-2.81,1353122,1132178419.0,2.55,1.14
2024-05-28,780.14,767.08,780.57,766.54,-2.24,-17.57,1001425,902664892.0,1.79,0.84
2024-05-29,764.93,764.31,771.52,760.32,-0.36,-2.77,946939,783033903.0,1.46,0.8
2024-05-30,761.86,763.82,768.99,754.23,-0.06,-0.49,984227,768175510.0,1.93,0.83
2024-05-31,763.98,771.37,774.0,763.98,0.99,7.55,975274,779690428.0,1.31,0.82
2024-06-03,767.36,750.17,769.27,745.63,-2.75,-21.2,996036,757999494.0,3.06,0.84
2024-06-04,749.84,741.59,750.04,732.82,-1.14,-8.58,993019,716695506.0,2.3,0.84
2024-06-05,741.23,725.75,741.43,725.31,-2.14,-15.84,943130,687773237.0,2.17,0.79
2024-06-06,726.7,695.03,730.21,686.25,-4.23,-30.72,1573518,1103575457.0,6.06,1.33
2024-06-07,702.48,715.28,716.34,700.36,2.91,20.25,968578,693757835.0,2.3,0.82
2024-06-11,711.98,717.85,720.19,699.72,0.36,2.57,856315,594318472.0,2.86,0.72
2024-06-12,717.1,728.46,733.09,715.51,1.48,10.61,1007003,769002456.0,2.45,0.85
2024-06-13,728.24,715.66,728.89,713.16,-1.76,-12.8,1232189,854779006.0,2.16,1.04
2024-06-14,713.89,712.85,714.89,705.4,-0.39,-2.81,1217723,756234340.0,1.33,1.03
2024-06-17,710.7,704.29,714.21,703.47,-1.2,-8.56,875379,649464569.0,1.51,0.74
2024-06-18,704.73,712.29,715.62,704.21,1.14,8.0,853162,703526985.0,1.62,0.72
