日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2012-06-14,1001.49,994.71,1001.9,993.01,-0.53,-5.29,12532477,14896549888.0,0.89,0.08
2012-06-15,996.99,1002.63,1004.32,993.44,0.8,7.92,15928868,18789484288.0,1.09,0.1
2012-06-18,1005.34,1002.24,1006.54,999.44,-0.04,-0.39,11639865,12656729600.0,0.71,0.07
2012-06-19,1001.02,997.6,1001.07,996.26,-0.46,-4.64,11055372,11532794880.0,0.48,0.07
2012-06-20,1000.07,999.61,1002.45,998.34,0.2,2.01,10036657,10995191040.0,0.41,0.06
2012-06-21,999.0,988.82,999.0,987.76,-1.08,-10.79,13188913,14152209152.0,1.12,0.08
2012-06-25,987.13,982.72,989.36,981.71,-0.62,-6.1,15713245,15737077760.0,0.77,0.1
2012-06-26,980.75,982.39,985.18,978.4,-0.03,-0.33,11289184,12169746688.0,0.69,0.07
2012-06-27,982.11,980.95,985.69,978.39,-0.15,-1.44,9780860,9945764096.0,0.74,0.06
2012-06-28,982.2,974.45,983.13,974.45,-0.66,-6.5,9799322,11597298432.0,0.88,0.06
2012-06-29,975.06,984.44,985.09,973.12,1.03,9.99,13733879,15021870336.0,1.23,0.09
2012-07-02,987.99,981.85,987.99,979.29,-0.26,-2.59,12797442,14182725376.0,0.88,0.08
2012-07-03,981.24,981.69,987.51,978.08,-0.02,-0.16,12164090,14235804672.0,0.96,0.08
2012-07-04,984.06,982.88,987.06,980.57,0.12,1.19,10764705,11153165568.0,0.66,0.07
2012-07-05,980.72,978.23,981.82,973.06,-0.47,-4.65,11221187,11466587648.0,0.89,0.07
2012-07-06,975.86,978.3,979.81,968.08,0.01,0.07,17590076,18969772800.0,1.2,0.11
2012-07-09,974.39,951.1,974.99,948.66,-2.78,-27.2,17000553,17250055424.0,2.69,0.11
2012-07-10,950.85,952.15,958.44,948.9,0.11,1.05,11771510,12032343552.0,1.0,0.07
2012-07-11,951.27,953.84,955.43,947.57,0.18,1.69,11426747,11371506688.0,0.83,0.07
