日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1009.0,1037.18,1042.55,993.04,3.72,37.18,31955,25091000.0,4.95,0.0
2000-01-05,1040.67,1038.87,1069.06,1028.83,0.16,1.69,48780,37579000.0,3.88,0.0
2000-01-06,1032.27,1081.49,1088.29,1025.86,4.1,42.62,78413,59157000.0,6.01,0.0
2000-01-07,1093.02,1153.73,1171.15,1081.55,6.68,72.24,202380,187312000.0,8.28,0.0
2000-01-10,1175.21,1179.02,1197.66,1140.31,2.19,25.29,287901,273517000.0,4.97,0.0
2000-01-11,1177.08,1117.14,1189.32,1107.23,-5.25,-61.88,245770,230506000.0,6.96,0.0
2000-01-12,1123.37,1099.09,1154.47,1088.33,-1.62,-18.05,172208,175755000.0,5.92,0.0
2000-01-13,1094.12,1072.7,1121.66,1061.89,-2.4,-26.39,114901,114465000.0,5.44,0.0
2000-01-14,1077.65,1054.15,1093.06,1046.75,-1.73,-18.55,68477,57770000.0,4.32,0.0
2000-01-17,1050.63,1077.48,1085.61,1042.22,2.21,23.33,74637,63391000.0,4.12,0.0
2000-01-18,1085.94,1074.35,1111.87,1064.51,-0.29,-3.13,79034,72236000.0,4.4,0.0
2000-01-19,1075.63,1106.63,1116.97,1070.78,3.0,32.28,73666,74493000.0,4.3,0.0
2000-01-20,1107.58,1128.51,1140.6,1096.38,1.98,21.88,98546,100434000.0,4.0,0.0
2000-01-21,1134.52,1133.32,1173.34,1120.51,0.43,4.81,145626,143603000.0,4.68,0.0
2000-01-24,1136.1,1128.14,1157.15,1094.04,-0.46,-5.18,120356,116258000.0,5.57,0.0
2000-01-25,1130.37,1101.25,1142.25,1084.46,-2.38,-26.89,136234,122403000.0,5.12,0.0
2000-01-26,1099.67,1111.36,1127.04,1086.24,0.92,10.11,84127,67950000.0,3.7,0.0
2000-01-27,1116.0,1117.46,1145.96,1096.82,0.55,6.1,116654,102999000.0,4.42,0.0
2000-01-28,1121.37,1135.86,1147.78,1097.39,1.65,18.4,116768,110860000.0,4.51,0.0
2000-02-14,1213.83,1246.97,1247.66,1167.13,9.78,111.11,179511,153019000.0,7.09,0.0
2000-02-15,1282.18,1265.16,1348.32,1252.62,1.46,18.19,234668,222158000.0,7.67,0.0
2000-02-16,1283.12,1304.42,1318.88,1237.33,3.1,39.26,244945,315422000.0,6.45,0.0
2000-02-17,1344.82,1276.72,1408.28,1242.85,-2.12,-27.7,338202,411041000.0,12.68,0.0
2000-02-18,1265.24,1264.75,1291.69,1207.63,-0.94,-11.97,139359,172330000.0,6.58,0.0
2000-02-21,1270.39,1336.76,1362.73,1244.0,5.69,72.01,270388,305770000.0,9.39,0.0
2000-02-22,1390.9,1274.27,1404.18,1269.76,-4.67,-62.49,238029,238874000.0,10.06,0.0
2000-02-23,1254.43,1248.19,1295.4,1226.17,-2.05,-26.08,133620,131916000.0,5.43,0.0
2000-02-24,1247.77,1271.72,1290.07,1243.03,1.89,23.53,86690,85968000.0,3.77,0.0
2000-02-25,1267.21,1252.65,1292.47,1233.79,-1.5,-19.07,116317,140069000.0,4.61,0.0
2000-02-28,1249.64,1295.52,1309.93,1237.74,3.42,42.87,136328,148927000.0,5.76,0.0
2000-02-29,1306.86,1336.63,1376.32,1271.79,3.17,41.11,239678,249374000.0,8.07,0.0
2000-03-01,1340.77,1289.29,1366.99,1255.46,-3.54,-47.34,656571,742810000.0,8.34,0.01
2000-03-02,1276.29,1291.35,1318.98,1255.11,0.16,2.06,273806,290911000.0,4.95,0.0
2000-03-03,1293.08,1322.06,1357.27,1281.32,2.38,30.71,284731,307343000.0,5.88,0.0
2000-03-06,1331.79,1314.53,1396.71,1286.37,-0.57,-7.53,366985,441902000.0,8.35,0.0
2000-03-07,1293.35,1315.51,1335.49,1269.2,0.07,0.98,190391,227735000.0,5.04,0.0
2000-03-08,1321.02,1319.18,1334.87,1292.3,0.28,3.67,128493,153095000.0,3.24,0.0
2000-03-09,1321.51,1323.85,1361.3,1292.18,0.35,4.67,149569,170572000.0,5.24,0.0
2000-03-10,1325.4,1296.32,1340.18,1285.11,-2.08,-27.53,114835,134382000.0,4.16,0.0
2000-03-13,1300.22,1312.83,1337.9,1288.64,1.27,16.51,99758,120648000.0,3.8,0.0
2000-03-14,1295.24,1314.97,1328.57,1258.8,0.16,2.14,263600,244644000.0,5.31,0.0
2000-03-15,1317.04,1339.35,1376.35,1309.83,1.85,24.38,325598,298390000.0,5.06,0.0
2000-03-16,1330.01,1283.0,1343.08,1270.18,-4.21,-56.35,166838,158669000.0,5.44,0.0
2000-03-17,1280.93,1336.21,1352.32,1275.85,4.15,53.21,188865,196279000.0,5.96,0.0
2000-03-20,1332.62,1409.16,1419.74,1314.85,5.46,72.95,281859,330221000.0,7.85,0.0
2000-03-21,1436.51,1445.79,1465.38,1397.56,2.6,36.63,224984,298541000.0,4.81,0.0
2000-03-22,1449.18,1434.01,1482.96,1404.18,-0.81,-11.78,478671,509908000.0,5.45,0.0
2000-03-23,1444.35,1477.31,1501.9,1433.75,3.02,43.3,266645,302967000.0,4.75,0.0
2000-03-24,1499.46,1458.98,1523.2,1450.25,-1.24,-18.33,237638,268030000.0,4.94,0.0
2000-03-27,1471.85,1518.49,1544.88,1450.32,4.08,59.51,237711,291828000.0,6.48,0.0
2000-03-28,1534.18,1521.3,1569.93,1491.64,0.19,2.81,222670,263460000.0,5.16,0.0
2000-03-29,1525.26,1516.28,1544.93,1463.3,-0.33,-5.02,158613,197831000.0,5.37,0.0
2000-03-30,1533.3,1531.66,1559.8,1491.02,1.01,15.38,170140,187041000.0,4.54,0.0
2000-03-31,1526.76,1513.36,1546.04,1492.02,-1.19,-18.3,148742,184850000.0,3.53,0.0
2000-04-03,1508.84,1513.84,1539.54,1486.17,0.03,0.48,152404,240498000.0,3.53,0.0
2000-04-04,1508.52,1474.27,1510.02,1467.75,-2.61,-39.57,117407,149974000.0,2.79,0.0
2000-04-05,1472.25,1470.08,1498.87,1450.5,-0.28,-4.19,85691,99392000.0,3.28,0.0
2000-04-06,1477.77,1514.78,1529.32,1470.37,3.04,44.7,97813,121594000.0,4.01,0.0
2000-04-07,1521.89,1531.93,1558.59,1500.73,1.13,17.15,136083,171059000.0,3.82,0.0
2000-04-10,1533.91,1535.65,1554.87,1512.4,0.24,3.72,155276,167119000.0,2.77,0.0
2000-04-11,1530.3,1519.55,1553.07,1507.2,-1.05,-16.1,98211,110788000.0,2.99,0.0
2000-04-12,1516.46,1521.59,1533.61,1498.44,0.13,2.04,83515,98679000.0,2.31,0.0
2000-04-13,1520.4,1537.84,1548.91,1508.78,1.07,16.25,97775,112805000.0,2.64,0.0
2000-04-14,1546.79,1542.03,1578.61,1526.83,0.27,4.19,195892,223054000.0,3.37,0.0
2000-04-17,1539.6,1490.61,1546.75,1473.46,-3.33,-51.42,144468,192786000.0,4.75,0.0
2000-04-18,1491.16,1511.5,1529.8,1475.34,1.4,20.89,80390,92625000.0,3.65,0.0
2000-04-19,1518.41,1537.26,1555.36,1510.63,1.7,25.76,86963,94599000.0,2.96,0.0
2000-04-20,1540.06,1556.28,1568.52,1520.36,1.24,19.02,106939,152525000.0,3.13,0.0
2000-04-21,1562.17,1534.96,1567.58,1520.37,-1.37,-21.32,94821,107219000.0,3.03,0.0
2000-04-24,1530.43,1547.14,1565.48,1517.32,0.79,12.18,88300,104449000.0,3.14,0.0
2000-04-25,1545.31,1547.56,1574.54,1528.18,0.03,0.42,78926,85067000.0,3.0,0.0
2000-04-26,1547.59,1556.74,1579.39,1531.89,0.59,9.18,67169,79911000.0,3.07,0.0
2000-04-27,1561.11,1562.24,1599.39,1537.01,0.35,5.5,115747,141849000.0,4.01,0.0
2000-04-28,1561.72,1607.38,1633.13,1554.57,2.89,45.14,142474,190140000.0,5.03,0.0
2000-05-08,1616.71,1681.03,1697.13,1599.4,4.58,73.65,171068,240768000.0,6.08,0.0
2000-05-09,1682.22,1653.71,1723.28,1626.23,-1.63,-27.32,200673,234911000.0,5.77,0.0
