日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-04-10,1008.74,1010.8,1023.09,1008.74,1.08,10.8,89671482,305981596553.0,1.44,3.57
2026-04-13,1002.69,1014.47,1017.81,1002.69,0.36,3.67,80705148,274199669894.0,1.5,3.22
2026-04-14,1023.54,1031.38,1031.38,1020.94,1.67,16.91,87532074,310815966616.0,1.03,3.49
2026-04-15,1038.51,1025.64,1039.14,1022.23,-0.56,-5.74,95540756,324215979548.0,1.64,3.81
2026-04-16,1029.23,1041.35,1042.3,1025.54,1.53,15.71,86118982,298561221181.0,1.63,3.43
2026-04-17,1038.69,1050.04,1051.73,1038.1,0.83,8.69,88672154,327372856014.0,1.31,3.53
2026-04-20,1052.14,1058.93,1062.58,1051.85,0.85,8.89,104033039,368934925047.0,1.02,4.15
2026-04-21,1054.92,1055.44,1057.47,1044.43,-0.33,-3.49,95737469,324590416086.0,1.23,3.82
2026-04-22,1050.9,1071.35,1071.57,1050.9,1.51,15.91,105136332,367459564336.0,1.96,4.19
2026-04-23,1073.25,1056.26,1074.08,1046.68,-1.41,-15.09,108307110,413913248725.0,2.56,4.32
2026-04-24,1050.84,1046.56,1056.1,1037.79,-0.92,-9.7,100571484,381409656164.0,1.73,4.01
2026-04-27,1044.86,1055.64,1060.63,1039.65,0.87,9.08,94869383,367505899319.0,2.0,3.78
2026-04-28,1052.72,1038.36,1054.15,1033.84,-1.64,-17.28,89045456,348254652496.0,1.92,3.55
2026-04-29,1030.74,1051.09,1053.4,1030.74,1.23,12.73,89443715,328298897332.0,2.18,3.56
2026-04-30,1052.23,1060.03,1063.94,1050.01,0.85,8.94,101029049,369865478473.0,1.33,4.03
2026-05-06,1072.8,1087.93,1097.11,1072.8,2.63,27.9,123098058,454667052994.0,2.29,4.91
2026-05-07,1095.01,1110.25,1110.47,1089.78,2.05,22.32,113216221,435703117379.0,1.9,4.51
2026-05-08,1101.04,1109.6,1110.95,1098.3,-0.06,-0.65,106426359,410917465489.0,1.14,4.24
2026-05-11,1118.57,1132.24,1135.05,1112.01,2.04,22.64,126450742,503713933616.0,2.08,5.04
2026-05-12,1134.39,1127.64,1134.72,1120.61,-0.41,-4.6,127159953,463902897504.0,1.25,5.07
2026-05-13,1117.8,1148.06,1148.87,1115.43,1.81,20.42,115211742,451834431333.0,2.97,4.59
2026-05-14,1153.69,1119.24,1153.96,1119.24,-2.51,-28.82,122698766,477202142205.0,3.02,4.89
2026-05-15,1120.33,1108.97,1134.58,1096.16,-0.92,-10.27,117288450,475667286299.0,3.43,4.67
2026-05-18,1102.13,1111.47,1119.95,1099.0,0.23,2.5,95692173,395473394657.0,1.89,3.81
2026-05-19,1108.49,1125.87,1126.47,1094.88,1.3,14.4,101690295,397933761780.0,2.84,4.05
2026-05-20,1119.99,1132.92,1135.3,1117.78,0.63,7.05,96905035,410854761486.0,1.56,3.86
2026-05-21,1140.34,1098.83,1153.28,1096.88,-3.01,-34.09,112917824,481754461114.0,4.98,4.5
2026-05-22,1107.72,1118.31,1120.18,1095.78,1.77,19.48,88238514,360914292559.0,2.22,3.52
2026-05-25,1124.24,1142.68,1142.94,1119.37,2.18,24.37,93858728,423850333783.0,2.11,3.74
2026-05-26,1138.22,1129.03,1138.22,1110.51,-1.19,-13.65,104330479,410537707816.0,2.43,4.16
2026-05-27,1127.36,1110.89,1140.52,1105.57,-1.61,-18.14,112459600,440883161662.0,3.1,4.48
2026-05-28,1108.74,1120.15,1123.17,1097.76,0.83,9.26,99858813,397240863023.0,2.29,3.98
2026-05-29,1126.54,1087.44,1126.95,1079.75,-2.92,-32.71,106274317,412505650312.0,4.21,4.23
2026-06-01,1086.99,1065.7,1095.59,1064.82,-2.0,-21.74,99608769,360346133937.0,2.83,3.97
2026-06-02,1069.77,1074.34,1083.23,1049.31,0.81,8.64,88427819,322241830602.0,3.18,3.52
2026-06-03,1075.34,1081.85,1099.08,1071.12,0.7,7.51,94458853,378339695800.0,2.6,3.76
2026-06-04,1069.52,1082.43,1088.58,1069.17,0.05,0.58,80760270,321122764782.0,1.79,3.22
2026-06-05,1078.13,1068.41,1088.12,1064.09,-1.3,-14.02,84686392,365140910745.0,2.22,3.37
2026-06-08,1030.35,1031.02,1055.83,1020.05,-3.5,-37.39,83865949,334236529342.0,3.35,3.34
2026-06-09,1045.11,1066.65,1066.67,1036.23,3.46,35.63,72340066,315947272871.0,2.95,2.88
2026-06-10,1053.16,1048.31,1061.68,1035.81,-1.72,-18.34,68175749,292858244655.0,2.43,2.72
2026-06-11,1042.44,1045.51,1053.93,1034.26,-0.27,-2.8,69165121,329630535137.0,1.88,2.76
2026-06-12,1066.8,1059.66,1074.5,1055.59,1.35,14.15,89296372,405035114821.0,1.81,3.56
2026-06-15,1069.27,1107.17,1107.18,1067.73,4.48,47.51,85740695,372690544594.0,3.72,3.42
2026-06-16,1111.46,1127.2,1131.12,1109.37,1.81,20.03,78746005,386784234642.0,1.96,3.14
2026-06-17,1118.37,1147.11,1147.44,1118.37,1.77,19.91,76769283,414221603318.0,2.58,3.06
2026-06-18,1142.83,1155.45,1160.62,1141.7,0.73,8.34,84369058,401540044715.0,1.65,3.36
2026-06-22,1162.32,1171.0,1171.19,1135.11,1.35,15.55,93015381,434657957329.0,3.12,3.71
2026-06-23,1166.1,1153.65,1181.02,1144.5,-1.48,-17.35,96191133,397778637912.0,3.12,3.83
2026-06-24,1147.85,1169.21,1171.41,1145.74,1.35,15.56,82382208,376191450600.0,2.23,3.28
2026-06-25,1167.89,1174.22,1176.24,1158.58,0.43,5.01,85122639,401186342679.0,1.51,3.39
2026-06-26,1166.55,1137.94,1171.78,1134.85,-3.09,-36.28,87277881,422076233485.0,3.15,3.48
