日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1001.86,1021.29,1026.61,981.38,2.13,21.29,120209,69801000.0,4.52,0.02
2000-01-05,1021.37,1020.28,1045.42,1000.17,-0.1,-1.01,120476,71517000.0,4.43,0.02
2000-01-06,1018.28,1047.0,1052.48,1005.3,2.62,26.72,125554,74618000.0,4.62,0.02
2000-01-07,1054.75,1076.68,1089.09,1043.0,2.83,29.68,246453,150609000.0,4.4,0.04
2000-01-10,1076.37,1083.51,1108.2,1042.56,0.63,6.83,225439,142337000.0,6.1,0.04
2000-01-11,1088.36,1050.97,1118.01,1043.15,-3.0,-32.54,255583,156235000.0,6.91,0.05
2000-01-12,1043.8,1017.53,1061.46,1005.72,-3.18,-33.44,161774,95979000.0,5.3,0.03
2000-01-13,1014.33,1010.9,1031.88,997.53,-0.65,-6.63,84598,50286000.0,3.38,0.02
2000-01-14,1017.43,998.86,1029.17,988.72,-1.19,-12.04,85352,51346000.0,4.0,0.02
2000-01-17,992.95,1005.18,1014.5,973.65,0.63,6.32,93645,58877000.0,4.09,0.02
2000-01-18,1005.96,992.45,1018.21,983.23,-1.27,-12.73,98194,59960000.0,3.48,0.02
2000-01-19,990.33,995.29,1006.57,981.68,0.29,2.84,65212,39153000.0,2.51,0.01
2000-01-20,995.43,1031.31,1041.51,984.89,3.62,36.02,219395,121817000.0,5.69,0.04
2000-01-21,1030.0,996.31,1036.07,987.34,-3.39,-35.0,206914,118225000.0,4.73,0.04
2000-01-24,992.22,993.18,1007.43,966.35,-0.31,-3.13,164291,92170000.0,4.12,0.03
2000-01-25,1001.5,1017.25,1036.58,984.56,2.42,24.07,172408,97100000.0,5.24,0.03
2000-01-26,1016.89,1007.64,1029.79,995.06,-0.94,-9.61,91865,53703000.0,3.41,0.02
2000-01-27,1008.07,989.21,1017.68,981.34,-1.83,-18.43,139306,79115000.0,3.61,0.02
2000-01-28,987.89,1011.66,1026.88,970.01,2.27,22.45,200500,111435000.0,5.75,0.04
2000-02-14,1047.95,1088.11,1092.55,1027.35,7.56,76.45,279040,170283000.0,6.44,0.05
2000-02-15,1117.43,1096.12,1139.41,1086.0,0.74,8.01,359625,225038000.0,4.91,0.06
2000-02-16,1118.9,1113.33,1132.15,1070.64,1.57,17.21,543223,356594000.0,5.61,0.1
2000-02-17,1142.74,1122.54,1178.58,1084.42,0.83,9.21,762677,532731000.0,8.46,0.14
2000-02-18,1118.04,1107.85,1145.88,1068.64,-1.31,-14.69,355785,237505000.0,6.88,0.06
2000-02-21,1112.71,1109.54,1142.58,1071.56,0.15,1.69,315498,207272000.0,6.41,0.06
2000-02-22,1113.49,1101.15,1156.53,1090.88,-0.76,-8.39,283225,180922000.0,5.92,0.05
2000-02-23,1106.46,1117.57,1163.07,1080.6,1.49,16.42,345588,217299000.0,7.49,0.06
2000-02-24,1117.38,1111.37,1136.95,1087.03,-0.55,-6.2,208112,126981000.0,4.47,0.04
2000-02-25,1109.76,1110.22,1138.0,1088.04,-0.1,-1.15,271487,164260000.0,4.5,0.05
2000-02-28,1111.65,1166.54,1191.76,1104.17,5.07,56.32,531011,337971000.0,7.89,0.09
2000-02-29,1197.83,1225.84,1246.5,1152.72,5.08,59.3,728293,506669000.0,8.04,0.13
2000-03-01,1237.74,1192.79,1261.33,1175.72,-2.7,-33.05,452399,318518000.0,6.98,0.08
2000-03-02,1188.59,1190.22,1224.37,1168.49,-0.22,-2.57,312668,209129000.0,4.68,0.06
2000-03-03,1197.57,1222.12,1248.6,1184.12,2.68,31.9,569825,420696000.0,5.42,0.1
2000-03-06,1232.15,1176.11,1268.43,1167.48,-3.76,-46.01,486320,355354000.0,8.26,0.09
2000-03-07,1162.46,1177.44,1192.38,1142.22,0.11,1.33,226572,150694000.0,4.26,0.04
2000-03-08,1182.48,1193.85,1206.4,1163.64,1.39,16.41,181035,124705000.0,3.63,0.03
2000-03-09,1196.8,1192.83,1226.35,1175.33,-0.09,-1.02,184874,125699000.0,4.27,0.03
2000-03-10,1195.51,1167.95,1210.05,1156.06,-2.09,-24.88,174280,118957000.0,4.53,0.03
2000-03-13,1172.91,1193.78,1205.69,1164.17,2.21,25.83,142792,96312000.0,3.55,0.03
2000-03-14,1177.82,1185.12,1207.12,1131.13,-0.73,-8.66,312606,201377000.0,6.37,0.06
2000-03-15,1188.74,1192.78,1207.85,1168.29,0.65,7.66,235401,158529000.0,3.34,0.04
2000-03-16,1191.99,1140.82,1200.9,1127.72,-4.36,-51.96,241048,163485000.0,6.14,0.04
2000-03-17,1134.77,1165.94,1178.42,1128.55,2.2,25.12,180344,125979000.0,4.37,0.03
2000-03-20,1159.2,1221.9,1231.85,1141.1,4.8,55.96,272514,209822000.0,7.78,0.05
2000-03-21,1230.46,1233.04,1244.67,1200.84,0.91,11.14,265015,203122000.0,3.59,0.05
2000-03-22,1238.55,1239.76,1271.24,1222.8,0.54,6.72,292131,206820000.0,3.93,0.05
2000-03-23,1250.25,1263.16,1280.75,1233.82,1.89,23.4,256682,192133000.0,3.79,0.05
2000-03-24,1281.87,1268.53,1312.13,1255.45,0.43,5.37,274620,206032000.0,4.49,0.05
2000-03-27,1277.74,1327.78,1346.63,1274.2,4.67,59.25,322857,247092000.0,5.71,0.06
2000-03-28,1340.7,1349.42,1397.01,1302.19,1.63,21.64,504518,393326000.0,7.14,0.09
2000-03-29,1359.78,1353.9,1398.62,1310.38,0.33,4.48,516362,426801000.0,6.54,0.09
2000-03-30,1357.72,1362.3,1384.39,1331.7,0.62,8.4,321984,266160000.0,3.89,0.06
2000-03-31,1364.77,1368.71,1394.17,1333.12,0.47,6.41,411835,319651000.0,4.48,0.07
2000-04-03,1375.91,1354.72,1406.6,1337.42,-1.02,-13.99,347438,273245000.0,5.05,0.06
2000-04-04,1345.09,1304.34,1353.57,1294.28,-3.72,-50.38,243458,188126000.0,4.38,0.04
2000-04-05,1296.79,1317.5,1338.62,1282.96,1.01,13.16,191347,143982000.0,4.27,0.03
2000-04-06,1324.63,1362.51,1375.29,1310.32,3.42,45.01,236643,196168000.0,4.93,0.04
2000-04-07,1368.08,1374.34,1403.49,1345.66,0.87,11.83,358324,282431000.0,4.24,0.06
2000-04-10,1384.4,1405.2,1425.62,1360.78,2.25,30.86,416384,319669000.0,4.72,0.07
2000-04-11,1404.32,1395.27,1445.66,1378.34,-0.71,-9.93,443162,363093000.0,4.79,0.08
2000-04-12,1370.45,1370.44,1408.83,1338.28,-1.78,-24.83,251328,201808000.0,5.06,0.04
2000-04-13,1372.71,1384.58,1402.54,1356.79,1.03,14.14,273559,221332000.0,3.34,0.05
2000-04-14,1385.96,1424.39,1444.69,1370.37,2.88,39.81,564106,445881000.0,5.37,0.1
2000-04-17,1411.75,1396.12,1445.84,1368.96,-1.98,-28.27,545871,435617000.0,5.4,0.1
2000-04-18,1400.0,1427.28,1449.3,1381.78,2.23,31.16,334081,275791000.0,4.84,0.06
2000-04-19,1440.23,1433.22,1468.03,1405.65,0.42,5.94,315685,295763000.0,4.37,0.06
2000-04-20,1430.9,1443.47,1474.62,1423.22,0.72,10.25,383577,357276000.0,3.59,0.07
2000-04-21,1443.67,1424.79,1472.01,1404.67,-1.29,-18.68,334538,299256000.0,4.67,0.06
2000-04-24,1424.24,1475.09,1493.35,1408.88,3.53,50.3,386275,324976000.0,5.93,0.07
2000-04-25,1479.11,1455.84,1514.35,1438.6,-1.31,-19.25,478514,386124000.0,5.14,0.09
2000-04-26,1455.38,1434.61,1489.87,1425.84,-1.46,-21.23,228305,180657000.0,4.4,0.04
2000-04-27,1431.24,1405.47,1454.65,1379.9,-2.03,-29.14,320854,261820000.0,5.21,0.06
2000-04-28,1394.96,1429.4,1442.76,1384.94,1.7,23.93,178864,143894000.0,4.11,0.03
2000-05-08,1453.79,1439.91,1483.99,1414.03,0.74,10.51,277692,238406000.0,4.89,0.05
2000-05-09,1442.07,1430.48,1466.68,1407.64,-0.65,-9.43,224670,178408000.0,4.1,0.04
2000-05-10,1428.24,1376.01,1440.75,1366.57,-3.81,-54.47,211695,166832000.0,5.19,0.04
2000-05-11,1370.2,1324.54,1389.73,1319.18,-3.74,-51.47,131184,92333000.0,5.13,0.02
2000-05-12,1316.09,1335.08,1359.23,1310.72,0.8,10.54,141301,109293000.0,3.66,0.03
2000-05-15,1339.62,1329.23,1366.36,1301.19,-0.44,-5.85,107012,89886000.0,4.88,0.02
2000-05-16,1330.69,1353.82,1362.19,1323.38,1.85,24.59,63910,51667000.0,2.92,0.01
2000-05-17,1366.32,1372.94,1396.84,1343.35,1.41,19.12,136286,102555000.0,3.95,0.02
2000-05-18,1377.41,1410.86,1417.89,1357.96,2.76,37.92,194905,151308000.0,4.37,0.03
2000-05-19,1404.96,1413.4,1432.76,1385.88,0.18,2.54,180940,141363000.0,3.32,0.03
2000-05-22,1419.65,1466.32,1479.48,1409.15,3.74,52.92,401573,341459000.0,4.98,0.07
2000-05-23,1480.4,1478.5,1519.9,1445.95,0.83,12.18,547268,470723000.0,5.04,0.1
2000-05-24,1480.61,1469.2,1516.46,1451.12,-0.63,-9.3,422871,363606000.0,4.42,0.08
2000-05-25,1478.38,1536.05,1545.15,1458.06,4.55,66.85,505812,413787000.0,5.93,0.09
2000-05-26,1542.1,1519.0,1555.74,1501.8,-1.11,-17.05,364269,302188000.0,3.51,0.06
2000-05-29,1523.75,1546.22,1577.94,1509.8,1.79,27.22,334890,291462000.0,4.49,0.06
2000-05-30,1550.39,1506.64,1563.6,1488.22,-2.56,-39.58,283013,247403000.0,4.88,0.05
2000-05-31,1503.37,1513.81,1540.58,1478.99,0.48,7.17,219146,196249000.0,4.09,0.04
2000-06-01,1515.57,1516.14,1537.11,1489.16,0.15,2.33,190266,161401000.0,3.17,0.03
2000-06-02,1516.63,1528.94,1551.13,1489.79,0.84,12.8,320090,252405000.0,4.05,0.06
2000-06-05,1537.43,1511.67,1578.45,1496.53,-1.13,-17.27,337857,265648000.0,5.36,0.06
2000-06-06,1512.2,1509.81,1533.91,1482.43,-0.12,-1.86,183038,147009000.0,3.41,0.03
2000-06-07,1518.16,1531.72,1556.61,1502.45,1.45,21.91,229953,205201000.0,3.59,0.04
2000-06-08,1541.29,1564.26,1584.94,1528.78,2.12,32.54,372781,309749000.0,3.67,0.07
2000-06-09,1574.12,1532.89,1592.51,1524.19,-2.01,-31.37,252835,220441000.0,4.37,0.04
2000-06-12,1535.67,1538.97,1555.37,1506.35,0.4,6.08,271954,228130000.0,3.2,0.05
2000-06-13,1543.44,1579.34,1597.43,1532.74,2.62,40.37,335430,273721000.0,4.2,0.06
