日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-12-24,996.63,981.87,997.08,981.68,-1.81,-18.13,77878651,18478401024.0,1.54,0.92
2021-12-27,978.83,981.79,986.08,978.1,-0.01,-0.08,70421376,17297025536.0,0.81,0.84
2021-12-28,980.91,978.18,982.08,975.68,-0.37,-3.61,68887519,16999740672.0,0.65,0.82
2021-12-29,977.02,977.69,979.14,971.68,-0.05,-0.49,67828954,16650865920.0,0.76,0.8
2021-12-30,976.67,982.65,986.16,976.35,0.51,4.96,66977679,16728240896.0,1.0,0.79
2021-12-31,983.56,991.9,993.46,982.56,0.94,9.25,80524116,20656240640.0,1.11,0.96
2022-01-04,994.19,1013.48,1014.25,993.35,2.18,21.58,93687452,23183479040.0,2.11,1.11
2022-01-05,1014.7,1017.13,1019.0,1009.13,0.36,3.65,87655017,21436577536.0,0.97,1.04
2022-01-06,1014.26,1028.14,1030.01,1013.71,1.08,11.01,99748513,25514051072.0,1.6,1.18
2022-01-07,1029.78,1023.92,1036.45,1023.16,-0.41,-4.22,121912945,30330621440.0,1.29,1.45
2022-01-10,1023.61,1029.56,1030.65,1019.14,0.55,5.64,85888187,21138634752.0,1.12,1.02
2022-01-11,1030.1,1034.47,1042.37,1029.82,0.48,4.91,86602775,21254239744.0,1.22,1.03
2022-01-12,1034.21,1035.33,1035.72,1027.74,0.08,0.86,82521331,20401812224.0,0.77,0.98
2022-01-13,1035.01,1033.77,1043.82,1032.39,-0.15,-1.56,83309494,20706093312.0,1.1,0.99
2022-01-14,1028.75,1006.91,1029.18,1006.44,-2.6,-26.86,76801961,18284103936.0,2.2,0.91
2022-01-17,1002.34,1006.32,1006.96,1001.83,-0.06,-0.59,66041585,15740507904.0,0.51,0.78
2022-01-18,1004.98,999.14,1007.99,996.6,-0.71,-7.18,82282422,20456045056.0,1.13,0.98
2022-01-19,995.04,1001.66,1006.53,994.76,0.25,2.52,72670717,17810231040.0,1.18,0.86
2022-01-20,999.9,981.83,1002.75,981.83,-1.98,-19.83,78478858,19072673792.0,2.09,0.93
2022-01-21,978.68,976.11,981.98,968.01,-0.58,-5.72,66469002,15784290048.0,1.42,0.79
2022-01-24,969.73,967.86,973.54,962.1,-0.85,-8.25,53331392,12467731712.0,1.17,0.63
2022-01-25,962.84,930.57,963.12,930.57,-3.85,-37.29,73054520,16844167680.0,3.36,0.87
2022-01-26,928.88,939.0,941.55,928.88,0.91,8.43,66421448,15826346496.0,1.36,0.79
2022-01-27,936.05,913.19,936.05,913.19,-2.75,-25.81,73028316,16827163392.0,2.43,0.87
2022-01-28,912.24,929.04,933.34,907.99,1.74,15.85,77193034,18004689152.0,2.78,0.92
2022-02-07,928.3,939.02,939.69,924.01,1.07,9.98,92298660,22047792128.0,1.69,1.09
2022-02-08,936.63,968.12,968.75,936.43,3.1,29.1,102729055,24346647296.0,3.44,1.22
2022-02-09,965.93,974.94,975.7,965.19,0.7,6.82,87133348,20690495744.0,1.09,1.03
2022-02-10,973.67,976.55,978.83,969.34,0.17,1.61,86394519,20879873536.0,0.97,1.02
2022-02-11,977.63,967.01,980.58,966.1,-0.98,-9.54,86551032,20671792384.0,1.48,1.03
2022-02-14,962.05,965.09,969.08,959.83,-0.2,-1.92,72544788,17202772736.0,0.96,0.86
2022-02-15,963.79,957.12,964.51,953.21,-0.83,-7.97,59685855,13846044928.0,1.17,0.71
2022-02-16,958.25,969.31,969.76,958.25,1.27,12.19,65268605,15933188352.0,1.2,0.77
2022-02-17,968.35,967.54,973.17,965.88,-0.18,-1.77,66962038,16256882944.0,0.75,0.79
2022-02-18,964.65,984.91,985.38,963.2,1.8,17.37,71158490,17114485248.0,2.29,0.84
2022-02-21,986.33,996.01,996.7,983.44,1.13,11.1,72385539,17223631616.0,1.35,0.86
2022-02-22,993.55,987.33,996.15,983.79,-0.87,-8.68,67370657,15946330368.0,1.24,0.8
2022-02-23,989.06,992.37,993.47,984.93,0.51,5.04,62174748,14715733760.0,0.86,0.74
2022-02-24,989.91,969.85,996.96,960.09,-2.27,-22.52,104724964,24692193792.0,3.72,1.24
2022-02-25,973.13,980.35,985.67,973.13,1.08,10.5,86584192,21082139648.0,1.29,1.03
2022-02-28,981.41,977.56,981.86,968.75,-0.28,-2.79,77857661,18893414912.0,1.34,0.92
2022-03-01,979.07,989.37,989.78,979.04,1.21,11.81,71524073,17016391168.0,1.1,0.85
2022-03-02,987.46,999.82,1000.26,986.7,1.06,10.45,71583995,16761072384.0,1.37,0.85
2022-03-03,1001.01,1005.67,1006.41,1000.64,0.59,5.85,96579750,22007692032.0,0.58,1.15
2022-03-04,1004.06,990.76,1004.06,988.48,-1.48,-14.91,91164104,20478398208.0,1.55,1.08
2022-03-07,988.01,983.47,992.79,981.07,-0.74,-7.29,85362394,19656144128.0,1.18,1.01
2022-03-08,980.97,957.78,981.04,955.42,-2.61,-25.69,92182574,21197092096.0,2.61,1.09
2022-03-09,958.09,940.71,961.84,911.64,-1.78,-17.07,107544837,24746223104.0,5.24,1.28
2022-03-10,953.11,953.59,960.65,948.34,1.37,12.88,76742863,18088998656.0,1.31,0.91
2022-03-11,945.48,955.07,955.81,929.17,0.16,1.48,75406372,17073226496.0,2.79,0.89
2022-03-14,948.29,937.78,955.2,937.78,-1.81,-17.29,66685988,15233965056.0,1.82,0.79
2022-03-15,932.91,891.33,932.91,891.33,-4.95,-46.45,103038203,22771366656.0,4.43,1.22
2022-03-16,899.75,916.19,918.5,877.73,2.79,24.86,111503485,25277921792.0,4.57,1.32
2022-03-17,922.61,926.85,938.71,922.61,1.16,10.66,96660756,22328065536.0,1.76,1.15
2022-03-18,923.7,946.98,947.48,921.18,2.17,20.13,93428019,21136187904.0,2.84,1.11
2022-03-21,949.3,956.25,956.97,946.94,0.98,9.27,85298035,19784272128.0,1.06,1.01
2022-03-22,954.33,964.09,969.26,949.5,0.82,7.84,92172657,21653243904.0,2.07,1.09
2022-03-23,961.24,964.56,966.45,958.29,0.05,0.47,79979320,18591258880.0,0.85,0.95
2022-03-24,958.67,946.99,959.84,946.54,-1.82,-17.57,68864788,15660122880.0,1.38,0.82
2022-03-25,944.0,947.39,954.99,943.22,0.04,0.4,72234632,16782808832.0,1.24,0.86
2022-03-28,941.2,949.24,953.86,933.26,0.2,1.85,76286712,17818184960.0,2.17,0.91
2022-03-29,946.94,945.12,950.58,941.14,-0.43,-4.12,63955986,14406925568.0,0.99,0.76
2022-03-30,943.52,951.92,952.33,943.03,0.72,6.8,77921503,18061559040.0,0.98,0.92
2022-03-31,948.88,946.53,955.71,945.28,-0.57,-5.39,76774922,17104942080.0,1.1,0.91
2022-04-01,942.03,954.6,955.42,939.83,0.85,8.07,73455406,16243335680.0,1.65,0.87
2022-04-06,953.75,976.6,976.92,953.59,2.3,22.0,88962196,20275792128.0,2.44,1.06
2022-04-07,974.47,964.03,980.93,964.03,-1.29,-12.57,74464945,16668763136.0,1.73,0.88
2022-04-08,963.74,967.39,967.39,951.06,0.35,3.36,79896353,18346617088.0,1.69,0.95
2022-04-11,962.42,942.33,962.42,937.97,-2.59,-25.06,82527281,18660435968.0,2.53,0.98
2022-04-12,935.41,955.05,956.27,932.16,1.35,12.72,81704806,18323012352.0,2.56,0.97
2022-04-13,949.78,936.74,949.78,936.74,-1.92,-18.31,72237256,16092916992.0,1.37,0.86
2022-04-14,936.77,941.31,945.03,936.77,0.49,4.57,73843756,17209708032.0,0.88,0.88
2022-04-15,936.3,924.65,937.46,921.51,-1.77,-16.66,89459868,20250569728.0,1.69,1.06
