日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-03-16,994.87,995.77,999.78,973.49,-0.42,-4.23,14133770,5643685632.0,2.63,2.13
2021-03-17,985.94,958.97,985.95,950.39,-3.7,-36.8,11869301,4882506496.0,3.57,1.79
2021-03-18,958.92,968.0,981.85,956.74,0.94,9.03,10382573,4342585600.0,2.62,1.57
2021-03-19,948.5,964.91,980.05,947.62,-0.32,-3.09,10337579,4326508800.0,3.35,1.56
2021-03-22,978.27,992.37,997.27,978.27,2.85,27.46,9712352,4276327808.0,1.97,1.47
2021-03-23,987.9,965.16,990.91,943.4,-2.74,-27.21,11530066,5224215296.0,4.79,1.74
2021-03-24,958.17,964.77,972.68,952.49,-0.04,-0.39,11092311,5752363520.0,2.09,1.67
2021-03-25,953.61,940.1,953.61,936.13,-2.56,-24.67,6664229,3083261568.0,1.81,1.01
2021-03-26,934.99,946.57,949.55,932.94,0.69,6.47,6572530,3116326032.0,1.77,0.99
2021-03-29,949.37,949.92,958.68,941.4,0.35,3.35,7052977,3433722704.0,1.83,1.06
2021-03-30,944.6,944.44,947.37,931.17,-0.58,-5.48,6686913,3031519792.0,1.71,1.01
2021-03-31,941.32,962.72,966.64,941.08,1.94,18.28,9433299,4010321952.0,2.71,1.42
2021-04-01,959.29,977.12,988.04,942.67,1.5,14.4,12707116,5372856576.0,4.71,1.92
2021-04-02,971.16,970.97,982.11,968.42,-0.63,-6.15,7797856,3616655744.0,1.4,1.18
2021-04-06,980.77,992.93,1008.34,980.77,2.26,21.96,8467969,4139057744.0,2.84,1.28
2021-04-07,1000.22,1040.63,1044.19,997.18,4.8,47.7,14109721,6133998592.0,4.73,2.13
2021-04-08,1043.13,1038.98,1076.55,1031.07,-0.16,-1.65,18128262,8350799104.0,4.37,2.73
2021-04-09,1047.1,1050.77,1067.11,1027.5,1.13,11.79,16205059,7321968640.0,3.81,2.44
2021-04-12,1041.26,1063.34,1074.53,1033.76,1.2,12.57,16875702,7437465600.0,3.88,2.55
2021-04-13,1050.15,1035.65,1050.33,1021.68,-2.6,-27.69,11197572,4912584192.0,2.69,1.69
2021-04-14,1022.57,1045.72,1055.68,1022.57,0.97,10.07,9110908,3824105136.0,3.2,1.37
2021-04-15,1037.91,1027.34,1037.91,1017.86,-1.76,-18.38,7570500,3157533888.0,1.92,1.14
2021-04-16,1027.66,1046.23,1053.59,1026.34,1.84,18.89,7984136,3787627200.0,2.65,1.2
2021-04-19,1044.77,1049.62,1061.18,1042.76,0.32,3.39,8388388,4043314592.0,1.76,1.27
2021-04-20,1047.22,1039.59,1051.21,1037.71,-0.96,-10.03,8115265,4114114032.0,1.29,1.22
2021-04-21,1032.48,1016.93,1034.33,1008.13,-2.18,-22.66,6855229,3347045776.0,2.52,1.03
2021-04-22,1024.79,1039.69,1053.26,1024.72,2.24,22.76,8783278,4438810880.0,2.81,1.33
2021-04-23,1039.64,1066.24,1068.3,1037.85,2.55,26.55,9817862,5132690688.0,2.93,1.48
2021-04-26,1068.51,1062.09,1086.8,1060.61,-0.39,-4.15,9333031,5132339712.0,2.46,1.41
2021-04-27,1062.12,1056.38,1064.4,1038.4,-0.54,-5.71,7579168,4429947136.0,2.45,1.14
2021-04-28,1058.31,1066.71,1069.61,1052.63,0.98,10.33,6576055,4091782016.0,1.61,0.99
2021-04-29,1067.29,1067.55,1071.34,1041.58,0.08,0.84,6834277,3714218928.0,2.79,1.03
2021-04-30,1064.19,1063.67,1079.34,1059.02,-0.36,-3.88,8411835,4377654528.0,1.9,1.27
2021-05-06,1083.64,1126.28,1129.65,1083.64,5.89,62.61,11593895,5620747264.0,4.33,1.75
2021-05-07,1143.52,1161.0,1170.95,1130.04,3.08,34.72,14986270,7827484416.0,3.63,2.26
2021-05-10,1193.55,1229.3,1229.63,1182.74,5.88,68.3,16361278,8741062912.0,4.04,2.47
2021-05-11,1217.11,1207.1,1230.87,1188.31,-1.81,-22.2,18830306,8938959104.0,3.46,2.84
2021-05-12,1207.23,1240.95,1243.5,1207.23,2.8,33.85,15037937,7201310464.0,3.0,2.27
2021-05-13,1219.91,1186.85,1231.87,1183.47,-4.36,-54.1,16261690,7408041472.0,3.9,2.45
2021-05-14,1193.38,1176.01,1201.13,1168.37,-0.91,-10.84,12647043,5877513984.0,2.76,1.91
2021-05-17,1163.24,1161.25,1176.16,1144.95,-1.26,-14.76,10901862,5303507712.0,2.65,1.64
2021-05-18,1178.08,1173.11,1179.04,1158.58,1.02,11.86,9301167,4415499264.0,1.76,1.4
2021-05-19,1166.38,1149.63,1170.96,1143.24,-2.0,-23.48,9734855,4957366272.0,2.36,1.47
2021-05-20,1103.47,1119.43,1125.83,1092.06,-2.63,-30.2,12621564,6495176192.0,2.94,1.9
