日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2014-09-05,1010.74,1000.57,1010.74,995.69,0.06,0.57,4207851,5133915904.0,1.51,0.57
2014-09-09,999.15,1017.68,1018.91,990.6,1.71,17.11,4651332,5288283136.0,2.83,0.63
2014-09-10,1006.62,1006.27,1009.38,994.89,-1.12,-11.41,4045102,4748744192.0,1.42,0.55
2014-09-11,1003.94,1003.54,1022.68,995.01,-0.27,-2.73,5032291,6624365824.0,2.75,0.69
2014-09-12,999.41,1009.96,1010.14,994.63,0.64,6.42,2870685,3521483328.0,1.55,0.39
2014-09-15,1009.41,1028.34,1032.1,1007.08,1.82,18.38,4467444,5715478784.0,2.48,0.61
2014-09-16,1026.43,987.12,1026.87,985.78,-4.01,-41.22,4258296,5043011072.0,4.0,0.58
2014-09-17,988.41,1002.39,1004.14,985.17,1.55,15.27,3088520,3250582336.0,1.92,0.42
2014-09-18,1000.46,1013.25,1014.65,995.28,1.08,10.86,2995522,2883689200.0,1.93,0.41
2014-09-19,1011.04,1017.77,1020.96,1006.04,0.45,4.52,2512199,3014885344.0,1.47,0.34
2014-09-22,1014.59,1003.88,1019.41,1000.95,-1.36,-13.89,3317740,3751622240.0,1.81,0.45
2014-09-23,1003.36,1018.19,1022.65,1003.32,1.43,14.31,2785487,3127126816.0,1.93,0.38
2014-09-24,1017.33,1036.19,1036.28,1014.51,1.77,18.0,3068742,3459502432.0,2.14,0.42
2014-09-25,1038.71,1035.89,1048.63,1031.3,-0.03,-0.3,3081028,3655047776.0,1.67,0.42
2014-09-26,1033.78,1048.56,1054.06,1030.66,1.22,12.67,2977378,3505777968.0,2.26,0.41
2014-09-29,1051.53,1062.86,1065.96,1051.53,1.36,14.3,3027615,3455092656.0,1.38,0.41
2014-09-30,1059.22,1070.99,1072.19,1058.34,0.76,8.13,3832348,4096206304.0,1.3,0.52
2014-10-08,1076.17,1111.05,1111.41,1069.26,3.74,40.06,4209656,3910058704.0,3.94,0.57
2014-10-09,1114.82,1127.35,1139.14,1106.7,1.47,16.3,5906392,6139497728.0,2.92,0.81
2014-10-10,1124.13,1122.76,1125.35,1109.34,-0.41,-4.59,4080625,4525107456.0,1.42,0.56
2014-10-13,1115.91,1130.57,1132.59,1103.25,0.7,7.81,3955252,4022368832.0,2.61,0.54
2014-10-14,1136.14,1163.74,1175.39,1135.45,2.93,33.17,4736278,4257381488.0,3.53,0.65
2014-10-15,1179.15,1174.29,1185.21,1155.98,0.91,10.55,5772997,5152940032.0,2.51,0.79
2014-10-16,1167.02,1170.5,1207.21,1160.23,-0.32,-3.79,6118726,5487481600.0,4.0,0.83
2014-10-17,1144.08,1142.05,1152.76,1123.26,-2.43,-28.45,5222422,5168925952.0,2.52,0.71
2014-10-20,1143.74,1160.4,1161.81,1143.48,1.61,18.35,4087845,4499116544.0,1.61,0.56
2014-10-21,1172.12,1144.96,1183.27,1142.53,-1.33,-15.44,6359412,7167568640.0,3.51,0.87
2014-10-22,1139.59,1159.57,1163.85,1128.63,1.28,14.61,5914016,6955620352.0,3.08,0.81
2014-10-23,1145.0,1125.84,1154.39,1125.54,-2.91,-33.73,5437084,6960448768.0,2.49,0.74
2014-10-24,1124.78,1115.72,1134.01,1109.69,-0.9,-10.12,4092182,4780887552.0,2.16,0.56
2014-10-27,1108.58,1125.25,1129.77,1104.07,0.85,9.53,3578626,4324733440.0,2.3,0.49
2014-10-28,1126.73,1169.79,1174.75,1126.31,3.96,44.54,6317482,6312969984.0,4.3,0.86
2014-10-29,1171.25,1189.88,1190.69,1163.64,1.72,20.09,6315337,6971099648.0,2.31,0.86
2014-10-30,1185.18,1176.6,1189.72,1172.59,-1.12,-13.28,4930107,5559098112.0,1.44,0.67
2014-10-31,1175.3,1165.58,1181.1,1150.28,-0.94,-11.02,3956143,4387666176.0,2.62,0.54
2014-11-03,1164.51,1182.08,1190.5,1162.94,1.42,16.5,4100999,4274137648.0,2.36,0.56
2014-11-04,1180.05,1157.15,1180.05,1153.16,-2.11,-24.93,3774152,3933950128.0,2.27,0.51
2014-11-05,1156.01,1165.98,1170.8,1146.24,0.76,8.83,3734600,3806400976.0,2.12,0.51
2014-11-06,1165.32,1172.62,1173.31,1153.99,0.57,6.64,3156878,3342665952.0,1.66,0.43
2014-11-07,1172.13,1153.85,1177.97,1146.45,-1.6,-18.77,3817451,3759846640.0,2.69,0.52
2014-11-10,1157.67,1164.47,1165.29,1149.3,0.92,10.62,2922085,2910331184.0,1.39,0.4
2014-11-11,1168.52,1117.83,1172.89,1103.97,-4.01,-46.64,4105767,3969363680.0,5.92,0.56
2014-11-12,1113.31,1145.2,1146.43,1106.71,2.45,27.37,2585119,2455852928.0,3.55,0.35
2014-11-13,1143.62,1127.68,1150.21,1125.28,-1.53,-17.52,3509252,3386439008.0,2.18,0.48
2014-11-14,1123.61,1127.79,1136.67,1118.27,0.01,0.11,2400815,2226686272.0,1.63,0.33
2014-11-17,1132.49,1150.74,1157.82,1124.79,2.03,22.95,2763804,2664693056.0,2.93,0.38
2014-11-18,1146.25,1158.23,1167.38,1143.13,0.65,7.49,2960953,3131560464.0,2.11,0.4
2014-11-19,1161.38,1158.16,1164.76,1151.2,-0.01,-0.07,2663603,2943868096.0,1.17,0.36
2014-11-20,1153.64,1152.97,1157.77,1147.0,-0.45,-5.19,2163885,2211901136.0,0.93,0.3
2014-11-21,1154.1,1174.16,1175.47,1152.94,1.84,21.19,3116780,3350422224.0,1.95,0.43
2014-11-24,1191.75,1200.53,1207.69,1187.06,2.25,26.37,5453464,5370020608.0,1.76,0.74
2014-11-25,1196.71,1216.48,1217.15,1193.94,1.33,15.95,4065973,4137732448.0,1.93,0.55
2014-11-26,1216.12,1222.94,1230.36,1212.21,0.53,6.46,4607890,4692988672.0,1.49,0.63
2014-11-27,1232.54,1251.58,1253.0,1229.3,2.34,28.64,5652150,5678920960.0,1.94,0.77
2014-11-28,1250.98,1245.87,1258.82,1231.7,-0.46,-5.71,4804863,4915722752.0,2.17,0.66
2014-12-01,1243.26,1224.21,1247.11,1215.97,-1.74,-21.66,4459048,4602778880.0,2.5,0.61
2014-12-02,1222.46,1247.1,1247.29,1219.78,1.87,22.89,3949340,3871714880.0,2.25,0.54
2014-12-03,1253.9,1273.46,1273.91,1237.3,2.11,26.36,6425290,6825064192.0,2.94,0.88
2014-12-04,1268.94,1305.9,1308.39,1261.69,2.55,32.44,6021439,6235934208.0,3.67,0.82
2014-12-05,1310.79,1310.3,1321.1,1237.51,0.34,4.4,7861643,7260440576.0,6.4,1.07
2014-12-08,1311.02,1358.14,1371.32,1284.59,3.65,47.84,7875638,8009211904.0,6.62,1.07
2014-12-09,1350.96,1296.84,1417.13,1295.19,-4.51,-61.3,10770541,12114287360.0,8.98,1.47
2014-12-10,1295.85,1348.49,1350.04,1275.71,3.98,51.65,8320892,10530285056.0,5.73,1.13
2014-12-11,1339.94,1375.55,1381.34,1330.39,2.01,27.06,7002842,8358459648.0,3.78,0.96
2014-12-12,1372.81,1388.64,1390.83,1360.31,0.95,13.09,5649863,7114768896.0,2.22,0.77
2014-12-15,1377.77,1404.19,1412.99,1362.58,1.12,15.55,6158643,7471600640.0,3.63,0.84
2014-12-16,1400.86,1429.61,1434.14,1398.45,1.81,25.42,5843784,7108073472.0,2.54,0.8
2014-12-17,1423.38,1411.66,1423.42,1380.81,-1.26,-17.95,5816231,6698600960.0,2.98,0.79
2014-12-18,1406.25,1430.56,1444.94,1398.83,1.34,18.9,5819679,6932856320.0,3.27,0.79
2014-12-19,1425.26,1436.32,1441.73,1371.68,0.4,5.76,6041132,7125018624.0,4.9,0.82
2014-12-22,1428.22,1359.82,1430.06,1353.46,-5.33,-76.5,7066458,8643795712.0,5.33,0.96
2014-12-23,1343.37,1303.49,1362.01,1296.52,-4.14,-56.33,4080217,4952670720.0,4.82,0.56
2014-12-24,1309.66,1333.98,1340.72,1299.06,2.34,30.49,4009341,4987481088.0,3.2,0.55
2014-12-25,1334.97,1376.16,1379.23,1325.21,3.16,42.18,3960535,5184585728.0,4.05,0.54
2014-12-26,1376.92,1389.34,1398.13,1366.32,0.96,13.18,4775136,6159912448.0,2.31,0.65
2014-12-29,1399.77,1393.83,1413.52,1381.43,0.32,4.49,5855291,7455682304.0,2.31,0.8
2014-12-30,1393.16,1340.79,1395.01,1339.9,-3.81,-53.04,5487804,7439022336.0,3.95,0.75
2014-12-31,1337.09,1369.82,1381.88,1330.68,2.17,29.03,4802839,5701184256.0,3.82,0.66
2015-01-05,1371.95,1384.82,1395.43,1366.95,1.1,15.0,5004239,5991079424.0,2.08,0.68
2015-01-06,1375.49,1393.34,1397.4,1357.79,0.62,8.52,4351555,5801006080.0,2.86,0.59
2015-01-07,1389.0,1397.23,1403.59,1379.35,0.28,3.89,3664567,4623666176.0,1.74,0.5
2015-01-08,1398.08,1384.98,1405.52,1372.01,-0.88,-12.25,4372857,5642106368.0,2.4,0.6
2015-01-09,1375.3,1356.31,1391.65,1353.84,-2.07,-28.67,3679985,4893053440.0,2.73,0.5
2015-01-12,1345.53,1313.3,1351.12,1307.01,-3.17,-43.01,3293966,4966555648.0,3.25,0.45
2015-01-13,1310.26,1327.52,1330.04,1308.6,1.08,14.22,2463673,3854802032.0,1.63,0.34
2015-01-14,1327.42,1329.21,1333.98,1315.66,0.13,1.69,2632846,3899651744.0,1.38,0.36
2015-01-15,1338.38,1348.49,1349.02,1329.56,1.45,19.28,2741265,4037908336.0,1.46,0.37
2015-01-16,1346.42,1362.86,1363.7,1345.96,1.07,14.37,2878708,4274695360.0,1.32,0.39
2015-01-19,1310.29,1283.81,1347.73,1263.61,-5.8,-79.05,4735241,7304961024.0,6.17,0.65
2015-01-20,1292.58,1336.21,1337.02,1290.7,4.08,52.4,3837498,6184583936.0,3.61,0.52
2015-01-21,1337.88,1400.1,1408.17,1336.08,4.78,63.89,5654364,9003758592.0,5.4,0.77
2015-01-22,1399.95,1437.51,1437.51,1395.36,2.67,37.41,4909182,6982894848.0,3.01,0.67
2015-01-23,1432.88,1417.03,1437.34,1408.19,-1.42,-20.48,4028885,5745368576.0,2.03,0.55
2015-01-26,1424.94,1488.47,1489.15,1420.84,5.04,71.44,5433770,7893452544.0,4.82,0.74
2015-01-27,1489.62,1476.84,1491.95,1446.67,-0.78,-11.63,4861935,7066526464.0,3.04,0.66
2015-01-28,1476.06,1472.79,1516.17,1468.14,-0.27,-4.05,6029669,8994800384.0,3.25,0.82
2015-01-29,1450.41,1445.53,1466.11,1434.83,-1.85,-27.26,3472916,5229948160.0,2.12,0.47
2015-01-30,1450.98,1419.37,1457.21,1417.5,-1.81,-26.16,3259368,5072814336.0,2.75,0.44
2015-02-02,1406.11,1409.88,1424.01,1399.02,-0.67,-9.49,2737635,4549795072.0,1.76,0.37
2015-02-03,1418.8,1445.57,1447.24,1413.64,2.53,35.69,2982690,5417835520.0,2.38,0.41
2015-02-04,1446.05,1432.23,1451.35,1428.35,-0.92,-13.34,2864934,5087460608.0,1.59,0.39
2015-02-05,1449.13,1438.79,1457.27,1434.75,0.46,6.56,3504747,6803180544.0,1.57,0.48
