日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-11-02,1067.62,1087.01,1091.51,1065.61,8.7,87.01,4036780,3716975715.0,2.59,1.76
2022-11-03,1122.21,1105.95,1162.19,1103.19,1.74,18.94,11493613,6177296763.0,5.43,5.02
2022-11-04,1101.49,1139.53,1153.54,1088.72,3.04,33.58,11542511,6710234866.0,5.86,5.04
2022-11-07,1128.2,1175.92,1199.09,1123.16,3.19,36.39,8487337,6666484529.0,6.66,3.71
2022-11-08,1179.03,1165.12,1199.11,1161.46,-0.92,-10.8,5176119,5044777698.0,3.2,2.26
2022-11-09,1161.19,1234.78,1235.03,1161.19,5.98,69.66,6132295,6489709740.0,6.34,2.68
2022-11-10,1240.89,1289.99,1318.25,1240.49,4.47,55.21,8315918,9007076342.0,6.3,3.63
2022-11-11,1309.56,1291.39,1336.08,1282.64,0.11,1.4,18340698,11133235970.0,4.14,8.01
2022-11-14,1279.98,1247.31,1291.51,1233.66,-3.41,-44.08,14534886,8294989089.0,4.48,6.35
2022-11-15,1232.15,1272.12,1279.34,1211.81,1.99,24.81,12661235,7048157273.0,5.41,5.53
2022-11-16,1258.51,1235.12,1261.2,1229.62,-2.91,-37.0,5966042,4794112903.0,2.48,2.61
2022-11-17,1233.39,1246.23,1250.86,1226.93,0.9,11.11,3455605,3670526947.0,1.94,1.51
2022-11-18,1239.38,1218.07,1240.34,1214.16,-2.26,-28.16,14029345,5662085110.0,2.1,6.13
2022-11-21,1206.48,1270.11,1271.99,1206.09,4.27,52.04,9260937,6127167531.0,5.41,4.05
2022-11-22,1241.47,1211.41,1249.0,1206.15,-4.62,-58.7,11205912,5521274169.0,3.37,4.89
2022-11-23,1200.1,1220.64,1220.7,1199.17,0.76,9.23,10361623,4655249735.0,1.78,4.53
2022-11-24,1206.04,1218.63,1232.73,1204.39,-0.16,-2.01,7790475,4843948956.0,2.32,3.4
2022-11-25,1212.53,1195.37,1213.89,1195.11,-1.91,-23.26,4896968,3467514442.0,1.54,2.14
2022-11-28,1185.05,1198.36,1203.16,1181.21,0.25,2.99,3855736,2945735216.0,1.84,1.68
2022-11-29,1203.54,1218.86,1227.51,1202.4,1.71,20.5,3003574,3241678713.0,2.1,1.31
2022-11-30,1215.77,1284.01,1286.69,1214.34,5.35,65.15,5095386,5534120714.0,5.94,2.23
2022-12-01,1274.22,1253.51,1286.16,1252.04,-2.38,-30.5,5038458,6018664859.0,2.66,2.2
2022-12-02,1245.04,1245.34,1255.52,1239.7,-0.65,-8.17,3437878,3646314918.0,1.26,1.5
2022-12-05,1245.27,1257.76,1260.36,1236.33,1.0,12.42,3681823,3674609318.0,1.93,1.61
2022-12-06,1253.29,1290.82,1291.51,1253.28,2.63,33.06,4428567,5047329460.0,3.04,1.93
2022-12-07,1276.23,1283.06,1297.8,1266.98,-0.6,-7.76,3761990,4310485405.0,2.39,1.64
2022-12-08,1271.72,1238.87,1272.15,1238.87,-3.44,-44.19,11644065,5565197482.0,2.59,5.09
2022-12-09,1223.51,1213.19,1228.6,1210.34,-2.07,-25.68,3058552,2904770732.0,1.47,1.34
2022-12-12,1207.49,1212.39,1216.03,1198.39,-0.07,-0.8,2706867,2688874800.0,1.45,1.18
2022-12-13,1203.7,1200.18,1215.05,1197.94,-1.01,-12.21,2475946,2307802223.0,1.41,1.08
2022-12-14,1195.27,1220.94,1220.99,1191.85,1.73,20.76,11556632,4163515708.0,2.43,5.05
2022-12-15,1212.62,1215.82,1234.28,1212.62,-0.42,-5.12,10440383,4635095523.0,1.77,4.56
2022-12-16,1203.55,1194.23,1205.05,1190.07,-1.78,-21.59,7580712,3403862067.0,1.23,3.31
2022-12-19,1188.99,1189.91,1198.71,1173.53,-0.36,-4.32,7159974,3814333632.0,2.11,3.13
2022-12-20,1180.81,1220.55,1231.24,1176.17,2.57,30.64,9952210,5328449784.0,4.63,4.35
2022-12-21,1198.86,1209.17,1233.02,1179.38,-0.93,-11.38,9421617,4942412159.0,4.39,4.12
2022-12-22,1203.4,1238.86,1256.38,1201.63,2.46,29.69,8217017,5018256829.0,4.53,3.59
2022-12-23,1226.87,1218.17,1236.5,1201.4,-1.67,-20.69,7327000,4287979079.0,2.83,3.2
2022-12-26,1218.21,1223.24,1246.31,1214.73,0.42,5.07,6268246,3992900637.0,2.59,2.74
2022-12-27,1217.11,1226.66,1231.51,1202.08,0.28,3.42,8468071,4206373965.0,2.41,3.7
2022-12-28,1213.97,1190.9,1215.03,1188.0,-2.92,-35.76,7035528,3398962997.0,2.2,3.07
2022-12-29,1181.75,1191.86,1206.16,1169.66,0.08,0.96,8225106,3541370811.0,3.06,3.59
2022-12-30,1180.95,1183.61,1205.55,1180.47,-0.69,-8.25,6898162,3621889210.0,2.1,3.01
2023-01-03,1173.59,1194.36,1194.43,1169.67,0.91,10.75,6592530,3227575789.0,2.09,2.88
2023-01-04,1190.89,1209.35,1217.91,1185.26,1.26,14.99,6612397,3847270276.0,2.73,2.89
2023-01-05,1206.89,1196.8,1208.64,1189.0,-1.04,-12.55,5079519,2899575275.0,1.62,2.22
2023-01-06,1190.79,1214.32,1228.45,1188.54,1.46,17.52,5792244,3958633407.0,3.33,2.53
2023-01-09,1205.41,1208.93,1217.67,1205.34,-0.44,-5.39,4178549,2859640176.0,1.02,1.83
2023-01-10,1206.96,1197.11,1207.8,1193.48,-0.98,-11.82,3993139,2455408653.0,1.18,1.74
2023-01-11,1195.93,1165.1,1196.5,1165.1,-2.67,-32.01,5917332,2677898269.0,2.62,2.58
2023-01-12,1160.27,1143.67,1162.73,1141.81,-1.84,-21.43,4798148,2224469127.0,1.8,2.1
2023-01-13,1145.5,1154.7,1160.89,1143.66,0.96,11.03,3224531,1773621998.0,1.51,1.41
2023-01-16,1154.99,1160.72,1166.18,1154.02,0.52,6.02,5187258,2036341323.0,1.05,2.27
2023-01-17,1164.92,1169.6,1176.95,1164.63,0.77,8.88,4938390,2034050196.0,1.06,2.16
2023-01-18,1167.81,1177.99,1184.5,1167.62,0.72,8.39,2956049,1945338525.0,1.44,1.29
2023-01-19,1178.4,1172.58,1178.4,1165.86,-0.46,-5.41,7746396,2549210022.0,1.06,3.38
2023-01-20,1175.09,1187.75,1189.41,1175.09,1.29,15.17,5244698,2178419748.0,1.22,2.29
2023-01-30,1193.69,1203.57,1205.82,1193.6,1.33,15.82,6887422,2989413386.0,1.03,3.01
2023-01-31,1198.35,1217.69,1217.69,1191.87,1.17,14.12,6135291,3488464162.0,2.15,2.68
2023-02-01,1218.97,1233.56,1233.56,1215.17,1.3,15.87,5439929,3242277395.0,1.51,2.38
2023-02-02,1234.82,1235.68,1239.34,1221.71,0.17,2.12,5896369,3145779774.0,1.43,2.58
2023-02-03,1233.26,1262.37,1265.35,1225.67,2.16,26.69,6177944,4268791094.0,3.21,2.7
2023-02-06,1253.99,1251.09,1270.34,1245.11,-0.89,-11.28,5167190,4071945874.0,2.0,2.26
2023-02-07,1248.21,1250.23,1251.12,1240.12,-0.07,-0.86,3819484,2791652751.0,0.88,1.67
2023-02-08,1247.2,1250.13,1260.15,1244.21,-0.01,-0.1,3478885,2977808130.0,1.27,1.52
2023-02-09,1242.62,1260.3,1262.11,1237.28,0.81,10.17,4612981,2719982521.0,1.99,2.01
2023-02-10,1257.66,1257.71,1267.54,1253.16,-0.21,-2.59,3863896,3077651359.0,1.14,1.69
2023-02-13,1260.54,1265.07,1265.32,1258.13,0.59,7.36,3763174,2806180289.0,0.57,1.64
2023-02-14,1271.26,1248.4,1271.26,1246.31,-1.32,-16.67,4076846,3415389546.0,1.97,1.78
2023-02-15,1245.18,1235.33,1246.37,1232.11,-1.05,-13.07,3579016,2397037345.0,1.14,1.56
2023-02-16,1234.78,1210.81,1240.11,1200.07,-1.98,-24.52,4424003,2745051990.0,3.24,1.93
2023-02-17,1211.58,1212.68,1219.08,1202.57,0.15,1.87,4038180,1990698041.0,1.36,1.76
2023-02-20,1211.1,1219.9,1220.68,1200.14,0.6,7.22,2949388,1753915373.0,1.69,1.29
