日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-10-18,1001.4,996.62,1002.61,985.59,-0.34,-3.38,22593182,28647498327.0,1.7,1.46
2022-10-19,992.8,997.83,1008.73,980.87,0.12,1.21,21738276,30391210815.0,2.8,1.4
2022-10-20,991.4,1006.07,1024.0,989.89,0.83,8.24,26402390,40388948931.0,3.42,1.7
2022-10-21,1002.87,1005.45,1013.41,983.5,-0.06,-0.62,28853108,38031585247.0,2.97,1.86
2022-10-24,1007.76,1002.54,1032.45,997.4,-0.29,-2.91,30293385,44806909658.0,3.49,1.96
2022-10-25,993.24,985.26,1001.67,975.93,-1.72,-17.28,27895144,39422008030.0,2.57,1.8
2022-10-26,985.92,1038.31,1046.9,985.92,5.38,53.05,37539709,55711107003.0,6.19,2.42
2022-10-27,1044.92,1054.26,1071.88,1040.72,1.54,15.95,43396741,64479555197.0,3.0,2.8
2022-10-28,1046.64,1033.78,1064.92,1030.96,-1.94,-20.48,43407775,62810610853.0,3.22,2.8
2022-10-31,1044.36,1093.55,1103.34,1044.36,5.78,59.77,47863405,74038010683.0,5.71,3.09
2022-11-01,1097.14,1100.38,1103.4,1079.22,0.62,6.83,49344536,73567575002.0,2.21,3.19
2022-11-02,1098.89,1105.24,1108.13,1090.87,0.44,4.86,48978367,70603204731.0,1.57,3.16
2022-11-03,1091.01,1082.77,1098.37,1071.53,-2.03,-22.47,40759818,63576795302.0,2.43,2.63
2022-11-04,1080.52,1092.69,1095.9,1073.47,0.92,9.92,35972371,56583170741.0,2.07,2.32
2022-11-07,1092.61,1099.19,1117.24,1091.02,0.59,6.5,38294652,57391388618.0,2.4,2.47
2022-11-08,1095.34,1121.07,1121.07,1078.37,1.99,21.88,46142985,66206282935.0,3.88,2.98
2022-11-09,1117.75,1105.71,1120.95,1095.21,-1.37,-15.36,39141067,55457652154.0,2.3,2.53
2022-11-10,1096.9,1112.48,1121.36,1096.56,0.61,6.77,41894425,55892454970.0,2.24,2.7
2022-11-11,1135.12,1100.54,1137.52,1100.54,-1.07,-11.94,54398226,71504065349.0,3.32,3.51
2022-11-14,1094.59,1115.91,1116.98,1087.23,1.4,15.37,47041497,59998863540.0,2.7,3.04
2022-11-15,1111.19,1134.17,1147.27,1110.09,1.64,18.26,48709536,69037474334.0,3.33,3.14
2022-11-16,1131.6,1132.24,1153.12,1126.46,-0.17,-1.93,47522509,61857444878.0,2.35,3.07
2022-11-17,1136.84,1169.54,1169.54,1127.05,3.29,37.3,53313082,76733611606.0,3.75,3.44
2022-11-18,1166.74,1143.95,1181.67,1142.47,-2.19,-25.59,58061263,83441984080.0,3.35,3.75
2022-11-21,1136.91,1150.1,1151.2,1122.86,0.54,6.15,44696215,61999552684.0,2.48,2.89
2022-11-22,1143.74,1127.07,1153.18,1122.57,-2.0,-23.03,42066728,57613006159.0,2.66,2.72
2022-11-23,1124.93,1104.17,1125.2,1089.56,-2.03,-22.9,36822589,50893544970.0,3.16,2.38
2022-11-24,1102.93,1096.43,1113.38,1093.83,-0.7,-7.74,28737436,42384252390.0,1.77,1.86
2022-11-25,1095.12,1079.43,1101.72,1079.43,-1.55,-17.0,25763221,36995215101.0,2.03,1.66
2022-11-28,1061.21,1069.2,1079.9,1059.43,-0.95,-10.23,24932319,37143926246.0,1.9,1.61
2022-11-29,1069.0,1087.51,1089.23,1068.42,1.71,18.31,26854018,38833207494.0,1.95,1.73
2022-11-30,1085.76,1079.31,1085.76,1068.63,-0.75,-8.2,27712791,37087610093.0,1.58,1.79
2022-12-01,1084.79,1112.43,1113.28,1084.64,3.07,33.12,37775446,54319363210.0,2.65,2.44
2022-12-02,1107.12,1124.82,1139.35,1106.36,1.11,12.39,39410254,55168530601.0,2.97,2.54
2022-12-05,1129.59,1137.4,1140.84,1126.56,1.12,12.58,35647305,48954935570.0,1.27,2.3
