日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-06-08,974.36,973.91,993.44,963.4,-2.61,-26.09,55114043,229730470667.0,3.0,1.98
2026-06-09,985.14,995.78,996.24,971.07,2.25,21.87,45368396,205050905664.0,2.58,1.63
2026-06-10,984.52,976.48,985.64,963.7,-1.94,-19.3,49733830,207205090857.0,2.2,1.79
2026-06-11,970.15,970.71,973.92,958.92,-0.59,-5.77,48901348,198204084530.0,1.54,1.76
2026-06-12,985.74,984.93,1002.96,983.74,1.46,14.22,60160419,257646182901.0,1.98,2.16
2026-06-15,992.33,1011.2,1011.24,989.22,2.67,26.27,49661642,224088664350.0,2.24,1.78
2026-06-16,1017.11,1019.81,1025.98,1012.76,0.85,8.61,49330478,249764193187.0,1.31,1.77
2026-06-17,1014.36,1025.86,1027.62,1014.27,0.59,6.05,50268757,251831654556.0,1.31,1.81
2026-06-18,1020.7,1026.64,1032.88,1019.69,0.08,0.78,52060463,253891778710.0,1.29,1.87
2026-06-22,1026.59,1043.98,1044.17,1014.09,1.69,17.34,62351607,322820942008.0,2.93,2.24
2026-06-23,1040.55,1005.2,1040.55,1000.87,-3.71,-38.78,53955236,266185618850.0,3.8,1.94
2026-06-24,1002.45,1013.3,1015.99,992.51,0.81,8.1,47220659,236695757645.0,2.34,1.7
2026-06-25,1012.01,1015.38,1022.01,1008.86,0.21,2.08,49289913,246041527943.0,1.3,1.77
2026-06-26,1012.66,985.12,1012.66,983.85,-2.98,-30.26,57129532,286826262436.0,2.84,2.05
2026-06-29,984.31,986.21,987.49,970.05,0.11,1.09,56074274,282278386893.0,1.77,2.01
2026-06-30,988.75,1009.98,1011.07,988.66,2.41,0,48457342.0,259508217795.0,0,0
2026-07-01,1010.44,1005.55,1014.51,1000.00,-0.44,0,57276117.0,298343123659.0,0,0
2026-07-02,989.48,977.24,1007.29,974.77,-2.82,0,52217079.0,258409290360.0,0,0
2026-07-03,0.00,1000.24,0.00,0.00,2.35,0,0,0,0,0
