日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-10-28,1328.04,1328.04,1364.1,1316.02,32.8,328.04,278462,123764707.0,4.81,0.0
2010-12-09,1323.55,1279.52,1329.46,1273.22,-3.65,-48.52,176093,293318344.0,4.23,0.0
2010-12-10,1268.3,1292.4,1305.14,1255.59,1.01,12.88,3856728,7368105782.0,3.87,0.06
2010-12-13,1300.34,1334.0,1341.34,1293.73,3.22,41.6,5652402,11387413360.0,3.68,0.09
2010-12-14,1341.02,1353.26,1367.75,1326.63,1.44,19.26,6165598,12037741152.0,3.08,0.1
2010-12-15,1355.2,1353.0,1382.82,1336.52,-0.02,-0.26,5681754,11723848641.0,3.42,0.09
2010-12-16,1349.0,1345.02,1370.56,1334.37,-0.59,-7.98,4231148,8335810001.0,2.67,0.07
2010-12-17,1342.78,1352.86,1367.68,1328.66,0.58,7.84,4223328,7651295606.0,2.9,0.07
2010-12-20,1358.82,1337.03,1378.85,1294.52,-1.17,-15.83,6122471,11959107251.0,6.23,0.1
2010-12-21,1338.52,1355.16,1365.25,1319.17,1.36,18.13,4926514,9998793622.0,3.45,0.08
2010-12-22,1357.77,1346.55,1377.42,1330.9,-0.64,-8.61,4993726,9868198302.0,3.43,0.08
2010-12-23,1345.39,1317.77,1359.81,1308.51,-2.14,-28.78,4355168,7922887788.0,3.81,0.07
2010-12-24,1307.14,1291.41,1325.14,1271.29,-2.0,-26.36,4144160,7733832753.0,4.09,0.07
2010-12-27,1294.53,1244.24,1319.72,1233.71,-3.65,-47.17,4426007,8375376203.0,6.66,0.07
2010-12-28,1235.7,1204.33,1247.49,1189.86,-3.21,-39.91,3780214,6740112978.0,4.63,0.06
2010-12-29,1206.55,1227.18,1233.32,1191.77,1.9,22.85,3041500,6109023365.0,3.45,0.05
2010-12-30,1224.97,1228.35,1243.74,1206.52,0.1,1.17,2750118,5677567684.0,3.03,0.04
2010-12-31,1233.24,1270.74,1283.06,1228.79,3.45,42.39,3967692,7958938295.0,4.42,0.06
2011-01-04,1278.06,1283.86,1296.13,1255.27,1.03,13.12,4354668,9085632443.0,3.22,0.07
2011-01-05,1278.04,1283.95,1297.84,1259.71,0.01,0.09,3988857,8033983551.0,2.97,0.06
2011-01-06,1285.6,1280.31,1308.25,1264.6,-0.28,-3.64,4022576,7686345446.0,3.4,0.06
2011-01-07,1277.79,1266.6,1293.19,1252.6,-1.07,-13.71,3457601,6710959284.0,3.17,0.06
2011-01-10,1263.05,1229.76,1277.51,1221.93,-2.91,-36.84,3262614,6305941066.0,4.39,0.05
2011-01-11,1225.3,1225.36,1240.86,1203.65,-0.36,-4.4,2808020,5299138992.0,3.03,0.04
2011-01-12,1230.12,1236.51,1247.12,1211.74,0.91,11.15,2371495,4921433349.0,2.89,0.04
2011-01-13,1242.12,1229.31,1252.42,1221.1,-0.58,-7.2,2137490,4335423578.0,2.53,0.03
2011-01-14,1225.95,1198.88,1232.95,1188.57,-2.48,-30.43,2717567,5123917992.0,3.61,0.04
2011-01-17,1189.13,1144.74,1202.0,1133.39,-4.52,-54.14,2983344,5753303365.0,5.72,0.05
2011-01-18,1141.28,1151.75,1162.34,1125.78,0.61,7.01,1689987,3281645493.0,3.19,0.03
2011-01-19,1155.61,1188.1,1193.52,1148.49,3.16,36.35,2624999,5016778002.0,3.91,0.04
2011-01-20,1188.15,1141.52,1197.77,1135.01,-3.92,-46.58,3087720,5885759793.0,5.28,0.05
2011-01-21,1136.54,1155.15,1171.71,1125.68,1.19,13.63,2750632,5584158052.0,4.03,0.04
2011-01-24,1156.69,1128.49,1168.04,1119.05,-2.31,-26.66,2610305,5660781278.0,4.24,0.04
2011-01-25,1131.1,1111.08,1144.89,1095.49,-1.54,-17.41,2201634,4101856734.0,4.38,0.04
2011-01-26,1111.05,1131.89,1140.7,1102.73,1.87,20.81,1957186,3734064900.0,3.42,0.03
2011-01-27,1123.37,1149.45,1160.79,1108.16,1.55,17.56,2675655,4905249107.0,4.65,0.04
2011-01-28,1146.79,1160.84,1172.02,1136.19,0.99,11.39,2505163,4666194111.0,3.12,0.04
2011-01-31,1160.49,1173.76,1183.44,1148.02,1.11,12.92,2347052,4479891820.0,3.05,0.04
2011-02-01,1177.57,1184.87,1200.08,1164.9,0.95,11.11,2515775,4726449190.0,3.0,0.04
2011-02-09,1176.47,1177.06,1203.26,1160.71,-0.66,-7.81,2880080,5079927932.0,3.59,0.05
2011-02-10,1175.34,1215.47,1221.44,1165.54,3.26,38.41,3367048,6255940891.0,4.75,0.05
2011-02-11,1216.19,1235.42,1254.52,1207.53,1.64,19.95,4241850,7571500942.0,3.87,0.07
2011-02-14,1236.86,1257.05,1271.39,1227.84,1.75,21.63,4727069,8811054663.0,3.53,0.08
2011-02-15,1258.07,1258.05,1286.16,1243.33,0.08,1.0,5178054,9710228090.0,3.41,0.08
2011-02-16,1257.06,1288.64,1298.51,1247.82,2.43,30.59,5378643,9927547746.0,4.03,0.09
2011-02-17,1293.04,1307.36,1326.9,1272.34,1.45,18.72,6705332,12495802421.0,4.23,0.11
2011-02-18,1303.48,1313.93,1337.67,1279.18,0.5,6.57,7040098,13063038715.0,4.47,0.11
2011-02-21,1306.25,1357.6,1371.5,1296.38,3.32,43.67,8030950,15901611404.0,5.72,0.13
2011-02-22,1361.48,1319.75,1377.64,1303.31,-2.79,-37.85,7862313,15295166133.0,5.48,0.13
2011-02-23,1312.5,1327.63,1345.68,1293.26,0.6,7.88,5330692,11518062239.0,3.97,0.09
2011-02-24,1324.09,1326.53,1348.09,1302.35,-0.08,-1.1,4770801,10063664737.0,3.45,0.08
2011-02-25,1324.22,1336.88,1362.1,1305.65,0.78,10.35,5932313,10002650787.0,4.26,0.1
2011-02-28,1332.46,1356.0,1365.91,1314.2,1.43,19.12,5428365,9636318573.0,3.87,0.09
2011-03-01,1356.33,1360.61,1387.2,1340.9,0.34,4.61,5910142,10972626276.0,3.41,0.09
2011-03-02,1353.88,1354.46,1377.05,1323.58,-0.45,-6.15,5632702,10317196575.0,3.93,0.09
2011-03-03,1353.85,1322.71,1372.03,1314.42,-2.34,-31.75,5279845,9547170484.0,4.25,0.08
2011-03-04,1324.26,1342.91,1354.52,1307.61,1.53,20.2,4470643,8070124898.0,3.55,0.07
2011-03-07,1350.15,1371.8,1387.78,1337.04,2.15,28.89,6228113,11350664293.0,3.78,0.1
2011-03-08,1369.49,1376.98,1391.22,1353.21,0.38,5.18,5102078,9212153897.0,2.77,0.08
2011-03-09,1377.69,1374.35,1396.95,1357.16,-0.19,-2.63,5058370,9657217851.0,2.89,0.08
2011-03-10,1371.43,1353.92,1383.34,1343.0,-1.49,-20.43,4823662,9386080022.0,2.94,0.08
2011-03-14,1351.06,1369.17,1384.85,1334.68,1.13,15.25,5508391,11004858152.0,3.71,0.09
2011-03-15,1364.64,1380.84,1404.13,1309.72,0.85,11.67,8733284,15771429901.0,6.9,0.14
2011-03-16,1376.72,1423.13,1438.83,1367.28,3.06,42.29,9921705,19017635854.0,5.18,0.16
2011-03-17,1412.25,1396.2,1449.59,1376.78,-1.89,-26.93,8192764,16874736389.0,5.12,0.13
2011-03-18,1407.58,1429.8,1452.96,1387.68,2.41,33.6,8311717,15469494815.0,4.68,0.13
2011-03-21,1426.33,1398.7,1442.84,1383.52,-2.18,-31.1,6396812,12021765654.0,4.15,0.1
2011-03-22,1398.68,1385.03,1412.42,1358.63,-0.98,-13.67,5056613,9590964790.0,3.85,0.08
2011-03-23,1383.62,1402.79,1415.13,1371.04,1.28,17.76,5091645,9629730691.0,3.18,0.08
2011-03-24,1401.96,1416.06,1438.8,1384.07,0.95,13.27,7536530,12430071043.0,3.9,0.12
2011-03-25,1414.18,1429.19,1450.19,1400.71,0.93,13.13,8285133,14004647662.0,3.49,0.13
2011-03-28,1430.34,1426.18,1461.32,1402.75,-0.21,-3.01,7857898,13977692710.0,4.1,0.13
2011-03-29,1421.86,1395.91,1449.61,1378.6,-2.12,-30.27,8280320,14401334133.0,4.98,0.13
2011-03-30,1395.11,1384.48,1422.66,1362.35,-0.82,-11.43,6244875,11016436088.0,4.32,0.1
2011-03-31,1384.58,1360.63,1404.26,1344.1,-1.72,-23.85,6454932,10831493083.0,4.35,0.1
2011-04-01,1364.78,1379.37,1394.81,1345.67,1.38,18.74,4981992,8463045164.0,3.61,0.08
2011-04-06,1372.8,1367.6,1390.63,1343.8,-0.85,-11.77,5039090,8861440370.0,3.4,0.08
2011-04-07,1366.9,1370.74,1389.2,1347.11,0.23,3.14,4081020,7140732326.0,3.08,0.07
2011-04-08,1369.3,1389.83,1402.71,1358.55,1.39,19.09,4474356,7343676166.0,3.22,0.07
2011-04-11,1393.5,1374.03,1409.06,1362.66,-1.14,-15.8,5219114,9226525702.0,3.34,0.08
2011-04-12,1371.51,1367.94,1393.24,1349.29,-0.44,-6.09,4011236,7584776606.0,3.2,0.06
2011-04-13,1362.35,1383.64,1390.44,1341.95,1.15,15.7,4065510,6994050137.0,3.54,0.07
2011-04-14,1386.61,1377.97,1402.6,1368.38,-0.41,-5.67,4033277,6765536221.0,2.47,0.06
