日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-06-11,995.43,1032.06,1036.95,992.84,3.21,32.06,8889577,8671265792.0,4.41,1.24
2020-06-12,1014.55,1082.51,1087.84,1011.09,4.89,50.45,11753578,11346971648.0,7.44,1.64
2020-06-15,1075.06,1066.46,1103.8,1065.65,-1.48,-16.05,13430671,13762680576.0,3.52,1.87
2020-06-16,1057.58,1093.86,1097.94,1053.82,2.57,27.4,10343208,10246376192.0,4.14,1.44
2020-06-17,1086.62,1070.45,1086.85,1059.47,-2.14,-23.41,8811836,9651034112.0,2.5,1.23
2020-06-18,1062.43,1038.51,1062.93,1033.0,-2.98,-31.94,7780955,8650415104.0,2.8,1.09
2020-06-19,1040.15,1034.6,1052.61,1034.47,-0.38,-3.91,6395685,8604316416.0,1.75,0.89
2020-06-22,1026.61,1026.93,1036.37,1016.92,-0.74,-7.67,6657479,8451687424.0,1.88,0.93
2020-06-23,1024.86,1030.03,1038.93,1018.21,0.3,3.1,6017071,8231787520.0,2.02,0.84
2020-06-24,1031.58,1017.86,1033.42,1014.03,-1.18,-12.17,4908683,6317289728.0,1.88,0.68
2020-06-29,1013.21,1023.26,1023.39,1001.8,0.53,5.4,4467610,7035315200.0,2.12,0.62
2020-06-30,1060.63,1084.35,1085.35,1060.18,5.97,61.09,5596487,8462574336.0,2.46,0.78
2020-07-01,1113.83,1140.78,1142.4,1107.3,5.2,56.43,7686733,10540876032.0,3.24,1.07
2020-07-02,1159.21,1190.31,1197.87,1159.21,4.34,49.53,8011035,11147445504.0,3.39,1.12
2020-07-03,1212.0,1239.21,1241.1,1209.35,4.11,48.9,9358966,14960247552.0,2.67,1.31
2020-07-06,1267.3,1326.9,1329.46,1267.05,7.08,87.69,10591536,13148489472.0,5.04,1.48
2020-07-07,1390.09,1377.43,1413.71,1360.06,3.81,50.53,14167087,26194600704.0,4.04,1.98
2020-07-08,1387.35,1432.98,1433.69,1367.23,4.03,55.55,13688827,22762794240.0,4.82,1.91
2020-07-09,1468.38,1486.55,1504.94,1466.51,3.74,53.57,12799805,21734293248.0,2.68,1.78
2020-07-10,1493.33,1554.88,1570.45,1480.06,4.6,68.33,15926460,25726080512.0,6.08,2.22
2020-07-13,1586.75,1569.02,1586.75,1508.04,0.91,14.14,18346257,30493211648.0,5.06,2.56
2020-07-14,1543.23,1512.97,1561.7,1498.24,-3.57,-56.05,18784191,24589337344.0,4.04,2.62
2020-07-15,1517.58,1461.28,1527.9,1459.07,-3.42,-51.69,16606978,23985021952.0,4.55,2.32
2020-07-16,1448.38,1371.83,1452.77,1371.83,-6.12,-89.45,13349838,20629738752.0,5.54,1.86
2020-07-17,1367.57,1382.69,1406.27,1357.15,0.79,10.86,11386324,19486411264.0,3.58,1.59
2020-07-20,1387.38,1421.76,1422.2,1380.9,2.83,39.07,10577657,18032840704.0,2.99,1.48
2020-07-21,1409.68,1407.0,1422.1,1396.65,-1.04,-14.76,10786261,15388487424.0,1.79,1.5
2020-07-22,1399.99,1440.25,1470.75,1398.91,2.36,33.25,13851772,24691401728.0,5.11,1.93
