日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2014-07-14,1017.36,1010.77,1026.54,998.83,1.08,10.77,2263683,2380609696.0,2.77,2.18
2014-07-15,998.27,997.91,1006.15,985.64,-1.27,-12.86,1442169,1476378848.0,2.03,1.39
2014-07-16,1006.11,984.27,1009.1,980.98,-1.37,-13.64,1655590,1928554736.0,2.82,1.59
2014-07-17,981.98,982.79,989.89,969.57,-0.15,-1.48,928468,906784080.0,2.06,0.89
2014-07-18,978.93,985.66,991.48,975.49,0.29,2.87,791321,776180272.0,1.63,0.76
2014-07-21,982.41,972.53,985.53,969.17,-1.33,-13.13,559197,577598256.0,1.66,0.54
2014-07-22,967.39,980.54,984.88,964.21,0.82,8.01,735739,706397888.0,2.13,0.71
2014-07-23,978.75,969.9,987.03,966.05,-1.09,-10.64,615796,620249984.0,2.14,0.59
2014-07-24,967.89,956.58,969.37,951.6,-1.37,-13.32,694349,670004288.0,1.83,0.67
2014-07-25,943.68,955.83,956.07,943.51,-0.08,-0.75,811019,899743536.0,1.31,0.78
2014-07-28,969.71,988.51,991.01,963.02,3.42,32.68,1162847,1383292976.0,2.93,1.12
2014-07-29,993.82,1015.71,1023.98,992.17,2.75,27.2,1801828,2287875888.0,3.22,1.74
2014-07-30,1016.34,1017.79,1026.7,1009.37,0.2,2.08,1434955,2017508928.0,1.71,1.38
2014-07-31,1011.9,1028.53,1032.79,1010.48,1.06,10.74,1265884,1749380976.0,2.19,1.22
2014-08-01,1018.47,992.72,1020.52,992.43,-3.48,-35.81,1310033,1661613200.0,2.73,1.26
2014-08-04,997.92,1013.62,1016.01,997.92,2.11,20.9,992850,1345492064.0,1.82,0.96
2014-08-05,1018.26,1052.82,1053.07,1013.95,3.87,39.2,1565412,1905468704.0,3.86,1.51
2014-08-06,1055.64,1049.41,1059.21,1043.26,-0.32,-3.41,1282230,1857857680.0,1.51,1.23
2014-08-07,1049.72,1052.4,1066.88,1046.21,0.28,2.99,1266076,1807561040.0,1.97,1.22
2014-08-08,1052.83,1062.4,1065.89,1050.72,0.95,10.0,994427,1412463888.0,1.44,0.96
2014-08-11,1067.39,1090.56,1092.15,1067.39,2.65,28.16,1268389,1812721008.0,2.33,1.22
2014-08-12,1091.11,1104.36,1107.47,1090.65,1.27,13.8,1563605,2427476480.0,1.54,1.51
2014-08-13,1101.29,1116.37,1116.63,1093.69,1.09,12.01,1316769,2169141456.0,2.08,1.27
2014-08-14,1119.46,1116.99,1125.91,1106.58,0.06,0.62,1546168,2627375472.0,1.73,1.49
2014-08-15,1116.67,1151.91,1175.36,1116.67,3.13,34.92,2187934,3556916080.0,5.25,2.11
2014-08-18,1160.13,1179.34,1180.13,1156.91,2.38,27.43,2176393,3343618944.0,2.02,2.1
2014-08-19,1168.47,1154.51,1172.74,1147.73,-2.11,-24.83,2008661,3342584864.0,2.12,1.93
2014-08-20,1159.37,1156.19,1173.22,1148.35,0.15,1.68,1413621,2365862048.0,2.15,1.36
2014-08-21,1157.54,1144.82,1159.06,1130.65,-0.98,-11.37,1401574,2181643136.0,2.46,1.35
2014-08-22,1146.17,1165.61,1169.29,1141.41,1.82,20.79,1619104,2809164800.0,2.44,1.56
2014-08-25,1165.9,1169.14,1174.04,1151.04,0.3,3.53,1551773,2769409568.0,1.97,1.49
2014-08-26,1171.72,1173.07,1190.19,1155.99,0.34,3.93,1689416,3175052480.0,2.93,1.63
2014-08-27,1165.81,1184.5,1190.36,1163.08,0.97,11.43,1414523,2585667344.0,2.33,1.36
2014-08-28,1182.47,1148.05,1200.49,1147.78,-3.08,-36.45,1561835,3364978288.0,4.45,1.5
2014-08-29,1151.12,1168.19,1168.29,1148.82,1.75,20.14,1255048,2348356976.0,1.7,1.21
2014-09-01,1166.08,1208.08,1208.44,1164.58,3.41,39.89,1361074,2385268688.0,3.75,1.31
2014-09-02,1211.91,1246.28,1246.54,1211.91,3.16,38.2,1875997,3173475456.0,2.87,1.81
2014-09-03,1260.43,1280.14,1286.1,1260.43,2.72,33.86,2867403,4379013376.0,2.06,2.76
2014-09-04,1274.98,1284.29,1294.13,1266.17,0.32,4.15,2334770,3983872112.0,2.18,2.25
2014-09-05,1278.9,1282.21,1287.77,1263.94,-0.16,-2.08,1886958,3233681376.0,1.86,1.82
2014-09-09,1279.39,1288.22,1292.9,1260.79,0.47,6.01,1569414,2568879616.0,2.5,1.51
2014-09-10,1277.49,1286.59,1297.13,1268.57,-0.13,-1.63,1434094,2245141568.0,2.22,1.38
2014-09-11,1281.52,1282.21,1296.0,1268.08,-0.34,-4.38,1667800,3050873184.0,2.17,1.61
2014-09-12,1278.7,1282.71,1284.65,1267.83,0.04,0.5,1068755,1919061072.0,1.31,1.03
2014-09-15,1280.91,1309.21,1310.8,1278.98,2.07,26.5,1587404,2459542544.0,2.48,1.53
2014-09-16,1320.13,1266.97,1323.37,1263.79,-3.23,-42.24,1708278,2618492176.0,4.55,1.65
2014-09-17,1282.52,1278.52,1289.2,1256.36,0.91,11.55,1045469,1550794464.0,2.59,1.01
2014-09-18,1293.63,1305.09,1306.31,1287.94,2.08,26.57,1939143,2289603392.0,1.44,1.87
2014-09-19,1305.5,1329.08,1334.57,1304.68,1.84,23.99,1453300,1931322576.0,2.29,1.4
2014-09-22,1334.01,1309.53,1336.43,1307.39,-1.47,-19.55,2102175,2751316976.0,2.18,2.02
2014-09-23,1308.43,1331.81,1332.09,1305.88,1.7,22.28,1860124,2498679200.0,2.0,1.79
2014-09-24,1325.52,1353.33,1358.53,1323.92,1.62,21.52,1958758,2700083600.0,2.6,1.89
2014-09-25,1354.87,1362.14,1371.06,1349.87,0.65,8.81,1996418,2777561392.0,1.57,1.92
2014-09-26,1355.6,1361.68,1371.79,1352.28,-0.03,-0.46,1414173,1959644784.0,1.43,1.36
2014-09-29,1365.2,1374.79,1380.62,1364.8,0.96,13.11,1519190,2145968288.0,1.16,1.46
2014-09-30,1376.8,1375.47,1381.09,1365.66,0.05,0.68,1488746,2031552656.0,1.12,1.43
2014-10-08,1377.22,1399.62,1400.18,1372.98,1.76,24.15,1460964,2074021296.0,1.98,1.41
2014-10-09,1403.05,1402.14,1407.64,1374.92,0.18,2.52,1560980,2395105088.0,2.34,1.5
2014-10-10,1394.42,1380.66,1395.93,1372.4,-1.53,-21.48,1289834,1948243568.0,1.68,1.24
2014-10-13,1377.65,1361.16,1377.65,1337.67,-1.41,-19.5,1220660,1766666448.0,2.9,1.18
