日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2017-01-26,1000.93,1009.25,1011.41,1000.93,0.93,9.25,3040370,4952920064.0,1.05,0.18
2017-02-03,1012.38,1011.37,1018.8,1006.44,0.21,2.12,3781237,6203446528.0,1.22,0.22
2017-02-06,1010.33,1035.85,1036.71,1010.17,2.42,24.48,4504709,7622537728.0,2.62,0.26
2017-02-07,1033.99,1029.72,1037.29,1023.86,-0.59,-6.13,4793032,8243430912.0,1.3,0.28
2017-02-08,1026.11,1041.18,1041.18,1021.9,1.11,11.46,4720397,8492661248.0,1.87,0.28
2017-02-09,1038.71,1039.93,1041.8,1034.25,-0.12,-1.25,3871849,7002637312.0,0.73,0.23
2017-02-10,1039.46,1026.03,1042.56,1025.46,-1.34,-13.9,5106742,8718173952.0,1.64,0.3
2017-02-13,1021.61,1031.62,1031.62,1020.81,0.54,5.59,3880837,6614718464.0,1.05,0.23
2017-02-14,1032.04,1025.68,1037.13,1024.15,-0.58,-5.94,3788853,6997998080.0,1.26,0.22
2017-02-15,1022.71,1013.48,1026.74,1011.07,-1.19,-12.2,4690053,8081380096.0,1.53,0.28
2017-02-16,1013.75,1023.1,1024.45,1012.74,0.95,9.62,4710822,8086723328.0,1.16,0.28
2017-02-17,1021.59,1026.79,1032.24,1015.87,0.36,3.69,5778971,10324366848.0,1.6,0.34
2017-02-20,1027.63,1031.88,1031.97,1022.47,0.5,5.09,4900900,8773561600.0,0.93,0.29
2017-02-21,1031.82,1039.69,1039.8,1029.23,0.76,7.81,4661593,8103079424.0,1.02,0.27
2017-02-22,1038.06,1038.25,1039.15,1031.85,-0.14,-1.44,4714590,7929088256.0,0.7,0.28
2017-02-23,1035.94,1032.58,1037.64,1027.46,-0.55,-5.67,4347080,7399125248.0,0.98,0.26
2017-02-24,1031.03,1043.35,1044.46,1028.28,1.04,10.77,4359460,7325835264.0,1.57,0.26
2017-02-27,1041.86,1030.68,1042.09,1030.35,-1.21,-12.67,4566958,7940318208.0,1.13,0.27
2017-02-28,1030.49,1033.16,1034.33,1026.06,0.24,2.48,4143836,7300530432.0,0.8,0.24
2017-03-01,1032.95,1035.63,1040.76,1031.87,0.24,2.47,4554620,8216862464.0,0.86,0.27
2017-03-02,1036.1,1027.3,1038.43,1026.58,-0.8,-8.33,4540172,7871078144.0,1.14,0.27
2017-03-03,1028.9,1035.14,1038.37,1025.31,0.76,7.84,5246941,9109773312.0,1.27,0.31
2017-03-06,1036.96,1051.12,1051.16,1034.04,1.54,15.98,5012780,8850633728.0,1.65,0.29
