日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2015-12-09,992.78,970.59,997.47,965.93,-2.94,-29.41,3031117,4234959280.0,3.15,1.15
2015-12-10,967.05,968.03,979.73,961.5,-0.26,-2.56,2656358,3812048160.0,1.88,1.01
2015-12-11,967.51,955.02,968.67,951.59,-1.34,-13.01,1833241,2654544688.0,1.76,0.7
2015-12-14,944.31,967.32,968.42,940.73,1.29,12.3,1669117,2378110512.0,2.9,0.64
2015-12-15,969.34,975.25,981.01,968.8,0.82,7.93,1716393,2666399056.0,1.26,0.65
2015-12-16,979.89,981.3,987.2,972.99,0.62,6.05,2235912,3276554992.0,1.46,0.85
2015-12-17,986.5,1013.08,1013.09,985.62,3.24,31.78,3398859,5424438528.0,2.8,1.29
2015-12-18,1012.2,1005.72,1018.98,997.71,-0.73,-7.36,2667429,4243345632.0,2.1,1.02
2015-12-21,1005.75,1013.88,1016.95,1003.32,0.81,8.16,2352948,3756774992.0,1.36,0.9
2015-12-22,1014.38,1011.42,1018.61,1002.13,-0.24,-2.46,2238001,3526873648.0,1.63,0.85
2015-12-23,1012.76,1008.47,1023.56,1003.46,-0.29,-2.95,2761687,4236744528.0,1.99,1.05
2015-12-24,1005.85,1012.35,1012.97,987.38,0.38,3.88,2169541,3500667472.0,2.54,0.83
2015-12-25,1012.12,1019.65,1022.64,1004.78,0.72,7.3,2267651,3596869520.0,1.76,0.86
2015-12-28,1024.21,998.17,1031.19,998.17,-2.11,-21.48,2833064,4639350016.0,3.24,1.08
2015-12-29,998.24,1015.11,1015.34,987.32,1.7,16.94,1769626,2781138032.0,2.81,0.67
2015-12-30,1019.04,1016.64,1020.72,1006.44,0.15,1.53,1947093,2930986240.0,1.41,0.74
2015-12-31,1016.03,999.93,1017.23,998.53,-1.64,-16.71,1798047,2869801776.0,1.84,0.68
2016-01-04,998.73,922.47,999.78,922.32,-7.75,-77.46,1657211,2445085248.0,7.75,0.63
2016-01-05,872.32,889.62,920.14,861.39,-3.56,-32.85,2414521,3327689280.0,6.37,0.92
2016-01-06,896.85,912.13,912.83,888.06,2.53,22.51,1675003,2454586208.0,2.78,0.64
2016-01-07,897.18,835.0,897.18,833.27,-8.46,-77.13,469819,640522608.0,7.01,0.18
2016-01-08,844.34,845.59,865.85,801.5,1.27,10.59,2113570,2732658336.0,7.71,0.8
2016-01-11,824.58,779.51,843.86,779.37,-7.81,-66.08,1841979,2327727136.0,7.63,0.7
2016-01-12,777.54,785.86,796.39,765.13,0.81,6.35,1498699,1869576912.0,4.01,0.57
2016-01-13,791.1,748.83,796.95,748.63,-4.71,-37.03,1544469,1836757824.0,6.15,0.59
2016-01-14,728.11,769.11,772.36,722.51,2.71,20.28,1854961,2216122368.0,6.66,0.71
2016-01-15,765.49,746.13,776.23,737.74,-2.99,-22.98,1736688,2119702224.0,5.0,0.66
2016-01-18,728.39,761.29,771.06,728.18,2.03,15.16,1236609,1497579504.0,5.75,0.47
2016-01-19,759.66,790.68,791.65,757.85,3.86,29.39,1500292,1889489312.0,4.44,0.57
2016-01-20,784.15,782.94,798.56,775.54,-0.98,-7.74,1330515,1744121040.0,2.91,0.51
2016-01-21,773.05,760.03,789.65,760.03,-2.93,-22.91,1092943,1571527344.0,3.78,0.42
2016-01-22,766.79,766.56,772.51,749.35,0.86,6.53,1008453,1402188000.0,3.05,0.38
2016-01-25,772.19,774.7,779.87,766.79,1.06,8.14,927013,1381107008.0,1.71,0.35
2016-01-26,766.68,723.92,770.39,722.53,-6.55,-50.78,1299471,1670509264.0,6.18,0.49
2016-01-27,729.37,717.3,730.44,688.95,-0.91,-6.62,1326233,1590018992.0,5.73,0.5
2016-01-28,698.53,680.16,707.78,678.9,-5.18,-37.14,976971,1180677888.0,4.03,0.37
2016-01-29,670.19,696.41,699.03,666.52,2.39,16.25,1900032,1842895856.0,4.78,0.72
2016-02-01,689.01,679.86,692.4,672.97,-2.38,-16.55,1312308,1307892400.0,2.79,0.5
2016-02-02,676.48,701.9,702.84,676.48,3.24,22.04,1322789,1426737936.0,3.88,0.5
2016-02-03,692.68,704.37,705.13,682.83,0.35,2.47,1067968,1161338480.0,3.18,0.41
2016-02-04,705.89,722.11,726.5,705.89,2.52,17.74,1302168,1487864496.0,2.93,0.5
2016-02-05,723.69,723.46,730.71,718.58,0.19,1.35,1105706,1361232640.0,1.68,0.42
2016-02-15,698.92,726.86,729.81,694.3,0.47,3.4,1039660,1168656704.0,4.91,0.4
2016-02-16,728.45,753.13,755.45,728.45,3.61,26.27,1367590,1653553392.0,3.71,0.52
2016-02-17,751.12,762.11,763.3,741.63,1.19,8.98,1380977,1650272048.0,2.88,0.53
2016-02-18,764.91,760.15,770.82,757.2,-0.26,-1.96,1578348,1963326848.0,1.79,0.6
2016-02-19,755.92,764.97,769.05,754.18,0.63,4.82,1250388,1575583552.0,1.96,0.48
2016-02-22,773.9,783.99,783.99,769.36,2.49,19.02,1577263,2093643520.0,1.91,0.6
2016-02-23,786.8,783.41,788.11,770.03,-0.07,-0.58,1526483,1904826640.0,2.31,0.58
2016-02-24,781.24,785.51,787.83,768.91,0.27,2.1,1476074,1991025504.0,2.42,0.56
2016-02-25,781.73,718.82,781.87,716.58,-8.49,-66.69,1839873,2254159216.0,8.31,0.7
2016-02-26,727.22,721.57,729.65,704.22,0.38,2.75,1321599,1535323776.0,3.54,0.5
2016-02-29,719.47,693.03,719.84,685.89,-3.96,-28.54,1228461,1473768224.0,4.71,0.47
2016-03-01,692.99,706.01,708.57,684.46,1.87,12.98,1126764,1443143824.0,3.48,0.43
2016-03-02,706.01,733.41,735.82,703.97,3.88,27.4,1538540,2010888000.0,4.51,0.59
2016-03-03,741.59,754.45,762.47,738.98,2.87,21.04,1947929,2339294352.0,3.2,0.74
2016-03-04,750.99,725.57,757.45,717.75,-3.83,-28.88,1810743,2052333568.0,5.26,0.69
2016-03-07,733.26,739.8,748.41,732.02,1.96,14.23,1233645,1489403696.0,2.26,0.47
2016-03-08,740.62,748.31,748.31,711.71,1.15,8.51,1480073,1784291456.0,4.95,0.56
2016-03-09,733.96,735.25,749.36,728.15,-1.75,-13.06,1288455,1701430224.0,2.83,0.49
2016-03-10,730.46,715.75,734.49,713.91,-2.65,-19.5,1072034,1336196912.0,2.8,0.41
2016-03-11,705.88,713.88,718.78,703.06,-0.26,-1.87,801042,922600992.0,2.2,0.3
2016-03-14,721.62,734.98,743.8,721.62,2.96,21.1,1368481,1741355520.0,3.11,0.52
2016-03-15,732.41,732.59,741.67,728.67,-0.33,-2.39,1028986,1366741424.0,1.77,0.39
2016-03-16,737.53,722.04,741.06,719.66,-1.44,-10.55,920081,1199345584.0,2.92,0.35
2016-03-17,723.86,747.24,748.5,723.86,3.49,25.2,1467686,1972225760.0,3.41,0.56
2016-03-18,751.9,775.39,777.56,750.13,3.77,28.15,1947629,2454541328.0,3.67,0.74
2016-03-21,781.5,790.35,791.34,781.17,1.93,14.96,2864444,4823529472.0,1.31,1.09
2016-03-22,785.24,797.0,804.2,781.49,0.84,6.65,2313766,3787616112.0,2.87,0.88
2016-03-23,791.8,810.7,811.37,790.05,1.72,13.7,2278175,3521713040.0,2.68,0.87
2016-03-24,804.2,805.08,819.26,797.82,-0.69,-5.62,2450702,4099757872.0,2.64,0.93
2016-03-25,803.06,814.41,814.88,801.56,1.16,9.33,1659290,2791832832.0,1.65,0.63
2016-03-28,815.87,804.63,825.25,803.02,-1.2,-9.78,1796458,2763356720.0,2.73,0.68
2016-03-29,803.04,787.39,805.89,781.83,-2.14,-17.24,1556841,2319674208.0,2.99,0.59
2016-03-30,793.3,814.39,815.01,793.3,3.43,27.0,1874836,3078137264.0,2.76,0.71
2016-03-31,819.65,826.81,830.17,814.81,1.53,12.42,2310498,4093637648.0,1.89,0.88
2016-04-01,820.72,829.82,830.58,812.88,0.36,3.01,2106891,3415689792.0,2.14,0.8
2016-04-05,830.26,845.65,850.69,827.91,1.91,15.83,2169895,3555498992.0,2.75,0.83
2016-04-06,844.5,852.96,853.35,841.17,0.86,7.31,2188637,3911295280.0,1.44,0.83
2016-04-07,853.14,838.26,858.73,837.89,-1.72,-14.7,2251147,3931483728.0,2.44,0.86
2016-04-08,830.92,831.32,832.91,819.34,-0.83,-6.94,1897035,3081428432.0,1.62,0.72
2016-04-11,836.52,846.87,849.79,835.18,1.87,15.55,2150036,3351110752.0,1.76,0.82
2016-04-12,846.72,837.48,849.15,826.94,-1.11,-9.39,2035127,3146989904.0,2.62,0.77
2016-04-13,840.33,844.38,854.02,839.97,0.82,6.9,2429659,3446919216.0,1.68,0.92
