日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-08-14,992.95,997.96,1002.63,971.82,-0.2,-2.04,3656815,8359656508.0,3.08,1.22
2023-08-15,990.42,989.37,1007.12,968.3,-0.86,-8.59,3152721,6749077867.0,3.89,1.05
2023-08-16,993.88,969.84,1015.43,967.52,-1.97,-19.53,3430848,7566064792.0,4.84,1.15
2023-08-17,956.86,950.98,966.96,942.96,-1.94,-18.86,2909019,5951517495.0,2.47,0.97
2023-08-18,945.19,907.73,945.8,907.73,-4.55,-43.25,2548594,5153692681.0,4.0,0.85
2023-08-21,902.54,897.4,913.98,894.16,-1.14,-10.33,1741456,4044355752.0,2.18,0.58
2023-08-22,895.37,876.38,897.35,858.85,-2.34,-21.02,1921050,4772253643.0,4.29,0.64
2023-08-23,871.86,855.56,878.29,855.36,-2.38,-20.82,1403710,3404947703.0,2.62,0.47
2023-08-24,852.63,855.15,863.33,838.1,-0.05,-0.41,1312186,3306706853.0,2.95,0.44
2023-08-25,851.15,842.14,862.6,840.0,-1.52,-13.01,1512107,3640954178.0,2.64,0.5
2023-08-28,886.98,834.46,887.58,832.71,-0.91,-7.68,1718041,4425626061.0,6.52,0.57
2023-08-29,830.62,872.21,872.28,829.4,4.52,37.75,1433029,3797430786.0,5.14,0.48
2023-08-30,870.53,880.31,885.16,869.76,0.93,8.1,1207680,3287009856.0,1.77,0.4
2023-08-31,875.91,898.21,911.02,869.63,2.03,17.9,1860944,4233829257.0,4.7,0.62
2023-09-01,890.24,878.27,892.9,877.68,-2.22,-19.94,1201211,2892522140.0,1.69,0.4
2023-09-04,880.78,880.78,883.29,873.55,0.29,2.51,1130665,3177255574.0,1.11,0.38
2023-09-05,878.46,871.92,883.07,868.11,-1.01,-8.86,1043697,2581249491.0,1.7,0.35
2023-09-06,869.22,863.54,870.22,861.04,-0.96,-8.38,876636,2158484633.0,1.05,0.29
2023-09-07,861.51,845.39,862.73,845.02,-2.1,-18.15,915644,2104091487.0,2.05,0.31
2023-09-08,849.37,850.45,861.2,847.13,0.6,5.06,790534,2015069025.0,1.66,0.26
2023-09-11,848.55,891.52,893.42,848.29,4.83,41.07,1948318,5184226713.0,5.31,0.65
2023-09-12,892.95,922.48,938.43,892.52,3.47,30.96,3154645,6271344848.0,5.15,1.05
