日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2017-07-10,998.47,982.15,998.47,980.87,-1.79,-17.85,38392139,67821744640.0,1.76,0.73
2017-07-11,980.44,965.39,981.77,965.39,-1.71,-16.76,33314674,57096621568.0,1.67,0.64
2017-07-12,963.81,967.86,967.86,948.72,0.26,2.47,34250374,57232788224.0,1.98,0.65
2017-07-13,966.62,959.27,966.62,956.8,-0.89,-8.59,27650160,48135025664.0,1.01,0.53
2017-07-14,957.03,947.74,957.03,945.38,-1.2,-11.53,33060133,54699922944.0,1.21,0.63
2017-07-17,941.61,881.45,941.61,881.39,-6.99,-66.29,46303611,69022666752.0,6.35,0.88
2017-07-18,876.32,885.52,889.47,865.91,0.46,4.07,32046651,48503342080.0,2.67,0.61
2017-07-19,883.35,888.63,888.7,873.72,0.35,3.11,29898488,45984006656.0,1.69,0.57
2017-07-20,887.99,888.51,902.66,887.15,-0.01,-0.12,31607293,49408490240.0,1.75,0.6
2017-07-21,887.44,884.34,892.88,882.69,-0.47,-4.17,26271248,40473775616.0,1.15,0.5
2017-07-24,882.01,890.08,890.13,874.22,0.65,5.74,28964998,44483482112.0,1.8,0.55
2017-07-25,889.62,891.51,894.39,886.01,0.16,1.43,29030898,43194771200.0,0.94,0.55
2017-07-26,891.68,890.18,894.1,885.66,-0.15,-1.33,29923483,46134808320.0,0.95,0.57
2017-07-27,888.9,922.49,923.75,886.69,3.63,32.31,59576233,87208869888.0,4.16,1.14
2017-07-28,920.87,914.01,923.24,914.01,-0.92,-8.48,44744369,68626576896.0,1.0,0.85
2017-07-31,913.33,915.65,919.77,909.61,0.18,1.64,38851084,59601616384.0,1.11,0.74
2017-08-01,915.62,917.03,918.01,910.06,0.15,1.38,39793813,61462176000.0,0.87,0.76
2017-08-02,915.69,904.5,916.18,904.39,-1.37,-12.53,41066914,62147124992.0,1.29,0.78
2017-08-03,903.24,912.63,923.55,901.94,0.9,8.13,44513088,66100496640.0,2.39,0.85
2017-08-04,912.28,905.42,914.21,905.42,-0.79,-7.21,38962631,56722235904.0,0.96,0.74
2017-08-07,905.43,911.81,916.11,904.54,0.71,6.39,32839179,48204291328.0,1.28,0.63
2017-08-08,911.69,919.29,919.37,904.81,0.82,7.48,43319583,63972143360.0,1.6,0.83
2017-08-09,916.53,918.99,923.4,915.43,-0.03,-0.3,41532008,61783910656.0,0.87,0.79
2017-08-10,917.36,908.39,922.0,902.47,-1.15,-10.6,41344993,62522916864.0,2.13,0.79
2017-08-11,901.8,902.1,911.15,899.57,-0.69,-6.29,39751334,58907863296.0,1.27,0.76
2017-08-14,903.01,926.62,926.62,902.48,2.72,24.52,48452211,72714891264.0,2.68,0.92
2017-08-15,927.53,932.13,932.13,925.48,0.59,5.51,42772703,65767868672.0,0.72,0.82
2017-08-16,931.69,947.39,951.27,930.07,1.64,15.26,60713477,92107378688.0,2.27,1.16
2017-08-17,944.79,953.97,956.83,943.58,0.69,6.58,56135680,87433281536.0,1.4,1.07
2017-08-18,947.79,944.04,951.28,941.84,-1.04,-9.93,45022126,69300174848.0,0.99,0.86
2017-08-21,945.18,952.94,952.94,945.09,0.94,8.9,38447919,59004337408.0,0.83,0.73
2017-08-22,952.7,944.75,952.73,943.0,-0.86,-8.19,40552125,64437765888.0,1.02,0.77
2017-08-23,944.1,944.95,948.74,938.9,0.02,0.2,36096111,56981324800.0,1.04,0.69
2017-08-24,944.93,936.95,947.61,935.48,-0.85,-8.0,37643009,57997716224.0,1.28,0.72
2017-08-25,935.98,950.45,950.45,935.69,1.44,13.5,37746622,58902522624.0,1.58,0.72
2017-08-28,951.55,969.52,972.75,951.55,2.01,19.07,52839683,87212494848.0,2.23,1.01
2017-08-29,968.76,966.72,972.33,965.53,-0.29,-2.8,45451748,76319830016.0,0.7,0.87
2017-08-30,965.79,965.94,971.02,964.25,-0.08,-0.78,39510743,66753838592.0,0.7,0.75
2017-08-31,966.39,978.0,978.0,966.36,1.25,12.06,38364610,67843641856.0,1.21,0.73
2017-09-01,978.86,987.4,987.4,975.67,0.96,9.4,50011174,85522800640.0,1.2,0.95
2017-09-04,986.72,997.52,1000.11,985.61,1.02,10.12,58720945,97852813312.0,1.47,1.12
2017-09-05,997.2,1000.03,1001.06,993.08,0.25,2.51,53499492,90841759744.0,0.8,1.02
2017-09-06,997.6,1009.64,1009.64,993.74,0.96,9.61,57960108,100015587328.0,1.59,1.11
2017-09-07,1010.27,1008.09,1020.63,1007.73,-0.15,-1.55,68210394,120567156736.0,1.28,1.3
2017-09-08,1007.23,1007.77,1012.78,1000.09,-0.03,-0.32,50720763,87437471744.0,1.26,0.97
2017-09-11,1007.64,1019.13,1019.13,1006.9,1.13,11.36,48132155,84021161984.0,1.21,0.92
2017-09-12,1019.83,1008.56,1020.3,1007.93,-1.04,-10.57,62476728,106951159808.0,1.21,1.19
2017-09-13,1007.44,1013.2,1013.2,1004.29,0.46,4.64,45931428,75158081536.0,0.88,0.88
2017-09-14,1013.24,1010.29,1017.13,1006.9,-0.29,-2.91,46573519,76953509888.0,1.01,0.89
