日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-03-16,998.95,1004.63,1005.21,994.99,0.46,4.63,11310946,20571989570.0,1.02,1.59
2026-03-17,1005.37,986.97,1010.8,986.97,-1.76,-17.66,12113041,23128638836.0,2.37,1.71
2026-03-18,988.53,999.62,1000.47,984.5,1.28,12.65,10388181,19064866101.0,1.62,1.46
2026-03-19,989.66,976.95,992.46,973.51,-2.27,-22.67,11111956,22182108118.0,1.9,1.57
2026-03-20,978.95,950.66,984.67,950.66,-2.69,-26.29,12219769,23097371960.0,3.48,1.72
2026-03-23,935.84,897.63,936.7,891.67,-5.58,-53.03,16609807,28217155156.0,4.74,2.34
2026-03-24,914.04,932.07,932.53,907.61,3.84,34.44,13577532,26262369825.0,2.78,1.91
2026-03-25,935.91,947.52,948.44,935.91,1.66,15.45,12644760,23578191039.0,1.34,1.78
2026-03-26,947.23,937.4,958.75,934.12,-1.07,-10.12,15505698,22180793145.0,2.6,2.18
2026-03-27,928.57,965.38,967.09,927.84,2.98,27.98,16265924,26186869644.0,4.19,2.29
2026-03-30,956.51,979.63,979.76,956.13,1.48,14.25,16233552,30691142125.0,2.45,2.29
2026-03-31,981.56,981.23,1004.19,980.95,0.16,1.6,16550272,37699076968.0,2.37,2.33
2026-04-01,993.79,1014.45,1014.53,980.99,3.39,33.22,18786149,41109741932.0,3.42,2.65
2026-04-02,1011.02,1011.42,1020.84,1006.43,-0.3,-3.03,19875587,43029853827.0,1.42,2.8
2026-04-03,1004.14,985.46,1004.86,985.43,-2.57,-25.96,17271813,34528751823.0,1.92,2.43
2026-04-07,985.34,989.99,999.16,972.92,0.46,4.53,16318093,30469958813.0,2.66,2.3
2026-04-08,1005.74,1017.13,1017.13,1001.34,2.74,27.14,19848660,38305360755.0,1.59,2.8
2026-04-09,1008.46,995.19,1017.47,993.41,-2.16,-21.94,18348457,34055879640.0,2.37,2.59
2026-04-10,997.84,1003.86,1015.89,995.37,0.87,8.67,15993675,31957912103.0,2.06,2.25
2026-04-13,998.79,995.31,999.47,991.9,-0.85,-8.55,13018742,25318880369.0,0.75,1.83
2026-04-14,1000.85,1007.02,1007.02,988.78,1.18,11.71,13715763,29767974445.0,1.83,1.93
2026-04-15,1015.8,1014.4,1020.26,999.07,0.73,7.38,18384292,36448989284.0,2.1,2.59
2026-04-16,1012.84,1017.12,1017.95,1001.74,0.27,2.72,16749670,30162115055.0,1.6,2.36
2026-04-17,1012.26,1001.64,1012.26,994.4,-1.52,-15.48,14220230,30770317680.0,1.76,2.0
2026-04-20,1000.77,1008.45,1011.32,999.8,0.68,6.81,14999786,29740788951.0,1.15,2.11
2026-04-21,1005.94,995.57,1008.67,990.34,-1.28,-12.88,12326347,23106405009.0,1.82,1.74
2026-04-22,991.81,1005.68,1005.79,989.14,1.02,10.11,13682212,25167349455.0,1.67,1.93
2026-04-23,1004.25,991.15,1006.76,987.76,-1.44,-14.53,15909324,29529937507.0,1.89,2.24
2026-04-24,985.43,986.51,991.02,977.26,-0.47,-4.64,16086343,29628046483.0,1.39,2.27
2026-04-27,983.29,991.62,992.02,978.26,0.52,5.11,13473221,26036357356.0,1.39,1.9
2026-04-28,990.1,987.48,1000.52,983.3,-0.42,-4.14,16454122,36242073661.0,1.74,2.32
2026-04-29,981.23,989.0,993.13,977.17,0.15,1.52,15834287,39946898115.0,1.62,2.23
2026-04-30,987.24,987.35,994.58,981.04,-0.17,-1.65,14328428,32131988606.0,1.37,2.02
2026-05-06,988.06,994.14,996.86,987.19,0.69,6.79,16713825,36231641842.0,0.98,2.35
2026-05-07,995.73,998.56,998.6,991.87,0.44,4.42,14857415,32384213538.0,0.68,2.09
2026-05-08,999.58,1001.28,1005.02,995.95,0.27,2.72,17957281,34930173017.0,0.91,2.53
2026-05-11,1002.49,1014.34,1014.37,993.1,1.3,13.06,20208034,41168753012.0,2.12,2.85
2026-05-12,1011.71,999.72,1011.71,997.3,-1.44,-14.62,16399905,35721795785.0,1.42,2.31
2026-05-13,999.23,1002.61,1002.9,988.86,0.29,2.89,15658905,32123816043.0,1.4,2.21
2026-05-14,1001.37,975.8,1004.3,975.8,-2.67,-26.81,17176810,35384936868.0,2.84,2.42
2026-05-15,973.95,966.53,982.38,961.05,-0.95,-9.27,15265205,31471342912.0,2.19,2.15
2026-05-18,964.65,965.31,969.46,957.5,-0.13,-1.22,13038387,25717817203.0,1.24,1.84
2026-05-19,965.85,975.68,980.51,963.38,1.07,10.37,13539554,25646136615.0,1.77,1.91
2026-05-20,973.47,965.43,974.32,958.14,-1.05,-10.25,14066857,26359101842.0,1.66,1.98
2026-05-21,965.66,949.41,979.8,948.32,-1.66,-16.02,15620268,35904003979.0,3.26,2.2
2026-05-22,954.16,950.67,955.81,938.37,0.13,1.26,12677480,27485193227.0,1.84,1.79
2026-05-25,950.48,944.94,959.28,935.41,-0.6,-5.73,13265874,26680379580.0,2.51,1.87
2026-05-26,940.77,930.68,940.77,919.49,-1.51,-14.26,13555804,29762789373.0,2.25,1.91
2026-05-27,928.43,912.92,928.78,908.38,-1.91,-17.76,13129014,29405378747.0,2.19,1.85
2026-05-28,912.44,907.66,912.66,892.65,-0.58,-5.26,12695544,26408941420.0,2.19,1.79
2026-05-29,911.0,895.96,916.78,894.42,-1.29,-11.7,14558254,29865170856.0,2.46,2.05
2026-06-01,891.53,905.3,910.76,890.57,1.04,9.34,13522044,28320356349.0,2.25,1.91
2026-06-02,903.36,887.95,903.69,882.54,-1.92,-17.35,11517121,22468744704.0,2.34,1.62
2026-06-03,886.48,878.32,886.69,873.19,-1.08,-9.63,11820819,22222463421.0,1.52,1.67
2026-06-04,874.89,865.11,877.2,859.65,-1.5,-13.21,11144522,20185064337.0,2.0,1.57
2026-06-05,869.46,867.33,876.8,861.83,0.26,2.22,10944780,21354100432.0,1.73,1.54
2026-06-08,852.58,841.9,865.9,831.3,-2.93,-25.43,12017232,21664952921.0,3.99,1.69
2026-06-09,847.38,849.43,849.86,834.21,0.89,7.53,10919427,22580972624.0,1.86,1.54
2026-06-10,844.54,842.08,851.79,831.4,-0.87,-7.35,11145196,20887002179.0,2.4,1.57
2026-06-11,835.58,825.94,838.61,818.18,-1.92,-16.14,11216539,19008981953.0,2.43,1.58
2026-06-12,832.66,844.55,848.59,826.17,2.25,18.61,14029933,27359272591.0,2.71,1.98
2026-06-15,847.2,851.09,858.74,843.67,0.77,6.54,12050527,21186204353.0,1.78,1.7
2026-06-16,850.0,847.09,850.0,838.81,-0.47,-4.0,10714059,19020464701.0,1.31,1.51
2026-06-17,845.79,839.26,845.79,833.75,-0.92,-7.83,10378972,17830369274.0,1.42,1.46
2026-06-18,837.51,849.67,857.39,830.86,1.24,10.41,12542964,26023407283.0,3.16,1.77
2026-06-22,845.19,855.6,855.88,818.51,0.7,5.93,16086026,31268373351.0,4.4,2.27
2026-06-23,851.92,868.27,882.75,850.88,1.48,12.67,15558896,30797232200.0,3.72,2.19
2026-06-24,868.01,861.75,876.28,857.62,-0.75,-6.52,15884943,37316604161.0,2.15,2.24
2026-06-25,856.38,849.62,856.38,833.91,-1.41,-12.13,15279915,35265217235.0,2.61,2.15
2026-06-26,844.51,824.18,848.65,824.18,-2.99,-25.44,14046948,32799598463.0,2.88,1.98
2026-06-30,851.20,849.89,857.74,842.55,-0.74,0,15066280.0,37251010381.0,0,0
2026-07-01,845.00,876.77,880.13,835.49,3.16,0,19115960.0,46179525060.0,0,0
2026-07-02,872.36,869.97,893.01,868.65,-0.78,0,18830444.0,41238883874.0,0,0
2026-07-03,0.00,883.67,0.00,0.00,1.57,0,0,0,0,0
