日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-10-25,994.58,978.79,1002.75,968.26,-2.12,-21.21,6737165,11066821057.0,3.45,0.48
2022-10-26,982.54,1026.72,1034.67,982.54,4.9,47.93,8375675,15607028090.0,5.33,0.6
2022-10-27,1032.13,1041.57,1051.57,1015.98,1.45,14.85,8150570,16835936167.0,3.47,0.59
2022-10-28,1036.75,1008.87,1044.37,1005.2,-3.14,-32.7,7614254,16735686238.0,3.76,0.55
2022-10-31,1001.4,1013.88,1022.51,989.4,0.5,5.01,7791812,19381542540.0,3.28,0.56
2022-11-01,1017.32,1046.48,1046.93,1006.81,3.22,32.6,9379615,22025005009.0,3.96,0.67
2022-11-02,1039.57,1065.74,1095.65,1036.66,1.84,19.26,13786006,33227548334.0,5.64,0.99
2022-11-03,1050.86,1059.83,1072.74,1046.92,-0.55,-5.91,8050882,19347594759.0,2.42,0.58
2022-11-04,1062.65,1078.41,1091.21,1060.81,1.75,18.58,8294419,20706418399.0,2.87,0.6
2022-11-07,1079.75,1086.17,1092.63,1074.51,0.72,7.76,8118165,19211700620.0,1.68,0.58
2022-11-08,1084.17,1085.59,1091.05,1066.26,-0.05,-0.58,7023088,15626317482.0,2.28,0.5
2022-11-09,1086.06,1107.9,1112.91,1084.35,2.06,22.31,8465596,17667429693.0,2.63,0.61
2022-11-10,1106.04,1106.6,1124.05,1105.42,-0.12,-1.3,9061802,17430802590.0,1.68,0.65
2022-11-11,1134.67,1095.96,1156.05,1095.29,-0.96,-10.64,14885201,33022822680.0,5.49,1.07
2022-11-14,1088.07,1142.05,1142.93,1085.44,4.21,46.09,13103502,26900837528.0,5.25,0.94
2022-11-15,1148.5,1152.85,1153.09,1125.73,0.95,10.8,11702117,25161459805.0,2.4,0.84
2022-11-16,1154.46,1141.54,1163.61,1135.69,-0.98,-11.31,12724757,29352010338.0,2.42,0.91
2022-11-17,1132.2,1161.16,1161.21,1131.53,1.72,19.62,12050737,25457344626.0,2.6,0.87
2022-11-18,1160.29,1176.3,1185.19,1155.14,1.3,15.14,13920244,31802690772.0,2.59,1.0
2022-11-21,1170.01,1175.74,1181.14,1153.2,-0.05,-0.56,12113868,27544607267.0,2.38,0.87
2022-11-22,1171.01,1135.31,1192.45,1127.62,-3.44,-40.43,12586676,27224338951.0,5.51,0.9
2022-11-23,1133.64,1101.48,1138.03,1090.37,-2.98,-33.83,9752620,20507843859.0,4.2,0.7
2022-11-24,1106.72,1118.61,1119.91,1103.12,1.56,17.13,8708254,19728495929.0,1.52,0.63
2022-11-25,1112.4,1116.83,1121.68,1085.24,-0.16,-1.78,8875210,18193418617.0,3.26,0.64
2022-11-28,1107.36,1115.56,1129.02,1104.55,-0.11,-1.27,8598823,18961633169.0,2.19,0.62
2022-11-29,1113.53,1145.11,1148.34,1113.53,2.65,29.55,10748243,24589000564.0,3.12,0.77
2022-11-30,1140.24,1131.41,1147.65,1123.41,-1.2,-13.7,8750485,20520801243.0,2.12,0.63
2022-12-01,1144.67,1119.98,1147.53,1111.78,-1.01,-11.43,9871844,24371390329.0,3.16,0.71
2022-12-02,1113.64,1121.54,1127.33,1113.59,0.14,1.56,6124012,14480882430.0,1.23,0.44
2022-12-05,1133.25,1126.13,1143.95,1118.72,0.41,4.59,9997571,24350511604.0,2.25,0.72
2022-12-06,1122.18,1101.55,1132.01,1097.98,-2.18,-24.58,10025954,25638927838.0,3.02,0.72
2022-12-07,1102.34,1137.31,1137.7,1090.58,3.25,35.76,12924376,27396919323.0,4.28,0.93
2022-12-08,1135.06,1135.42,1147.04,1123.03,-0.17,-1.89,14129902,32190429784.0,2.11,1.02
2022-12-09,1131.55,1138.49,1149.19,1125.96,0.27,3.07,11947207,28548431380.0,2.05,0.86
2022-12-12,1146.09,1175.12,1178.82,1143.99,3.22,36.63,14052564,29394149351.0,3.06,1.01
2022-12-13,1177.21,1172.95,1178.31,1145.93,-0.18,-2.17,12526142,25949104125.0,2.76,0.9
2022-12-14,1172.15,1145.99,1172.15,1144.58,-2.3,-26.96,12229073,28882193665.0,2.35,0.88
2022-12-15,1144.76,1140.81,1157.26,1135.83,-0.45,-5.18,8859156,20019027451.0,1.87,0.64
2022-12-16,1138.45,1169.03,1178.29,1138.45,2.47,28.22,11996470,26547795060.0,3.49,0.86
2022-12-19,1165.85,1103.92,1165.89,1101.47,-5.57,-65.11,11303645,24482842611.0,5.51,0.81
2022-12-20,1095.98,1089.78,1103.54,1075.42,-1.28,-14.14,8101825,17314950667.0,2.55,0.58
2022-12-21,1089.03,1087.43,1101.68,1078.03,-0.22,-2.35,8154286,17396884248.0,2.17,0.59
2022-12-22,1091.38,1073.28,1100.48,1071.48,-1.3,-14.15,8001721,17907222814.0,2.67,0.58
2022-12-23,1071.71,1077.17,1084.48,1069.63,0.36,3.89,6589374,14352425875.0,1.38,0.47
2022-12-26,1079.27,1070.18,1083.69,1062.3,-0.65,-6.99,7552719,16045129060.0,1.99,0.54
2022-12-27,1067.39,1046.59,1067.69,1029.98,-2.2,-23.59,8069453,17345662120.0,3.52,0.58
2022-12-28,1043.36,1047.28,1056.62,1041.48,0.07,0.69,6446946,13912529689.0,1.45,0.46
2022-12-29,1046.87,1077.03,1082.29,1044.84,2.84,29.75,9392698,18086814223.0,3.58,0.68
2022-12-30,1078.45,1069.03,1081.0,1066.71,-0.74,-8.0,6877548,13804492920.0,1.33,0.49
2023-01-03,1081.04,1090.47,1096.08,1079.13,2.01,21.44,7912471,15412589285.0,1.59,0.57
2023-01-04,1090.38,1091.86,1098.63,1084.13,0.13,1.39,7920477,15033835530.0,1.33,0.57
2023-01-05,1091.66,1106.86,1109.19,1083.63,1.37,15.0,7001840,17926204999.0,2.34,0.5
2023-01-06,1106.9,1097.57,1106.9,1094.91,-0.84,-9.29,5981591,13772080828.0,1.08,0.43
2023-01-09,1101.32,1104.65,1107.77,1098.63,0.65,7.08,5972047,15073106361.0,0.83,0.43
2023-01-10,1105.59,1115.67,1120.88,1096.21,1.0,11.02,5414560,14455277940.0,2.23,0.39
2023-01-11,1114.06,1110.95,1122.97,1109.99,-0.42,-4.72,5893210,14509244537.0,1.16,0.42
2023-01-12,1110.81,1102.95,1116.11,1098.99,-0.72,-8.0,5647129,12974228471.0,1.54,0.41
