日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-12-22,1000.03,1004.43,1006.27,993.56,0.44,4.43,5965781,15042633984.0,1.27,1.09
2021-12-23,1008.23,990.2,1008.85,988.33,-1.42,-14.23,4653699,14154756352.0,2.04,0.85
2021-12-24,991.03,952.09,991.65,949.73,-3.85,-38.11,5483453,16701395200.0,4.23,1.0
2021-12-27,951.4,956.83,968.27,950.06,0.5,4.74,4202703,13045563904.0,1.91,0.77
2021-12-28,960.65,976.76,977.44,957.7,2.08,19.93,4499737,17013730816.0,2.06,0.82
2021-12-29,974.48,968.19,978.04,967.94,-0.88,-8.57,4266649,16341668352.0,1.03,0.78
2021-12-30,969.29,962.5,973.26,961.66,-0.59,-5.69,3667691,12240383232.0,1.2,0.67
2021-12-31,964.1,969.45,972.34,964.04,0.72,6.95,3676136,13803513856.0,0.86,0.67
2022-01-04,978.16,948.27,979.91,943.07,-2.18,-21.18,4571131,17736287232.0,3.8,0.83
2022-01-05,946.65,922.26,947.71,916.64,-2.74,-26.01,4668105,14483538432.0,3.28,0.85
2022-01-06,917.1,936.97,940.43,914.98,1.59,14.71,4698445,14430318592.0,2.76,0.86
2022-01-07,940.3,911.09,941.62,910.81,-2.76,-25.88,4894937,15832294400.0,3.29,0.89
2022-01-10,900.57,904.82,912.14,896.52,-0.69,-6.27,3584282,11159898624.0,1.71,0.65
2022-01-11,903.81,893.27,911.13,891.48,-1.28,-11.55,3482097,11278911232.0,2.17,0.64
2022-01-12,904.3,919.58,920.1,904.18,2.95,26.31,4312458,16056007680.0,1.78,0.79
2022-01-13,919.63,902.09,919.96,900.97,-1.9,-17.49,4149538,17812824832.0,2.07,0.76
2022-01-14,897.13,898.57,907.23,893.39,-0.39,-3.52,3959756,13930199040.0,1.53,0.72
2022-01-17,896.75,908.96,909.92,890.74,1.16,10.39,3847343,13472563200.0,2.13,0.7
2022-01-18,907.6,903.61,911.85,900.38,-0.59,-5.35,3477203,11216165376.0,1.26,0.63
2022-01-19,899.29,882.95,901.33,874.68,-2.29,-20.66,4043339,13955331072.0,2.95,0.74
2022-01-20,881.4,860.02,884.25,859.07,-2.6,-22.93,3415009,10118909952.0,2.85,0.62
2022-01-21,858.0,855.19,864.02,850.47,-0.56,-4.83,2933694,9319945728.0,1.58,0.54
2022-01-24,851.01,863.86,870.55,848.54,1.01,8.67,3693560,13796374784.0,2.57,0.67
2022-01-25,859.89,839.2,872.39,839.12,-2.85,-24.66,3655640,11326946048.0,3.85,0.67
2022-01-26,835.81,840.88,847.46,827.91,0.2,1.68,3139547,9555570432.0,2.33,0.57
2022-01-27,844.66,813.77,846.68,813.77,-3.22,-27.11,3894146,13629401600.0,3.91,0.71
2022-01-28,819.13,820.64,828.06,794.51,0.84,6.87,3542458,11804483584.0,4.12,0.65
2022-02-07,833.95,832.76,844.81,828.72,1.48,12.12,3693322,13268652544.0,1.96,0.67
2022-02-08,832.14,834.01,834.01,815.4,0.15,1.25,3215778,10771892992.0,2.23,0.59
2022-02-09,833.12,845.48,846.57,829.81,1.38,11.47,3401023,10385565184.0,2.01,0.62
2022-02-10,848.35,836.15,849.49,830.8,-1.1,-9.33,3005740,9441664256.0,2.21,0.55
2022-02-11,839.87,845.83,863.25,834.47,1.16,9.68,4354586,14142061568.0,3.44,0.79
2022-02-14,836.06,843.22,854.64,830.73,-0.31,-2.61,3876328,12064913408.0,2.83,0.71
