日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-09-27,1045.2,1042.1,1106.61,1026.98,4.21,42.1,3796077,10178533376.0,7.96,5.44
2021-09-28,1010.51,1012.96,1038.63,985.28,-2.8,-29.14,2532010,6283281664.0,5.12,3.63
2021-09-29,1006.97,952.82,1010.7,952.82,-5.94,-60.14,2162108,5193917440.0,5.71,3.1
2021-09-30,960.16,1007.18,1007.18,952.4,5.71,54.36,2432410,6291667712.0,5.75,3.49
2021-10-08,1019.13,1029.79,1051.88,1010.17,2.24,22.61,2372899,6332080640.0,4.14,3.4
2021-10-11,1022.85,1025.89,1048.62,1017.5,-0.38,-3.9,2060277,5192278784.0,3.02,2.95
2021-10-12,1025.67,987.15,1026.28,974.4,-3.78,-38.74,1884803,4773227776.0,5.06,2.7
2021-10-13,991.74,995.64,1000.25,979.09,0.86,8.49,1444461,3500214976.0,2.14,2.07
2021-10-14,990.13,974.88,990.13,966.85,-2.09,-20.76,1567974,3639869168.0,2.34,2.25
2021-10-15,977.16,956.3,977.31,953.46,-1.91,-18.58,1694969,4041115728.0,2.45,2.43
2021-10-18,956.95,953.54,956.95,942.06,-0.29,-2.76,1364311,3267490448.0,1.56,1.95
2021-10-19,955.91,984.52,988.0,953.5,3.25,30.98,1954145,5128480000.0,3.62,2.8
2021-10-20,990.35,1002.11,1015.5,982.53,1.79,17.59,2279315,6500122112.0,3.35,3.27
2021-10-21,999.45,997.84,1022.9,997.34,-0.43,-4.27,1932107,5298824960.0,2.55,2.77
2021-10-22,1008.1,1012.56,1029.77,992.89,1.48,14.72,2213203,6630665216.0,3.7,3.17
2021-10-25,996.57,1008.11,1013.74,986.37,-0.44,-4.45,1757944,5444228352.0,2.7,2.52
2021-10-26,1003.84,997.31,1020.51,993.22,-1.07,-10.8,1705744,5007091712.0,2.71,2.44
2021-10-27,986.08,968.93,990.05,964.75,-2.85,-28.38,1425620,3576766976.0,2.54,2.04
2021-10-28,960.87,974.44,1004.57,940.62,0.57,5.51,2165245,6400057088.0,6.6,3.1
2021-10-29,957.2,963.19,969.66,953.83,-1.15,-11.25,1442031,4238216128.0,1.62,2.07
2021-11-01,961.03,984.98,991.78,957.72,2.26,21.79,1503607,4111702080.0,3.54,2.15
2021-11-02,981.77,983.02,1005.58,976.61,-0.2,-1.96,1751936,4650421504.0,2.94,2.51
2021-11-03,985.28,1011.57,1021.87,985.28,2.9,28.55,1793422,5600818688.0,3.72,2.57
2021-11-04,1013.57,1026.29,1035.22,1013.34,1.46,14.72,1883271,6102957056.0,2.16,2.7
2021-11-05,1034.83,1087.17,1103.09,1031.33,5.93,60.88,3090851,9525712640.0,6.99,4.43
2021-11-08,1086.43,1073.31,1088.77,1062.34,-1.27,-13.86,2369323,6679806208.0,2.43,3.39
2021-11-09,1075.95,1070.71,1101.4,1069.31,-0.24,-2.6,3143723,8056240128.0,2.99,4.5
2021-11-10,1064.25,1077.24,1089.26,1057.57,0.61,6.53,2984093,6600630784.0,2.96,4.28
2021-11-11,1072.51,1067.93,1076.41,1061.98,-0.86,-9.31,2490769,5603814912.0,1.34,3.57
