日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-09-30,1052.11,1140.99,1144.59,1038.65,14.1,140.99,21385925,39286383317.0,10.59,8.65
2024-10-08,1318.02,1309.33,1318.02,1215.95,14.75,168.34,21567791,43141829228.0,8.95,8.73
2024-10-09,1284.53,1252.45,1353.63,1242.81,-4.34,-56.88,26238753,60935965627.0,8.46,10.62
2024-10-10,1264.53,1195.88,1279.74,1190.0,-4.52,-56.57,20007919,54734079284.0,7.17,8.1
2024-10-11,1172.33,1146.55,1185.22,1129.27,-4.12,-49.33,15227333,40644779936.0,4.68,6.16
2024-10-14,1148.28,1227.83,1227.83,1127.28,7.09,81.28,16520141,43569859020.0,8.77,6.69
2024-10-15,1218.12,1202.36,1272.7,1202.19,-2.07,-25.47,19215399,60331717274.0,5.74,7.78
2024-10-16,1171.69,1216.07,1219.01,1171.58,1.14,13.71,15304247,42743390059.0,3.94,6.19
2024-10-17,1230.06,1229.9,1265.8,1226.53,1.14,13.83,18482636,51373123947.0,3.23,7.48
2024-10-18,1224.23,1303.6,1332.61,1224.23,5.99,73.7,22359418,62044164602.0,8.81,9.05
2024-10-21,1325.61,1379.34,1406.33,1319.55,5.81,75.74,24676681,71544366694.0,6.66,9.99
2024-10-22,1381.07,1351.65,1388.7,1328.63,-2.01,-27.69,22299603,58345864088.0,4.35,9.02
2024-10-23,1342.01,1339.15,1373.95,1332.49,-0.92,-12.5,20548122,48417705186.0,3.07,8.32
2024-10-24,1320.62,1345.85,1351.93,1320.62,0.5,6.7,15236825,39452768871.0,2.34,6.17
2024-10-25,1352.75,1362.36,1392.76,1351.3,1.23,16.51,13765026,38454329352.0,3.08,5.57
2024-10-28,1357.54,1378.27,1378.27,1344.5,1.17,15.91,15549375,39108290593.0,2.48,6.29
2024-10-29,1383.4,1373.39,1406.63,1367.94,-0.35,-4.88,18378376,51290236476.0,2.81,7.44
2024-10-30,1370.49,1401.6,1406.32,1366.84,2.05,28.21,21526279,61487539865.0,2.87,8.71
2024-10-31,1405.03,1418.76,1436.93,1383.75,1.22,17.16,23664612,74382502777.0,3.79,9.58
2024-11-01,1410.38,1316.69,1410.69,1316.31,-7.19,-102.07,25312270,61243989982.0,6.65,10.24
2024-11-04,1300.96,1345.91,1345.91,1300.96,2.22,29.22,18393026,44880841374.0,3.41,7.44
2024-11-05,1347.29,1403.97,1411.14,1346.83,4.31,58.06,20975718,54357875191.0,4.78,8.49
2024-11-06,1409.22,1406.28,1431.43,1390.83,0.16,2.31,22025569,59302764814.0,2.89,8.91
2024-11-07,1393.28,1432.56,1433.37,1387.97,1.87,26.28,19178346,52004242764.0,3.23,7.76
2024-11-08,1454.21,1458.8,1484.23,1447.78,1.83,26.24,21082730,62989417182.0,2.54,8.53
2024-11-11,1469.9,1533.05,1533.05,1469.9,5.09,74.25,21950906,67243857751.0,4.33,8.88
2024-11-12,1536.83,1501.72,1537.0,1481.08,-2.04,-31.33,18779902,56605009732.0,3.65,7.6
2024-11-13,1489.93,1524.04,1524.39,1455.43,1.49,22.32,17654805,47785555414.0,4.59,7.14
2024-11-14,1512.78,1466.93,1516.7,1463.65,-3.75,-57.11,20306903,52355757235.0,3.48,8.22
2024-11-15,1455.02,1421.92,1477.28,1421.73,-3.07,-45.01,19366333,50977424302.0,3.79,7.84
2024-11-18,1422.94,1342.71,1431.41,1332.18,-5.57,-79.21,17812547,43209065426.0,6.98,7.21
2024-11-19,1345.49,1380.3,1380.3,1324.47,2.8,37.59,14464053,36314180613.0,4.16,5.85
2024-11-20,1372.4,1409.45,1417.15,1369.83,2.11,29.15,14691275,35266328977.0,3.43,5.95
2024-11-21,1403.7,1417.08,1425.39,1395.13,0.54,7.63,15374493,38323474409.0,2.15,6.22
2024-11-22,1406.53,1342.07,1423.8,1340.7,-5.29,-75.01,16022066,39559575043.0,5.86,6.48
2024-11-25,1344.95,1344.28,1353.56,1309.59,0.16,2.21,12440365,31910665228.0,3.28,5.03
2024-11-26,1345.61,1322.5,1360.33,1321.76,-1.62,-21.78,9771583,23037594406.0,2.87,3.95
2024-11-27,1315.33,1354.84,1354.87,1282.91,2.45,32.34,11543626,27480755156.0,5.44,4.67
2024-11-28,1356.96,1347.46,1376.74,1345.46,-0.54,-7.38,12146359,27886077752.0,2.31,4.92
2024-11-29,1339.68,1369.12,1381.73,1327.13,1.61,21.66,12613129,30037368922.0,4.05,5.1
2024-12-02,1369.15,1401.27,1401.78,1367.53,2.35,32.15,12941421,29960100276.0,2.5,5.24
2024-12-03,1401.74,1400.88,1408.53,1384.8,-0.03,-0.39,12281551,30209883230.0,1.69,4.97
2024-12-04,1413.91,1380.58,1417.72,1374.77,-1.45,-20.3,13240215,30835475095.0,3.07,5.36
2024-12-05,1371.24,1397.75,1401.58,1371.24,1.24,17.17,11713431,25697370712.0,2.2,4.74
2024-12-06,1397.62,1404.04,1414.94,1380.24,0.45,6.29,12661661,28567587686.0,2.48,5.12
2024-12-09,1403.6,1395.42,1414.25,1384.93,-0.61,-8.62,11331234,25455922900.0,2.09,4.59
2024-12-10,1442.45,1410.36,1443.54,1407.84,1.07,14.94,14395894,33252434297.0,2.56,5.83
2024-12-11,1404.2,1426.4,1426.58,1404.16,1.14,16.04,11557429,28477912719.0,1.59,4.68
2024-12-12,1431.21,1442.92,1443.41,1414.31,1.16,16.52,13263429,32229486597.0,2.04,5.37
2024-12-13,1432.55,1414.69,1438.92,1414.69,-1.96,-28.23,14992257,36584302469.0,1.68,6.07
2024-12-16,1414.0,1391.3,1417.05,1383.52,-1.65,-23.39,10989163,26818968221.0,2.37,4.45
2024-12-17,1386.09,1344.72,1389.05,1341.94,-3.35,-46.58,9955343,22960105194.0,3.39,4.03
2024-12-18,1346.27,1372.72,1381.56,1328.11,2.08,28.0,10566490,25841749538.0,3.97,4.28
2024-12-19,1352.1,1389.74,1394.0,1350.59,1.24,17.02,11267522,26385616395.0,3.16,4.56
2024-12-20,1385.07,1421.21,1435.52,1379.08,2.26,31.47,14730278,35148524733.0,4.06,5.96
2024-12-23,1421.88,1363.96,1422.85,1363.79,-4.03,-57.25,12022472,26799996379.0,4.16,4.87
2024-12-24,1371.61,1375.42,1380.89,1341.84,0.84,11.46,10094530,22385329062.0,2.86,4.08
2024-12-25,1371.02,1352.86,1371.57,1335.14,-1.64,-22.56,10794881,21545354893.0,2.65,4.37
2024-12-26,1348.36,1389.7,1395.13,1347.06,2.72,36.84,12964848,28796150970.0,3.55,5.25
2024-12-27,1388.64,1381.77,1411.69,1378.42,-0.57,-7.93,14661094,33717035916.0,2.39,5.93
2024-12-30,1381.78,1381.97,1402.44,1359.16,0.01,0.2,11522762,31112228190.0,3.13,4.66
2024-12-31,1382.67,1312.57,1384.17,1311.82,-5.02,-69.4,11232385,29197090316.0,5.24,4.55
2025-01-02,1309.35,1269.47,1317.99,1254.61,-3.28,-43.1,10890724,26078894401.0,4.83,4.41
2025-01-03,1277.32,1212.31,1280.83,1210.76,-4.5,-57.16,10112950,22428691472.0,5.52,4.09
2025-01-06,1202.32,1188.58,1212.93,1177.17,-1.96,-23.73,7985803,16983058704.0,2.95,3.23
2025-01-07,1190.5,1227.52,1227.86,1188.2,3.28,38.94,8230930,18384937846.0,3.34,3.33
2025-01-08,1218.32,1226.71,1238.93,1185.54,-0.07,-0.81,8906370,19526440028.0,4.35,3.6
2025-01-09,1222.24,1246.8,1255.48,1222.24,1.64,20.09,9302284,19177106592.0,2.71,3.76
2025-01-10,1240.64,1205.25,1263.29,1205.25,-3.33,-41.55,10505089,26591296177.0,4.66,4.25
2025-01-13,1185.04,1203.34,1208.82,1168.22,-0.16,-1.91,6780682,16613862793.0,3.37,2.74
2025-01-14,1212.9,1276.07,1276.07,1207.77,6.04,72.73,10894296,28182791605.0,5.68,4.41
2025-01-15,1280.02,1268.38,1285.86,1263.13,-0.6,-7.69,12584437,23801273906.0,1.78,5.09
2025-01-16,1279.34,1285.68,1304.37,1264.17,1.36,17.3,13240874,28048150914.0,3.17,5.36
2025-01-17,1278.67,1288.32,1305.65,1271.26,0.21,2.64,11655072,23617916762.0,2.67,4.72
2025-01-20,1291.44,1291.82,1303.2,1281.96,0.27,3.5,9796495,20603069279.0,1.65,3.96
