日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-04-13,993.88,1003.75,1005.16,990.01,0.38,3.75,8448538,101269522034.0,1.52,1.2
2026-04-14,1010.7,1020.44,1022.45,1006.06,1.66,16.69,15123720,105460323145.0,1.63,2.14
2026-04-15,1030.84,1014.97,1036.59,1009.74,-0.54,-5.47,14984993,120533776391.0,2.63,2.12
2026-04-16,1018.38,1035.77,1035.81,1010.54,2.05,20.8,14433233,57960704794.0,2.49,2.04
2026-04-17,1042.72,1049.17,1051.26,1036.32,1.29,13.4,15783200,119303174341.0,1.44,2.24
2026-04-20,1059.97,1062.31,1069.17,1052.09,1.25,13.14,21462586,211014889183.0,1.63,3.04
2026-04-21,1056.21,1067.12,1067.16,1053.35,0.45,4.81,20249222,103528393916.0,1.3,2.87
2026-04-22,1060.55,1095.51,1096.44,1060.55,2.66,28.39,23694707,126721062698.0,3.36,3.36
2026-04-23,1098.52,1072.8,1105.01,1059.58,-2.07,-22.71,37822184,317648507892.0,4.15,5.36
2026-04-24,1069.24,1081.53,1088.35,1059.43,0.81,8.73,20229522,186052627624.0,2.7,2.87
2026-04-27,1084.31,1090.28,1099.97,1080.98,0.81,8.75,4514292,39773204704.0,1.76,0.64
2026-04-28,1101.85,1103.36,1110.6,1092.47,1.2,13.08,12948763,80603855499.0,1.66,1.83
2026-04-29,1094.46,1116.55,1119.23,1082.51,1.2,13.19,8037384,51596486463.0,3.33,1.14
2026-04-30,1122.45,1136.48,1143.82,1110.66,1.78,19.93,20693558,104447342407.0,2.97,2.93
2026-05-06,1159.52,1170.68,1176.04,1144.51,3.01,34.2,14119623,145721220088.0,2.77,2.0
2026-05-07,1176.39,1206.62,1209.57,1169.53,3.07,35.94,37887284,341261946895.0,3.42,5.37
2026-05-08,1195.48,1218.54,1220.67,1195.15,0.99,11.92,42758002,299568274703.0,2.11,6.06
2026-05-11,1250.77,1266.35,1270.31,1243.44,3.92,47.81,35312532,277545287360.0,2.21,5.0
2026-05-12,1276.58,1274.74,1276.58,1255.87,0.66,8.39,56860523,493590786381.0,1.64,8.06
2026-05-13,1255.95,1307.34,1307.85,1255.95,2.56,32.6,38971789,244445812879.0,4.07,5.52
2026-05-14,1320.91,1288.88,1321.51,1285.06,-1.41,-18.46,54789544,443167459132.0,2.79,7.76
2026-05-15,1291.66,1276.44,1302.15,1257.81,-0.97,-12.44,22006110,212696476272.0,3.44,3.12
2026-05-18,1277.25,1316.59,1319.53,1277.25,3.15,40.15,12784048,132190832572.0,3.31,1.81
2026-05-19,1311.78,1334.18,1334.51,1297.74,1.34,17.59,25283007,144981019483.0,2.79,3.58
2026-05-20,1335.19,1355.49,1355.94,1330.12,1.6,21.31,33348592,197801244150.0,1.94,4.72
2026-05-21,1364.12,1281.13,1370.32,1278.35,-5.49,-74.36,34410955,362192734335.0,6.79,4.87
2026-05-22,1285.65,1352.14,1352.14,1285.43,5.54,71.01,6153149,53370699077.0,5.21,0.87
2026-05-25,1384.69,1397.79,1397.79,1362.22,3.38,45.65,19400322,203144478976.0,2.63,2.75
2026-05-26,1392.08,1404.11,1407.97,1367.87,0.45,6.32,58527664,479861937277.0,2.87,8.29
2026-05-27,1394.88,1386.1,1422.71,1375.82,-1.28,-18.01,41736696,363755295529.0,3.34,5.91
2026-05-28,1376.61,1449.89,1452.02,1376.61,4.6,63.79,27759904,171005652967.0,5.44,3.93
2026-05-29,1461.36,1412.64,1476.23,1403.2,-2.57,-37.25,45763914,304558848328.0,5.04,6.48
2026-06-01,1401.91,1376.75,1422.12,1368.31,-2.54,-35.89,13145039,115481389548.0,3.81,1.86
2026-06-02,1373.97,1446.57,1446.8,1370.42,5.07,69.82,13231589,32848664565.0,5.55,1.87
2026-06-03,1455.57,1469.96,1491.53,1440.1,1.62,23.39,25937628,167347888080.0,3.56,3.67
2026-06-04,1443.98,1492.0,1499.6,1443.98,1.5,22.04,26936222,218402783851.0,3.78,3.82
2026-06-05,1477.21,1462.13,1512.81,1450.67,-2.0,-29.87,36758692,217436780087.0,4.16,5.21
2026-06-08,1417.84,1450.82,1503.58,1417.84,-0.77,-11.31,14088194,81296935993.0,5.86,2.0
2026-06-09,1466.39,1519.24,1520.48,1443.04,4.72,68.42,12301924,83056485959.0,5.34,1.74
2026-06-10,1498.96,1514.81,1527.03,1487.68,-0.29,-4.43,25508057,151360012027.0,2.59,3.61
2026-06-11,1529.26,1557.75,1562.55,1529.08,2.83,42.94,25619633,130159730048.0,2.21,3.63
2026-06-12,1586.45,1516.64,1593.2,1508.47,-2.64,-41.11,28690977,170546980954.0,5.44,4.06
2026-06-15,1525.95,1623.48,1623.48,1513.42,7.04,106.84,14528612,64357140936.0,7.26,2.06
2026-06-16,1641.41,1696.97,1705.21,1641.41,4.53,73.49,29235942,213709585018.0,3.93,4.14
2026-06-17,1682.05,1738.57,1742.17,1682.05,2.45,41.6,42746088,342679632771.0,3.54,6.06
