日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2012-04-26,1023.2,1005.16,1095.36,992.27,0.52,5.16,272952,219972382.0,10.31,0.0
2012-04-27,990.62,983.42,1018.08,974.07,-2.16,-21.74,725477,487966848.0,4.38,0.01
2012-05-02,993.32,979.41,1015.84,964.78,-0.41,-4.01,1014467,712145048.0,5.19,0.02
2012-05-03,971.6,977.81,991.02,962.38,-0.16,-1.6,588547,421652734.0,2.92,0.01
2012-05-04,975.18,984.57,998.28,962.05,0.69,6.76,763065,531492502.0,3.71,0.01
2012-05-07,977.96,989.51,1000.49,965.08,0.5,4.94,837214,602040553.0,3.6,0.01
2012-05-08,986.96,997.12,1010.54,975.07,0.77,7.61,749150,534326500.0,3.58,0.01
2012-05-09,986.61,977.32,1002.01,971.59,-1.99,-19.8,663556,470513291.0,3.05,0.01
2012-05-10,973.7,975.2,992.98,961.81,-0.22,-2.12,638507,436300653.0,3.19,0.01
2012-05-11,974.54,961.49,982.5,958.16,-1.41,-13.71,400769,258764870.0,2.5,0.01
2012-05-14,967.24,959.28,983.1,949.08,-0.23,-2.21,704473,488458605.0,3.54,0.01
2012-05-15,952.95,966.88,972.05,938.2,0.79,7.6,480621,323020639.0,3.53,0.01
2012-05-16,965.41,949.56,979.88,945.36,-1.79,-17.32,524426,369857601.0,3.57,0.01
2012-05-17,952.95,978.09,983.79,941.53,3.0,28.53,590707,395433435.0,4.45,0.01
2012-05-18,975.88,968.62,990.2,961.71,-0.97,-9.47,417484,280329585.0,2.91,0.01
2012-05-21,971.5,959.23,980.8,942.9,-0.97,-9.39,481790,339972467.0,3.91,0.01
2012-05-22,963.31,990.16,997.12,955.63,3.22,30.93,658965,495083863.0,4.33,0.01
2012-05-23,984.98,1002.02,1014.5,974.19,1.2,11.86,1028724,793198505.0,4.07,0.02
2012-05-24,997.11,988.78,1014.66,980.92,-1.32,-13.24,698255,521743399.0,3.37,0.01
2012-05-25,989.62,980.75,1009.47,963.6,-0.81,-8.03,625516,507237641.0,4.64,0.01
2012-05-28,973.06,991.25,995.91,949.23,1.07,10.5,647604,472410291.0,4.76,0.01
2012-05-29,988.79,1004.23,1010.53,977.91,1.31,12.98,698359,542211833.0,3.29,0.01
2012-05-30,1003.42,995.91,1011.9,985.92,-0.83,-8.32,602921,468470417.0,2.59,0.01
2012-05-31,989.08,985.86,1007.29,977.03,-1.01,-10.05,528956,403882529.0,3.04,0.01
2012-06-01,985.89,986.52,1002.13,974.17,0.07,0.66,507095,386704323.0,2.84,0.01
2012-06-04,969.38,945.17,980.78,942.1,-4.19,-41.35,535984,384824301.0,3.92,0.01
2012-06-05,945.74,950.03,961.46,937.09,0.51,4.86,405059,294740301.0,2.58,0.01
2012-06-06,949.6,942.81,963.05,932.65,-0.76,-7.22,438807,319631853.0,3.2,0.01
2012-06-07,951.38,950.38,964.3,925.36,0.8,7.57,470525,324698835.0,4.13,0.01
2012-06-08,960.04,954.92,977.28,941.72,0.48,4.54,506287,322744906.0,3.74,0.01
2012-06-11,954.21,975.59,979.93,948.09,2.16,20.67,419941,269194974.0,3.33,0.01
2012-06-12,971.17,957.87,983.89,950.58,-1.82,-17.72,530606,341186329.0,3.41,0.01
2012-06-13,956.59,979.41,985.42,946.89,2.25,21.54,563891,340984808.0,4.02,0.01
2012-06-14,974.84,963.44,986.68,958.15,-1.63,-15.97,435001,270621513.0,2.91,0.01
2012-06-15,965.59,967.07,979.79,950.11,0.38,3.63,384651,230684660.0,3.08,0.01
2012-06-18,973.41,973.02,989.8,957.52,0.62,5.95,440441,294251378.0,3.34,0.01
2012-06-19,972.83,967.5,985.65,960.27,-0.57,-5.52,442517,312589359.0,2.61,0.01
2012-06-20,976.77,958.09,988.18,948.57,-0.97,-9.41,439007,314080085.0,4.09,0.01
2012-06-21,952.27,946.13,965.31,934.62,-1.25,-11.96,532422,381849336.0,3.2,0.01
2012-06-25,942.17,911.62,948.21,905.68,-3.65,-34.51,442829,321021018.0,4.5,0.01
2012-06-26,904.97,926.86,933.79,894.55,1.67,15.24,363643,256995344.0,4.3,0.01
2012-06-27,922.59,931.37,960.31,915.08,0.49,4.51,670211,493019899.0,4.88,0.01
2012-06-28,935.34,933.56,955.93,921.44,0.24,2.19,561055,359453279.0,3.7,0.01
2012-06-29,930.48,940.24,948.99,912.09,0.72,6.68,496384,329234527.0,3.95,0.01
2012-07-02,944.82,959.82,970.87,935.25,2.08,19.58,669381,402170965.0,3.79,0.01
2012-07-03,959.69,951.11,971.9,942.5,-0.91,-8.71,494106,320603167.0,3.06,0.01
2012-07-04,949.82,938.18,959.93,925.75,-1.36,-12.93,439682,290131852.0,3.59,0.01
2012-07-05,936.91,919.14,953.69,900.77,-2.03,-19.04,966876,625496069.0,5.64,0.02
2012-07-06,920.56,924.92,932.4,895.11,0.63,5.78,583126,369068391.0,4.06,0.01
2012-07-09,920.03,888.75,927.95,885.8,-3.91,-36.17,434491,270971635.0,4.56,0.01
