日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1003.87,1029.85,1038.39,992.74,2.99,29.85,162196,168669000.0,4.57,0.01
2000-01-05,1029.98,1031.05,1069.8,1016.86,0.12,1.2,260986,250845000.0,5.14,0.01
2000-01-06,1026.96,1076.33,1082.34,1016.07,4.39,45.28,362372,336314000.0,6.43,0.02
2000-01-07,1085.48,1116.13,1130.95,1073.17,3.7,39.8,664699,689108000.0,5.37,0.04
2000-01-10,1133.74,1170.41,1186.21,1110.42,4.86,54.28,839723,971663000.0,6.79,0.05
2000-01-11,1183.33,1121.97,1200.87,1101.84,-4.14,-48.44,678249,788463000.0,8.46,0.04
2000-01-12,1115.67,1086.66,1141.31,1075.56,-3.15,-35.31,415434,443045000.0,5.86,0.02
2000-01-13,1084.84,1070.04,1101.97,1055.55,-1.53,-16.62,251169,246635000.0,4.27,0.01
2000-01-14,1073.39,1044.78,1087.87,1037.28,-2.36,-25.26,199520,206623000.0,4.73,0.01
2000-01-17,1033.9,1068.34,1077.24,1021.75,2.26,23.56,201550,204172000.0,5.31,0.01
2000-01-18,1070.87,1059.14,1090.91,1047.75,-0.86,-9.2,232801,238192000.0,4.04,0.01
2000-01-19,1056.62,1067.6,1080.22,1047.05,0.8,8.46,177096,183198000.0,3.13,0.01
2000-01-20,1069.66,1086.24,1099.22,1056.83,1.75,18.64,323349,348495000.0,3.97,0.02
2000-01-21,1087.31,1081.07,1116.43,1064.67,-0.48,-5.17,504361,535836000.0,4.77,0.03
2000-01-24,1074.37,1082.03,1100.72,1039.42,0.09,0.96,621009,671156000.0,5.67,0.03
2000-01-25,1088.3,1082.67,1114.0,1062.2,0.06,0.64,415389,469335000.0,4.79,0.02
2000-01-26,1087.15,1091.31,1112.13,1069.89,0.8,8.64,342262,374068000.0,3.9,0.02
2000-01-27,1095.79,1087.6,1116.63,1071.2,-0.34,-3.71,451403,490068000.0,4.16,0.02
2000-01-28,1089.38,1100.78,1119.92,1065.64,1.21,13.18,581897,661243000.0,4.99,0.03
2000-02-14,1129.61,1200.13,1204.68,1113.25,9.03,99.35,823555,983249000.0,8.31,0.04
2000-02-15,1222.25,1191.29,1276.65,1161.31,-0.74,-8.84,1367380,1706170000.0,9.61,0.07
2000-02-16,1205.24,1222.22,1243.72,1173.05,2.6,30.93,1207703,1371816000.0,5.93,0.07
2000-02-17,1246.88,1193.94,1303.55,1159.3,-2.31,-28.28,1650323,1904528000.0,11.8,0.09
2000-02-18,1188.79,1199.62,1219.93,1129.32,0.48,5.68,893225,927676000.0,7.59,0.05
2000-02-21,1211.0,1234.26,1264.96,1171.57,2.89,34.64,1212381,1463703000.0,7.78,0.07
2000-02-22,1246.42,1186.13,1286.81,1175.65,-3.9,-48.13,909969,1087906000.0,9.01,0.05
2000-02-23,1174.19,1170.79,1209.13,1146.72,-1.29,-15.34,712985,833192000.0,5.26,0.04
2000-02-24,1173.06,1184.82,1206.04,1152.99,1.2,14.03,406273,469072000.0,4.53,0.02
2000-02-25,1184.34,1179.93,1210.0,1157.97,-0.41,-4.89,529229,627495000.0,4.39,0.03
2000-02-28,1186.14,1225.02,1241.11,1167.98,3.82,45.09,753222,920415000.0,6.2,0.04
2000-02-29,1237.52,1229.62,1270.48,1192.64,0.38,4.6,853560,1033124000.0,6.35,0.05
2000-03-01,1233.12,1236.34,1279.42,1198.17,0.55,6.72,1551341,1743626000.0,6.61,0.08
2000-03-02,1233.81,1236.31,1273.49,1204.66,0.0,-0.03,912535,1025885000.0,5.57,0.05
2000-03-03,1244.55,1266.03,1293.84,1227.76,2.4,29.72,1134758,1477459000.0,5.34,0.06
2000-03-06,1287.04,1234.92,1324.51,1221.11,-2.46,-31.11,1361003,1701000000.0,8.17,0.07
2000-03-07,1213.95,1250.17,1262.02,1194.53,1.23,15.25,679546,834948000.0,5.47,0.04
2000-03-08,1256.83,1255.0,1277.5,1225.76,0.39,4.83,659427,909287000.0,4.14,0.04
2000-03-09,1270.96,1246.61,1286.58,1228.52,-0.67,-8.39,797902,1072419000.0,4.63,0.04
2000-03-10,1246.61,1235.04,1273.39,1214.01,-0.93,-11.57,898831,1120740000.0,4.76,0.05
2000-03-13,1234.14,1272.2,1282.24,1215.45,3.01,37.16,878433,1091400000.0,5.41,0.05
2000-03-14,1256.6,1258.42,1282.21,1199.79,-1.08,-13.78,1104123,1215973000.0,6.48,0.06
2000-03-15,1256.49,1257.13,1303.84,1234.17,-0.1,-1.29,876371,949192000.0,5.54,0.05
2000-03-16,1255.02,1191.7,1259.11,1180.41,-5.2,-65.43,581426,632211000.0,6.26,0.03
2000-03-17,1187.17,1234.52,1247.55,1181.36,3.59,42.82,574663,629408000.0,5.55,0.03
2000-03-20,1223.13,1280.55,1292.23,1204.48,3.73,46.03,861945,961989000.0,7.11,0.05
2000-03-21,1288.35,1279.87,1317.86,1256.12,-0.05,-0.68,787724,856343000.0,4.82,0.04
2000-03-22,1282.07,1282.77,1315.47,1263.54,0.23,2.9,651970,733551000.0,4.06,0.04
2000-03-23,1285.46,1309.71,1324.6,1267.08,2.1,26.94,844701,930621000.0,4.48,0.05
2000-03-24,1322.86,1303.94,1358.86,1283.81,-0.44,-5.77,1016770,1220178000.0,5.73,0.06
2000-03-27,1308.45,1365.0,1377.8,1299.76,4.68,61.06,1069597,1178374000.0,5.98,0.06
