日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-09-28,979.9,983.54,986.17,951.75,-1.65,-16.46,3865620,3426169312.0,3.44,2.18
2021-09-29,957.92,951.74,976.3,950.89,-3.23,-31.8,3802731,3476803344.0,2.58,2.14
2021-09-30,948.17,955.24,958.16,942.62,0.37,3.5,2676734,2412564240.0,1.63,1.51
2021-10-08,962.83,958.43,968.1,948.41,0.33,3.19,2802491,2327373472.0,2.06,1.58
2021-10-11,954.52,944.73,956.6,930.76,-1.43,-13.7,2340278,1827807344.0,2.7,1.32
2021-10-12,939.91,914.55,939.91,904.75,-3.19,-30.18,1984326,1525601376.0,3.72,1.12
2021-10-13,912.23,919.65,923.44,908.89,0.56,5.1,1521799,1283005264.0,1.59,0.86
2021-10-14,914.25,929.79,932.52,911.11,1.1,10.14,1865124,1477391568.0,2.33,1.05
2021-10-15,925.83,913.98,926.87,913.57,-1.7,-15.81,1950617,1370880576.0,1.43,1.1
2021-10-18,914.55,928.07,928.16,912.25,1.54,14.09,1793471,1217576400.0,1.74,1.01
2021-10-19,935.61,943.75,945.51,934.35,1.69,15.68,2016122,1723676320.0,1.2,1.14
2021-10-20,945.97,943.99,946.97,936.26,0.03,0.24,2114206,1642018272.0,1.13,1.19
2021-10-21,942.68,936.24,942.68,931.46,-0.82,-7.75,2190674,1710684560.0,1.19,1.23
2021-10-22,933.33,918.87,933.62,918.43,-1.86,-17.37,2295193,1537175680.0,1.62,1.29
2021-10-25,923.69,932.87,933.17,915.92,1.52,14.0,3514130,2405633744.0,1.88,1.98
2021-10-26,932.98,925.26,936.02,917.7,-0.82,-7.61,3394091,2433850976.0,1.96,1.91
2021-10-27,925.04,917.85,932.63,915.52,-0.8,-7.41,3005500,2333789264.0,1.85,1.69
2021-10-28,909.95,887.78,910.66,884.09,-3.28,-30.07,2859736,2134057728.0,2.89,1.61
2021-10-29,886.21,897.48,898.23,877.92,1.09,9.7,2240422,1579389600.0,2.29,1.26
2021-11-01,899.87,914.54,915.23,893.81,1.9,17.06,2428545,1877389456.0,2.39,1.37
2021-11-02,917.33,895.35,917.33,888.68,-2.1,-19.19,3220848,2046507408.0,3.13,1.82
2021-11-03,896.36,903.3,903.54,893.35,0.89,7.95,3068071,1921957936.0,1.14,1.73
2021-11-04,906.22,919.16,920.2,902.65,1.76,15.86,3009176,1887765152.0,1.94,1.7
2021-11-05,917.18,908.48,919.61,908.18,-1.16,-10.68,3038119,1946693952.0,1.24,1.71
2021-11-08,908.85,924.91,924.91,908.85,1.81,16.43,2669355,1714478048.0,1.77,1.5
2021-11-09,924.81,950.22,950.43,924.24,2.74,25.31,2871727,1962070544.0,2.83,1.62
2021-11-10,948.17,967.8,967.87,945.94,1.85,17.58,3934331,2627732528.0,2.31,2.22
2021-11-11,965.5,963.33,965.64,958.01,-0.46,-4.47,3582716,2320805088.0,0.79,2.02
2021-11-12,959.78,980.01,980.39,959.23,1.73,16.68,3071212,2193104976.0,2.2,1.73
2021-11-15,981.73,996.96,996.96,981.73,1.73,16.95,3766125,2774482672.0,1.55,2.12
2021-11-16,993.51,983.65,997.82,982.63,-1.34,-13.31,3145423,2373418272.0,1.52,1.77
2021-11-17,981.55,1001.39,1001.79,981.55,1.8,17.74,2693360,2056774672.0,2.06,1.52
2021-11-18,1005.32,1003.79,1016.37,1002.1,0.24,2.4,3728803,2625918784.0,1.43,2.1
2021-11-19,999.41,1022.22,1024.61,994.02,1.84,18.43,4303155,2792410912.0,3.05,2.43
2021-11-22,1022.65,1031.28,1033.39,1018.4,0.89,9.06,3793645,2578997200.0,1.47,2.14
2021-11-23,1030.76,1029.93,1039.94,1028.2,-0.13,-1.35,4175072,2895657024.0,1.14,2.35
2021-11-24,1032.1,1028.65,1032.1,1015.75,-0.12,-1.28,3119011,2353292160.0,1.59,1.76
2021-11-25,1027.15,1014.07,1027.15,1012.9,-1.42,-14.58,2661642,1835663696.0,1.39,1.5
2021-11-26,1013.65,1017.17,1021.2,1008.43,0.31,3.1,2745976,1895083840.0,1.26,1.55
2021-11-29,998.22,1022.2,1029.19,993.83,0.49,5.03,3290464,2136786544.0,3.48,1.85
2021-11-30,1027.13,1022.95,1036.59,1015.54,0.07,0.75,3394035,2381066032.0,2.06,1.91
2021-12-01,1020.68,1044.3,1044.3,1020.68,2.09,21.35,3338902,2384193248.0,2.31,1.88
2021-12-02,1041.72,1032.47,1046.91,1032.16,-1.13,-11.83,3004947,2224802720.0,1.41,1.69
2021-12-03,1034.53,1037.29,1041.6,1027.22,0.47,4.82,3674205,2789099680.0,1.39,2.07
2021-12-06,1035.55,1018.75,1039.2,1017.69,-1.79,-18.54,3875324,2657535744.0,2.07,2.18
2021-12-07,1019.89,1000.9,1024.85,993.74,-1.75,-17.85,3076712,2008068640.0,3.05,1.73
2021-12-08,1001.03,1010.61,1014.1,997.12,0.97,9.71,2498455,1740635984.0,1.7,1.41
2021-12-09,1010.29,1008.36,1015.66,1005.39,-0.22,-2.25,2918130,1927269520.0,1.02,1.64
2021-12-10,1004.92,1017.02,1020.17,1001.04,0.86,8.66,2992954,1869899040.0,1.9,1.69
2021-12-13,1019.68,1011.14,1019.73,1006.11,-0.58,-5.88,2600354,1657698304.0,1.34,1.47
2021-12-14,1007.57,1019.3,1019.86,1002.48,0.81,8.16,2499099,1741769472.0,1.72,1.41
2021-12-15,1017.78,1014.82,1021.11,1012.73,-0.44,-4.48,2141577,1499732960.0,0.82,1.21
2021-12-16,1019.34,1032.16,1032.16,1019.18,1.71,17.34,3790583,2745038960.0,1.28,2.14
2021-12-17,1031.07,1025.35,1033.17,1024.78,-0.66,-6.81,2885300,2229435152.0,0.81,1.63
2021-12-20,1022.45,1010.81,1027.1,1008.26,-1.42,-14.54,2962419,1990980112.0,1.84,1.67
2021-12-21,1009.15,1021.74,1022.5,1007.41,1.08,10.93,3381565,1897256784.0,1.49,1.91
2021-12-22,1019.81,1026.73,1029.98,1016.66,0.49,4.99,3106782,1973754000.0,1.3,1.75
2021-12-23,1024.03,1023.1,1027.88,1012.89,-0.35,-3.63,2744739,1888955920.0,1.46,1.55
2021-12-24,1025.9,992.13,1025.9,992.13,-3.03,-30.97,2952058,2021668416.0,3.3,1.66
2021-12-27,992.36,1005.58,1009.87,988.68,1.36,13.45,2539725,1714201520.0,2.14,1.43
2021-12-28,1007.96,1012.96,1015.68,999.16,0.73,7.38,2768591,1690010224.0,1.64,1.56
2021-12-29,1012.06,1016.84,1020.28,1005.82,0.38,3.88,2278278,1447788800.0,1.43,1.28
2021-12-30,1016.24,1015.17,1025.68,1014.34,-0.16,-1.67,2018986,1370473344.0,1.12,1.14
2021-12-31,1015.71,1017.3,1021.83,1013.77,0.21,2.13,2621036,1640033904.0,0.79,1.48
2022-01-04,1019.81,1035.64,1036.74,1018.27,1.8,18.34,2528619,1716599024.0,1.82,1.43
2022-01-05,1032.16,1024.52,1034.31,1012.54,-1.07,-11.12,2837822,2017332752.0,2.1,1.6
2022-01-06,1018.63,1038.09,1042.47,1016.85,1.32,13.57,2101495,1587987504.0,2.5,1.18
2022-01-07,1037.38,1007.51,1038.9,1007.04,-2.95,-30.58,2149555,1575747872.0,3.07,1.21
2022-01-10,1008.2,1008.51,1010.15,993.04,0.1,1.0,1498959,1203007808.0,1.7,0.84
2022-01-11,1007.45,999.52,1019.03,997.6,-0.89,-8.99,1374716,1041534704.0,2.12,0.77
2022-01-12,1004.88,1017.96,1018.34,1003.24,1.84,18.44,1568109,1205041792.0,1.51,0.88
2022-01-13,1019.38,1010.89,1019.38,1010.89,-0.69,-7.07,2372545,1417856720.0,0.83,1.34
2022-01-14,1009.97,990.11,1010.08,989.27,-2.06,-20.78,1916615,1243388512.0,2.06,1.08
2022-01-17,989.46,1004.74,1004.74,989.33,1.48,14.63,1520261,1039765008.0,1.56,0.86
2022-01-18,1005.36,985.92,1005.49,984.55,-1.87,-18.82,1890570,1260975264.0,2.08,1.07
2022-01-19,984.67,985.92,992.14,977.49,0.0,0.0,1268441,867521632.0,1.49,0.71
2022-01-20,985.18,953.06,985.18,952.61,-3.33,-32.86,2038709,1288579616.0,3.3,1.15
2022-01-21,951.68,946.12,955.83,943.34,-0.73,-6.94,1214332,807951408.0,1.31,0.68
2022-01-24,943.1,939.09,947.05,938.15,-0.74,-7.03,1043129,713431440.0,0.94,0.59
2022-01-25,937.92,905.77,944.93,905.77,-3.55,-33.32,1579030,1176077584.0,4.17,0.89
2022-01-26,908.83,920.32,921.33,908.12,1.61,14.55,958354,752941536.0,1.46,0.54
2022-01-27,920.35,891.49,920.35,890.65,-3.13,-28.83,1154895,790247456.0,3.23,0.65
2022-01-28,895.35,916.02,924.07,891.94,2.75,24.53,1228421,811622336.0,3.6,0.69
2022-02-07,929.35,935.27,936.0,918.98,2.1,19.25,1172653,820883952.0,1.86,0.66
2022-02-08,933.95,948.2,948.2,930.12,1.38,12.93,1100093,758136128.0,1.93,0.62
2022-02-09,948.15,960.95,961.66,945.3,1.34,12.75,1217077,844486672.0,1.73,0.69
2022-02-10,960.18,966.59,966.99,955.13,0.59,5.64,1298662,964990912.0,1.23,0.73
2022-02-11,961.54,949.27,961.54,946.08,-1.79,-17.32,1170513,870386512.0,1.6,0.66
2022-02-14,946.06,941.07,952.79,937.9,-0.86,-8.2,1008521,710432096.0,1.57,0.57
2022-02-15,940.42,940.14,942.45,932.93,-0.1,-0.93,780604,568314880.0,1.01,0.44
2022-02-16,943.18,954.29,954.29,942.83,1.51,14.15,1075532,764858288.0,1.22,0.61
2022-02-17,952.88,951.39,957.79,947.42,-0.3,-2.9,1268365,895022960.0,1.09,0.71
2022-02-18,947.62,953.86,953.86,940.22,0.26,2.47,908063,630624592.0,1.43,0.51
2022-02-21,954.24,974.65,974.65,951.37,2.18,20.79,1395105,1139419008.0,2.44,0.79
2022-02-22,969.02,970.44,972.48,961.2,-0.43,-4.21,1711817,1295469632.0,1.16,0.96
2022-02-23,984.64,994.33,994.42,979.33,2.46,23.89,1761948,1459116000.0,1.55,0.99
2022-02-24,988.8,967.15,1001.57,956.7,-2.73,-27.18,4844331,2933105872.0,4.51,2.73
2022-02-25,969.44,965.21,981.31,963.36,-0.2,-1.94,2780741,1595337792.0,1.86,1.57
2022-02-28,966.19,966.87,966.9,943.65,0.17,1.66,1855778,1180524816.0,2.41,1.05
2022-03-01,970.52,979.81,980.32,967.95,1.34,12.94,1710082,1217700128.0,1.28,0.96
2022-03-02,973.01,979.78,980.71,969.65,0.0,-0.03,1351209,931904912.0,1.13,0.76
2022-03-03,981.24,975.56,981.59,970.82,-0.43,-4.22,1592659,1105499280.0,1.1,0.9
2022-03-04,972.43,969.29,978.47,965.59,-0.64,-6.27,1697384,1164647296.0,1.32,0.96
2022-03-07,969.14,957.83,970.85,954.13,-1.18,-11.46,1475695,1011972288.0,1.72,0.83
2022-03-08,954.22,923.46,958.17,920.22,-3.59,-34.37,1798010,1175879392.0,3.96,1.01
2022-03-09,925.63,909.72,933.26,872.81,-1.49,-13.74,1765630,1212445840.0,6.55,1.0
2022-03-10,927.66,922.45,935.91,922.45,1.4,12.73,1180188,968233440.0,1.48,0.67
2022-03-11,914.45,927.42,928.26,899.94,0.54,4.97,1253984,931167552.0,3.07,0.71
2022-03-14,920.12,898.66,921.5,898.66,-3.1,-28.76,1039793,761130960.0,2.46,0.59
2022-03-15,893.9,847.98,896.14,847.98,-5.64,-50.68,1527568,1014693200.0,5.36,0.86
2022-03-16,860.71,865.67,868.62,829.23,2.09,17.69,1458329,937998192.0,4.65,0.82
2022-03-17,870.54,873.58,887.74,870.54,0.91,7.91,1310545,873009056.0,1.99,0.74
2022-03-18,870.92,888.51,891.48,869.56,1.71,14.93,1130574,755446960.0,2.51,0.64
2022-03-21,893.54,903.63,904.93,891.21,1.7,15.12,1313166,948128080.0,1.54,0.74
2022-03-22,903.62,909.73,916.77,901.93,0.68,6.1,1635683,1231521600.0,1.64,0.92
2022-03-23,914.8,918.6,927.91,913.71,0.98,8.87,1753640,1295866480.0,1.56,0.99
2022-03-24,913.96,905.53,913.96,903.37,-1.42,-13.07,1380049,967556160.0,1.15,0.78
2022-03-25,905.31,902.92,913.37,902.5,-0.29,-2.61,1405036,836688928.0,1.2,0.79
2022-03-28,896.48,897.83,904.75,883.31,-0.56,-5.09,958497,615157008.0,2.37,0.54
2022-03-29,900.03,885.27,901.22,881.7,-1.4,-12.56,1347387,807409616.0,2.17,0.76
2022-03-30,887.12,892.97,893.87,883.19,0.87,7.7,1118640,688696928.0,1.21,0.63
2022-03-31,894.01,900.85,909.66,891.13,0.88,7.88,2429486,1274063312.0,2.08,1.37
2022-04-01,901.63,905.01,908.08,899.59,0.46,4.16,2271613,1424741184.0,0.94,1.28
2022-04-06,902.4,909.38,910.18,895.32,0.48,4.37,1765271,1198370160.0,1.64,0.99
2022-04-07,909.23,890.87,909.23,890.87,-2.04,-18.51,1730468,1131583488.0,2.02,0.98
2022-04-08,893.77,890.94,896.34,878.8,0.01,0.07,1370106,919448800.0,1.97,0.77
2022-04-11,887.12,860.11,887.12,855.57,-3.46,-30.83,1709517,1076939952.0,3.54,0.96
2022-04-12,858.21,870.59,871.28,848.48,1.22,10.48,1172189,712767680.0,2.65,0.66
2022-04-13,868.37,845.95,868.37,845.5,-2.83,-24.64,1111243,664535472.0,2.63,0.63
2022-04-14,846.42,843.07,851.75,842.84,-0.34,-2.88,1039348,541013808.0,1.05,0.59
2022-04-15,838.64,822.08,838.89,816.51,-2.49,-20.99,1174978,669557024.0,2.65,0.66
2022-04-18,822.56,843.66,845.98,812.46,2.63,21.58,1168616,657261808.0,4.08,0.66
2022-04-19,843.9,854.55,857.28,843.36,1.29,10.89,1162709,681170464.0,1.65,0.66
2022-04-20,855.78,849.22,861.65,844.42,-0.62,-5.33,1067645,640711760.0,2.02,0.6
2022-04-21,849.42,817.75,851.59,816.54,-3.71,-31.47,1664397,908484448.0,4.13,0.94
2022-04-22,816.02,804.15,816.02,801.06,-1.66,-13.6,1304272,694654272.0,1.83,0.74
2022-04-25,794.41,735.56,794.41,735.45,-8.53,-68.59,1725786,849662112.0,7.33,0.97
2022-04-26,736.1,698.94,741.47,697.44,-4.98,-36.62,1345255,667602352.0,5.99,0.76
2022-04-27,685.37,709.99,711.92,674.05,1.58,11.05,1340658,702158016.0,5.42,0.76
2022-04-28,707.01,699.14,714.1,690.47,-1.53,-10.85,1021342,534021536.0,3.33,0.58
2022-04-29,701.54,730.22,735.02,701.54,4.45,31.08,1245307,648997472.0,4.79,0.7
2022-05-05,732.34,750.61,756.1,728.12,2.79,20.39,1224201,636125376.0,3.83,0.69
2022-05-06,736.83,740.76,746.55,730.36,-1.31,-9.85,827242,433025232.0,2.16,0.47
2022-05-09,741.51,749.81,753.6,740.71,1.22,9.05,1036161,600611312.0,1.74,0.58
2022-05-10,740.09,758.04,760.07,739.53,1.1,8.23,1011792,589325264.0,2.74,0.57
2022-05-11,759.85,753.71,773.64,753.71,-0.57,-4.33,1241876,733457472.0,2.63,0.7
2022-05-12,750.34,761.36,764.39,748.31,1.01,7.65,941430,547150288.0,2.13,0.53
2022-05-13,763.23,771.09,771.21,761.94,1.28,9.73,849249,491000048.0,1.22,0.48
2022-05-16,773.06,771.07,777.61,765.7,0.0,-0.02,983302,598317328.0,1.54,0.55
2022-05-17,772.21,768.31,773.42,757.28,-0.36,-2.76,927699,547697808.0,2.09,0.52
2022-05-18,768.51,785.65,792.25,767.72,2.26,17.34,1560062,900799104.0,3.19,0.88
2022-05-19,776.99,796.85,796.85,775.17,1.43,11.2,1864740,1105080240.0,2.76,1.05
2022-05-20,800.77,805.31,806.97,794.74,1.06,8.46,1947044,1115055856.0,1.53,1.1
2022-05-23,807.75,828.89,828.89,807.75,2.93,23.58,2382944,1230144256.0,2.63,1.34
2022-05-24,834.1,798.95,838.12,798.95,-3.61,-29.94,3110098,1652992592.0,4.73,1.75
2022-05-25,795.96,825.54,825.64,794.11,3.33,26.59,3230965,1854073552.0,3.95,1.82
2022-05-26,830.85,829.52,836.83,813.87,0.48,3.98,3066515,1952144848.0,2.78,1.73
2022-05-27,825.67,833.65,841.9,824.29,0.5,4.13,3740827,2176964480.0,2.12,2.11
2022-05-30,841.45,852.01,852.34,832.65,2.2,18.36,5081549,2894420848.0,2.36,2.86
2022-05-31,850.63,853.75,856.67,843.37,0.2,1.74,4079615,2586860016.0,1.56,2.3
2022-06-01,846.42,855.02,861.16,844.95,0.15,1.27,3151936,1923225536.0,1.9,1.78
2022-06-02,854.37,874.18,875.88,849.8,2.24,19.16,3013609,1941037136.0,3.05,1.7
2022-06-06,872.0,882.62,885.36,871.84,0.97,8.44,2908524,1929242112.0,1.55,1.64
2022-06-07,878.89,864.5,878.89,857.04,-2.05,-18.12,2739240,1650141008.0,2.48,1.54
2022-06-08,865.95,867.75,876.7,850.53,0.38,3.25,2682733,1587128016.0,3.03,1.51
2022-06-09,867.34,850.06,867.6,844.63,-2.04,-17.69,2338113,1469357264.0,2.65,1.32
2022-06-10,844.34,865.12,867.42,839.41,1.77,15.06,2235626,1407391856.0,3.3,1.26
2022-06-13,862.3,866.0,871.44,855.37,0.1,0.88,2228722,1373587872.0,1.86,1.26
2022-06-14,859.23,875.81,875.86,845.9,1.13,9.81,2513394,1491573888.0,3.46,1.42
2022-06-15,878.05,864.36,881.25,864.36,-1.31,-11.45,3302968,1845520624.0,1.93,1.86
2022-06-16,861.11,873.0,873.95,861.11,1.0,8.64,2208679,1330330112.0,1.49,1.24
2022-06-17,869.76,900.6,900.77,869.74,3.16,27.6,3425955,2170175379.0,3.55,1.93
2022-06-20,905.51,928.43,930.25,905.05,3.09,27.83,5119624,3379117952.0,2.8,2.89
