日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2017-06-06,991.86,995.09,995.09,984.45,-0.49,-4.91,3988332,4370621440.0,1.06,1.34
2017-06-07,994.39,1018.87,1019.41,991.66,2.39,23.78,4650407,4938583552.0,2.79,1.56
2017-06-08,1012.81,1012.78,1025.85,1010.72,-0.6,-6.09,4176405,4300173312.0,1.48,1.4
2017-06-09,1007.93,1001.41,1010.84,993.78,-1.12,-11.37,3454260,3637599632.0,1.68,1.16
2017-06-12,996.8,990.32,1010.56,989.84,-1.11,-11.09,3470507,3614788528.0,2.07,1.16
2017-06-13,984.38,1012.27,1012.55,984.16,2.22,21.95,3299880,3308716656.0,2.87,1.1
2017-06-14,1010.34,997.64,1011.72,995.07,-1.45,-14.63,2782446,2844821904.0,1.64,0.93
2017-06-15,994.88,1001.3,1004.46,991.84,0.37,3.66,2579912,2649348320.0,1.26,0.86
2017-06-16,1000.29,1004.42,1010.21,999.2,0.31,3.12,2780285,2948171840.0,1.1,0.93
2017-06-19,1001.5,1002.23,1003.49,996.88,-0.22,-2.19,2330363,2388636384.0,0.66,0.78
2017-06-20,1003.4,1002.98,1007.59,997.89,0.07,0.75,2785194,2945478576.0,0.97,0.93
2017-06-21,1001.8,996.28,1002.09,988.52,-0.67,-6.7,2724442,2857286064.0,1.35,0.91
2017-06-22,998.47,987.73,1004.93,986.92,-0.86,-8.55,3341343,3700434032.0,1.81,1.12
2017-06-23,982.72,975.45,984.13,957.6,-1.24,-12.28,3200650,3125862672.0,2.69,1.07
2017-06-26,972.57,984.9,985.15,970.44,0.97,9.45,2600774,2802647200.0,1.51,0.87
2017-06-27,984.27,985.06,987.24,979.8,0.02,0.16,2112469,2264776656.0,0.76,0.71
2017-06-28,983.72,980.71,983.92,976.93,-0.44,-4.35,2423077,2630412032.0,0.71,0.81
2017-06-29,980.72,983.31,987.29,978.18,0.27,2.6,1973839,2071298576.0,0.93,0.66
2017-06-30,979.1,992.18,994.59,979.1,0.9,8.87,2064769,2357951088.0,1.58,0.69
2017-07-03,991.36,998.3,998.88,990.41,0.62,6.12,2180931,2288548672.0,0.85,0.73
2017-07-04,997.71,996.31,1006.19,995.91,-0.2,-1.99,2358235,2456839120.0,1.03,0.79
2017-07-05,997.71,1001.06,1001.06,990.74,0.48,4.75,1983610,2084276096.0,1.04,0.66
2017-07-06,999.97,994.89,1001.32,990.39,-0.62,-6.17,2517253,2611737104.0,1.09,0.84
2017-07-07,990.81,994.04,995.9,989.85,-0.09,-0.85,2323402,2363017328.0,0.61,0.78
2017-07-10,995.42,993.65,1001.11,992.78,-0.04,-0.39,2424617,2479544784.0,0.84,0.81
