日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-03-02,995.29,1000.68,1002.35,987.93,0.07,0.68,1966531,2610410928.0,1.44,1.06
2022-03-03,1000.66,991.47,1001.93,987.73,-0.92,-9.21,1367755,1962790496.0,1.42,0.73
2022-03-04,987.27,989.57,1000.28,984.03,-0.19,-1.9,1396563,1818789584.0,1.64,0.75
2022-03-07,986.19,960.21,986.28,956.23,-2.97,-29.36,1381998,2358509728.0,3.04,0.74
2022-03-08,956.24,931.06,963.55,927.15,-3.04,-29.15,1376055,2114572800.0,3.79,0.74
2022-03-09,929.29,918.62,946.33,885.87,-1.34,-12.44,1799744,2460184768.0,6.49,0.97
2022-03-10,931.74,941.83,944.17,926.2,2.53,23.21,1387519,2372082016.0,1.96,0.75
2022-03-11,928.21,948.33,949.16,918.84,0.69,6.5,1989272,1947486880.0,3.22,1.07
2022-03-14,934.54,908.62,934.54,906.38,-4.19,-39.71,1503400,2236166512.0,2.97,0.81
2022-03-15,900.35,854.49,900.35,853.46,-5.96,-54.13,1839903,2112721424.0,5.16,0.99
2022-03-16,868.34,883.72,885.41,842.9,3.42,29.23,1777449,2210186048.0,4.97,0.96
2022-03-17,889.97,896.34,911.29,889.49,1.43,12.62,1586349,2138841152.0,2.47,0.85
2022-03-18,893.74,920.75,924.34,893.74,2.72,24.41,2212364,2224153568.0,3.41,1.19
2022-03-21,919.19,927.26,927.26,913.25,0.71,6.51,2380666,2057711632.0,1.52,1.28
2022-03-22,923.68,919.61,925.28,913.81,-0.83,-7.65,1428149,1503556976.0,1.24,0.77
2022-03-23,921.94,922.87,924.28,915.91,0.35,3.26,1232301,1585389520.0,0.91,0.66
2022-03-24,915.97,910.67,917.76,908.73,-1.32,-12.2,1321224,1591689408.0,0.98,0.71
2022-03-25,910.77,900.6,920.97,898.23,-1.11,-10.07,2077245,2220212048.0,2.5,1.12
2022-03-28,895.5,901.82,904.33,881.37,0.14,1.22,1734647,2100019184.0,2.55,0.93
2022-03-29,901.97,888.48,905.3,886.31,-1.48,-13.34,1757915,1852814208.0,2.11,0.94
2022-03-30,889.95,900.48,901.15,883.43,1.35,12.0,1703175,2191223056.0,1.99,0.92
2022-03-31,897.4,908.47,913.98,894.0,0.89,7.99,1559943,1671172832.0,2.22,0.84
2022-04-01,904.16,920.99,922.52,898.48,1.38,12.52,1721375,2408852608.0,2.65,0.92
2022-04-06,916.73,935.54,938.86,915.68,1.58,14.55,2636722,2650287408.0,2.52,1.42
2022-04-07,933.31,922.13,943.01,921.2,-1.43,-13.41,3183289,2483053888.0,2.33,1.71
2022-04-08,921.34,912.85,923.46,905.13,-1.01,-9.28,2002361,1783821104.0,1.99,1.08
2022-04-11,908.08,896.67,911.18,886.74,-1.77,-16.18,2768579,2606489408.0,2.68,1.49
2022-04-12,888.44,942.42,943.59,886.28,5.1,45.75,2159311,3062003440.0,6.39,1.16
2022-04-13,934.06,940.45,957.98,933.05,-0.21,-1.97,2560704,3818994880.0,2.65,1.38
2022-04-14,938.93,956.47,963.36,938.93,1.7,16.02,2085123,3108513472.0,2.6,1.12
2022-04-15,947.67,953.2,967.15,943.26,-0.34,-3.27,2009286,2765458720.0,2.5,1.08
2022-04-18,944.33,957.82,957.82,943.02,0.48,4.62,2052174,2480781424.0,1.55,1.1
2022-04-19,952.42,958.62,963.04,949.59,0.08,0.8,2634752,2842622384.0,1.4,1.42
2022-04-20,947.08,973.23,991.77,946.41,1.52,14.61,3251158,3862024400.0,4.73,1.75
2022-04-21,960.58,936.55,967.9,929.9,-3.77,-36.68,3011062,3102969408.0,3.9,1.62
2022-04-22,916.32,921.62,931.94,909.43,-1.59,-14.93,2398283,2626642992.0,2.4,1.29
2022-04-25,899.74,861.87,903.25,861.41,-6.48,-59.75,2704635,3429606016.0,4.54,1.45
2022-04-26,859.45,841.63,871.29,834.53,-2.35,-20.24,2286942,3056063632.0,4.27,1.23
2022-04-27,820.76,842.84,842.84,801.4,0.14,1.21,2410717,3083118512.0,4.92,1.3
2022-04-28,825.61,822.73,848.1,813.96,-2.39,-20.11,2072275,2745580160.0,4.05,1.11
2022-04-29,829.32,856.73,862.17,829.32,4.13,34.0,2061055,3439794048.0,3.99,1.11
2022-05-05,862.96,881.12,886.15,860.73,2.85,24.39,1944086,2724367232.0,2.97,1.04
2022-05-06,863.66,852.5,864.23,846.49,-3.25,-28.62,2094536,3381176416.0,2.01,1.13
2022-05-09,847.44,858.53,859.02,839.73,0.71,6.03,1521359,2019407760.0,2.26,0.82
2022-05-10,845.15,867.34,868.77,838.73,1.03,8.81,1908715,2830406576.0,3.5,1.03
2022-05-11,866.68,868.33,886.29,863.62,0.11,0.99,2200259,3358229328.0,2.61,1.18
2022-05-12,863.65,874.03,884.21,863.38,0.66,5.7,1641034,2255615792.0,2.4,0.88
2022-05-13,875.76,874.51,880.45,863.65,0.05,0.48,1464252,1756158928.0,1.92,0.79
2022-05-16,882.97,892.97,893.17,881.54,2.11,18.46,2412152,2483213568.0,1.33,1.3
2022-05-17,889.89,892.23,892.25,876.18,-0.08,-0.74,1882767,2004511984.0,1.8,1.01
2022-05-18,892.21,902.2,909.62,884.76,1.12,9.97,1745674,2191733888.0,2.79,0.94
2022-05-19,894.96,909.48,912.1,892.62,0.81,7.28,2174660,2281962080.0,2.16,1.17
2022-05-20,909.11,928.21,932.32,909.11,2.06,18.73,2749277,2802440048.0,2.55,1.48
2022-05-23,927.63,940.74,940.74,925.01,1.35,12.53,2507364,2268788448.0,1.69,1.35
2022-05-24,941.53,917.54,944.46,915.91,-2.47,-23.2,2306176,2420495696.0,3.03,1.24
2022-05-25,915.24,930.67,930.67,915.24,1.43,13.13,1543317,1840065776.0,1.68,0.83
2022-05-26,926.54,931.62,935.37,913.29,0.1,0.95,1783558,2304997584.0,2.37,0.96
2022-05-27,933.18,915.66,934.74,910.02,-1.71,-15.96,1610840,1847119360.0,2.65,0.87
2022-05-30,926.14,956.67,956.9,926.14,4.48,41.01,2482181,3962723664.0,3.36,1.33
2022-05-31,952.77,979.99,982.78,952.77,2.44,23.32,3469888,4142824144.0,3.14,1.86
2022-06-01,974.18,985.41,994.32,971.11,0.55,5.42,2407568,2672546640.0,2.37,1.29
2022-06-02,982.24,976.11,990.88,969.56,-0.94,-9.3,2720305,2458954080.0,2.16,1.46
2022-06-06,973.41,992.49,994.43,967.26,1.68,16.38,2493420,2743100480.0,2.78,1.34
2022-06-07,986.43,989.57,1001.21,981.74,-0.29,-2.92,2716828,2797560256.0,1.96,1.46
2022-06-08,989.54,989.95,995.53,973.36,0.04,0.38,2263922,2598737728.0,2.24,1.22
2022-06-09,983.42,954.85,985.83,951.09,-3.55,-35.1,1947718,2142321728.0,3.51,1.05
2022-06-10,951.13,961.1,963.38,947.39,0.65,6.25,2093424,2096919584.0,1.67,1.12
2022-06-13,955.56,962.79,963.87,950.49,0.18,1.69,2261678,2609424912.0,1.39,1.22
2022-06-14,953.81,977.85,977.85,953.09,1.56,15.06,2529194,2689021696.0,2.57,1.36
2022-06-15,976.26,975.48,990.65,972.5,-0.24,-2.37,2840683,3076598592.0,1.86,1.53
2022-06-16,975.66,978.87,987.96,974.79,0.35,3.39,2205850,2261979520.0,1.35,1.19
2022-06-17,972.37,990.42,991.67,969.56,1.18,11.55,2399235,2651761947.0,2.26,1.29
2022-06-20,990.8,1000.87,1003.94,986.36,1.06,10.45,2171814,2900120150.0,1.78,1.17
2022-06-21,1001.1,996.04,1004.16,987.06,-0.48,-4.83,1749452,2427775617.0,1.71,0.94
2022-06-22,994.8,980.73,997.49,980.73,-1.54,-15.31,1623299,1904342936.0,1.68,0.87
2022-06-23,980.53,987.72,988.31,971.79,0.71,6.99,1521383,1903263524.0,1.68,0.82
2022-06-24,989.13,997.98,998.73,984.88,1.04,10.26,1497394,2332969177.0,1.4,0.8
2022-06-27,1003.04,1019.22,1024.64,1002.84,2.13,21.24,1947038,3270988844.0,2.18,1.05
2022-06-28,1022.87,1027.69,1030.44,1013.89,0.83,8.47,1634148,2351239406.0,1.62,0.88
2022-06-29,1024.55,1016.65,1038.48,1016.19,-1.07,-11.04,2001838,2877665494.0,2.17,1.08
2022-06-30,1020.14,1051.59,1065.12,1020.14,3.44,34.94,2314798,3876998737.0,4.42,1.24
