日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-05-12,1016.79,966.4,1030.21,962.06,-3.36,-33.6,1300674,1107731568.0,6.82,4.17
2022-05-13,951.61,945.39,962.37,935.42,-2.17,-21.01,1038251,743949104.0,2.79,3.33
2022-05-16,940.98,931.86,947.6,927.24,-1.43,-13.53,712927,487536400.0,2.15,2.29
2022-05-17,930.59,928.3,931.23,909.54,-0.38,-3.56,511962,385061168.0,2.33,1.64
2022-05-18,927.55,938.28,946.43,924.74,1.08,9.98,479378,353253136.0,2.34,1.54
2022-05-19,926.35,954.71,955.12,921.74,1.75,16.43,486578,400081168.0,3.56,1.56
2022-05-20,954.6,959.47,963.91,946.19,0.5,4.76,471747,359099280.0,1.86,1.51
2022-05-23,957.91,973.97,975.84,957.91,1.51,14.5,466157,396409968.0,1.87,1.5
2022-05-24,973.29,922.14,978.43,922.14,-5.32,-51.83,474290,423356992.0,5.78,1.52
2022-05-25,922.64,942.86,942.86,921.81,2.25,20.72,386173,316350656.0,2.28,1.24
2022-05-26,945.33,936.98,945.59,922.33,-0.62,-5.88,324203,276448704.0,2.47,1.04
2022-05-27,937.56,940.81,947.9,932.06,0.41,3.83,284425,243836244.0,1.69,0.91
2022-05-30,942.73,950.94,953.63,940.15,1.08,10.13,399735,386717808.0,1.43,1.28
2022-05-31,958.43,958.38,961.4,939.32,0.78,7.44,337547,343481632.0,2.32,1.08
2022-06-01,958.46,967.33,973.78,953.95,0.93,8.95,344915,347028752.0,2.07,1.11
2022-06-02,969.43,994.05,994.1,966.94,2.76,26.72,548236,616499616.0,2.81,1.76
2022-06-06,995.53,997.85,1003.89,987.75,0.38,3.8,449205,512643680.0,1.62,1.44
2022-06-07,998.91,990.55,999.9,978.21,-0.73,-7.3,356957,381644480.0,2.17,1.15
2022-06-08,989.98,987.45,993.22,964.64,-0.31,-3.1,474797,519556912.0,2.89,1.52
2022-06-09,992.41,991.92,1005.1,986.39,0.45,4.47,467274,474582416.0,1.89,1.5
