日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2016-06-24,996.5,1011.04,1030.99,958.21,1.1,11.04,9955983,20679355392.0,7.28,0.31
2016-06-27,1004.07,1058.16,1058.52,1004.07,4.66,47.12,9868847,21621371136.0,5.39,0.3
2016-06-28,1046.42,1054.78,1060.8,1040.43,-0.32,-3.38,8476487,19892889088.0,1.93,0.26
2016-06-29,1057.31,1042.72,1059.44,1038.13,-1.14,-12.06,6274352,15221799424.0,2.02,0.19
2016-06-30,1042.46,1038.72,1048.59,1033.59,-0.38,-4.0,6393040,14974766336.0,1.44,0.2
2016-07-01,1039.66,1022.38,1043.51,1019.52,-1.57,-16.34,4908388,11603555584.0,2.31,0.15
2016-07-04,1015.44,1036.39,1038.66,1013.15,1.37,14.01,5210691,12339347968.0,2.5,0.16
2016-07-05,1036.87,1041.38,1042.95,1023.91,0.48,4.99,5963927,14514139648.0,1.84,0.18
2016-07-06,1036.48,1031.86,1041.0,1026.69,-0.91,-9.52,4956790,11981352192.0,1.37,0.15
2016-07-07,1029.9,1045.05,1048.91,1017.46,1.28,13.19,6807974,15607792384.0,3.05,0.21
2016-07-08,1041.77,1035.48,1050.32,1035.4,-0.92,-9.57,4852673,11386182144.0,1.43,0.15
2016-07-11,1036.3,1026.98,1042.05,1025.14,-0.82,-8.5,5485016,12853921792.0,1.63,0.17
2016-07-12,1025.48,1029.65,1030.2,1001.06,0.26,2.67,5698367,12832530176.0,2.84,0.18
2016-07-13,1033.41,1042.04,1042.39,1027.54,1.2,12.39,5036261,11748476416.0,1.44,0.16
2016-07-14,1036.93,1031.44,1037.62,1025.02,-1.02,-10.6,4407540,10178272768.0,1.21,0.14
2016-07-15,1034.01,1024.47,1035.64,1018.62,-0.68,-6.97,4617829,10207908352.0,1.65,0.14
2016-07-18,1022.19,1018.71,1025.93,1010.2,-0.56,-5.76,4388108,9113495296.0,1.54,0.14
2016-07-19,1017.38,1038.13,1038.24,1010.96,1.91,19.42,4335266,9098525184.0,2.68,0.13
2016-07-20,1037.45,1038.61,1047.31,1030.07,0.05,0.48,5027868,11709213952.0,1.66,0.16
2016-07-21,1036.62,1041.61,1050.15,1034.94,0.29,3.0,4891463,12106471424.0,1.46,0.15
2016-07-22,1038.22,1036.04,1042.86,1032.76,-0.53,-5.57,5374637,11950768640.0,0.97,0.17
2016-07-25,1034.76,1036.06,1043.02,1030.36,0.0,0.02,4976034,11032599552.0,1.22,0.15
2016-07-26,1032.85,1049.11,1049.28,1032.76,1.26,13.05,4269525,8854851840.0,1.59,0.13
2016-07-27,1052.15,1013.45,1063.7,993.43,-3.4,-35.66,8557266,18785857024.0,6.7,0.26
2016-07-28,1009.43,990.04,1012.1,972.3,-2.31,-23.41,5755734,12358711296.0,3.93,0.18
2016-07-29,991.34,976.97,992.95,973.51,-1.32,-13.07,3317593,7317231872.0,1.96,0.1
2016-08-01,971.16,957.48,971.16,945.24,-1.99,-19.49,3466153,7327762944.0,2.65,0.11
2016-08-02,956.55,968.64,968.86,956.55,1.17,11.16,2652077,5847642624.0,1.29,0.08
2016-08-03,966.62,965.19,969.38,960.4,-0.36,-3.45,2573413,5765915136.0,0.93,0.08
2016-08-04,965.5,981.65,986.4,965.5,1.71,16.46,3426881,7776269056.0,2.17,0.11
2016-08-05,976.86,968.36,982.28,968.3,-1.35,-13.29,2877523,6421591296.0,1.42,0.09
