日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2013-04-08,881.77,888.33,889.21,868.82,-11.17,-111.67,5218824,3489765248.0,2.04,0.69
2013-04-09,885.19,906.36,909.75,885.01,2.03,18.03,5158940,3667400512.0,2.79,0.68
2013-04-10,902.83,889.3,904.62,881.55,-1.88,-17.06,4230820,3029714528.0,2.55,0.56
2013-04-11,893.71,885.02,900.51,884.08,-0.48,-4.28,3917588,2803866112.0,1.85,0.52
2013-04-12,881.98,883.28,892.41,880.71,-0.2,-1.74,4012385,2853148304.0,1.32,0.53
2013-04-15,877.7,875.07,883.11,869.83,-0.93,-8.21,3389504,2306052304.0,1.5,0.45
2013-04-16,863.78,898.63,898.66,860.71,2.69,23.56,4802789,3258970320.0,4.34,0.64
2013-04-17,899.04,903.11,907.1,893.33,0.5,4.48,4708007,3284720656.0,1.53,0.62
2013-04-18,895.37,897.19,907.24,892.4,-0.66,-5.92,4060904,2821707888.0,1.64,0.54
2013-04-19,896.57,916.11,918.62,896.16,2.11,18.92,5109072,3490539264.0,2.5,0.68
2013-04-22,909.04,912.16,912.93,902.52,-0.43,-3.95,4607794,3176027696.0,1.14,0.61
2013-04-23,910.4,883.25,910.69,881.91,-3.17,-28.91,4981415,3470994240.0,3.16,0.66
2013-04-24,882.71,895.43,895.84,878.06,1.38,12.18,4403899,3111486400.0,2.01,0.58
2013-04-25,894.09,879.14,902.22,878.73,-1.82,-16.29,5215326,3624916576.0,2.62,0.69
2013-04-26,878.57,854.53,883.1,851.16,-2.8,-24.61,3731694,2528304512.0,3.63,0.5
2013-05-02,853.27,861.59,864.69,852.43,0.83,7.06,1993708,1323112544.0,1.43,0.26
2013-05-03,867.45,878.63,884.74,867.03,1.98,17.04,3419570,2564794736.0,2.06,0.45
2013-05-06,881.29,886.62,888.28,875.82,0.91,7.99,3726363,2815071408.0,1.42,0.49
2013-05-07,885.0,891.5,892.35,882.19,0.55,4.88,4077760,2883236736.0,1.15,0.54
2013-05-08,893.67,895.15,902.03,888.76,0.41,3.65,3861033,2799137040.0,1.49,0.51
2013-05-09,891.64,885.58,892.77,874.99,-1.07,-9.57,4182143,2938205696.0,1.99,0.56
2013-05-10,880.02,896.8,897.18,879.38,1.27,11.22,4436570,3090765360.0,2.01,0.59
2013-05-13,896.56,897.53,898.66,885.88,0.08,0.73,3779711,2576467600.0,1.43,0.5
2013-05-14,895.96,887.88,895.96,884.73,-1.08,-9.65,3115897,2274081456.0,1.25,0.41
2013-05-15,889.36,890.67,892.39,885.15,0.31,2.79,2575268,1845560544.0,0.82,0.34
2013-05-16,890.27,916.17,916.69,885.64,2.86,25.5,5068796,3543518048.0,3.49,0.67
2013-05-17,916.26,934.97,937.92,915.7,2.05,18.8,6294885,4402956800.0,2.43,0.84
2013-05-20,936.02,940.89,943.0,934.06,0.63,5.92,5665198,4140696192.0,0.96,0.75
2013-05-21,939.18,950.66,950.97,936.59,1.04,9.77,4924900,3696941616.0,1.53,0.65
2013-05-22,951.48,966.22,970.49,950.4,1.64,15.56,7065231,5297076736.0,2.11,0.94
2013-05-23,960.6,950.4,969.94,948.31,-1.64,-15.82,5448896,4002599952.0,2.24,0.72
2013-05-24,949.82,959.84,960.2,947.3,0.99,9.44,4020377,3007685536.0,1.36,0.53
2013-05-27,956.17,966.73,968.45,955.44,0.72,6.89,4766015,3576840352.0,1.36,0.63
2013-05-28,964.75,982.89,982.95,954.91,1.67,16.16,5790720,4487030016.0,2.9,0.77
2013-05-29,982.83,983.14,989.64,980.93,0.03,0.25,5016954,3955929744.0,0.89,0.67
2013-05-30,980.7,982.98,984.92,977.63,-0.02,-0.16,4268108,3292899472.0,0.74,0.57
2013-05-31,983.81,970.45,986.9,968.16,-1.27,-12.53,4108473,3048262416.0,1.91,0.55
2013-06-03,974.88,975.61,985.39,971.63,0.53,5.16,4009503,2909903008.0,1.42,0.53
2013-06-04,972.83,961.91,973.94,952.24,-1.4,-13.7,3628158,2674878416.0,2.22,0.48
2013-06-05,963.18,967.7,968.85,958.19,0.6,5.79,2648421,1918888560.0,1.11,0.35
2013-06-06,965.08,951.3,966.47,950.84,-1.69,-16.4,3254772,2381728640.0,1.62,0.43
2013-06-07,951.4,924.5,955.27,922.61,-2.82,-26.8,2956563,2020503840.0,3.43,0.39
