日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2013-10-25,998.68,978.11,1000.21,969.85,-2.19,-21.89,382096,280613280.0,3.04,0.04
2013-10-28,981.48,984.58,991.97,977.82,0.66,6.47,347841,341132752.0,1.45,0.03
2013-10-29,984.21,940.73,990.97,907.81,-4.45,-43.85,639513,448570368.0,8.45,0.06
2013-10-30,940.36,957.48,961.36,929.66,1.78,16.75,418883,377696448.0,3.37,0.04
2013-10-31,954.81,938.98,954.81,936.46,-1.93,-18.5,342646,293220560.0,1.92,0.03
2013-11-01,939.5,939.93,943.55,918.99,0.1,0.95,273644,203959471.0,2.62,0.03
2013-11-04,935.95,936.29,950.37,931.12,-0.39,-3.64,247878,208199102.0,2.05,0.02
2013-11-05,936.04,946.42,949.1,925.16,1.08,10.13,271776,229245924.0,2.56,0.03
2013-11-06,946.89,938.36,955.78,938.23,-0.85,-8.06,402096,361776672.0,1.85,0.04
2013-11-07,934.01,926.34,941.34,923.12,-1.28,-12.02,263413,204125130.0,1.94,0.02
2013-11-08,922.19,905.29,924.34,901.47,-2.27,-21.05,276984,189535546.0,2.47,0.03
2013-11-11,904.48,909.51,913.04,896.05,0.47,4.22,184704,140360862.0,1.88,0.02
2013-11-12,906.12,926.78,929.56,906.12,1.9,17.27,256185,212507179.0,2.58,0.02
2013-11-13,928.07,905.84,929.16,901.43,-2.26,-20.94,339342,318736672.0,2.99,0.03
2013-11-14,905.4,928.85,931.76,902.57,2.54,23.01,400442,397357824.0,3.22,0.04
2013-11-15,931.36,950.05,967.27,930.04,2.28,21.2,625996,628991072.0,4.01,0.06
2013-11-18,958.89,978.81,979.33,952.34,3.03,28.76,859517,1054247808.0,2.84,0.08
2013-11-19,981.42,973.05,982.02,967.42,-0.59,-5.76,641655,779669520.0,1.49,0.06
2013-11-20,972.24,999.86,1000.15,971.21,2.76,26.81,669910,616720288.0,2.97,0.06
2013-11-21,997.75,1001.76,1017.31,991.88,0.19,1.9,582002,415582048.0,2.54,0.05
2013-11-22,996.36,1001.73,1019.08,995.3,0.0,-0.03,374908,329137104.0,2.37,0.03
2013-11-25,1000.99,1021.88,1033.43,997.43,2.01,20.15,545924,407004992.0,3.59,0.05
2013-11-26,1021.72,1034.79,1040.68,1017.24,1.26,12.91,528186,510697648.0,2.29,0.05
2013-11-27,1037.42,1029.96,1044.97,1024.27,-0.47,-4.83,448433,383355936.0,2.0,0.04
2013-11-28,1023.2,1055.74,1062.38,1023.2,2.5,25.78,706269,402723952.0,3.8,0.07
2013-11-29,1054.98,1039.11,1054.98,1030.6,-1.58,-16.63,575419,400760992.0,2.31,0.05
2013-12-02,1011.85,974.31,1019.98,966.92,-6.24,-64.8,650187,403867424.0,5.11,0.06
2013-12-03,963.6,983.61,986.82,959.67,0.95,9.3,357364,280431984.0,2.79,0.03
2013-12-04,978.14,993.71,1003.99,971.54,1.03,10.1,725782,699285728.0,3.3,0.07
2013-12-05,994.96,988.92,1000.89,985.4,-0.48,-4.79,462147,382670784.0,1.56,0.04
2013-12-06,993.96,984.08,993.96,979.34,-0.49,-4.84,305974,215415177.0,1.48,0.03
2013-12-09,982.81,981.33,990.84,978.13,-0.28,-2.75,238564,152698292.0,1.29,0.02
2013-12-10,981.68,988.5,1001.66,980.65,0.73,7.17,345298,216997507.0,2.14,0.03
2013-12-11,985.68,972.76,985.87,961.83,-1.59,-15.74,332293,221530068.0,2.43,0.03
2013-12-12,969.25,971.32,978.94,966.18,-0.15,-1.44,215978,154647520.0,1.31,0.02
2013-12-13,970.55,972.75,975.82,964.46,0.15,1.43,185907,124497039.0,1.17,0.02
2013-12-16,973.05,958.81,973.55,955.49,-1.43,-13.94,209234,146207121.0,1.86,0.02
2013-12-17,957.41,953.34,962.78,949.44,-0.57,-5.47,179025,143588080.0,1.39,0.02
2013-12-18,962.15,958.22,964.6,953.23,0.51,4.88,225259,150446383.0,1.19,0.02
2013-12-19,958.38,941.64,963.66,941.05,-1.73,-16.58,211539,146497610.0,2.36,0.02
2013-12-20,941.46,920.95,944.49,918.08,-2.2,-20.69,215521,120585991.0,2.8,0.02
2013-12-23,920.25,919.24,925.23,897.65,-0.19,-1.71,176463,127349052.0,2.99,0.02
2013-12-24,924.06,933.54,941.84,924.06,1.56,14.3,160416,103822709.0,1.93,0.01
2013-12-25,937.69,953.41,955.69,934.97,2.13,19.87,350743,318146976.0,2.22,0.03
2013-12-26,950.15,929.84,952.99,926.32,-2.47,-23.57,209523,158722903.0,2.8,0.02
2013-12-27,928.37,941.8,947.54,924.31,1.29,11.96,215267,183375577.0,2.5,0.02
2013-12-30,942.54,941.49,949.7,938.82,-0.03,-0.31,192794,142659550.0,1.16,0.02
2013-12-31,940.46,948.12,951.02,934.29,0.7,6.63,140856,110486074.0,1.78,0.01
2014-01-02,948.27,949.44,949.99,939.06,0.14,1.32,186891,127354820.0,1.15,0.02
2014-01-03,948.55,942.32,948.55,932.85,-0.75,-7.12,296308,216271024.0,1.65,0.03
2014-01-06,940.64,913.15,940.68,913.0,-3.1,-29.17,261122,207705933.0,2.94,0.02
2014-01-07,912.72,914.46,923.68,893.44,0.14,1.31,208738,173601085.0,3.31,0.02
2014-01-08,914.17,922.58,928.13,908.81,0.89,8.12,236039,204887197.0,2.11,0.02
2014-01-09,917.63,918.69,937.0,915.69,-0.42,-3.89,237756,173342267.0,2.31,0.02
2014-01-10,915.07,900.46,915.07,898.3,-1.98,-18.23,198158,142052488.0,1.83,0.02
2014-01-13,899.1,889.61,907.64,881.36,-1.2,-10.85,179901,115675751.0,2.92,0.02
2014-01-14,886.86,913.87,913.98,884.05,2.73,24.26,186249,141863847.0,3.36,0.02
2014-01-15,910.47,919.19,919.61,904.26,0.58,5.32,191917,156622015.0,1.68,0.02
2014-01-16,919.79,916.3,925.3,910.0,-0.31,-2.89,143614,107823081.0,1.66,0.01
2014-01-17,909.61,916.74,925.29,901.71,0.05,0.44,208614,181729471.0,2.57,0.02
2014-01-20,917.76,935.4,937.6,913.18,2.04,18.66,318829,330862496.0,2.66,0.03
2014-01-21,935.74,947.34,949.24,932.01,1.28,11.94,273237,321628880.0,1.84,0.03
2014-01-22,944.89,958.65,963.38,941.04,1.19,11.31,371321,683013632.0,2.36,0.03
2014-01-23,955.29,965.7,974.56,954.57,0.74,7.05,416863,659778032.0,2.09,0.04
2014-01-24,969.21,990.65,991.13,966.18,2.58,24.95,734287,679139056.0,2.58,0.07
2014-01-27,989.82,1022.31,1047.95,986.15,3.2,31.66,898460,848999328.0,6.24,0.08
2014-01-28,1022.23,1008.01,1024.29,1002.05,-1.4,-14.3,468569,628184224.0,2.18,0.04
2014-01-29,1004.43,1017.8,1023.78,999.87,0.97,9.79,589219,662531200.0,2.37,0.05
2014-01-30,1014.31,1022.59,1035.06,1010.59,0.47,4.79,481017,535294592.0,2.4,0.04
2014-02-07,1013.79,1044.45,1047.82,1008.39,2.14,21.86,575351,518670224.0,3.86,0.05
2014-02-10,1044.89,1070.52,1072.75,1044.28,2.5,26.07,905420,888321536.0,2.73,0.08
2014-02-11,1066.92,1068.89,1084.73,1062.86,-0.15,-1.63,732123,711324912.0,2.04,0.07
2014-02-12,1063.68,1077.99,1080.9,1058.91,0.85,9.1,618625,733699104.0,2.06,0.06
2014-02-13,1076.31,1047.26,1077.97,1046.72,-2.85,-30.73,562791,553418160.0,2.9,0.05
2014-02-14,1049.39,1067.84,1070.45,1045.52,1.97,20.58,433400,503624944.0,2.38,0.04
2014-02-17,1072.38,1095.21,1099.06,1065.59,2.56,27.37,678723,719180176.0,3.13,0.06
2014-02-18,1093.56,1098.94,1117.66,1090.65,0.34,3.73,736977,798594624.0,2.47,0.07
2014-02-19,1093.11,1170.19,1172.1,1093.05,6.48,71.25,1329872,785312544.0,7.19,0.12
2014-02-20,1186.45,1123.47,1188.78,1116.51,-3.99,-46.72,1446992,858974816.0,6.18,0.13
2014-02-21,1119.64,1134.62,1145.56,1107.61,0.99,11.15,791360,556818464.0,3.38,0.07
2014-02-24,1121.56,1142.29,1144.11,1107.1,0.68,7.67,679439,662549248.0,3.26,0.06
2014-02-25,1143.35,1131.57,1193.38,1121.55,-0.94,-10.72,1386833,1297587904.0,6.29,0.13
2014-02-26,1121.89,1114.17,1121.89,1090.78,-1.54,-17.4,2440912,4765641472.0,2.75,0.22
2014-02-27,1117.36,1094.98,1132.64,1092.94,-1.72,-19.19,2639656,4653433344.0,3.56,0.24
2014-02-28,1101.73,1110.15,1114.13,1079.11,1.39,15.17,1955243,3531841984.0,3.2,0.18
2014-03-03,1108.15,1139.72,1139.86,1105.2,2.66,29.57,2048604,3448208656.0,3.12,0.19
2014-03-04,1130.3,1136.86,1138.89,1115.99,-0.25,-2.86,1741511,2906692816.0,2.01,0.16
2014-03-05,1140.47,1122.88,1146.75,1120.04,-1.23,-13.98,1740429,3037603328.0,2.35,0.16
2014-03-06,1124.22,1134.84,1138.13,1115.07,1.07,11.96,2072600,3787183152.0,2.05,0.19
2014-03-07,1135.54,1118.96,1139.5,1114.64,-1.4,-15.88,1715412,3351476096.0,2.19,0.16
2014-03-10,1109.68,1064.24,1109.68,1060.29,-4.89,-54.72,2137778,3725432912.0,4.41,0.2
2014-03-11,1057.84,1066.04,1074.26,1052.43,0.17,1.8,2021642,3564989136.0,2.05,0.19
2014-03-12,1069.78,1059.22,1075.74,1045.81,-0.64,-6.82,1913039,3391717232.0,2.81,0.18
2014-03-13,1057.12,1067.85,1070.46,1056.37,0.81,8.63,1539551,2821068544.0,1.33,0.14
2014-03-14,1064.0,1063.56,1073.15,1054.51,-0.4,-4.29,1969116,4012714752.0,1.75,0.18
2014-03-17,1064.44,1091.18,1092.44,1061.9,2.6,27.62,1700570,3249859648.0,2.87,0.16
2014-03-18,1095.65,1100.63,1105.74,1091.91,0.87,9.45,1860284,3479334624.0,1.27,0.17
2014-03-19,1099.63,1098.91,1104.76,1089.51,-0.16,-1.72,1741489,3141756768.0,1.39,0.16
2014-03-20,1096.25,1072.13,1106.66,1072.11,-2.44,-26.78,1876748,3460466112.0,3.14,0.17
2014-03-21,1067.4,1097.62,1097.88,1049.22,2.38,25.49,2079741,3622365120.0,4.54,0.19
2014-03-24,1100.2,1093.22,1102.36,1085.71,-0.4,-4.4,1692091,2727945776.0,1.52,0.16
2014-03-25,1089.02,1103.8,1103.83,1086.53,0.97,10.58,1881318,2754218864.0,1.58,0.17
2014-03-26,1102.47,1098.01,1106.31,1092.28,-0.52,-5.79,1386961,2195942944.0,1.27,0.13
2014-03-27,1095.23,1069.44,1097.14,1068.6,-2.6,-28.57,1647255,2814247120.0,2.6,0.15
2014-03-28,1066.67,1046.29,1074.23,1042.19,-2.16,-23.15,1665680,2599353088.0,3.0,0.15
2014-03-31,1052.56,1038.33,1054.6,1029.76,-0.76,-7.96,1247666,2208956656.0,2.37,0.12
2014-04-01,1039.35,1058.65,1059.65,1039.22,1.96,20.32,1398203,2227498560.0,1.97,0.13
2014-04-02,1059.8,1050.82,1063.19,1041.13,-0.74,-7.83,1459689,2505286000.0,2.08,0.13
