日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-01-13,993.92,1001.5,1016.84,991.88,0.15,1.5,7088163,4947985152.0,2.5,1.38
2022-01-14,996.61,971.74,997.31,971.74,-2.97,-29.76,7148255,5030068736.0,2.55,1.39
2022-01-17,962.54,974.95,978.58,960.52,0.33,3.21,5875982,4363928320.0,1.86,1.15
2022-01-18,973.9,993.26,1000.13,959.39,1.88,18.31,7522479,5714107648.0,4.18,1.47
2022-01-19,1002.69,1013.66,1018.26,1002.27,2.05,20.4,6777046,5634113536.0,1.61,1.32
2022-01-20,1011.82,983.62,1012.09,982.5,-2.96,-30.04,8401666,6490634496.0,2.92,1.64
2022-01-21,975.69,965.26,976.04,961.54,-1.87,-18.36,4309058,3406031888.0,1.47,0.84
2022-01-24,953.35,956.93,973.09,942.6,-0.86,-8.33,5130637,3664252992.0,3.16,1.0
2022-01-25,953.47,905.75,960.48,904.75,-5.35,-51.18,4655053,3524341088.0,5.82,0.91
2022-01-26,903.56,912.34,918.47,901.34,0.73,6.59,4513689,3302914384.0,1.89,0.88
2022-01-27,912.02,883.14,912.52,882.57,-3.2,-29.2,4323857,3115900192.0,3.28,0.84
2022-01-28,889.65,887.1,898.58,875.88,0.45,3.96,4619620,3175514544.0,2.57,0.9
2022-02-07,904.48,944.54,947.38,899.42,6.48,57.44,5168951,3983536400.0,5.41,1.01
2022-02-08,954.06,972.27,972.32,950.58,2.94,27.73,7301917,5596852480.0,2.3,1.42
2022-02-09,969.44,979.23,982.5,965.05,0.72,6.96,7228776,5696805632.0,1.79,1.41
2022-02-10,1009.68,995.46,1019.99,983.15,1.66,16.23,7950861,6326674944.0,3.76,1.55
2022-02-11,983.45,986.46,999.95,976.52,-0.9,-9.0,7742675,6341211392.0,2.35,1.51
2022-02-14,977.54,985.49,1003.11,974.92,-0.1,-0.97,6294923,5293260800.0,2.86,1.23
2022-02-15,984.34,972.91,984.37,964.33,-1.28,-12.58,5476810,4404541696.0,2.03,1.07
2022-02-16,975.27,1001.68,1002.17,972.38,2.96,28.77,6013686,5332550656.0,3.06,1.17
2022-02-17,996.33,991.16,998.19,985.57,-1.05,-10.52,5761761,5044314112.0,1.26,1.12
2022-02-18,978.43,1013.6,1014.68,975.51,2.26,22.44,6731600,6397644544.0,3.95,1.31
2022-02-21,1012.37,1026.83,1026.83,1007.57,1.31,13.23,6829642,7033977600.0,1.9,1.33
2022-02-22,1019.52,1011.93,1025.75,1004.94,-1.45,-14.9,6929228,6931889920.0,2.03,1.35
2022-02-23,1006.05,1001.36,1009.46,997.47,-1.04,-10.57,6204835,5860369920.0,1.18,1.21
2022-02-24,991.21,956.61,992.23,941.9,-4.47,-44.75,6975616,6287447040.0,5.03,1.36
2022-02-25,958.7,957.39,974.42,955.03,0.08,0.78,5845439,4755138048.0,2.03,1.14
2022-02-28,959.3,953.36,959.3,942.62,-0.42,-4.03,4707358,3849715360.0,1.74,0.92
2022-03-01,953.92,958.05,961.2,947.64,0.49,4.69,4273696,3647132448.0,1.42,0.83
2022-03-02,954.61,975.93,976.51,951.2,1.87,17.88,5637689,4749595136.0,2.64,1.1
2022-03-03,976.09,975.27,979.15,968.46,-0.07,-0.66,6924119,5714604544.0,1.1,1.35
2022-03-04,969.39,954.05,970.29,949.85,-2.18,-21.22,6633528,5895089408.0,2.1,1.29
2022-03-07,957.18,949.13,966.66,943.59,-0.52,-4.92,5968283,5949088768.0,2.42,1.16
2022-03-08,946.37,920.1,947.79,917.11,-3.06,-29.03,5884149,5928708608.0,3.23,1.15
2022-03-09,919.81,922.92,927.89,877.47,0.31,2.82,5993219,6031603456.0,5.48,1.17
2022-03-10,936.82,958.1,964.83,931.7,3.81,35.18,8872429,8315859456.0,3.59,1.73
2022-03-11,940.62,946.29,949.01,917.22,-1.23,-11.81,6896811,6303097344.0,3.32,1.35
2022-03-14,934.41,913.02,942.33,912.74,-3.52,-33.27,5016740,4698381056.0,3.13,0.98
2022-03-15,904.78,872.67,919.15,872.35,-4.42,-40.35,5992408,5422049280.0,5.13,1.17
2022-03-16,884.69,899.94,900.7,858.18,3.12,27.27,5755855,5286567168.0,4.87,1.12
2022-03-17,907.21,919.24,925.1,904.53,2.14,19.3,6569944,6828858112.0,2.29,1.28
2022-03-18,911.55,939.5,944.56,908.9,2.2,20.26,6448737,6563670528.0,3.88,1.26
2022-03-21,940.47,967.82,968.05,940.23,3.01,28.32,7424301,7578520064.0,2.96,1.45
2022-03-22,960.83,949.97,961.43,946.09,-1.84,-17.85,6337523,6690621184.0,1.59,1.24
2022-03-23,948.61,937.5,953.43,934.08,-1.31,-12.47,5178352,5087486464.0,2.04,1.01
2022-03-24,930.63,918.52,930.98,917.15,-2.02,-18.98,4300658,4146145472.0,1.48,0.84
2022-03-25,918.69,916.43,925.96,915.73,-0.23,-2.09,4027467,4010193136.0,1.11,0.79
2022-03-28,912.16,929.19,929.97,898.95,1.39,12.76,4253031,4191258928.0,3.38,0.83
2022-03-29,928.54,910.76,928.54,904.69,-1.98,-18.43,3617857,3594793696.0,2.57,0.71
2022-03-30,911.61,936.69,937.39,910.63,2.85,25.93,5638815,5203421696.0,2.94,1.1
2022-03-31,951.08,948.57,962.27,944.37,1.27,11.88,8145268,7833236480.0,1.91,1.59
2022-04-01,933.65,930.0,938.17,929.8,-1.96,-18.57,5388947,5615360256.0,0.88,1.05
2022-04-06,925.76,955.86,955.86,925.01,2.78,25.86,5991925,5551642368.0,3.32,1.17
2022-04-07,954.75,950.79,975.43,950.63,-0.53,-5.07,6191260,6392785920.0,2.59,1.21
