日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1001.82,1029.72,1037.74,988.93,2.97,29.72,4330524,5467942000.0,4.88,0.53
2000-01-05,1031.89,1031.05,1060.98,1015.64,0.13,1.33,6490582,8069089000.0,4.4,0.79
2000-01-06,1027.93,1071.13,1078.4,1016.61,3.89,40.08,7838212,9632857000.0,5.99,0.96
2000-01-07,1079.95,1109.31,1123.46,1067.73,3.56,38.18,15479860,19603786000.0,5.2,1.89
2000-01-10,1127.14,1140.11,1158.26,1100.87,2.78,30.8,14489233,18696463000.0,5.17,1.77
2000-01-11,1142.43,1090.24,1153.59,1076.01,-4.37,-49.87,11429393,14259012000.0,6.8,1.4
2000-01-12,1085.77,1063.8,1109.4,1049.43,-2.43,-26.44,9345513,11995815000.0,5.5,1.14
2000-01-13,1061.81,1056.55,1081.75,1041.78,-0.68,-7.25,5909139,7029236000.0,3.76,0.72
2000-01-14,1058.27,1043.17,1073.19,1032.1,-1.27,-13.38,4945685,5971773000.0,3.89,0.6
2000-01-17,1041.55,1064.95,1072.92,1027.39,2.09,21.78,5186334,6063511000.0,4.36,0.63
2000-01-18,1067.22,1063.69,1091.91,1047.32,-0.12,-1.26,6036398,7447043000.0,4.19,0.74
2000-01-19,1062.83,1077.26,1092.19,1051.82,1.28,13.57,5690611,6979134000.0,3.8,0.7
2000-01-20,1078.93,1093.7,1105.41,1065.34,1.53,16.44,7579862,10560160000.0,3.72,0.93
2000-01-21,1095.64,1088.77,1119.43,1070.54,-0.45,-4.93,10428785,14066188000.0,4.47,1.28
2000-01-24,1089.86,1100.48,1120.02,1062.62,1.08,11.71,11374258,15112132000.0,5.27,1.39
2000-01-25,1106.0,1103.91,1136.94,1078.31,0.31,3.43,10155323,12599035000.0,5.33,1.24
2000-01-26,1107.85,1108.3,1132.47,1085.53,0.4,4.39,7837602,9804888000.0,4.25,0.96
2000-01-27,1116.66,1119.7,1143.39,1092.77,1.03,11.4,11282878,15466914000.0,4.57,1.38
2000-01-28,1124.79,1139.88,1159.96,1101.65,1.8,20.18,14642827,20187855000.0,5.21,1.79
2000-02-14,1179.15,1244.32,1248.37,1162.25,9.16,104.44,17881352,23574886000.0,7.56,2.19
2000-02-15,1271.65,1235.18,1313.66,1210.62,-0.73,-9.14,25199883,35001418000.0,8.28,3.08
2000-02-16,1236.01,1244.16,1276.64,1191.21,0.73,8.98,23294068,32315629000.0,6.92,2.85
2000-02-17,1264.15,1218.87,1322.85,1179.27,-2.03,-25.29,31863713,44892901000.0,11.54,3.9
2000-02-18,1211.26,1230.54,1257.72,1162.55,0.96,11.67,17505005,24604854000.0,7.81,2.14
2000-02-21,1240.28,1252.96,1291.34,1198.85,1.82,22.42,21911273,31120905000.0,7.52,2.68
2000-02-22,1260.5,1217.08,1296.51,1200.46,-2.86,-35.88,17359043,23849343000.0,7.67,2.12
2000-02-23,1210.25,1193.93,1237.39,1171.91,-1.9,-23.15,12911927,17667488000.0,5.38,1.58
2000-02-24,1193.29,1219.17,1233.0,1180.07,2.11,25.24,10438490,14973275000.0,4.43,1.28
2000-02-25,1220.23,1215.39,1245.31,1189.88,-0.31,-3.78,12031061,16894252000.0,4.55,1.47
2000-02-28,1223.08,1267.41,1282.82,1205.83,4.28,52.02,15911529,22527523000.0,6.33,1.95
2000-02-29,1282.5,1274.88,1317.76,1233.72,0.59,7.47,19667956,28125748000.0,6.63,2.41
2000-03-01,1279.96,1276.1,1318.73,1246.25,0.1,1.22,18257436,24165370000.0,5.69,2.23
2000-03-02,1276.67,1281.37,1313.71,1248.14,0.41,5.27,14662477,19494366000.0,5.14,1.79
2000-03-03,1293.87,1300.65,1332.42,1271.42,1.5,19.28,18238919,24410209000.0,4.76,2.23
2000-03-06,1315.4,1262.73,1345.78,1251.49,-2.92,-37.92,19749213,26214385000.0,7.25,2.42
2000-03-07,1249.22,1279.31,1296.1,1229.17,1.31,16.58,14368847,17738465000.0,5.3,1.76
2000-03-08,1286.08,1296.61,1318.49,1259.12,1.35,17.3,13258809,17424339000.0,4.64,1.62
2000-03-09,1305.37,1301.67,1333.77,1272.13,0.39,5.06,15202607,21858507000.0,4.75,1.86
2000-03-10,1303.45,1281.01,1327.43,1264.67,-1.59,-20.66,13281828,18034143000.0,4.82,1.62
2000-03-13,1281.42,1303.56,1321.76,1266.98,1.76,22.55,11644711,14740177000.0,4.28,1.42
2000-03-14,1276.7,1278.5,1304.96,1229.98,-1.92,-25.06,15351187,19240610000.0,5.75,1.88
2000-03-15,1277.61,1281.76,1314.37,1255.78,0.25,3.26,13031697,15288514000.0,4.58,1.59
2000-03-16,1273.61,1224.64,1283.43,1209.04,-4.46,-57.12,12585904,13999726000.0,5.8,1.54
2000-03-17,1221.5,1262.93,1275.7,1215.11,3.13,38.29,11172762,14079366000.0,4.95,1.37
2000-03-20,1250.49,1296.15,1311.74,1231.36,2.63,33.22,14872680,18094307000.0,6.36,1.82
2000-03-21,1301.65,1307.85,1335.14,1274.95,0.9,11.7,15682154,19271131000.0,4.64,1.92
2000-03-22,1309.42,1314.56,1343.64,1285.78,0.51,6.71,13749233,18137186000.0,4.42,1.68
2000-03-23,1318.27,1338.54,1354.26,1297.22,1.82,23.98,15814721,19871719000.0,4.34,1.93
2000-03-24,1349.07,1326.67,1380.93,1313.12,-0.89,-11.87,18506782,23594258000.0,5.07,2.26
2000-03-27,1330.59,1369.22,1386.79,1316.98,3.21,42.55,17277353,21509821000.0,5.26,2.11
2000-03-28,1381.04,1380.21,1415.07,1347.45,0.8,10.99,20776268,23850369000.0,4.94,2.54
2000-03-29,1384.64,1369.78,1406.31,1339.14,-0.76,-10.43,16062219,19029321000.0,4.87,1.96
2000-03-30,1373.79,1388.76,1407.31,1354.07,1.39,18.98,14336421,17852023000.0,3.89,1.75
2000-03-31,1386.27,1380.15,1411.97,1353.09,-0.62,-8.61,15740005,19166098000.0,4.24,1.93
2000-04-03,1380.92,1378.94,1415.68,1357.5,-0.09,-1.21,14343553,18660305000.0,4.22,1.75
2000-04-04,1374.7,1350.34,1389.15,1332.91,-2.07,-28.6,11526460,14252869000.0,4.08,1.41
2000-04-05,1346.89,1361.03,1382.52,1330.39,0.79,10.69,9868001,12404936000.0,3.86,1.21
2000-04-06,1366.34,1391.45,1404.09,1353.51,2.24,30.42,12563432,14991858000.0,3.72,1.54
2000-04-07,1396.8,1401.21,1425.99,1373.24,0.7,9.76,14630735,17308556000.0,3.79,1.79
2000-04-10,1407.55,1414.89,1439.33,1386.64,0.98,13.68,14854393,17236156000.0,3.76,1.82
2000-04-11,1419.13,1407.7,1443.41,1383.82,-0.51,-7.19,12651346,15916588000.0,4.21,1.55
2000-04-12,1409.8,1400.81,1432.75,1374.7,-0.49,-6.89,11939330,14630441000.0,4.12,1.46
2000-04-13,1403.22,1419.9,1439.88,1387.34,1.36,19.09,15367342,17358472000.0,3.75,1.88
2000-04-14,1423.42,1421.17,1449.82,1395.81,0.09,1.27,17584729,19701860000.0,3.8,2.15
2000-04-17,1415.79,1390.95,1435.17,1364.74,-2.13,-30.22,16403872,19061935000.0,4.96,2.01
2000-04-18,1391.22,1406.76,1425.66,1369.74,1.14,15.81,11387220,13562777000.0,4.02,1.39
2000-04-19,1410.73,1417.97,1441.55,1392.66,0.8,11.21,11506317,14085837000.0,3.48,1.41
2000-04-20,1419.18,1429.09,1452.89,1400.66,0.78,11.12,13860280,17447987000.0,3.68,1.7
2000-04-21,1434.63,1424.63,1462.01,1407.53,-0.31,-4.46,12965550,16326249000.0,3.81,1.59
2000-04-24,1426.66,1422.73,1454.6,1398.92,-0.13,-1.9,11388480,14030415000.0,3.91,1.39
2000-04-25,1424.22,1424.47,1449.54,1399.42,0.12,1.74,8517318,10430160000.0,3.52,1.04
2000-04-26,1428.46,1424.51,1456.99,1407.78,0.0,0.04,8906774,10875427000.0,3.45,1.09
2000-04-27,1427.48,1405.62,1448.0,1391.0,-1.33,-18.89,10526765,13035347000.0,4.0,1.29
2000-04-28,1405.82,1427.95,1439.16,1389.82,1.59,22.33,9145600,12434078000.0,3.51,1.12
2000-05-08,1438.11,1433.37,1462.97,1407.34,0.38,5.42,7903463,10480788000.0,3.9,0.97
2000-05-09,1435.08,1410.67,1450.3,1395.75,-1.58,-22.7,8146769,10746252000.0,3.81,1.0
2000-05-10,1405.63,1365.98,1415.37,1355.44,-3.17,-44.69,7457198,9013618000.0,4.25,0.91
2000-05-11,1362.06,1340.23,1384.63,1327.63,-1.89,-25.75,6844821,8194031000.0,4.17,0.84
2000-05-12,1342.16,1336.65,1365.89,1322.12,-0.27,-3.58,5930678,6994069000.0,3.27,0.73
2000-05-15,1338.94,1320.9,1354.21,1301.53,-1.18,-15.75,5319996,6413330000.0,3.94,0.65
2000-05-16,1324.61,1340.15,1354.1,1315.86,1.46,19.25,4566512,5501446000.0,2.89,0.56
2000-05-17,1344.45,1341.31,1366.53,1326.12,0.09,1.16,4930317,5847518000.0,3.02,0.6
2000-05-18,1342.17,1371.48,1379.75,1327.92,2.25,30.17,7285227,8979876000.0,3.86,0.89
2000-05-19,1378.03,1389.82,1404.31,1359.46,1.34,18.34,9984374,12053423000.0,3.27,1.22
2000-05-22,1397.25,1425.33,1442.68,1382.89,2.56,35.51,12611021,15658394000.0,4.3,1.54
2000-05-23,1433.37,1426.64,1454.49,1399.0,0.09,1.31,10770239,12859003000.0,3.89,1.32
2000-05-24,1429.16,1442.37,1467.79,1410.26,1.1,15.73,13222950,16308199000.0,4.03,1.62
2000-05-25,1449.96,1464.67,1485.35,1431.99,1.55,22.3,14901627,18401198000.0,3.7,1.82
2000-05-26,1471.48,1466.61,1500.66,1440.5,0.13,1.94,15487109,18755155000.0,4.11,1.89
2000-05-29,1472.39,1480.9,1506.36,1449.69,0.97,14.29,15181614,20101504000.0,3.86,1.86
2000-05-30,1487.28,1466.92,1515.32,1447.09,-0.94,-13.98,14161457,17447184000.0,4.61,1.73
2000-05-31,1465.39,1479.04,1503.01,1444.87,0.83,12.12,12895857,15568262000.0,3.96,1.58
2000-06-01,1483.89,1490.52,1516.42,1463.19,0.78,11.48,13338746,15873385000.0,3.6,1.63
2000-06-02,1493.53,1499.98,1524.5,1469.29,0.63,9.46,17266086,19438728000.0,3.7,2.11
2000-06-05,1506.53,1486.17,1542.78,1464.02,-0.92,-13.81,21147116,22564631000.0,5.25,2.59
2000-06-06,1486.33,1507.59,1523.56,1465.87,1.44,21.42,15322804,18081450000.0,3.88,1.87
2000-06-07,1515.39,1513.13,1540.23,1489.62,0.37,5.54,14117038,17145252000.0,3.36,1.73
2000-06-08,1517.37,1508.12,1540.18,1484.81,-0.33,-5.01,14108619,18161034000.0,3.66,1.73
2000-06-09,1508.84,1490.67,1532.24,1475.16,-1.16,-17.45,12811721,15042676000.0,3.78,1.57
2000-06-12,1486.24,1499.37,1518.27,1461.71,0.58,8.7,10882612,13010302000.0,3.79,1.33
2000-06-13,1504.33,1521.62,1536.75,1488.52,1.48,22.25,12310202,14799623000.0,3.22,1.51
2000-06-14,1527.17,1520.31,1553.89,1499.44,-0.09,-1.31,14383654,16724120000.0,3.58,1.76
2000-06-15,1521.18,1531.95,1551.42,1500.44,0.77,11.64,11483833,13956689000.0,3.35,1.4
2000-06-16,1539.67,1522.31,1560.83,1506.18,-0.63,-9.64,11877344,14605041000.0,3.57,1.45
2000-06-19,1519.97,1519.31,1547.25,1496.88,-0.2,-3.0,9865592,12328415000.0,3.31,1.21
2000-06-20,1517.22,1506.03,1538.76,1487.4,-0.87,-13.28,7960735,9822502000.0,3.38,0.97
2000-06-21,1505.46,1521.54,1536.24,1491.9,1.03,15.51,6469003,8616448000.0,2.94,0.79
2000-06-22,1525.38,1523.58,1546.54,1504.53,0.13,2.04,7700418,9468075000.0,2.76,0.94
2000-06-23,1523.09,1539.53,1556.4,1507.57,1.05,15.95,10874766,13694740000.0,3.2,1.33
2000-06-26,1546.0,1556.88,1579.61,1528.26,1.13,17.35,12212205,14989668000.0,3.34,1.49
2000-06-27,1560.13,1559.6,1586.04,1536.58,0.17,2.72,11592464,13556079000.0,3.18,1.42
2000-06-28,1562.32,1565.68,1593.02,1543.07,0.39,6.08,11151753,14251949000.0,3.2,1.36
2000-06-29,1568.17,1557.44,1588.35,1534.98,-0.53,-8.24,11892459,15136401000.0,3.41,1.45
2000-06-30,1558.71,1550.04,1586.55,1531.51,-0.48,-7.4,11748299,15286497000.0,3.53,1.44
2000-07-03,1542.34,1527.36,1565.05,1506.25,-1.46,-22.68,11067967,13649819000.0,3.79,1.35
2000-07-04,1523.8,1540.41,1552.22,1507.8,0.85,13.05,7170353,9093928000.0,2.91,0.88
2000-07-05,1542.98,1539.61,1565.39,1524.59,-0.05,-0.8,7187318,9255291000.0,2.65,0.88
2000-07-06,1538.88,1534.84,1558.09,1516.03,-0.31,-4.77,7129197,9249330000.0,2.73,0.87
2000-07-07,1535.44,1559.54,1573.51,1527.01,1.61,24.7,8443855,10305340000.0,3.03,1.03
2000-07-10,1564.78,1577.5,1597.79,1543.48,1.15,17.96,12776903,15209530000.0,3.48,1.56
