日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-11-22,1016.85,1012.18,1041.72,1004.81,1.22,12.18,3144499,5609320700.0,3.69,1.48
2022-11-23,1018.41,1035.3,1048.83,1008.94,2.28,23.12,5105507,6284243263.0,3.94,2.41
2022-11-24,1029.91,1054.97,1065.43,1004.52,1.9,19.67,6189788,8058669049.0,5.88,2.92
2022-11-25,1035.66,1007.83,1042.49,1006.22,-4.47,-47.14,4399058,6319593613.0,3.44,2.08
2022-11-28,990.74,1013.11,1013.76,988.26,0.52,5.28,3157371,4860372287.0,2.53,1.49
2022-11-29,1008.77,1013.05,1037.87,1007.87,-0.01,-0.06,6589243,6208748338.0,2.96,3.11
2022-11-30,1013.11,1000.69,1018.71,998.59,-1.22,-12.36,9147449,6683138866.0,1.99,4.32
2022-12-01,1005.33,1018.68,1023.89,1000.29,1.8,17.99,6099177,5430132188.0,2.36,2.88
2022-12-02,1013.39,1003.78,1025.68,1001.19,-1.46,-14.9,4571399,4488128867.0,2.4,2.16
2022-12-05,1008.13,994.04,1008.6,988.07,-0.97,-9.74,4124930,4486630378.0,2.05,1.95
2022-12-06,993.94,993.88,1002.52,979.05,-0.02,-0.16,3801404,3931177450.0,2.36,1.79
2022-12-07,993.39,1005.02,1026.51,988.06,1.12,11.14,5309173,5738434118.0,3.87,2.51
2022-12-08,999.71,989.78,1008.79,988.42,-1.52,-15.24,3872637,4266216034.0,2.03,1.83
2022-12-09,992.2,981.39,1000.98,979.51,-0.85,-8.39,5222491,4391818467.0,2.17,2.46
2022-12-12,979.12,984.95,987.43,970.32,0.36,3.56,3458310,3145824921.0,1.74,1.63
2022-12-13,984.45,959.77,984.45,958.51,-2.56,-25.18,3058331,3376755014.0,2.63,1.44
2022-12-14,963.61,959.91,979.8,956.35,0.01,0.14,2531682,2896283039.0,2.44,1.19
2022-12-15,955.88,974.32,974.32,954.07,1.5,14.41,2161709,2555556729.0,2.11,1.02
2022-12-16,967.75,937.99,970.13,936.38,-3.73,-36.33,2181388,2750567736.0,3.46,1.03
2022-12-19,935.21,924.47,943.09,921.72,-1.44,-13.52,1850831,2024219095.0,2.28,0.87
