日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-12-11,1001.63,1040.9,1041.65,1001.63,4.09,40.9,10909744,27422599680.0,4.0,2.18
2023-12-12,1044.19,1050.25,1064.79,1039.63,0.9,9.35,12705871,26464649273.0,2.42,2.53
2023-12-13,1046.21,1052.69,1064.53,1046.21,0.23,2.44,13788640,25841215774.0,1.74,2.75
2023-12-14,1051.98,1030.18,1064.1,1028.59,-2.14,-22.51,12977186,23720836368.0,3.37,2.59
2023-12-15,1027.92,1028.84,1046.28,1006.88,-0.13,-1.34,14408318,24375156061.0,3.82,2.87
2023-12-18,1024.28,1019.1,1036.67,1009.79,-0.95,-9.74,11179828,20314077503.0,2.61,2.23
2023-12-19,1013.96,1033.51,1043.07,1011.48,1.41,14.41,11212352,23410145401.0,3.1,2.24
2023-12-20,1033.13,994.65,1034.82,993.98,-3.76,-38.86,12011131,23633200465.0,3.95,2.4
2023-12-21,984.45,1004.37,1011.3,982.27,0.98,9.72,12624969,25055629436.0,2.92,2.52
2023-12-22,1000.19,945.02,1000.83,939.4,-5.91,-59.35,16506201,28650198293.0,6.12,3.29
2023-12-25,945.02,943.24,956.77,929.79,-0.19,-1.78,11550296,19477853277.0,2.85,2.3
2023-12-26,943.1,920.74,944.01,911.46,-2.39,-22.5,10542832,17748094569.0,3.45,2.1
2023-12-27,921.77,922.51,927.52,912.33,0.19,1.77,9487309,16092315968.0,1.65,1.89
2023-12-28,919.42,937.39,942.02,906.05,1.61,14.88,10801435,18435574549.0,3.9,2.15
2023-12-29,936.26,964.82,965.25,935.29,2.93,27.43,11383780,21521098027.0,3.2,2.27
2024-01-02,966.76,946.23,972.45,945.96,-1.93,-18.59,9540500,18525295267.0,2.75,1.9
2024-01-03,942.29,935.42,946.11,927.0,-1.14,-10.81,8656580,17952449982.0,2.02,1.73
2024-01-04,934.01,927.23,934.5,917.99,-0.88,-8.19,8679554,18234839324.0,1.76,1.73
2024-01-05,926.96,899.97,926.98,893.6,-2.94,-27.26,8303120,15788883664.0,3.6,1.66
2024-01-08,895.96,880.36,898.65,880.36,-2.18,-19.61,6452977,12917489774.0,2.03,1.29
2024-01-09,884.0,878.57,894.16,869.32,-0.2,-1.79,6551114,12225170792.0,2.82,1.31
2024-01-10,874.06,855.12,874.06,851.16,-2.67,-23.45,6408666,11209207904.0,2.61,1.28
2024-01-11,855.9,884.56,887.68,855.9,3.44,29.44,7777772,15860179804.0,3.72,1.55
2024-01-12,882.74,860.62,886.31,860.56,-2.71,-23.94,6875076,13291946975.0,2.91,1.37
2024-01-15,857.41,855.23,867.92,854.57,-0.63,-5.39,5650931,10789314476.0,1.55,1.13
2024-01-16,855.18,853.09,855.18,834.98,-0.25,-2.14,6530117,11337768424.0,2.36,1.3
2024-01-17,850.81,832.89,856.3,832.89,-2.37,-20.2,5409870,10610662622.0,2.74,1.08
2024-01-18,825.25,841.2,841.44,812.61,1.0,8.31,8837784,16156315557.0,3.46,1.76
2024-01-19,838.94,827.76,848.58,827.73,-1.6,-13.44,8268189,14836440255.0,2.48,1.65
2024-01-22,826.21,773.81,830.09,766.39,-6.52,-53.95,8446853,14962876376.0,7.7,1.68
2024-01-23,771.01,794.57,798.89,764.06,2.68,20.76,9623444,18994454761.0,4.5,1.92
2024-01-24,796.42,801.02,802.84,772.6,0.81,6.45,8519352,16009283247.0,3.81,1.7
2024-01-25,798.57,831.73,833.29,790.16,3.83,30.71,10429360,19167682571.0,5.38,2.08
2024-01-26,828.53,820.19,843.68,818.85,-1.39,-11.54,10503410,18056418539.0,2.99,2.09
