日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-04-09,991.25,991.35,995.22,988.61,-0.87,-8.65,193224261,560322504683.0,0.66,0.59
2026-04-10,997.43,1001.34,1006.92,996.5,1.01,9.99,216879368,696927314250.0,1.05,0.66
2026-04-13,996.31,1003.17,1004.3,996.13,0.18,1.83,205208945,632063992829.0,0.82,0.63
2026-04-14,1009.29,1012.53,1012.53,1003.23,0.93,9.36,211654974,686684429489.0,0.93,0.65
2026-04-15,1016.83,1009.21,1016.93,1006.93,-0.33,-3.32,211063746,686804544116.0,0.99,0.64
2026-04-16,1010.05,1016.93,1017.27,1009.2,0.76,7.72,198869527,643666159267.0,0.8,0.61
2026-04-17,1013.85,1014.3,1015.78,1011.16,-0.26,-2.63,196062037,675847166100.0,0.45,0.6
2026-04-20,1015.01,1022.54,1023.4,1014.43,0.81,8.24,236478194,719672008547.0,0.88,0.72
2026-04-21,1020.72,1022.4,1024.17,1015.0,-0.01,-0.14,216466661,655970784483.0,0.9,0.66
2026-04-22,1018.78,1028.11,1028.31,1018.65,0.56,5.71,212424980,711090325442.0,0.94,0.65
2026-04-23,1030.42,1024.12,1031.68,1018.22,-0.39,-3.99,247969947,788184701633.0,1.31,0.76
2026-04-24,1021.1,1020.72,1024.4,1014.67,-0.33,-3.4,202688864,760661972378.0,0.95,0.62
2026-04-27,1020.61,1023.92,1026.03,1019.61,0.31,3.2,204264010,744117717646.0,0.63,0.62
2026-04-28,1020.53,1019.09,1023.28,1016.14,-0.47,-4.83,221725420,702880793053.0,0.7,0.68
2026-04-29,1014.44,1029.17,1029.83,1014.33,0.99,10.08,241779021,750906430563.0,1.52,0.74
2026-04-30,1029.42,1029.72,1032.4,1027.29,0.05,0.55,271516802,825674982001.0,0.5,0.83
2026-05-06,1037.38,1046.6,1047.51,1035.48,1.64,16.88,290738469,998199918273.0,1.17,0.89
2026-05-07,1050.08,1051.32,1051.35,1045.53,0.45,4.72,271626479,910261380118.0,0.56,0.83
2026-05-08,1046.64,1049.19,1051.04,1043.41,-0.2,-2.13,285180802,842459456597.0,0.73,0.87
2026-05-11,1055.14,1063.41,1064.55,1052.8,1.36,14.22,328572477,1046672740998.0,1.12,1.0
2026-05-12,1064.42,1057.43,1064.42,1054.23,-0.56,-5.98,295646319,938696197996.0,0.96,0.9
2026-05-13,1052.56,1067.42,1068.12,1052.56,0.94,9.99,288617526,943383810680.0,1.47,0.88
2026-05-14,1071.19,1045.28,1071.89,1045.28,-2.07,-22.14,311695603,980544921484.0,2.49,0.95
2026-05-15,1044.9,1033.07,1048.85,1027.89,-1.17,-12.21,303693921,1005543710566.0,2.01,0.93
2026-05-18,1028.34,1029.25,1034.36,1023.63,-0.37,-3.82,262587742,844544821940.0,1.04,0.8
2026-05-19,1027.19,1036.44,1036.62,1021.1,0.7,7.19,256130065,840865525956.0,1.51,0.78
2026-05-20,1030.96,1032.72,1035.63,1026.56,-0.36,-3.72,237403193,847238981671.0,0.88,0.72
2026-05-21,1037.67,1016.53,1048.25,1015.73,-1.57,-16.19,307571823,1016524052137.0,3.15,0.94
2026-05-22,1021.96,1025.97,1027.0,1014.23,0.93,9.44,303386480,893005681393.0,1.26,0.93
2026-05-25,1030.19,1035.71,1035.95,1026.37,0.95,9.74,283476041,1006772856145.0,0.93,0.86
2026-05-26,1031.82,1037.11,1037.89,1026.21,0.14,1.4,319176530,1056223011535.0,1.13,0.97
2026-05-27,1035.11,1026.1,1039.83,1022.24,-1.06,-11.01,318438801,1064258425131.0,1.7,0.97
2026-05-28,1022.86,1025.43,1029.07,1014.05,-0.07,-0.67,285014400,955408908671.0,1.46,0.87
2026-05-29,1028.7,1021.04,1032.51,1017.86,-0.43,-4.39,356385405,1124817469718.0,1.43,1.09
2026-06-01,1021.46,1015.8,1027.21,1013.96,-0.51,-5.24,318054509,974050870523.0,1.3,0.97
2026-06-02,1016.46,1020.28,1023.92,1006.72,0.44,4.48,301348726,951492181186.0,1.69,0.92
2026-06-03,1018.54,1022.34,1029.06,1016.12,0.2,2.06,327300998,1084636117735.0,1.27,1.0
2026-06-04,1014.09,1015.28,1022.16,1011.68,-0.69,-7.06,281498453,916240180126.0,1.03,0.86
2026-06-05,1012.29,1002.64,1019.01,999.56,-1.24,-12.64,326324471,1028171252506.0,1.92,1.0
2026-06-08,978.95,977.4,992.87,970.37,-2.52,-25.24,319073716,906726363605.0,2.24,0.97
2026-06-09,984.17,994.01,994.32,976.15,1.7,16.61,276659019,845840236680.0,1.86,0.84
2026-06-10,986.08,986.35,991.37,979.0,-0.77,-7.66,278789039,846350137045.0,1.24,0.85
2026-06-11,981.34,984.47,986.87,976.46,-0.19,-1.88,262976014,789377479445.0,1.06,0.8
2026-06-12,995.65,997.18,1008.5,993.25,1.29,12.71,363794775,1078978959656.0,1.55,1.11
2026-06-15,1006.63,1016.77,1016.99,1004.43,1.96,19.59,337030641,1018424909691.0,1.26,1.03
2026-06-16,1016.45,1013.26,1017.88,1010.01,-0.35,-3.51,290565693,970598218982.0,0.77,0.89
2026-06-17,1009.26,1022.51,1022.86,1009.04,0.91,9.25,288003490,986032760852.0,1.36,0.88
2026-06-18,1018.78,1015.34,1025.24,1012.67,-0.7,-7.17,343153466,1156879803407.0,1.23,1.05
2026-06-22,1015.57,1039.14,1039.59,1010.31,2.34,23.8,379649807,1288761654051.0,2.88,1.16
2026-06-23,1036.82,1017.57,1040.55,1012.8,-2.08,-21.57,346757726,1194070403419.0,2.67,1.06
2026-06-24,1013.02,1018.8,1021.34,1010.13,0.12,1.23,316175706,1103735338819.0,1.1,0.96
2026-06-25,1017.09,1025.73,1030.17,1016.17,0.68,6.93,354024784,1268603122114.0,1.37,1.08
2026-06-26,1021.86,1000.58,1022.46,997.12,-2.45,-25.15,346234075,1226991343255.0,2.47,1.06
2026-06-30,1007.28,1015.69,1016.61,1007.02,0.47,0,310342372.0,1106489314137.0,0,0
2026-07-01,1015.56,1021.40,1029.43,1013.93,0.56,0,345552927.0,1242502184842.0,0,0
2026-07-02,1009.02,1001.66,1017.37,999.54,-1.93,0,346307307.0,1151410325818.0,0,0
2026-07-03,0.00,1013.86,0.00,0.00,1.22,0,0,0,0,0
