日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-04-27,999.82,994.71,1035.38,981.76,-0.53,-5.29,4211567,16444570098.0,5.36,0.51
2023-04-28,982.68,1016.0,1019.46,981.46,2.14,21.29,3910100,16939687529.0,3.82,0.47
2023-05-04,1004.04,977.72,1004.04,973.72,-3.77,-38.28,3440567,13767451340.0,2.98,0.41
2023-05-05,979.21,967.62,997.18,965.13,-1.03,-10.1,2857688,11662489486.0,3.28,0.34
2023-05-08,961.95,958.64,978.57,953.54,-0.93,-8.98,2656048,10725919808.0,2.59,0.32
2023-05-09,955.67,937.85,964.71,937.75,-2.17,-20.79,3188333,11867219042.0,2.81,0.38
2023-05-10,938.33,930.05,945.85,918.45,-0.83,-7.8,2629108,10918922969.0,2.92,0.32
2023-05-11,938.86,944.95,953.19,930.3,1.6,14.9,3108150,10753584239.0,2.46,0.37
2023-05-12,947.45,928.23,964.75,926.33,-1.77,-16.72,3615061,14391835077.0,4.07,0.44
2023-05-15,920.51,934.9,934.9,913.05,0.72,6.67,3107127,10800054442.0,2.35,0.37
2023-05-16,941.08,964.6,982.11,930.15,3.18,29.7,4182847,16270309996.0,5.56,0.5
2023-05-17,958.0,986.05,1001.41,957.77,2.22,21.45,4583461,17417631998.0,4.52,0.55
2023-05-18,980.03,998.42,1007.15,979.09,1.25,12.37,3864759,13501949513.0,2.85,0.47
2023-05-19,1009.81,1051.94,1059.76,1009.81,5.36,53.52,5199079,20181987654.0,5.0,0.63
2023-05-22,1078.03,1049.35,1089.42,1042.07,-0.25,-2.59,5442703,18875336890.0,4.5,0.66
2023-05-23,1033.26,1025.45,1045.89,1020.03,-2.28,-23.9,4026679,13376067458.0,2.46,0.49
2023-05-24,1016.92,1048.3,1068.35,1005.39,2.23,22.85,4398427,14749375959.0,6.14,0.53
2023-05-25,1050.24,1060.87,1065.44,1033.04,1.2,12.57,5256364,14463376268.0,3.09,0.63
2023-05-26,1060.28,1109.51,1123.69,1056.68,4.58,48.64,7415437,20704728693.0,6.32,0.89
2023-05-29,1124.98,1102.91,1133.21,1102.02,-0.59,-6.6,6648735,19514155953.0,2.81,0.8
2023-05-30,1095.64,1116.93,1116.93,1086.07,1.27,14.02,5688625,17259669973.0,2.8,0.69
2023-05-31,1109.81,1137.23,1149.67,1091.85,1.82,20.3,6643147,20903432635.0,5.18,0.8
2023-06-01,1119.25,1121.28,1148.55,1115.74,-1.4,-15.95,5865886,18916124668.0,2.89,0.71
2023-06-02,1119.31,1108.31,1124.94,1104.24,-1.16,-12.97,4669400,15357160702.0,1.85,0.56
2023-06-05,1111.56,1102.86,1123.69,1101.87,-0.49,-5.45,3887641,14668457610.0,1.97,0.47
2023-06-06,1099.33,1075.0,1104.52,1070.4,-2.53,-27.86,4198447,14265866617.0,3.09,0.51
2023-06-07,1076.67,1086.62,1093.85,1069.67,1.08,11.62,3963189,11762826885.0,2.25,0.48
2023-06-08,1084.2,1067.73,1084.61,1062.05,-1.74,-18.89,4688464,12467922147.0,2.08,0.57
2023-06-09,1067.14,1090.2,1091.85,1052.51,2.1,22.47,6052944,17139685070.0,3.68,0.73
2023-06-12,1084.48,1085.32,1097.18,1084.27,-0.45,-4.88,4798645,13268422070.0,1.18,0.58
2023-06-13,1084.88,1132.4,1136.99,1079.46,4.34,47.08,7255333,23146928203.0,5.3,0.88
2023-06-14,1130.71,1126.1,1132.46,1110.8,-0.56,-6.3,5977754,17133977760.0,1.91,0.72
2023-06-15,1125.56,1104.52,1133.29,1103.67,-1.92,-21.58,5505918,17657487556.0,2.63,0.66
