日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-08-03,992.56,979.77,997.87,969.83,-2.02,-20.23,3942322,68751552512.0,2.8,0.82
2021-08-04,975.51,1029.6,1030.11,974.29,5.09,49.83,4635288,77591322624.0,5.7,0.96
2021-08-05,1014.53,1023.07,1039.51,1005.89,-0.63,-6.53,3634348,61004591872.0,3.27,0.76
2021-08-06,1026.58,1006.81,1033.88,998.07,-1.59,-16.26,3482580,64339116800.0,3.5,0.72
2021-08-09,985.1,996.6,1004.62,964.71,-1.01,-10.21,3346955,58457338368.0,3.96,0.7
2021-08-10,989.75,986.94,996.99,965.39,-0.97,-9.66,3393277,58742562816.0,3.17,0.71
2021-08-11,982.88,977.67,989.84,969.99,-0.94,-9.27,2783981,46814228736.0,2.01,0.58
2021-08-12,967.43,960.28,978.96,954.59,-1.78,-17.39,3694875,58700197376.0,2.49,0.77
2021-08-13,952.42,946.48,976.59,943.5,-1.44,-13.8,3544554,58263537152.0,3.45,0.74
2021-08-16,934.41,933.48,946.77,926.61,-1.37,-13.0,2822440,50840316160.0,2.13,0.59
2021-08-17,931.91,902.31,938.56,896.9,-3.34,-31.17,3330158,53321903616.0,4.46,0.69
2021-08-18,905.33,897.21,914.99,891.14,-0.57,-5.1,5179888,65243231232.0,2.64,1.08
2021-08-19,901.91,909.24,917.22,893.39,1.34,12.03,5108067,66840036608.0,2.66,1.06
2021-08-20,901.42,878.01,907.9,867.63,-3.43,-31.23,5376434,73428975616.0,4.43,1.12
2021-08-23,885.94,906.25,907.82,873.66,3.22,28.24,5533914,74369634304.0,3.89,1.15
2021-08-24,914.5,928.61,936.31,901.39,2.47,22.36,5797074,75835523072.0,3.85,1.21
2021-08-25,932.33,936.89,937.73,915.87,0.89,8.28,4953827,63662336000.0,2.35,1.03
2021-08-26,940.13,912.63,944.14,911.67,-2.59,-24.26,4722345,66378204672.0,3.47,0.98
2021-08-27,910.79,918.47,935.5,909.11,0.64,5.84,5160725,67051963392.0,2.89,1.07
2021-08-30,911.6,906.41,923.37,897.16,-1.31,-12.06,6754719,89873526784.0,2.85,1.4
2021-08-31,901.06,877.82,901.06,865.95,-3.15,-28.59,6826728,83650072576.0,3.87,1.42
2021-09-01,874.99,868.55,875.59,847.58,-1.06,-9.27,6780069,74846453760.0,3.19,1.41
2021-09-02,863.58,845.51,874.22,843.92,-2.65,-23.04,4632200,58876685568.0,3.49,0.96
2021-09-03,845.79,833.04,849.09,828.06,-1.47,-12.47,4840007,61922007808.0,2.49,1.01
2021-09-06,832.59,877.67,879.67,827.82,5.36,44.63,5210598,67474927872.0,6.22,1.08
