日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2013-11-18,1021.01,1018.67,1022.28,1009.36,1.87,18.67,3600097,5253587712.0,1.29,0.41
2013-11-19,1156.91,1145.83,1158.32,1140.35,12.48,127.16,3563109,5565816576.0,1.76,0.41
2013-11-20,1151.16,1167.1,1168.95,1150.72,1.86,21.27,3547176,5600060928.0,1.59,0.41
2013-11-21,1164.43,1156.69,1164.43,1149.44,-0.89,-10.41,3949020,6612697600.0,1.28,0.45
2013-11-22,1158.45,1141.68,1160.73,1140.24,-1.3,-15.01,3428737,5603302400.0,1.77,0.39
2013-11-25,1139.22,1140.92,1150.89,1127.62,-0.07,-0.76,3595714,5565409280.0,2.04,0.41
2013-11-26,1138.99,1148.54,1154.67,1136.18,0.67,7.62,3645724,5806375424.0,1.62,0.42
2013-11-27,1147.08,1172.11,1172.3,1145.16,2.05,23.57,3985814,6404287232.0,2.36,0.46
2013-11-28,1178.05,1182.03,1189.02,1177.29,0.85,9.92,3619789,5775853568.0,1.0,0.42
2013-11-29,1185.41,1185.26,1187.76,1179.96,0.27,3.23,3350415,5679276544.0,0.66,0.38
2013-12-02,1159.16,1127.69,1169.27,1115.49,-4.86,-57.57,5006464,6978449408.0,4.54,0.57
2013-12-03,1116.7,1139.74,1143.85,1106.56,1.07,12.05,3651725,5169784832.0,3.31,0.42
2013-12-04,1139.51,1141.07,1156.97,1134.32,0.12,1.33,3478276,5078135808.0,1.99,0.4
2013-12-05,1143.65,1133.54,1154.26,1133.11,-0.66,-7.53,3886289,5349137664.0,1.85,0.45
2013-12-06,1129.35,1121.04,1133.78,1117.29,-1.1,-12.5,2819294,3940538608.0,1.45,0.32
2013-12-09,1130.73,1138.32,1143.26,1130.73,1.54,17.28,2227311,3256060608.0,1.12,0.26
2013-12-10,1142.9,1142.57,1151.49,1137.46,0.37,4.25,2525474,3485978144.0,1.23,0.29
2013-12-11,1138.29,1136.08,1140.28,1128.22,-0.57,-6.49,2343603,3160376288.0,1.06,0.27
2013-12-12,1133.74,1140.96,1149.04,1133.59,0.43,4.88,2052611,2913181200.0,1.36,0.24
2013-12-13,1130.93,1146.16,1148.17,1127.81,0.46,5.2,1663765,2441042096.0,1.78,0.19
2013-12-16,1147.14,1120.93,1149.8,1120.93,-2.2,-25.23,2033796,2952798288.0,2.52,0.23
2013-12-17,1119.22,1119.06,1126.55,1111.83,-0.17,-1.87,2091371,3018994352.0,1.31,0.24
2013-12-18,1121.64,1112.44,1123.28,1109.61,-0.59,-6.62,1640096,2501942640.0,1.22,0.19
2013-12-19,1112.33,1102.57,1118.09,1102.23,-0.89,-9.87,1412866,2070296288.0,1.43,0.16
2013-12-20,1103.89,1094.81,1108.43,1086.78,-0.7,-7.76,1349186,1973396848.0,1.96,0.15
2013-12-23,1095.12,1078.99,1095.84,1075.83,-1.45,-15.82,1268054,1732750032.0,1.83,0.15
2013-12-24,1081.0,1102.23,1109.45,1081.0,2.15,23.24,1703693,2420677744.0,2.64,0.2
2013-12-25,1105.97,1126.46,1126.46,1101.14,2.2,24.23,1752612,2687911616.0,2.3,0.2
2013-12-26,1124.91,1092.29,1124.91,1091.29,-3.03,-34.17,1999601,3194852672.0,2.98,0.23
2013-12-27,1090.38,1119.13,1124.65,1090.16,2.46,26.84,2145884,3146371088.0,3.16,0.25
2013-12-30,1126.96,1123.17,1131.47,1118.6,0.36,4.04,2457160,3747518256.0,1.15,0.28
