日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-04-10,1008.45,1011.3,1020.45,1008.45,1.13,11.3,99496252,242334187745.0,1.2,3.53
2026-04-13,1005.67,1015.53,1017.61,1005.67,0.42,4.23,94216341,222847081761.0,1.18,3.35
2026-04-14,1023.76,1030.97,1030.98,1020.03,1.52,15.44,101464506,261968507256.0,1.08,3.6
2026-04-15,1035.96,1025.25,1038.09,1022.39,-0.55,-5.72,103041430,260316898895.0,1.52,3.66
2026-04-16,1027.62,1043.1,1043.81,1023.59,1.74,17.85,99012282,243422098473.0,1.97,3.52
2026-04-17,1040.49,1052.26,1054.69,1039.9,0.88,9.16,100225137,259837105999.0,1.42,3.56
2026-04-20,1052.91,1063.04,1064.39,1052.7,1.02,10.78,115589758,293228942828.0,1.11,4.1
2026-04-21,1059.1,1062.47,1063.5,1050.38,-0.05,-0.57,111453406,273236997158.0,1.23,3.96
2026-04-22,1056.45,1077.43,1077.47,1056.44,1.41,14.96,108282432,283485921404.0,1.98,3.85
2026-04-23,1077.46,1060.63,1080.08,1052.02,-1.56,-16.8,127037578,323761768257.0,2.6,4.51
2026-04-24,1054.84,1050.3,1058.66,1043.43,-0.97,-10.33,113828397,285866616008.0,1.44,4.04
2026-04-27,1048.4,1055.86,1059.58,1041.19,0.53,5.56,104624520,270004373036.0,1.75,3.72
2026-04-28,1049.57,1036.84,1049.57,1032.13,-1.8,-19.02,105248845,262541149936.0,1.65,3.74
2026-04-29,1026.87,1044.96,1048.24,1026.87,0.78,8.12,103061826,255734286297.0,2.06,3.66
2026-04-30,1044.86,1056.25,1058.88,1043.57,1.08,11.29,107224645,267975503049.0,1.47,3.81
2026-05-06,1066.17,1082.95,1088.51,1066.17,2.53,26.7,121495528,328223073223.0,2.12,4.31
2026-05-07,1086.51,1106.89,1106.89,1082.77,2.21,23.94,124468387,337148799432.0,2.23,4.42
2026-05-08,1100.46,1114.53,1116.72,1098.12,0.69,7.64,117754520,323884720698.0,1.68,4.18
2026-05-11,1124.08,1133.2,1136.29,1118.73,1.68,18.67,132229325,365881880052.0,1.58,4.7
2026-05-12,1134.51,1129.73,1134.57,1119.04,-0.31,-3.47,128054565,349940564771.0,1.37,4.55
2026-05-13,1122.64,1152.19,1153.04,1122.53,1.99,22.46,134291421,366435466424.0,2.7,4.77
2026-05-14,1157.09,1125.7,1157.73,1125.7,-2.3,-26.49,152918545,376017326348.0,2.78,5.43
2026-05-15,1127.61,1120.09,1142.17,1110.59,-0.5,-5.61,146055736,372377964707.0,2.81,5.19
2026-05-18,1117.56,1130.1,1136.69,1115.68,0.89,10.01,114211265,331289200642.0,1.88,4.06
2026-05-19,1127.76,1143.17,1143.32,1115.79,1.16,13.07,118977669,342311152147.0,2.44,4.23
2026-05-20,1138.21,1144.29,1145.73,1129.22,0.1,1.12,123426730,361167608440.0,1.44,4.38
2026-05-21,1149.83,1104.54,1156.42,1103.17,-3.47,-39.75,134151318,398352772342.0,4.65,4.76
2026-05-22,1112.89,1131.19,1133.71,1107.27,2.41,26.65,103720370,328176747996.0,2.39,3.68
2026-05-25,1139.05,1141.65,1141.95,1124.67,0.92,10.46,114572250,359280891646.0,1.53,4.07
2026-05-26,1136.18,1124.32,1136.18,1106.96,-1.52,-17.33,123145040,371996563611.0,2.56,4.37
2026-05-27,1123.18,1100.88,1129.3,1094.08,-2.08,-23.44,117926811,351147359357.0,3.13,4.19
2026-05-28,1097.87,1112.61,1115.72,1087.21,1.07,11.73,105432990,325262542096.0,2.59,3.74
2026-05-29,1116.88,1071.87,1117.63,1066.22,-3.66,-40.74,121471615,371648481543.0,4.62,4.31
2026-06-01,1071.19,1061.49,1084.88,1060.25,-0.97,-10.38,101073884,301639537442.0,2.3,3.59
2026-06-02,1062.64,1061.31,1069.44,1038.04,-0.02,-0.18,104250384,291737102616.0,2.96,3.7
2026-06-03,1060.46,1063.92,1078.87,1053.42,0.25,2.61,107144140,326876416208.0,2.4,3.81
2026-06-04,1052.48,1065.76,1070.01,1051.89,0.17,1.84,97304305,288281555007.0,1.7,3.46
2026-06-05,1062.15,1061.55,1079.06,1048.75,-0.4,-4.21,120996312,348211086934.0,2.84,4.3
2026-06-08,1023.92,1025.35,1049.3,1013.8,-3.41,-36.2,112921824,293840687036.0,3.34,4.01
2026-06-09,1037.95,1053.67,1054.16,1026.91,2.76,28.32,112416846,307469809804.0,2.66,3.99
2026-06-10,1042.1,1037.77,1050.02,1025.14,-1.51,-15.9,115782833,317361522297.0,2.36,4.11
2026-06-11,1031.21,1031.94,1040.66,1023.51,-0.56,-5.83,106917535,299813077370.0,1.65,3.8
2026-06-12,1048.37,1040.63,1057.33,1034.58,0.84,8.69,127453539,357409023153.0,2.2,4.53
2026-06-15,1048.2,1079.55,1079.55,1048.2,3.74,38.92,111409421,312480141916.0,3.01,3.96
2026-06-16,1081.2,1091.69,1095.11,1076.04,1.12,12.14,109374199,327770577357.0,1.77,3.88
2026-06-17,1083.24,1099.33,1099.51,1083.03,0.7,7.64,105857010,329463954817.0,1.51,3.76
2026-06-18,1095.53,1110.85,1113.86,1094.89,1.05,11.52,106931182,344029016124.0,1.73,3.8
2026-06-22,1114.55,1114.53,1114.71,1082.84,0.33,3.68,130823684,399668366079.0,2.87,4.65
2026-06-23,1111.74,1095.48,1119.01,1088.85,-1.71,-19.05,117004736,356442236133.0,2.71,4.16
2026-06-24,1090.82,1107.43,1108.34,1080.22,1.09,11.95,116790769,361216819419.0,2.57,4.15
2026-06-25,1108.44,1106.65,1114.4,1095.94,-0.07,-0.78,124181423,390616826362.0,1.67,4.41
2026-06-26,1099.29,1075.72,1100.96,1073.83,-2.79,-30.93,129068482,378710647817.0,2.45,4.58
2026-06-30,1073.66,1107.00,1107.64,1071.50,2.99,0,112348388.0,358781606218.0,0,0
2026-07-01,1109.40,1115.85,1124.02,1107.97,0.80,0,130723644.0,391483053310.0,0,0
2026-07-02,1095.49,1083.92,1115.94,1080.71,-2.86,0,123630035.0,372079181512.0,0,0
2026-07-03,0.00,1088.57,0.00,0.00,0.43,0,0,0,0,0
