日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2014-06-19,998.94,972.92,998.94,968.64,-2.71,-27.08,4239639,4929226240.0,3.03,0.15
2014-06-20,973.06,979.57,984.01,967.28,0.68,6.65,2991322,3279066752.0,1.72,0.11
2014-06-23,978.91,1005.15,1012.72,977.9,2.61,25.58,4001674,4309496576.0,3.55,0.15
2014-06-24,1004.72,1019.49,1024.68,1000.29,1.43,14.34,5222924,6459515136.0,2.43,0.19
2014-06-25,1014.6,1002.0,1014.6,998.6,-1.72,-17.49,3677749,4328555520.0,1.57,0.13
2014-06-26,1002.38,1009.29,1013.38,1002.0,0.73,7.29,3592261,4104644880.0,1.14,0.13
2014-06-27,1009.02,1014.87,1024.54,1005.71,0.55,5.58,3941886,4253466032.0,1.87,0.14
2014-06-30,1016.98,1021.94,1024.48,1013.62,0.7,7.07,4277828,4417777664.0,1.07,0.16
2014-07-01,1025.2,1039.3,1055.1,1022.79,1.7,17.36,6923672,7853871360.0,3.16,0.25
2014-07-02,1036.13,1041.49,1041.88,1026.14,0.21,2.19,4970876,5680813568.0,1.51,0.18
2014-07-03,1058.42,1059.49,1067.3,1053.03,1.73,18.0,7219110,8191372800.0,1.37,0.26
2014-07-04,1056.69,1044.49,1056.69,1044.21,-1.42,-15.0,4715832,5348421888.0,1.18,0.17
2014-07-07,1040.88,1038.3,1044.25,1035.29,-0.59,-6.19,3193009,3719020336.0,0.86,0.12
2014-07-08,1039.26,1051.9,1055.14,1028.74,1.31,13.6,4069304,4605643776.0,2.54,0.15
2014-07-09,1048.64,1042.13,1066.32,1041.59,-0.93,-9.77,5256070,6563744768.0,2.35,0.19
2014-07-10,1041.22,1047.28,1058.17,1034.48,0.49,5.15,5640307,7221027328.0,2.27,0.21
2014-07-11,1044.57,1055.3,1063.03,1041.8,0.77,8.02,4887912,5938859520.0,2.03,0.18
2014-07-14,1059.45,1083.13,1085.75,1056.86,2.64,27.83,6413656,7935729408.0,2.74,0.23
2014-07-15,1078.48,1074.36,1083.12,1066.83,-0.81,-8.77,5188725,6680462080.0,1.5,0.19
2014-07-16,1074.25,1063.06,1085.41,1059.81,-1.05,-11.3,4551928,5403900672.0,2.38,0.17
2014-07-17,1062.09,1085.43,1095.11,1056.89,2.1,22.37,4873093,5546138112.0,3.6,0.18
2014-07-18,1078.51,1076.34,1092.76,1073.11,-0.84,-9.09,4028384,4693399296.0,1.81,0.15
2014-07-21,1077.12,1066.63,1078.07,1064.03,-0.9,-9.71,3506880,4273366272.0,1.3,0.13
2014-07-22,1070.48,1102.35,1109.48,1070.48,3.35,35.72,6456024,8022597120.0,3.66,0.23
2014-07-23,1100.64,1100.44,1117.94,1091.72,-0.17,-1.91,5896775,7243376896.0,2.38,0.21
2014-07-24,1097.85,1104.94,1109.11,1083.75,0.41,4.5,5987493,8209184000.0,2.3,0.22
2014-07-25,1111.77,1149.6,1161.33,1111.77,4.04,44.66,8690426,11919258368.0,4.49,0.32
2014-07-28,1150.66,1183.2,1191.95,1146.44,2.92,33.6,9930191,14078116096.0,3.96,0.36
2014-07-29,1185.05,1192.74,1203.2,1170.15,0.81,9.54,9744258,13039113216.0,2.79,0.35
2014-07-30,1173.0,1172.9,1187.1,1168.45,-1.66,-19.84,6715322,9106659328.0,1.56,0.24
2014-07-31,1175.37,1193.59,1197.74,1175.06,1.76,20.69,6478212,9102205696.0,1.93,0.24
2014-08-01,1185.06,1157.51,1186.8,1155.78,-3.02,-36.08,6186123,8413997312.0,2.6,0.23
2014-08-04,1159.93,1192.29,1192.34,1159.55,3.0,34.78,6456891,9842643968.0,2.83,0.23
2014-08-05,1203.05,1200.47,1212.77,1184.89,0.69,8.18,6485649,10700295424.0,2.34,0.24
2014-08-06,1201.89,1225.26,1233.13,1194.18,2.07,24.79,7178501,10470976512.0,3.24,0.26
2014-08-07,1228.32,1211.82,1233.72,1210.5,-1.1,-13.44,5989073,8935348480.0,1.9,0.22
2014-08-08,1216.96,1217.6,1229.19,1212.92,0.48,5.78,5192379,7782469376.0,1.34,0.19
2014-08-11,1221.25,1232.45,1234.89,1216.08,1.22,14.85,5715098,8631143168.0,1.54,0.21
2014-08-12,1231.63,1236.33,1239.67,1228.03,0.31,3.88,6049945,9202933248.0,0.94,0.22
2014-08-13,1235.6,1245.48,1245.95,1221.38,0.74,9.15,6608397,10083539712.0,1.99,0.24
2014-08-14,1240.61,1207.96,1240.61,1207.32,-3.01,-37.52,6320855,9046647552.0,2.67,0.23
2014-08-15,1207.07,1213.12,1220.69,1204.22,0.43,5.16,5128523,7223200512.0,1.36,0.19
2014-08-18,1216.75,1230.25,1232.1,1216.4,1.41,17.13,5811647,8015375104.0,1.29,0.21
2014-08-19,1230.16,1230.29,1233.6,1218.3,0.0,0.04,6007787,8506341632.0,1.24,0.22
2014-08-20,1229.41,1221.51,1232.68,1217.92,-0.71,-8.78,5253309,7409058816.0,1.2,0.19
2014-08-21,1224.15,1218.96,1235.47,1206.27,-0.21,-2.55,5116774,7165861376.0,2.39,0.19
2014-08-22,1214.81,1214.54,1218.02,1206.73,-0.36,-4.42,4139197,5841854720.0,0.93,0.15
2014-08-25,1213.48,1199.03,1214.99,1192.48,-1.28,-15.51,4277746,6397127424.0,1.85,0.16
2014-08-26,1197.66,1172.61,1201.74,1169.11,-2.2,-26.42,4315102,5879037696.0,2.72,0.16
2014-08-27,1172.64,1174.28,1183.52,1167.45,0.14,1.67,3194661,4659697664.0,1.37,0.12
2014-08-28,1173.77,1168.23,1181.47,1166.73,-0.52,-6.05,3155373,4359183104.0,1.26,0.11
2014-08-29,1167.23,1187.73,1187.89,1164.9,1.67,19.5,2868816,4008021504.0,1.97,0.1
2014-09-01,1186.54,1199.89,1200.02,1182.4,1.02,12.16,3413074,4712565248.0,1.48,0.12
2014-09-02,1200.86,1213.21,1213.21,1194.44,1.11,13.32,4394549,6125948160.0,1.56,0.16
2014-09-03,1214.42,1218.38,1225.02,1212.62,0.43,5.17,4931048,7109534464.0,1.02,0.18
2014-09-04,1220.02,1225.08,1225.08,1211.3,0.55,6.7,4558284,6521377024.0,1.13,0.17
2014-09-05,1232.73,1238.82,1240.08,1224.83,1.12,13.74,5730065,8165274624.0,1.24,0.21
2014-09-09,1240.01,1233.31,1242.51,1227.72,-0.44,-5.51,4636225,6446332928.0,1.19,0.17
2014-09-10,1220.53,1233.08,1235.74,1215.17,-0.02,-0.23,5356573,7666240000.0,1.67,0.19
2014-09-11,1231.97,1220.63,1243.53,1218.18,-1.01,-12.45,5478262,7559763712.0,2.06,0.2
2014-09-12,1217.1,1229.73,1229.79,1210.86,0.75,9.1,3940519,5386360320.0,1.55,0.14
2014-09-15,1227.73,1240.72,1242.35,1220.99,0.89,10.99,4973879,6831225856.0,1.74,0.18
2014-09-16,1240.42,1199.88,1243.64,1199.5,-3.29,-40.84,6245236,8674101248.0,3.56,0.23
2014-09-17,1203.99,1215.64,1220.35,1201.14,1.31,15.76,4894120,6373197056.0,1.6,0.18
2014-09-18,1213.17,1218.3,1218.32,1205.46,0.22,2.66,3999418,5269234176.0,1.06,0.15
2014-09-19,1219.03,1223.66,1227.56,1212.71,0.44,5.36,3729871,5036228608.0,1.22,0.14
2014-09-22,1220.52,1193.76,1220.52,1191.31,-2.44,-29.9,3661381,4952070912.0,2.39,0.13
2014-09-23,1193.66,1203.81,1205.48,1193.4,0.84,10.05,3217555,4537747456.0,1.01,0.12
2014-09-24,1201.85,1225.45,1225.45,1197.26,1.8,21.64,4273634,6199152128.0,2.34,0.16
2014-09-25,1229.83,1224.03,1237.04,1219.48,-0.12,-1.42,4704502,7078277376.0,1.43,0.17
2014-09-26,1229.34,1233.83,1235.9,1224.92,0.8,9.8,3886842,5029231360.0,0.9,0.14
2014-09-29,1236.2,1238.48,1241.59,1231.66,0.38,4.65,3924099,5426266368.0,0.8,0.14
2014-09-30,1240.83,1248.63,1253.94,1240.61,0.82,10.15,4003932,5400110336.0,1.08,0.15
2014-10-08,1250.12,1254.48,1254.48,1240.78,0.47,5.85,3921389,5401951232.0,1.1,0.14
2014-10-09,1255.55,1268.8,1268.8,1246.82,1.14,14.32,5962645,8656334592.0,1.75,0.22
2014-10-10,1263.16,1250.1,1264.31,1244.39,-1.47,-18.7,4562374,6426260480.0,1.57,0.17
2014-10-13,1251.62,1268.95,1269.29,1248.07,1.51,18.85,5664226,8035841792.0,1.7,0.21
2014-10-14,1265.36,1261.26,1272.4,1253.1,-0.61,-7.69,5343843,7662724096.0,1.52,0.19
2014-10-15,1260.06,1257.84,1263.27,1243.11,-0.27,-3.42,3989885,5778562816.0,1.6,0.15
