日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-06-19,1000.0,1009.22,1012.99,995.83,0.92,9.22,2987476,3778204464.0,1.72,1.44
2020-06-22,1014.1,1018.4,1024.32,1011.63,0.91,9.18,3462588,3827760656.0,1.26,1.67
2020-06-23,1022.85,1018.19,1022.91,1010.29,-0.02,-0.21,3234220,3441963312.0,1.24,1.56
2020-06-24,1021.43,1013.13,1023.21,1008.76,-0.5,-5.06,2581389,2986231200.0,1.42,1.24
2020-06-29,1008.13,1010.67,1024.15,1006.85,-0.24,-2.46,2473764,3317542512.0,1.71,1.19
2020-06-30,1015.33,1035.88,1040.38,1013.78,2.49,25.21,2692966,3651560208.0,2.63,1.3
2020-07-01,1042.57,1043.78,1051.28,1029.57,0.76,7.9,3031968,3923935472.0,2.1,1.46
2020-07-02,1046.22,1057.77,1058.1,1038.72,1.34,13.99,3145608,3923014640.0,1.86,1.51
2020-07-03,1058.58,1057.4,1060.52,1047.71,-0.03,-0.37,3434087,3838371312.0,1.21,1.65
2020-07-06,1059.87,1092.41,1095.55,1053.96,3.31,35.01,4701384,5616896512.0,3.93,2.26
2020-07-07,1097.77,1120.62,1138.21,1089.57,2.58,28.21,5783350,6753710848.0,4.45,2.78
2020-07-08,1116.93,1148.67,1149.55,1116.93,2.5,28.05,4254473,5383437568.0,2.91,2.05
2020-07-09,1145.61,1161.36,1168.72,1137.64,1.1,12.69,4491087,5483671040.0,2.71,2.16
2020-07-10,1158.38,1152.27,1166.91,1143.45,-0.78,-9.09,4533020,5780630528.0,2.02,2.18
2020-07-13,1153.24,1205.3,1205.52,1153.24,4.6,53.03,5330975,6204611072.0,4.54,2.56
2020-07-14,1201.72,1175.36,1205.87,1152.5,-2.48,-29.94,5424888,6676618752.0,4.43,2.61
2020-07-15,1177.15,1137.05,1182.77,1131.98,-3.26,-38.31,4041451,4953236480.0,4.32,1.94
2020-07-16,1140.72,1074.33,1152.29,1074.33,-5.52,-62.72,3746960,4469708800.0,6.86,1.8
2020-07-17,1079.9,1082.43,1108.19,1071.24,0.75,8.1,4075833,4136378560.0,3.44,1.96
2020-07-20,1098.5,1121.74,1122.08,1088.52,3.63,39.31,3602176,3694122496.0,3.1,1.73
2020-07-21,1121.92,1121.28,1138.17,1110.86,-0.04,-0.46,3260892,3436804976.0,2.43,1.57
2020-07-22,1125.88,1124.5,1136.02,1117.75,0.29,3.22,3102916,3606568464.0,1.63,1.49
2020-07-23,1118.01,1119.55,1122.51,1088.54,-0.44,-4.95,3552165,4058714448.0,3.02,1.71
2020-07-24,1112.85,1050.98,1117.59,1044.91,-6.12,-68.57,4064852,4282783856.0,6.49,1.96
2020-07-27,1051.56,1051.0,1058.94,1035.34,0.0,0.02,2745256,3125269104.0,2.25,1.32
2020-07-28,1059.28,1072.66,1091.77,1059.28,2.06,21.66,4559449,4183348416.0,3.09,2.19
2020-07-29,1073.83,1106.53,1106.53,1064.44,3.16,33.87,3311787,3416314832.0,3.92,1.59
2020-07-30,1107.59,1097.64,1111.12,1090.42,-0.8,-8.89,3039988,3046816080.0,1.87,1.46
2020-07-31,1095.43,1115.83,1116.23,1091.54,1.66,18.19,3259351,3516825792.0,2.25,1.57
2020-08-03,1126.07,1147.15,1147.15,1121.02,2.81,31.32,3926200,4190021200.0,2.34,1.89
2020-08-04,1148.64,1137.52,1154.25,1127.62,-0.84,-9.63,5254468,4930686976.0,2.32,2.53
