日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2018-03-02,1009.81,1001.47,1027.9,995.2,0.15,1.47,4237513,5365025280.0,3.27,0.18
2018-03-05,1019.06,1026.97,1028.84,1005.82,2.55,25.5,4178063,6714440192.0,2.3,0.17
2018-03-06,1036.33,1035.29,1038.28,1025.86,0.81,8.32,4376741,7984907520.0,1.21,0.18
2018-03-07,1038.98,1037.43,1053.76,1030.34,0.21,2.14,4507670,8254972928.0,2.26,0.19
2018-03-08,1031.72,1044.84,1050.79,1030.16,0.71,7.41,3490798,6943329792.0,1.99,0.14
2018-03-09,1036.98,1080.88,1086.46,1036.52,3.45,36.04,5314240,10297630976.0,4.78,0.22
2018-03-12,1087.3,1110.36,1113.49,1087.16,2.73,29.48,5222213,10192793856.0,2.44,0.22
2018-03-13,1102.06,1084.8,1102.9,1083.56,-2.3,-25.56,4140655,7295220480.0,1.74,0.17
2018-03-14,1076.24,1051.19,1082.94,1050.16,-3.1,-33.61,3891288,8303336192.0,3.02,0.16
2018-03-15,1037.56,1047.28,1048.85,1020.64,-0.37,-3.91,3557818,7086597376.0,2.68,0.15
2018-03-16,1044.01,1045.15,1063.25,1043.94,-0.2,-2.13,3333805,6051516928.0,1.84,0.14
2018-03-19,1047.71,1082.39,1084.02,1042.31,3.56,37.24,4085247,7437872896.0,3.99,0.17
2018-03-20,1069.31,1089.27,1089.43,1068.57,0.64,6.88,4097102,7337663744.0,1.93,0.17
2018-03-21,1090.43,1073.28,1097.59,1073.01,-1.47,-15.99,6634745,11274528512.0,2.26,0.27
2018-03-22,1069.64,1052.69,1077.47,1051.04,-1.92,-20.59,5011872,8965746944.0,2.46,0.21
2018-03-23,1001.99,986.0,1019.14,969.82,-6.34,-66.69,6410317,9675564800.0,4.69,0.27
2018-03-26,970.99,1024.54,1026.32,967.87,3.91,38.54,4525707,7932486144.0,5.93,0.19
2018-03-27,1034.49,1062.22,1065.68,1032.6,3.68,37.68,4967917,9011142912.0,3.23,0.21
2018-03-28,1044.16,1047.17,1063.77,1041.48,-1.42,-15.05,4767976,8300919808.0,2.1,0.2
2018-03-29,1059.2,1067.97,1086.29,1058.46,1.99,20.8,5053932,8225244416.0,2.66,0.21
