日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2019-02-22,1002.78,996.38,1025.75,973.94,-0.36,-3.62,6920868,5096169984.0,5.18,1.9
2019-02-25,980.78,1033.56,1057.24,980.06,3.73,37.18,6823991,5138018048.0,7.75,1.87
2019-02-26,1013.18,1000.87,1054.2,1000.46,-3.16,-32.69,5324364,4055984000.0,5.2,1.46
2019-02-27,993.59,966.6,998.21,956.09,-3.42,-34.27,3568185,2557296496.0,4.21,0.98
2019-02-28,972.11,1023.81,1035.83,971.44,5.92,57.21,4675639,3325156368.0,6.66,1.28
2019-03-01,1025.68,1021.7,1060.79,1001.65,-0.21,-2.11,4371404,3223756656.0,5.78,1.2
2019-03-04,1039.2,1072.29,1084.81,1039.2,4.95,50.59,5607512,4365104384.0,4.46,1.54
2019-03-05,1072.19,1120.26,1130.47,1066.89,4.47,47.97,4940324,3955369696.0,5.93,1.35
2019-03-06,1146.01,1211.73,1214.6,1127.56,8.17,91.47,6385990,5386046976.0,7.77,1.75
2019-03-07,1240.83,1320.88,1330.58,1217.78,9.01,109.15,6720792,6283947520.0,9.31,1.84
2019-03-08,1295.0,1291.65,1419.08,1266.88,-2.21,-29.23,7201027,6914101248.0,11.52,1.97
2019-03-11,1330.43,1332.93,1374.26,1260.8,3.2,41.28,5577106,5459739904.0,8.78,1.53
2019-03-12,1337.05,1357.93,1380.34,1313.2,1.88,25.0,5647644,5566708992.0,5.04,1.55
2019-03-13,1375.1,1438.03,1455.98,1371.18,5.9,80.1,6481068,6576732416.0,6.24,1.78
2019-03-14,1410.28,1343.97,1410.28,1335.29,-6.54,-94.06,5479853,5788039936.0,5.21,1.5
2019-03-15,1332.66,1392.12,1409.5,1309.15,3.58,48.15,4841499,5268591872.0,7.47,1.33
2019-03-18,1385.33,1357.5,1385.99,1323.51,-2.49,-34.62,4024665,4451662336.0,4.49,1.1
2019-03-19,1350.77,1406.57,1428.47,1349.94,3.61,49.07,4561327,5166361600.0,5.78,1.25
2019-03-20,1429.73,1524.0,1533.24,1423.12,8.35,117.43,6834841,7491385856.0,7.83,1.87
2019-03-21,1588.13,1557.01,1676.36,1557.01,2.17,33.01,8498588,8961933312.0,7.83,2.33
2019-03-22,1554.17,1639.58,1673.0,1523.09,5.3,82.57,10456875,12228569344.0,9.63,2.87
2019-03-25,1588.66,1675.89,1769.09,1583.32,2.21,36.31,9940843,11916326144.0,11.33,2.73
2019-03-26,1701.63,1663.18,1760.57,1626.26,-0.76,-12.71,11682097,14048546560.0,8.01,3.2
2019-03-27,1652.02,1827.52,1828.74,1648.69,9.88,164.34,14126114,17049144832.0,10.83,3.87
2019-03-28,1778.91,1702.53,1793.43,1695.25,-6.84,-124.99,19741128,21187839232.0,5.37,5.41
2019-03-29,1609.25,1662.57,1713.86,1581.57,-2.35,-39.96,17635803,17360112128.0,7.77,4.84
2019-04-01,1668.81,1715.56,1725.85,1639.86,3.19,52.99,18179619,17792560128.0,5.17,4.99
2019-04-02,1713.58,1716.01,1798.45,1709.51,0.03,0.45,18470785,20017927680.0,5.18,5.07
2019-04-03,1694.59,1733.52,1741.78,1675.94,1.02,17.51,15426849,15337827584.0,3.84,4.23
2019-04-04,1751.7,1775.06,1809.23,1750.79,2.4,41.54,17389176,18123309056.0,3.37,4.77
2019-04-08,1786.32,1898.2,1910.23,1783.04,6.94,123.14,20157084,20899705344.0,7.17,5.53
2019-04-09,1894.72,1881.98,1945.22,1857.15,-0.85,-16.22,17212655,20159651328.0,4.64,4.72
2019-04-10,1859.77,1898.95,1963.89,1852.93,0.9,16.97,15968932,19183472896.0,5.9,4.38
2019-04-11,1888.51,1843.6,1943.06,1842.69,-2.91,-55.35,15383134,17286200832.0,5.29,4.22
2019-04-12,1841.75,1784.65,1862.08,1762.36,-3.2,-58.95,14976731,15877927168.0,5.41,4.11
2019-04-15,1800.36,1795.24,1847.88,1792.16,0.59,10.59,11512769,12529210880.0,3.12,3.16
2019-04-16,1790.93,1858.54,1858.54,1790.93,3.53,63.3,14106848,15311309568.0,3.77,3.87
2019-04-17,1862.65,1941.42,1943.82,1841.67,4.46,82.88,17133347,19424205568.0,5.5,4.7
2019-04-18,1929.75,1880.29,1964.78,1879.79,-3.15,-61.13,15825840,18984705792.0,4.38,4.34
2019-04-19,1879.92,1929.11,1946.07,1878.42,2.6,48.82,15164946,16928463104.0,3.6,4.16
2019-04-22,1943.86,1880.91,1949.14,1871.75,-2.5,-48.2,16618737,17964011520.0,4.01,4.56
2019-04-23,1873.44,1824.7,1882.61,1812.98,-2.99,-56.21,16533459,16885735424.0,3.7,4.53
2019-04-24,1817.34,1831.13,1847.16,1802.79,0.35,6.43,13049792,13234178560.0,2.43,3.58
2019-04-25,1809.45,1744.06,1846.84,1730.29,-4.75,-87.07,14228275,14317441280.0,6.36,3.9
