日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-05-28,1000.14,992.78,1001.94,988.55,-0.72,-7.22,4094395,7279393024.0,1.34,0.48
2021-05-31,1001.57,999.94,1001.85,993.5,0.72,7.16,3465283,6259265792.0,0.84,0.41
2021-06-01,1005.45,1006.08,1006.55,996.64,0.61,6.14,4749435,9541686784.0,0.99,0.56
2021-06-02,1007.94,999.33,1012.42,997.72,-0.67,-6.75,4381088,7777243392.0,1.46,0.51
2021-06-03,998.14,1000.48,1006.78,996.85,0.12,1.15,3809766,5813764352.0,0.99,0.45
2021-06-04,994.97,991.41,997.45,988.58,-0.91,-9.07,4219357,6923627520.0,0.89,0.49
2021-06-07,991.64,984.19,991.64,980.74,-0.73,-7.22,3551369,5309873664.0,1.1,0.42
2021-06-08,984.28,981.16,984.48,974.57,-0.31,-3.03,3383768,4957952768.0,1.01,0.4
2021-06-09,980.2,978.64,980.59,974.51,-0.26,-2.52,2929733,4039204160.0,0.62,0.34
2021-06-10,979.53,975.45,981.31,974.98,-0.33,-3.19,4592726,7546311424.0,0.65,0.54
2021-06-11,976.66,965.56,976.66,964.44,-1.01,-9.89,5750338,9445472512.0,1.25,0.67
2021-06-15,964.46,953.65,964.61,948.02,-1.23,-11.91,4206499,5722417920.0,1.72,0.49
2021-06-16,952.05,941.02,952.36,938.66,-1.32,-12.63,3818938,4912556800.0,1.44,0.45
2021-06-17,940.59,938.06,946.77,936.55,-0.31,-2.96,3513272,4425705984.0,1.09,0.41
2021-06-18,938.59,946.44,946.44,930.38,0.89,8.38,4640076,6399652864.0,1.71,0.54
2021-06-21,950.63,947.92,951.32,946.13,0.16,1.48,3307817,4210648304.0,0.55,0.39
2021-06-22,951.48,979.27,983.7,951.48,3.31,31.35,6394547,9130529792.0,3.4,0.75
2021-06-23,984.85,980.58,984.85,976.62,0.13,1.31,3705345,5455967488.0,0.84,0.43
2021-06-24,986.57,986.98,990.73,982.21,0.65,6.4,3004481,4126462128.0,0.87,0.35
