日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-03-21,1038.14,1034.81,1046.35,1020.52,3.48,34.81,6296468,9090744320.0,2.58,2.2
2022-03-22,1035.84,1020.54,1037.05,1012.12,-1.38,-14.27,8093863,8630187008.0,2.41,2.83
2022-03-23,1022.68,1007.13,1025.32,1000.21,-1.31,-13.41,9962517,9547920640.0,2.46,3.48
2022-03-24,994.66,1000.88,1001.29,977.91,-0.62,-6.25,10011622,9668826880.0,2.32,3.5
2022-03-25,996.26,986.27,1005.82,985.59,-1.46,-14.61,8898888,9252333312.0,2.02,3.11
2022-03-28,968.96,969.74,988.44,959.42,-1.68,-16.53,6690882,6755699456.0,2.94,2.34
2022-03-29,967.11,938.94,969.36,932.82,-3.18,-30.8,6441998,6378078208.0,3.77,2.25
2022-03-30,947.64,963.51,968.47,946.93,2.62,24.57,6427693,7076576768.0,2.29,2.25
2022-03-31,963.07,971.81,986.73,963.07,0.86,8.3,7575062,8843733504.0,2.46,2.65
2022-04-01,954.76,954.39,958.15,946.73,-1.79,-17.42,5010283,3996283600.0,1.18,1.75
2022-04-06,949.32,962.86,966.71,948.82,0.89,8.47,6201185,6465084416.0,1.87,2.17
2022-04-07,959.47,933.58,967.79,933.58,-3.04,-29.28,5703277,5504819968.0,3.55,1.99
2022-04-08,934.17,939.62,949.18,928.44,0.65,6.04,4946170,5239895808.0,2.22,1.73
2022-04-11,934.94,905.23,937.94,900.79,-3.66,-34.39,5433204,4800764672.0,3.95,1.9
2022-04-12,897.44,912.1,913.7,880.79,0.76,6.87,5257747,5157419520.0,3.64,1.84
2022-04-13,905.09,875.07,905.41,875.07,-4.06,-37.03,4738490,4393723648.0,3.33,1.66
2022-04-14,874.5,876.65,884.72,873.09,0.18,1.58,3589472,3427983456.0,1.33,1.25
2022-04-15,871.27,855.48,871.33,851.76,-2.41,-21.17,3247365,3032759488.0,2.23,1.13
2022-04-18,849.24,865.4,867.09,841.39,1.16,9.92,2893469,2653658000.0,3.0,1.01
2022-04-19,865.33,865.95,875.22,856.49,0.06,0.55,2327529,2295358896.0,2.16,0.81
2022-04-20,866.96,855.39,870.79,850.83,-1.22,-10.56,2688805,2481163120.0,2.3,0.94
2022-04-21,852.99,815.52,853.54,813.28,-4.66,-39.87,2597907,2356974624.0,4.71,0.91
2022-04-22,811.75,813.66,825.15,801.55,-0.23,-1.86,2409800,2294320528.0,2.89,0.84
2022-04-25,800.25,751.11,801.5,751.11,-7.69,-62.55,3410410,2971324368.0,6.19,1.19
2022-04-26,752.0,724.15,759.39,721.41,-3.59,-26.96,3482460,2832891840.0,5.06,1.22
2022-04-27,711.94,752.64,752.64,705.85,3.93,28.49,4450177,4085579680.0,6.46,1.56
2022-04-28,745.36,737.04,749.48,722.22,-2.07,-15.6,3865124,4526304512.0,3.62,1.35
2022-04-29,745.02,777.62,782.21,744.47,5.51,40.58,4546189,4707504384.0,5.12,1.59
2022-05-05,783.36,813.24,819.24,783.36,4.58,35.62,4932727,5367891712.0,4.61,1.72
2022-05-06,795.46,814.32,825.49,792.83,0.13,1.08,5704260,5415027456.0,4.02,1.99
2022-05-09,824.34,837.15,839.38,823.19,2.8,22.83,4732338,5456367104.0,1.99,1.65
2022-05-10,831.16,878.74,878.74,825.7,4.97,41.59,4842911,6906595584.0,6.34,1.69
